'ai'min'ru'zi 爱民如子
'kou'zhong'jin'man'kuai'yi'ti'shen 口中津满快意提神
'kua'yue'jiang'he'jia'hong'qiao 跨越江河架宏桥
'kuai'du'ren'jian'wei'jian'shu 快读人间未见书
'kun'ba'gua 坤八卦
'la'jin'chun'hui'hua'sha'mei 腊尽春回华厦美
'la'mei'tu'fang'ying'hong'ri 腊梅吐芳迎红日
'la'mei'tu'you'xiang 腊梅吐幽香
'la'mei'zuo'xue'ying'chun 腊梅做雪迎春
'lai'wo'shi'xi'qi'jiang'lin 来我室喜气将临
'lan'qi'si'yan 岚气似烟
'lan'tian'ri'nuan'yu'sheng'xiang 蓝天日暖玉生香
'lan'ting'gu'ben'xue'hai'zhen'cang 兰亭古本学海珍藏
'lao'chu'sheng'zen'neng'chu'ti 老畜生怎能出题
'lao'dong'men'di'chun'chang'zai 劳动门第春常在
'lao'shou'han'chuang'kong'ji'mo 牢守寒窗空寂寞
'lao'wu'suo'shi'xu'ke'kui 老无所事吁可愧
'le'le'le'le'le'le'le 乐乐乐乐乐乐乐
'le'wei'liang'an'yue'yuan'shi 乐为两岸月圆时
'le'zi'zi'wei'si'hua 乐滋滋为四化
'le'zuo'hong'niang'da'que'qiao 乐做红娘搭鹊桥
'leng'nuan'sui'ren'yi 冷暖随人意
'li'bian'yan'wu'lei'xiang'tong 篱边晏物类相同
'li'chen'di 鲤沉底
'li'chen'li'fu 李沉鲤浮
'li'da'li 李打鲤
'li'er'fu'nei'suan 梨儿腹内酸
'li'gui'chi'ping'bu'bei'bu'kang 理贵持平不卑不亢
'li'mao'dai'ke'bin'zhi'ru'jia'nuan'ren'xin 礼貌待客宾至如家暖人心
'li'ri'xuan'tian 丽日悬天
'li'tao'jiao'yi'du 李桃交谊笃
'li'zhuang'zhi'pan'deng'shi'jie'gao'feng 立壮志攀登世界高峰
'lian'liang'di'wei'yi'jia 联两地为一家
'lian'zi'xin'zhong'ku 莲子心中苦
'liang'die'dou'liang'die 两碟豆两蝶
'liang'gong'shou'nei'wu'qi'cai 良工手内无弃材
'liang'gong'zi'gu'bu'yi'cai 良工自古不遗材
'liang'hang'qiu'yan 两行秋雁
'liang'jia'nai'guo'ben'li'qi'yu 粮家乃国本利其余
'liang'lun'zuo'you'zou'gao'di 两轮左右走高低
'liang'zhou'jing'du 两舟竞渡
'lie'huo'jian'cha 烈火煎茶
'lin'mu'cheng'yin'wu'shan'bu'lv 林木成荫无山不绿
'lin'xia'shi'jin 林下示禁
'lin'yu'chun'se 霖雨春色
'ling'huo'jing'ying'cai'yuan'mao'sheng 灵活经营财源茂盛
'liu'ban'bian 流半边
'liu'ban'bian 留半边
'liu'chu'xing'wang 六畜兴旺
'liu'guang'duo'yue'hui 流光夺月辉
'liu'ling'yin'jiu'bu'liu'ling 刘伶饮酒不留零
'liu'lou'gong'qian'gu 流楼共千古
'liu'qi'ba'jiu'shao'shi 六七八九少食
'liu'shu'san'bi'shan'zhuang'huang 六书三笔善装璜
'liu'wen'kai'yu'zhuan 六文开玉篆
'liu'yan'cai'shu'fang'cao'di 柳眼才舒芳草地
'liu'you'quan'shu'si'wen'bei 六游全属斯文辈
'liu'yu'hou'ren'jiu'yuan'ju 留与后人久远居
'liu'zhu'qiu'shui'jiu'feng'shen 留住秋水旧丰神
'long'jing'quan'duo'qi'wei 龙井泉多奇味
'long'she'wan'yan'gui'li'zao 龙蛇蜿蜒归梨枣
'lou'wai'chun'yin'jiu'huan'yu 楼外春阴鸠唤雨
'lou'wang'hai'hai'wang'lou 楼望海海望楼
'lu'bian'lu 路边鹭
'lu'bian'su'lu 路边宿鹭
'lu'da'lu'fei'lu'wei'fei 露打鹭飞路未飞
'lu'dong'er'chuan'xing 橹动而船行
'lu'luo'lu'jing 露落鹭惊
'lu'nan'jing 路难惊
'lu'su'bu'ru'fan'kuai 橹速不如帆快
'luan'jiu'sheng 鸾九声
'lun'xue'cu 论学粗
'lun'zheng'shu 论政疏
'luo'han'qing'guan'yin 罗汉请观音
'luo'hao'huan'xing'wan'jia'chun 螺号唤醒万家春
'luo'yang'qiao 洛阳桥
'luo'yue'luo'yue'luo'luo'yue 骆曰骆曰骆骆曰
'luo'zhi'ru'yun'yan 落纸如云烟
'lv'bian'jiu'zhou'shi'shi'chun 绿遍九州始是春
'lv'hong'tao'ru'ping'di 履洪涛如平地
'lv'ju'hong'gan'qi'xiang'ke'yi 绿桔红柑奇香可挹
'lv'liu'zhan'zhi'wu'chun'feng 绿柳展枝舞春风
'lv'zi'chi'wen'jie'ke'song 绿字赤文皆可诵
'ma'bian'bian'ma'ma'jing'bian 马鞭鞭马马惊鞭
'ma'lai'lu'pan 马来芦畔
'ma'ma'qi'ma 妈妈骑马
'ma'man'ma'ma'ma'ma 马慢妈妈骂马
'ma'xie'er'xie'ma 马歇尔歇马
'man'huai'sheng'yi'chun'feng'ai 满怀生意春风蔼
'man'shi'ming'ru'zhou 满室明如昼
'mao'chu'yi'chuan'zhen'zhu 冒出一串珍珠
'mao'mao'mao'mao 冒冒冒冒
'mao'mao'mao'mao'mao'chu'yi'chuan'zhen'zhu 冒冒冒冒冒出一串珍珠
'mei'bao'mei'xiang'liang'mei'mei 煤爆梅香两眉煤
'mei'chuan'xi'qing'nian 梅传喜庆年
'mei'hua'si'wu'dian'tian'xia'jie'chun 梅花四五点天下皆春
'mei'mo'mei'xiang'liang'mei'mei 煤抹梅香两眉煤
'mei'nv'tang'qian'bao'xiu'cai 美女堂前抱绣裁
'mei'tan'chai'huo'dian'yong'lian 煤炭柴火店用联
'mei'wei'chu'jin'hua 美味出金华
'mei'wei'zhao'lai'yun'wai'ke 美味招来云外客
'mei'xian'sheng'xu'hou'sheng 眉先生须后生
'mei'xiang'shao'mei 梅香烧煤
'mei'xiang'tian'mei 梅香添煤
'men'dui'qian'gen'zhu 门对千根竹
'men'dui'qian'gen'zhu'duan 门对千根竹短
'men'dui'qian'gen'zhu'duan'wu 门对千根竹短无
'men'dui'qing'shan'yang'mian'qun'qun'xi'bi'tan 门对青山羊免群群嬉碧毯
'men'lv'ying'jiao'huan'guang'hua 门闾楹角焕光华
'mi'rui'jing'hua'ji'xu'chun 密蕊精花几许春
'miao'ren'er'ni'jia'shao'nv 妙人儿倪家少女
'miao'shou'bu'ting 妙手不停
'min'jian'ji'ku 民间疾苦
'min'yi'shi'wei'tian 民以食为天
'min'yong'jun'yi'bi'tai'shan'zhong 民拥军意比泰山重
'min'you'shi'ye 民犹是也
'min'zu'zheng'qi'shan'chuan'zeng'se 民族正气山川增色
'ming'chao'nian'tou 明朝年头
'ming'ri'feng'chun'hao'bu'hui'qi 明日逢春好不晦气
'ming'wan'xiang'teng'qian'shui'mo 茗碗香腾遣睡魔
'mo'gu'fu 莫辜负
'mo'mo'shu'tong'yi'mai'mo 墨抹书童一脉墨
'mo'ran'ya'qing'wu'se'qi 墨染雅青五色奇
'mo'zhen'shi'shang 磨针石上
'mu'da'mu'tong'shuang'mu'mu 木打牧童双目木
'mu'tong'fa'mu 牧童伐木
'na'pa'wu'yun'gai'ding 哪怕乌云盖顶
'nan'dan'nv'cheng'shuang 男单女成双
'nan'lai'bei'wang 南来北往
'nan'qiu'ren 难求人
'nan'xiang'gao'su 南翔缟素
'nei'kou'jie'gui'wai'kou'guan 内口皆归外口管
'nen'liu'ying'chun'duo'zi 嫩柳迎春多姿
'nen'lv'jiao'hong 嫩绿娇红
'ni'jin'ni'gui 泥尽尼归
'ni'ning'ni'xie 泥泞尼鞋
'ni'xi'ni 尼洗泥
'nian'feng'de'mao'fu'sheng 年丰德茂福盛
'nian'feng'ren'shou'fu'man 年丰人寿福满
'nian'nian'chun'se'qu'hai'lai 年年春色去还来
'nian'nian'nian'wei'jie'nian'tou 年年年尾接年头
'nian'nian'ren'fu'min'kang 年年韧阜民康
'niao'chu'long'zhong 鸟处笼中
'niao'ru'feng'zhong 鸟入风中
'niao'shou'fei'teng'ru'jian'jian 鸟兽飞腾入简笺
'niao'yu'hua'xiang'chun'nong 鸟语花香春浓
'niao'yu'piao'lin'niao'zhi'chun 鸟语飘林鸟知春
'niu'ning'niu'niu'ning'niu 牛拧妞妞拧牛
'niu'niu'hong'niu 妞妞轰牛
'nong'cun'qi'xiang'xin 农村气象新
'nong'zhuang'dan'mo'zong'xiang'yi 浓妆淡抹总相宜
'nuan'nuan'han'han 暖暖寒寒
'nv'bei'wei'bi'nv'you'ke'cheng'nu 女卑为婢女又可称奴
'ou'ran'ya'ji'bai'le'qi'ming 偶然雅集百乐齐鸣
'pao'zhen'hai'cheng'lou 炮镇海城楼
'pi'bao'jie'yin'yi'hu'chun'nuan 鼙报捷音一壶春暖
'pi'jin'an'ze 披襟岸帻
'pi'pa'qin'se'ba'da'wang 琵琶琴瑟八大王
'pian'po'bu'de'shuang'niu'guan'xin 偏颇不得双纽关心
'pian'yi'bu'pian'yi'pian'yi 便宜不便宜便宜
'piao'piao'piao'piao 飘飘飘飘
'piao'piao'piao'piao'piao'xia'liang'tiao'yu'dai 飘飘飘飘飘下两条玉带
'piao'xia'liang'tiao'yu'dai 飘下两条玉带
'pin'lv'ping'hong'tiao'zhu'xuan'su 品绿评红调朱绚素
'ping'an'lao'chuan'bao'mo'jiao'zhu'su'xiang'si 平安劳传报莫教竹素想思
'ping'kang'zhao'min 平康兆民
'ping'zhong'se'ying'pu'tao'zi 瓶中色映葡萄紫
'qi'dang'he'shu'niao'zhi'chun 气当和淑鸟知春
'qi'fu'ren'xi'fu'ren 妻夫人媳夫人
'qi'leng'ning'chu'yi'pian'bing 气冷凝出一片冰
'qi'qi'ma 骑奇马
'qi'qi'qi'qi 妻起弃棋
'qi'ren'hao'bu'shang'bei 其人好不伤悲
'qi'shi'fu'xi'shi'fu 妻失夫媳失夫
'qi'xi'jie'fu'ren 妻媳皆夫人
'qi'xi'jie'shi'fu 妻媳皆失夫
'qi'xiang'xi'li'jin'hu'zhi 奇香细丽金壶汁
'qi'ye'zi'zhu'gan'qun'yi'qi'fen'fa 企业自主干群意气奋发
'qian'ba'gua 乾八卦
'qian'che'hou'zhe 前车后辙
'qian'cheng'yuan'da'jiao'gen'xu'zhan'wen 前程远大脚根须站稳
'qian'gu'liu 千古流
'qian'gu'lou 千古楼
'qian'gu'lou'shang'wang'qian'gu'liu 千古楼上望千古流
'qian'li'chun'feng'lao'yi'shi 千里春风劳驿使
'qian'li'wa'jue 潜力挖掘
'qian'li'zhong'jin'zhong 千里重金锺
'qian'shan'kao'shan'qi'wei'shan'hu 钱山靠山其为山乎
'qian'shan'qi'chang'ying'chun'qu 千山齐唱迎春曲
'qian'zi'tou 千字头
'qiao'li'qian'jia'shi 巧理千家事
'qiao'shang'qiao 桥上荞
'qiao'xiang'mian'mao'yue'yi'ri'xin 侨乡面貌月异日新
'qie'kan'ting'qian'jin'xiu'xian 且看庭前锦绣鲜
'qin'jian'ren'jia'qing'you'yu 勤俭人家庆有余
'qin'qin'ken'ken'zuo'yuan'ding 勤勤恳恳做园丁
'qin'se'pi'pa'ba'da'wang 琴瑟琵琶八大王
'qin'si'yang'liu'chu'xing'wang 勤饲养六畜兴旺
'qin'xue'ku'lian'qi'xiang'xin 勤学苦练气象新
'qin'zhuan'han'wa'luo'lie'yi'tang 秦砖汉瓦罗列一堂
'qing'feng'shou'quan'jia'huan'le 庆丰收全家欢乐
'qing'huang'dan'bai 轻黄淡白
'qing'lian'gao'gua'xing'hua'cun 青帘高挂杏花村
'qing'lv'zha'tian'chui'liu'se 晴绿乍添垂柳色
'qing'qing'mu'mu'zhao'zhao 卿卿暮暮朝朝
'qing'qing'yu'yu 晴晴雨雨
'qing'qing'zai'zhong 轻轻载重
'qing'quan'zhuo'sun 清泉濯笋
'qing'shan'wu'yu 青山无语
'qing'si'lu 青丝路
'qing'xian'sheng'xian'dui 请先生先对
'qing'xiang'yin'chu'dong'zhong'xian 清香引出洞中仙
'qing'xing'yi'yuan'xia'shi 庆幸一元夏始
'qing'zhong'jie'zhi'yi'gan'zai'shou 轻重皆知一杆在手
'qing'zhong'zai'gong'ping 轻重在公平
'qiong'er'you'zhi'si'zhuang'ju 穷而有志思壮举
'qiong'zhong'you'le 穷中有乐
'qiu'ren'nan 求人难
'qiu'shui'cheng'qing'ling'hua'qi'chu 秋水澄清菱花七出
'qiu'shui'wei'shen'xian'chen'bu'ran 秋水为神纤尘不染
'qu'hou'ying'wu'sao'shou'ren 去后应无搔首人
'qu'li'ji'you'qing 曲里寄幽情
'qu'qu'huan'huan'lu 曲曲环环路
'quan'heng'ping'zheng'zhi 权衡凭正直
'que'shi'ding'shang'gong'fu 却是顶上功夫
'ran'cheng'yi'duan'qiu'ke 染成一段秋客
'ren'ceng'shi'seng'ren'fu'neng'cheng'fo 人曾是僧人弗能成佛
'ren'guo'da'fo'si 人过大佛寺
'ren'jian'yue'ying'qing 人间月影清
'ren'lin'jian'yun'qu'yun'lai 任林间云去云来
'ren'min'jun'dui'suo'xiang'wu'di 人民军队所向无敌
'ren'qin'san'chun'chang 人勤三春昌
'ren'qin'wu'fu 人勤物阜
'ren'ren'feng'nan'qiu'ren'nan 人人逢难求人难
'ren'shou'dong'han'fei'wo'yuan 人受冻寒非我愿
'ren'shou'nian'feng'jia'jia'le 人寿年丰家家乐
'ren'shou'nian'feng'xi'shi'duo 人寿年丰喜事多
'ren'ti'qiao'da'deng'pan'lu 人梯巧搭登攀路
'ren'yue'yin 人月印
'ren'yue'ying 人月影
'ren'yue'ying'li'he'ren'yue'yin 人月影里合人月印
'ren'zhong'wang'ren'bian'wang 人中王人边王
'ren'zhong'xin'zi'yi'ge'bie 人中心字义各别
'ri'hong'yang'liu'lv'chu'fu 日烘杨柳绿初浮
'ri'li'feng'he'ren'le 日丽凤和人乐
'ri'nuan'feng'diao'yu'shun 日暖风凋雨顺
'ri'nuan'shen'zhou'wan'mu'rong 日暖神州万木荣
'ri'ying'fan'huai'yan 日影泛槐烟
'ri'zai'dong'yue'zai'xi 日在东月在西
'ru'jing'bei'nuan 褥净被暖
'ru'men'jin'shi'dan'guan'ke 入门尽是弹冠客
'ru'yu'zhi'jian'ru'di'zhi'ping 如玉之坚如砥之平
'rui'shi'wu'cai'guo'fu'nian'feng 瑞狮舞彩国富年丰
'rui'xue'tu'xu'ying'chun 瑞雪吐絮迎春
'rui'xue'ying'zhao'feng'ren'sui 瑞雪映兆丰稔岁
'rui'xue'zhao'feng'nian 瑞雪兆丰年
'run'ji'qing'zhou'shui'bo'bu'ru 润及轻舟水波不入
'san'chun'cao'mu'ru'ren'yi 三春草木如人意
'san'chun'yang'liu 三春杨柳
'san'dian'shui 三点水
'san'ge'tu'tou'kao'lao'zhe 三个土头考老者
'san'qiu'fang'xun'ji'you'ren 三秋芳讯寄邮人
'san'xing'bai'lan'di 三星白兰地
'se'se'jing'gong 色色精工
'se'xiang'wei'ju'quan'shi'zhi'bu'yan 色香味俱全食之不厌
'shan'dong'feng'sheng 扇动风生
'shan'hu'shui'huan'you'zi'gui 山呼水唤游子归
'shan'jing'xiao'xing 山径晓行
'shan'qing'shui'xiu'feng'guang'hao 山青水秀风光好
'shan'shan'shui'shui 山山水水
'shan'shi'yan'qian'gu'mu'ku 山石岩前古木枯
'shan'yang'shang'shan'shan'peng'shan'yang'jiao 山羊上山山碰山羊角
'shang'feng'shang'yue'shang'qiu'xiang 赏风赏月赏秋香
'shang'hai'zi'lai'shui'lai'zi'hai'shang 上海自来水来自海上
'shang'shang'xia'xia 上上下下
'shang'xian'gong'xia'xian'gong 上弦弓下弦弓
'shao'hua'bu'wei'shao'nian'liu 韶华不为少年留
'shao'nv'geng'miao 少女更妙
'shao'shui'sha'ji'xian 少水沙即现
'she'di'fan'lian'hua 舌底翻莲花
'she'pan'yu'tu'nian'you'ji 蛇盘玉兔年有吉
'she'shang'feng'gan'neng'xiao'ku'la 舌上逢甘能消苦辣
'shen'jia'chong'lian'cheng 身价重连城
'shen'ju'bao'ta 身居宝塔
'shen'ju'teng'yue'ji'xiang'nian 神驹腾跃吉祥年
'shen'qian'jie'neng'cheng'ke'xin 深浅皆能称客心
'shen'zhou'qiao'shou 神州翘首
'sheng'chan'wu'gu'nong'wu'kui 生产五谷农无愧
'sheng'huo'hai'xun'gu'zhi'dui 生活还寻故纸堆
'sheng'nan'yue'sheng 生男曰甥
'sheng'sheng'hu'ru'xi'guang'yin 声声呼汝惜光阴
'sheng'sheng'luan'feng'he'ming 声声鸾凤合鸣
'sheng'yi'xing'long'tong'si'hai 生意兴隆通四海
'sheng'you'chang'lin'ke'xiu'shi'pu 胜友常临可修食谱
'shi'bu'cheng'jia'liao'zi'yu 诗不成家聊自娱
'shi'chi'chun'nuan'ren'yi'yu 石池春暖人宜浴
'shi'er'shi'chen'shou'wan'jian 十二时辰手腕间
'shi'fei'bu'fen 是非不分
'shi'gu'tian'shang'dan'he'shang 师姑田上担禾上
'shi'hui'bu'shi'hui'shi'hui 实惠不实惠实惠
'shi'ji'fang'chun'wan'xiang'xin 时际芳春万象新
'shi'jian'pei'ding'hao'ren 世间配定好人
'shi'jie'wen'nuan'shi'yu'xin 世皆温暖是予心
'shi'kou'xin'si 十口心思
'shi'niang'deng'lou'wang'nan'bei 师娘登楼望南北
'shi'ru'hua'tu'zhong 诗入画图中
'shi'shang'chuang'yi 世上疮痍
'shi'shang'wu'nan'shi'wu'xin'ren'bu'jiu 世上无难事无心人不就
'shi'sheng'tuan'jie'jia'hua'duo 师生团结佳话多
'shi'shi'fei'fei 是是非非
'shi'shi'hao'hao'qi'qi 时时好好奇奇
'shi'si'tu 师司徒
'shi'tou'gen'shi'tou'shi'tou 石头跟石头实头
'shi'tu'di'fang'cheng 是土堤方成
'shi'tu'si'tu 师徒司徒
'shi'wei'min'tian'ji'suo'bu'zu 食为民天济所不足
'shi'yang'fan'jun'duo'liu'yi'lao'shao'ge'sui'shi 式样烦君多留意老少各随时
'shi'yong'nai'wei'yi 适用乃为宜
'shi'yu'run'chun'miao 时雨润春苗
'shi'yue'ming'ri'song'seng'gui'gu'si 诗曰明日送僧归古寺
'shi'zhong'sheng'zhe 诗中圣哲
'shou'zhun'ze'zhi'fa'tie'mian'wu'si 守准则执法铁面无私
'shu'ji'wei'xin 束棘为薪
'shu'lin'han'shu'han'lin'shu 书临汉书翰林书
'shu'qian'nian'wang'shi 数千年往事
'shu'qian'nian'zhi'luan'xing'shuai'dou'gui'da'shou'bi 数千年治乱兴衰都归大手笔
'shu'shan'wan'ren'zhi'neng'pan 书山万仞志能攀
'shu'shang'tong'zi 树上桐子
'shu'sheng'niao'yu'zhu'yin'huai 数声鸟语助吟怀
'shu'shu'liang'liang 暑鼠凉梁
'shu'shu'liang'liang'ke'ke'jing 暑鼠凉梁客咳惊
'shu'tong'mo'mo 书童磨墨
'shu'tuo'shu'sui 鼠拖黍穗
'shu'xia'tong'zi 树下童子
'shu'xiang'jiu'feng'huan'wu'bin 梳襄就风鬟雾鬓
'shu'xiong'xin'gong'ke'ke'xue'bao'lei 树雄心攻克科学堡垒
'shu'ye'yi'cong'qin'xue'shi 术业宜从勤学始
'shu'yi'ban'ku'xiu'zong'fu 树已半枯休纵斧
'shuang'chi'dong'xi'fen'shang'xia 双翅东西分上下
'shuang'mu'cheng'lin 双木成林
'shuang'shou'gai'qi'gao'lou'da'sha 双手盖起高楼大厦
'shuang'zu'ta'bian'di'bei'tian'nan 双足踏遍地北天南
'shui'che'che'shui'shui'sui'che 水车车水水随车
'shui'chong'shi'tou 水冲石头
'shui'ge'dong'wen'ke'geng'duo 水阁冬温客更多
'shui'guo'yu'chuan'chi'su'shu 水国鱼传尺素书
'shui'ji'shi'zhong'quan 水汲石中泉
'shui'leng'sa 水冷洒
'shui'lian'tian'tian'lian'shui 水连天天连水
'shui'liu'dong'po'shi 水流东坡诗
'shui'lu'zhou 水陆洲
'shui'lu'zhou'che'si'tong'ba'da 水陆舟车四通八达
'shui'lv'zhi'ke'guang 水绿织克光
'shui'niu'xia'shui'shui'mei'shui'niu'yao 水牛下水水没水牛腰
'shui'ru'tian 水如天
'shui'shang'yi'ou'you 水上一鸥游
'shui'shi'zhou'liu'zhou'bu'liu 水使舟流洲不流
'si'fang'bin'zhi'ru'gui 四方宾至如归
'si'fo'da'guo'ren 寺佛大过人
'si'geng'xin'shang'tian 思耕心上田
'si'guo'si'jia'si'she'ji 思国思家思社稷
'si'ji'cai'feng'sui'wo'qing 四季财丰遂我情
'si'kou'tong'gu 四口同固
'si'pang'yan'shi 寺旁言诗
'si'qian'xiang'hou 思前想后
'si'ren'mo'dao'shi'jian'wu 斯人莫道世间无
'si'shi'heng'man'jin'yin'qi 四时恒满金银器
'si'shi'hua'niao'zhu'jin'zhen 四时花鸟贮金针
'si'shui'huo'yu'you 死水活鱼游
'si'wei'luo'xi'xi'duo 四维罗夕夕多
'si'xiang'si'you'si'fu'mu 思乡思友思父母
'si'zhou'xiang'dao 四周香稻
'si'zhu'guan'xian'sheng 丝竹管弦声
'song'chuang'you'mi'fang 松窗有秘方
'song'hui'yu'fu 宋挥玉斧
'song'jin'wu'ling'gong'xuan'shi 宋锦吴绫工绚饰
'sou'luo'yi'wei'bei'tian'chu 搜罗异味备天厨
'sui'sui'feng'tiao'yu'shun 岁岁风调雨顺
'sui'yun'hao'mo'ji'yi 虽云毫末技艺
'sui'zi'geng'xin'chun'bu'lao 岁自更新春不老
'sun'chen'jian'di'zou'long'sun 笋沉涧底走龙孙
'suo'qian'li'wei'zhi'chi 缩千里为咫尺
'ta'lou'liang'deng 塔楼亮灯
'ta'po'lei'qiao'san'kuai'shi 踏破磊桥三块石
'tai'ji'liang'yi'sheng'si'xiang 太极两仪生四象
'tai'shang'bing'hua'che 台上冰华澈
'tan'gun'gun'ying'xiong'he'zai 叹滚滚英雄何在
'tang'biao'tie'zhu 唐标铁柱
'tang'tang'tang'ta 汤淌烫塔
'tao'fu'wan'hu'geng'xin 桃符万户更新
'tao'hong'ying'ren'mian 桃红映人面
'tao'hua'yi'hen'san'ceng'lang 桃花已恨三层浪
'tao'huan'li'xiao'chun'man'xiao'yuan 桃欢李笑春满校园
'tao'li'xiao'yan'ying'chun 桃李笑颜迎春
'tao'lue'zhong'xu'hui'xin'tu 韬略终须绘新图
'tao'mei'li'bing'xu'mai'le'zai'lai 桃梅李并蓄买了再来
'tao'sai'zheng'yun'bi'yun'tian 桃腮正晕碧云天
'ti'gao'yi'liao'zhi'liang 提高医疗质量
'ti'guo'shu'cai'jiao'bi'you'fang 替国树才教必有方
'ti'tang'shang'ta 提汤上塔
'tian'jiu'ji'ban'chun'jue 添就几般春绝
'tian'lian'shui'wei'shui'lian'tian 天连水尾水连天
'tian'qi'shui're'tian'cha 添汽水热添茶
'tian'shang'ming'he'yin'zuo'shui 天上明河银作水
'tian'shang'sheng'cheng'ming'zi 天上生成明字
'tian'shang'xing 天上星
'tian'shang'yue'yuan 天上月圆
'tian'sun'yun'jin'huai'guo'yi'guan 天孙云锦槐国衣冠
'tian'tai'di'tai'san'yang'tai 天泰地泰三阳泰
'tian'tian'you'kong'wang'kong'tian 天天有空望空天
'tian'xia'kou'tian'shang'kou 天下口天上口
'tian'xin'ge 天心阁
'tian'ya'yan'ji'hui'wen'zhi 天涯雁寄回纹纸
'tian'zeng'sui'yue'bu'zeng'shou 天增岁月不增寿
'tian'zhong'hao'yue'tai'kong'ming'xing 天中皓月太空明星
'tiao'he'jin'ding'wei'zhong'yan'mei 调和金鼎味重盐梅
'tiao'he'wu'wei 调和五味
'tiao'zhui'bai'xue'yang'chun 调追白雪阳春
'ting'qian'ri'nuan'die'fan'feng 庭前日暖蝶翻风
'tong'er'yan'zhi 统而言之
'tong'ge'xi'dao'ren'jian 同歌喜到人间
'tong'tong'fan'fan'xi'ji'ji 童桶翻饭喜饥鸡
'tong'zi'da'tong'zi 童子打桐子
'tong'zi'da'tong'zi'tong'zi'luo'tong'zi'le 童子打桐子桐子落童子乐
'tong'zi'le 童子乐
'tong'zi'luo 桐子落
'tou'cun'zi'jia'xun'da'xiao'shen'qian'xu'he'yi 头寸自家寻大小深浅须合意
'tu'hao'lie'shen'tu'beng'wa'jie 土豪劣绅土崩瓦解
'tu'si'tu 徒司徒
'tui'hui'lian'jing'fan'xiao'yao 退回莲迳返逍遥
'wa'hu'shui'fei'yao'qing'ke 瓦壶水沸邀清客
'wan'guo'shan'chuan'cang'cai'xian 万国山川藏彩线
'wan'jian'guang'sha'bai'xing'huan'yan 万间广厦百姓欢颜
'wan'li'he'liu'si'li'yuan 万里河流似利源
'wan'li'shan'he'jin'hao'ge 万里山河尽浩歌
'wan'li'sheng'ge'le'tai'ping 万里笙歌乐太平
'wan'lv'chi'hong'fa'gu'xiang 顽绿痴红发古香
'wan'qian'xing'dou'xin'xiong'li 万千星斗心胸里
'wan'qing'qing'sha 万顷晴沙
'wan'shi'sui'yuan'yuan'you'fen 万事随缘缘有份
'wan'shu'xin'sui'chun'shui'liu 万树欣随春水流
'wan'shui'qian'shan'jin'zhao'hui 万水千山尽朝晖
'wan'shui'tong'yin'xing'fu'ge 万水同吟幸福歌
'wan'tiao'jin'lv'dai'chun'yan 万条金缕带春烟
'wan'xia'si'jin 晚霞似锦
'wan'zi'qian'hong'gong'dian'zhui 万紫千红工点缀
'wan'zi'tou 万字头
'wang'chang'jiang'chang'jiang'tian'chang 望长江长江天长
'wang'jiang'liu 望江流
'wang'jiang'lou 望江楼
'wang'jiang'lou'shang'wang'jiang'liu 望江楼上望江流
'wang'tian'kong 望天空
'wang'wang'zai'shang 王王在上
'wei'cai'shi'ju'ti'guo'jin'xian 唯才是举替国进贤
'wei'jiang'shan'ni'xiu'se 为江山溺秀色
'wei'jun'xiu'mei'rong 为君修美容
'wei'kai'bao'xia'si'cang'yun 未开宝匣似藏云
'wei'lie'feng'gong 伟烈丰功
'wei'ren'shi'biao'hui'er'bu'juan 为人师表诲而不倦
'wei'wei'ren 伪为人
'wen'ming'jing'shang'men'ting'ruo'shi'chun'man'dian 文明经商门庭若市春满店
'wen'nuan'wan'ren'xin 温暖万人心
'weng'li'xiang'fu'zhu'ye'qing 瓮里香浮竹叶青
'wu'bai'li'dian'chi 五百里滇池
'wu'di'bu'chun'feng 无地不春风
'wu'gu'feng'deng 五谷丰登
'wu'hu'si'hai'jie'chun'se 五湖四海皆春色
'wu'jia'wang'zi'nong'pi'pa 五家王子弄琵琶
'wu'nei'yuan'wai 屋内员外
'wu'qian'yuan'wai 屋前园外
'wu'ren'gong'san 五人共伞
'wu'se'yan'zheng'jiang'ling'meng 五色艳争江令梦
'wu'shan'de'si'wu'shan'hao 无山得似巫山好
'wu'shi'qi'shi 勿失其时
'wu'shi'xin'zhi'zai'zhi'ge 武士心志在止戈
'wu'suo'shan'tou'shan'suo'wu 雾锁山头山锁雾
'wu'ti'bu'bei'yi'zai'bi'xian 无体不备意在笔先
'wu'xing'se'bei'ru'ren'yi 五行色备如人意
'wu'yi'cha'fa'yi'xiang 武夷茶发异香
'wu'yue'ge'qiu'shan 五岳各丘山
'wu'yue'huang'mei'tian 五月黄梅天
'xi'bao'ying'hong'guang'rong'ren'jia 喜报映红光荣人家
'xi'bao'ying'xiong'men'di 喜报英雄门第
'xi'chun'lin'li'chuan'jie'bao 析春邻里传捷报
'xi'dai'dong'xi'nan'bei'ke 喜待东西南北客
'xi'fu'ti'xi'hu'xi'hu'lou'xi'fu'nu 媳妇提锡壶锡壶漏媳妇怒
'xi'gong'jia'bin'zui'bao 喜供佳宾醉饱
'xi'hu'diao'xi'hu'xi'hu'xi'hu 锡壶掉西湖惜乎锡壶
'xi'kan'qiao'xiang'xi'qi'duo 喜看侨乡喜气多
'xi'kan'san'chun'hua'qian'shu 喜看三春花千树
