'ban'cheng'pin 半成品
'sheng'huo'zi'liao'xiao'shou 生活资料销售
'sheng'ming'biao 生命表
'sheng'yu'chan'pin'jia'zhi'ji'lei'lv 剩余产品价值积累率
'shi'gong'chan'zhi 施工产值
'shi'gong'ji'xie'hua'cheng'du 施工机械化程度
'shi'gong'ji'xie'she'bei'xiao'lv 施工机械设备效率
'shi'gong'xiang'mu 施工项目
'shi'gong'zhuang'pei'hua'cheng'du 施工装配化程度
'shi'ji'gong'zi'zhi'shu 实际工资指数
'shi'wu'chan'pin 实物产品
'shi'wu'gong'cheng'liang 实物工程量
'shi'wu'lao'dong'sheng'chan'lv 实物劳动生产率
'shou'huo'mian'ji 收获面积
'shou'wei'xiang'mu 收尾项目
'shou'yi'fen'pei 收益分配
'shou'zai'mian'ji 受灾面积
'shu'kan'liu'tong'lv'he'yue'du'lv 书刊流通率和阅读率
'shu'li'tong'ji 数理统计
'shu'li'tong'ji'xue'pai 数理统计学派
'shu'liang'zhi'biao 数量指标
'shu'you'guan'dao'dan'xian'li'cheng'he'yan'zhan'li'cheng 输油管道单线里程和延展里程
'shui'li'zi'yuan 水力资源
'shui'yun'chuan'bo'shi'you'shu 水运船舶实有数
'si'liao'bao'chou 饲料报酬
'si'liao'xiao'hao'liang 饲料消耗量
'si'she'liu'ru 四舍六入
'si'wang'gai'lv 死亡概率
'si'wang'lv 死亡率
'si'wang'zhe'de'suan'shu'ping'jun'shou'ming 死亡者的算术平均寿命
'suan'shu'ping'jun'shu 算术平均数
'sui'ji'guo'cheng 随机过程
'tiao'he'ping'jun'shu 调和平均数
'tie'lu'huo'che'ping'jun'jing'zai'zhong 铁路货车平均静载重
'tie'lu'huo'che'ping'jun'zhou'zhuan'shi'jian 铁路货车平均周转时间
'tie'lu'huo'yun'ji'che'ping'jun'ri'chan'liang 铁路货运机车平均日产量
'tie'lu'ji'che'huo'che'ke'che'shi'you'shu 铁路机车货车客车实有数
'tie'lu'ji'che'ping'jun'qian'yin'zong'zhong'yu'zai'zhong 铁路机车平均牵引总重与载重
'tie'lu'jian'zhu'li'cheng 铁路建筑里程
'tie'lu'tong'che'li'cheng 铁路通车里程
'tie'lu'yan'zhan'li'cheng 铁路延展里程
'tie'lu'ying'ye'li'cheng 铁路营业里程
'tong'du'liang'yin'su 同度量因素
'tong'ji 统计
'tong'ji'bao'biao'zhi'du 统计报表制度
'tong'ji'biao 统计表
'tong'ji'diao'cha 统计调查
'tong'ji'diao'cha'fang'an 统计调查方案
'tong'ji'fen'zu'fa 统计分组法
'tong'ji'jia'she'jian'yan 统计假设检验
'tong'ji'jian'du 统计监督
'tong'ji'liang 统计量
'tong'ji'shang'pin'mu'lu 统计商品目录
'tong'ji'tu 统计图
'tong'ji'xue'yuan'li 统计学原理
'tong'ji'yu'ce 统计预测
'tong'ji'zhi'biao 统计指标
'tong'ji'zhi'shu 统计指数
'tong'ji'zong'ti 统计总体
'tu'di'ken'zhi'lv 土地垦殖率
'tu'di'zhan'you'he'tu'di'shi'yong 土地占有和土地使用
'tu'di'zong'mian'ji 土地总面积
'tu'shu'za'zhi'bao'zhi'chu'ban'liang 图书杂志报纸出版量
'tuo'la'ji'chu'qin'lv 拖拉机出勤率
'tuo'la'ji'ping'jun'zuo'ye'liang 拖拉机平均作业量
'tuo'la'ji'shi'jian'li'yong'lv 拖拉机时间利用率
'tuo'la'ji'wan'hao'lv 拖拉机完好率
'wei'sheng'gong'zuo'ren'yuan'shu 卫生工作人员数
'wei'sheng'shi'ye'ji'gou'shu 卫生事业机构数
'wei'wan'gong'cheng'zhan'yong'lv 未完工程占用率
'wen'ding'ren'kou 稳定人口
'wen'jiao'ti'wei'tong'ji 文教体卫统计
'wen'jiao'wei'sheng'tong'ji 文教卫生统计
'wen'mang'lv 文盲率
'wu'jia'lei'zhi'shu 物价类指数
'wu'jia'tong'ji 物价统计
'wu'jia'zhi'shu 物价指数
'wu'jia'zhi'shu'de'zhang'die'lv'he'zhang'die'gou'cheng 物价指数的涨跌率和涨跌构成
'wu'jia'zong'zhi'shu 物价总指数
'wu'zhi'sheng'chan'ling'yu'yu'fei'wu'zhi'sheng'chan'ling'yu 物质生产领域与非物质生产领域
'wu'zi'bo'chu'liang 物资拨出量
'wu'zi'gong'huo'liang 物资供货量
'wu'zi'gong'ying'tong'ji 物资供应统计
'wu'zi'ku'cun'liang 物资库存量
'wu'zi'li'yong'lv 物资利用率
'wu'zi'shi'yong'liang 物资使用量
'wu'zi'shou'ru'liang 物资收入量
'wu'zi'tong'ji 物资统计
'wu'zi'tong'ji'mu'lu 物资统计目录
'wu'zi'tong'ji'ping'heng'biao 物资统计平衡表
'wu'zi'xiao'fei'liang 物资消费量
'wu'zi'xiao'hao'liang 物资消耗量
'wu'zi'xiao'shou'liang 物资销售量
'wu'zi'zhi'da'gong'huo'he'zhong'zhuan'gong'huo 物资直达供货和中转供货
'wu'zi'zi'yuan'liang 物资资源量
'wu'zi'zong'he'li'yong'lv 物资综合利用率
'xian'cai'jia'ge'zhi'shu 鲜菜价格指数
'xian'you'ren'kou 现有人口
'xiang'dui'zhi'biao 相对指标
'xiang'guan'fen'xi 相关分析
'xiang'guan'xi'shu 相关系数
'xu'chan'pin'chan'liang 畜产品产量
'xu'jia'gou'mai'li 虚假购买力
'xu'shi'ping'jun'shu 序时平均数
'xue'ling'er'tong'ru'xue'lv 学龄儿童入学率
'yang'ben'rong'liang 样本容量
'yang'zhi'mian'ji 养殖面积
'yi'ban'sheng'yu'lv 一般生育率
'yi'dong'ping'jun'shu'fa 移动平均数法
'yi'yuan'chuang'wei'shu 医院床位数
'yi'yuan'xian'xing'hui'gui 一元线性回归
'ying'er'si'wang'lv 婴儿死亡率
'you'dian'jing'chan'zhi 邮电净产值
'you'dian'ju'suo'shu 邮电局所数
'you'dian'ye'wu'liang 邮电业务量
'you'dian'zeng'jia'zhi 邮电增加值
'you'dian'zong'chan'zhi 邮电总产值
'you'lu'ji'you'lu'chang'du 邮路及邮路长度
'you'yi'yi'shu'zhi'ji'shu'fa 有意义数值计数法
'yu'ye'chan'liang 渔业产量
'yuan'jia'she'yu'bei'ze'jia'she 原假设与备择假设
'yun'shu'jing'chan'zhi 运输净产值
'yun'shu'wang'mi'du 运输网密度
'yun'shu'xi'shu 运输系数
'yun'shu'you'dian'tong'ji 运输邮电统计
'yun'shu'zeng'jia'zhi 运输增加值
'yun'shu'zong'chan'zhi 运输总产值
'zai'ye'ren'kou'wen'hua'cheng'du'bi'zhong 在业人口文化程度比重
'zai'zhi'pin 在制品
'zao'lin'mian'ji 造林面积
'zeng'zhang'su'du 增长速度
'zhe'jiu'bu'chang'lv 折旧补偿率
'zhe'jiu'ji'lei'e 折旧积累额
'zhe'jiu'ji'lei'lv 折旧积累率
'zhe'jiu'tou'zi'bi'zhong 折旧投资比重
'zhe'jiu'tou'zi'lv 折旧投资率
'zheng'qun'chou'yang 整群抽样
'zheng'tai'fen'bu 正态分布
'zheng'zhi'suan'shu'xue'pai 政治算术学派
'zhi'biao'ti'xi 指标体系
'zhi'gong'ren'shu 职工人数
'zhi'ye'bing'fa'bing'lv 职业病发病率
'zhong'dian'diao'cha 重点调查
'zhong'guo'tong'ji'xue'hui 中国统计学会
'zhong'shen'sheng'yu'lv 终身生育率
'zhong'shu 众数
'zhong'wei'shu 中位数
'zhu'yao'chan'pin'dan'wei'cheng'ben'ji'hua'wan'cheng'cheng'du 主要产品单位成本计划完成程度
'zhu'yao'she'bei'wan'hao'lv 主要设备完好率
'zhu'yao'xiao'fei'pin'chan'xiao'ping'heng'biao 主要消费品产消平衡表
'zhu'yao'xiao'fei'pin'she'hui'ling'shou'liang 主要消费品社会零售量
'zi'jin'li'run'lv 资金利润率
'zi'jin'li'shui'lv 资金利税率
'zi'ran'bao'hu'qu'mian'ji 自然保护区面积
'zi'ran'zi'yuan'tong'ji 自然资源统计
'zong'he'ping'heng'tong'ji 综合平衡统计
'zong'he'sheng'yu'lv 总和生育率
'zong'he'zhi'liang'xi'shu 综合质量系数
'zong'he'zhi'shu 综合指数
'zong'liang'zhi'biao 总量指标
'zong'zhi'shu'he'ge'ti'zhi'shu 总指数和个体指数
'zui'xiao'er'cheng'fa 最小二乘法
