'a'er'bo'te'shi'huai'zhe 阿尔伯特史怀哲
'shei'yu'gui 谁与归
'shen'gong 神宫
'shen'guan'zhang 神官长
'shen'ji 神籍
'shen'ji 神迹
'shen'jie 神界
'shen'jun 神君
'shen'li 神力
'shen'ling'bing 沈凌冰
'shen'nong'ding 神农鼎
'shen'nv 神女
'shen'shi 神识
'shen'shou 神兽
'shen'zai'he'fang 身在何方
'shen'zhi'cao 神芝草
'shen'zu 神族
'shen'zun 神尊
'sheng'fang 生方
'sheng'fang'yan'shui'yu 生方炎水玉
'sheng'jie'yi'du'qing'jie'nan'le 生劫易渡情劫难了
'sheng'jun 圣君
'sheng'si'jie 生死劫
'sheng'si'ren 生死人
'sheng'xiao'mo 笙箫默
'shi'chong'tian 十重天
'shi'e'lian'hua'jing 十恶莲花境
'shi'fang 逝方
'shi'fang'shen'qi 十方神器
'shi'fang'shuan'tian'lian 逝方拴天链
'shi'gu'chang'liu 蚀骨长留
'shi'hu 狮虎
'shi'li'tao'hua'lin 十里桃花林
'shi'li'tao'lin 十里桃林
'shi'lian 试炼
'shi'liu'fang'shen'qi 十六方神器
'shi'ren'hua 食人花
'shi'shui'feng'yan 释水封焰
'shi'wo'wu'fa'ge'she'de'mai'bo 是我无法割舍的脉搏
'shi'xian'ban 十仙班
'shi'xiong 湿兄
'shi'ye 是夜
'shi'yi'shi'xiong 十一师兄
'shi'yue'an'xin 石悦安鑫
'shi'zhang'hong'chen 十丈红尘
'shi'zi'ren'dai 十字韧带
'shi'zu 氏族
'shi'zu'nv'shen 始祖女神
'shi'zun 世尊
'shou'zhong'xian'e 守钟仙娥
'shu'hui'ni'suo'you'lei'guang 赎回你所有泪光
'shu'shan 蜀山
'shu'shan'jian'fa 蜀山剑法
'shuan'tian'lian 拴天链
'shuang'chong'er'lei 双重饵雷
'shuang'song 双宋
'shui'dian'xiang'si 谁点相思
'shui'jing'gong 水晶宫
'shui'lian'dong 水帘洞
'shui'zhao'ze 水沼泽
'shui'zhong'tao'hua 谁种桃花
'shuo'bu'qing'hui'guo 说不清悔过
'shuo'feng 朔风
'shuo'guan'niang 硕官娘
'shuo'yue 烁月
'si'da'xiong'shou 四大凶兽
'si'dian'xia 四殿下
'si'fang 死方
'si'fang'min'sheng'jian 死方悯生剑
'si'ge 四哥
'si'hai'ba'huang 四海八荒
'si'hai'shui'jun 四海水君
'si'huang'jing 四荒经
'si'ji'cui 四极摧
'si'ji'guo 四季果
'si'ji'shu 四季树
'si'jiu 四舅
'si'kong'po'yue 司空破玥
'si'ming 司命
'si'ming'xing'jun 司命星君
'si'mo'wen'guan 司墨文官
'si'mu 思慕
'si'nian'zai'yi'shun'jian'sheng'zhang 思念在一瞬间生长
'si'pin 思颦
'si'shu 四叔
'si'wang'shang'ren 死亡商人
'si'xing'he 思行河
'si'xiong'shou 四凶兽
'si'yin 司音
'song'cheng'jie'dao 宋城街道
'song'hai'xie 宋海颉
'song'hui'qiao 宋慧乔
'song'li'shan 松砺山
'song'shu'jing 松树精
'song'yuan'zhen 宋元贞
'song'zhong'ji 宋仲基
'su'jie 宿劫
'su'jin 素锦
'su'jin'tian'fei 素锦天妃
'su'mo'ye 苏陌叶
'su'rui 苏蕊
'su'shang'qing 苏尚卿
'su'su 素素
'su'yun'fan 苏云凡
'sui'yue'gai'ru'he'an'fang 岁月该如何安放
'sun'jiao'long 孙蛟龙
'suo'xin'yu 锁心玉
'suo'yao'ta 锁妖塔
'ta'li'ban 塔利班
'tai'bai'bu'dui 太白部队
'tai'bai'men 太白门
'tai'bai'shan 太白山
'tai'chen'gong 太晨宫
'tai'qing 太清
'tai'shang'lao'jun 太上老君
'tai'shang'zhen'ren 太上真人
'tai'zi'ce'fei 太子侧妃
'tai'zi'dian'xia 太子殿下
'tai'zi'fu 太子府
'tan'ai 贪爱
'tan'fan'shang'xian 檀凡上仙
'tan'fan'shang'xian 檀梵上仙
'tan'lan'chi 贪婪池
'tan'lan'dian 贪婪殿
'tan'xuan 谭旋
'tang'bao 糖宝
'tang'bao'bao 糖宝宝
'tang'bao'tang'bao'bao 糖宝糖宝宝
'tang'qi 唐七
'tang'qi'gong'zi 唐七公子
'tang'shui'yu 汤水雨
'tang'yan 唐嫣
'tao'hua'cun 桃花村
'tao'hua'geng 桃花羹
'tao'hua'ji 桃花祭
'tao'hua'piao'luo'an'xiang'cang'ku'se 桃花飘落暗香藏苦涩
'tao'hua'shan 桃花扇
'tao'mu'jian 桃木剑
'tao'tie 饕餮
'tao'weng 桃翁
'tao'wu 梼杌
'tao'zhu'jian 陶铸剑
'te'zhan'bu'dui 特战部队
'tian'di 天帝
'tian'di'gong'zhu 天地共主
'tian'di'lie 天地裂
'tian'di'liu'jie 天地六界
'tian'di'tong'bei 天地同悲
'tian'di'zhi'zhu 天地之主
'tian'en 天恩
'tian'er 天儿
'tian'fang 天方
'tian'fang'zhe'xian'san 天方谪仙伞
'tian'fei 天妃
'tian'gong 天宫
'tian'hai'wu'bei 天海无贝
'tian'hou 天后
'tian'hu 天狐
'tian'ji'mi'lu'geng 天机蜜露羹
'tian'jie 天劫
'tian'jie'chu'jun 天界储君
'tian'jing'di'qi 天精地气
'tian'jun 天君
'tian'lei 天雷
'tian'lei'zhi'jie 天雷之劫
'tian'ming 天命
'tian'ming'shi'pi 天命石批
'tian'na 田娜
'tian'shan 天山
'tian'shu 天数
'tian'shu 天枢
'tian'shui'di 天水滴
'tian'sun 天孙
'tian'tai'wen 天台吻
'tian'xi'chen 天熙晨
'tian'zu 天族
'tiao'fu 调伏
'tie'xue'jing'cheng 铁血精诚
'ting'feng'sheng'zai'sha'sha'zuo'xiang 听风声在沙沙作响
'tong'jing 铜镜
'tou'hu'jing 头虎精
'tu'er 徒儿
'tuan'zi 团子
'tuo'ba'han 拓跋翰
'tuo'ba'jun 拓跋浚
'tuo'ba'yu 拓跋余
'wan'fu'gong 万福宫
'wan'ren'mi 万人迷
'wan'xi 皖汐
'wan'xian'ji'lu 万仙辑录
'wan'xuan 晚玄
'wan'yao 万妖
'wan'zi'ling 万紫玲
'wang'bin 王斌
'wang'chuan'he 忘川河
'wang'dong'hong 王冬红
'wang'du 王都
'wang'fang 望方
'wang'fang'bu'gui'yan 望方不归砚
'wang'jian 王剑
'wang'jin'qian'chen 忘尽前尘
'wang'le'zui'le 忘了醉了
'wang'liang'sen'lin 魍魉森林
'wang'qing'shui 忘情水
'wang'ruo'lin 王若麟
'wang'ting 王汀
'wang'xi'chen 望兮臣
'wang'xi'ri 王昔日
'wang'xiao 王骁
'wang'xiu'zhu 王秀竹
'wang'you'san 忘忧散
'wang'zu'mu 王祖母
'wei'bing 魏兵
'wei'chao 魏超
'wei'guo'liu'zhen'bing'bei'fang'shou'tu 魏国六镇兵备防守图
'wei'guo'shang'shu 魏国尚书
'wei'shu 未书
'wen'feng'yu 温丰予
'wen'jing'cao 问荆草
'wen'nuan'bi'an 温暖彼岸
'wen'tian 文恬
'wen'zhang'men 温掌门
'wo'bu'jin'na'duan'guo'wang 握不紧那段过往
'wo'kan'jian'ni'zai'deng'wo 我看见你在等我
'wo'pei'ni'meng'yi'chang 我陪你梦一场
'wo'xi'huan'ni'hao'jiu'le 我喜欢你好久了
'wo'yan'qian'de'lei'ban'bo 我眼前的泪斑驳
'wu'cai'niao 五彩鸟
'wu'da'miao'shu 五大妙树
'wu'da'shang'xian 五大上仙
'wu'di'tai'bai'men 无敌太白门
'wu'fang'wu'di 五方五帝
'wu'gou 无垢
'wu'gou'shang'xian 无垢上仙
'wu'huang'wu'di 五荒五帝
'wu'ji'bai'feng'wan 乌鸡白凤丸
'wu'jian'hao 吴建豪
'wu'jin'dian 五金店
'wu'lai 无赖
'wu'lu'ke 乌鲁克
'wu'qing'luo 舞青萝
'wu'shang'xian 五上仙
'wu'sheng'yuan'qian'chen 吾生愿牵尘
'wu'wang'dian 无妄殿
'wu'yan'xiao 乌咽萧
'wu'you 无忧
'wu'yu'jue 吴雨珏
'xi'chao 熙朝
'xi'fang 西方
'xi'fang'fan'jing 西方梵境
'xi'fang'fu'chen'zhu 西方浮沉珠
'xi'hai'da'huang'zi 西海大皇子
'xi'hai'shui'jun 西海水君
'xi'hai'wang'hou 西海王后
'xi'na 吸纳
'xi'ri'zhan'you 昔日战友
'xi'shu 西蜀
'xi'tian'fan'jing 西天梵境
'xi'wu'gong 洗梧宫
'xi'xi 昔夕
'xi'ze 息泽
'xi'ze'shen'jun 息泽神君
'xia'fan 下凡
'xia'jie 下界
'xia'qi'yuan 夏祈鸢
'xia'xiao'qian 夏小浅
'xia'zi'xun 夏紫薰
'xian'bi 仙婢
'xian'dan 仙丹
'xian'e 仙娥
'xian'fei 贤妃
'xian'ge 仙格
'xian'gu 仙骨
'xian'hu 仙狐
'xian'ji 仙籍
'xian'jian'da'hui 仙剑大会
'xian'jie 仙界
'xian'li 仙力
'xian'qi 仙气
'xian'ren 仙人
'xian'shi 仙逝
'xian'tai 仙胎
'xian'xia'qi'yuan'zhi'hua'qian'gu 仙侠奇缘之花千骨
'xian'xia'xing 仙侠行
'xian'yuan 仙缘
'xian'ze 仙泽
'xian'zhang 仙障
'xian'zhe 仙者
'xian'zu 仙族
'xian'zun 仙尊
'xiang'li'a'lan're 相里阿兰若
'xiang'li'he 相里贺
'xiang'li'meng 相里萌
'xiang'li'que 相里阕
'xiang'li'yin 相里殷
'xiang'qi'jiu'shi'de'ni'wo 想起旧时的你我
'xiang'qi'ni'lei'hua'luo 想起你泪滑落
'xiang'si'nan'she 相思难舍
'xiang'xiang 香香
'xiang'yun 祥云
'xiao'ao'jiang'hu'lu 笑傲江湖路
'xiao'bai 小白
'xiao'bu'dian 小不点
'xiao'chao'huang'hua'xin 小炒黄花心
'xiao'dong'huang 小东皇
'xiao'gu 小骨
'xiao'hun'dian 销魂殿
'xiao'hun'ding 销魂钉
'xiao'jiu 小九
'xiao'li 小梨
'xiao'mo'yan 小莫妍
'xiao'qian 小浅
'xiao'shi'qi 小十七
'xiao'shu 小叔
'xiao'shu'fu 小叔父
'xiao'tian'sun 小天孙
'xiao'tou'mu 小头目
'xiao'wu 小五
'xiao'xi 筱希
'xiao'ya'tou 小丫头
'xiao'ye'hua 小夜华
'xie'gu'chou 谢孤栦
'xie'lan 斜栏
'xin'dong'de'na'yi'ke 心动的那一刻
'xin'er 心儿
'xin'nu 辛奴
'xin'shang'shui'feng'he 心伤谁缝合
'xin'sui'dao'nai'he 心碎到奈何
'xin'tou'xue 心头血
'xin'zhi'huo 心之火
'xing'hun 幸魂
'xiu'mu'qing'liu 朽木清流
'xiu'wei 修为
'xiu'xian'pin'ji 修仙品级
'xu'da'rong 徐大荣
'xu'ding 墟鼎
'xu'dong 墟洞
'xu'hai'qiao 徐海乔
'xu'jia'qi 徐佳琦
'xu'yang 煦旸
'xu'yu'de'nian'feng'gan'lei'hen 须臾的年风干泪痕
'xuan'jing'jia 玄晶甲
'xuan'nv 玄女
'xuan'nv'niang 玄女娘
'xuan'se'yi'pao 玄色衣袍
'xuan'tian'san 玄天伞
'xuan'xiao'ming 宣晓鸣
'xuan'ya'tuo'xian 悬崖脱险
'xuan'yuan'jian 轩辕剑
'xuan'yuan'lang 轩辕朗
'xuan'zhen'chi 玄镇尺
'xuan'zhi'mo'jun 玄之魔君
'ya'gou'fu'fu 牙垢夫妇
'ya'tou 丫头
'ya'zi'shou 睚眦兽
'yan'chi'wu 燕池悟
'yan'dao 衍道
'yan'fu'ti 阎浮提
'yan'lan 湮岚
'yan'meng'meng 阎萌萌
'yan'sheng'shi 验生石
'yan'shui'yu 炎水玉
'yan'ting'sha 雁停沙
'yan'ting'sha 雁庭沙
'yan'yue 彦月
'yan'zhi 胭脂
'yang'an'qi 杨安琪
'yang'bing'xin 杨炳新
'yang'cuo 央错
'yang'mi 杨幂
'yang'shuo 杨烁
'yang'tian'xiang 杨天翔
'yang'wei'dong 杨伟东
'yang'yang 杨洋
'yang'zong'wei 杨宗纬
'yao'chi 瑶池
'yao'guang 瑶光
'yao'guang'xian'bi'jia 瑶光仙婢甲
'yao'guang'xian'bi'yi 瑶光仙婢乙
'yao'hu 妖狐
'yao'hun 妖魂
'yao'jie 妖界
'yao'jun 药君
'yao'li 妖力
'yao'mo'dian 妖魔殿
'yao'nv 妖女
'yao'shen 妖神
'yao'shen'chu 妖神出
'yao'shen'dian 妖神殿
'yao'shen'zhi'li 妖神之力
'yao'shou 妖兽
'yao'wang 药王
'yao'xiao'bao 姚小宝
'yao'zun 妖尊
'ye'ceng'bin'wei'shuang 也曾鬓微霜
'ye'ceng'yin'ni'hui'guang 也曾因你回光
'ye'hua 夜华
'ye'hua'ce'fei 夜华侧妃
'ye'hua'jun 夜华君
'ye'huo 业火
'ye'ming'zhu 夜明珠
'ye'qing'ti 叶青缇
'ye'shi'han 叶诗涵
'ye'xiao'zu 夜枭族
'ye'xin'yu 叶新宇
'ye'xu'mei'you'jie'guo 也许没有结果
'yi'bu'bu'dou'pei'ni'tong'wang 一步步都陪你同往
'yi'chen 以晨
'yi'dang'shi'nian'hua 忆当时年华
'yi'duo'yi'fang'xin'shang 一朵已放心上
'yi'fang'hua'ze 一方华泽
'yi'guan'zhong 衣冠冢
'yi'ji'fang'yu'jing'bao 一级防御警报
'yi'jie 奕杰
'yi'jun 翼君
'yi'ke'xin'wei'shui'ben'mang 一颗心为谁奔忙
'yi'meng'fu'sheng 一梦浮生
'yi'shen'shu 遗神书
'yi'shi'san'tian'tai'chen'gong 一十三天太晨宫
'yi'suo'yan'yu 一蓑烟雨
'yi'wang'feng'yue 一望风月
'yi'wei'fang'xia'le 以为放下了
'yi'wu'er 伊舞儿
'yi'xi'feng'yue 一溪风月
'yi'xiang 异香
'yi'xiu'ge 异朽阁
'yi'xiu'ge'ge'zhu'yi'xiu'jun 异朽阁阁主异朽君
'yi'xiu'ge'zhu 异朽阁主
'yi'xiu'jun 异朽君
'yi'yu'xi 伊宇曦
'yi'zu 异族
'yi'zu 翼族
'yin'hong'yuan 尹洪渊
'yin'ji'jun 尹吉俊
'yin'long 银龙
'yin'mei'lai 尹美莱
'yin'ming'zhu 尹明珠
'yin'qiang 尹强
'yin'shang'piao 尹上飘
'yin'shui'zhu 银水珠
'ying'jiu 樱九
'ying'ruo 樱若
'ying'tao 应陶
'ying'ting'xian'ge 樱听弦歌
'you'ji'pian'ying'si'hong'nian 犹记翩影似鸿年
'you'jian'shu'xia'yi'zhan'feng'cun 又见树下一盏风存
'you'ruo 幽若
'you'wen'qin'xiang 又闻琴香
'you'you'sui'yue'man'chang 悠悠岁月漫长
'you'zhou 幽州
'yu'chi 愚痴
'yu'cui'hua 余翠华
'yu'feng 御风
'yu'gun'gun'xue'man'man 雨滚滚雪漫漫
'yu'hua 羽化
'yu'jian 御剑
'yu'jue 玉玦
'yu'meng'long 于朦胧
'yu'ni'meng'ban'de'xie'hou 与你梦般的邂逅
'yu'ni'tian'di'jian'chang'yang 与你天地间徜徉
'yu'qin'lei'niao 羽禽类鸟
'yu'qing'kun'lun'shan 玉清昆仑扇
'yu'rong'gao 玉容膏
'yu'wen'tao 虞文涛
'yu'xian 雨仙
'yu'xuan'hong'hao 于轩鸿灏
'yu'zhi'mei 俞志梅
'yu'zhuo'feng 玉浊峰
'yu'zi'kuan 于子宽
'yuan'gu'hong'huang 远古洪荒
'yuan'gu'shang'shen 远古上神
'yuan'gu'shen'qi 远古神祇
'yuan'gu'shen'zu 远古神族
'yuan'gu'yao'di 远古妖帝
'yuan'gu'zhong'shen 远古众神
'yuan'ji'gong 元极宫
'yuan'ping'xin 远平新
'yuan'qi 元气
'yuan'shen 元神
'yuan'shen'ju'hui 元神俱毁
'yuan'shi'tian'zun 元始天尊
'yuan'zhen 元贞
'yuan'zhi'shou'bai'tou 愿执手白头
'yue'fu'ren 越夫人
'yue'luo'wu'ti 月雒乌啼
'yue'ran'liang'shi'li'ye'se 月染亮十里夜色
'yue'xiang'wang'ji'yue'shen'ke 越想忘记越深刻
'yun'duan 云端
'yun'gong 云宫
'yun'sheng 云生
'yun'ya 云牙
'yun'yi 云翳
'yun'yin 云隐
'yun'zhuang'xian'bo 耘庄仙伯
'zai'shui'yi'fang 在水一方
'zao'hua 造化
'zao'jiao'xue 皂角靴
'zen'neng'lang'fei'shi'guang 怎能浪费时光
'zha'jin'suo'si 扎金索斯
'zhan'xin'shi 占心师
'zhan'zhuan'wei'ni'zhi'zhuo 辗转为你执着
'zhang'ai 张艾
'zhang'bi'chen 张碧晨
'zhang'bin'bin 张彬彬
'zhang'chao 张超
'zhang'dan'feng 张丹峰
'zhang'fan 张帆
'zhang'gong 张弓
'zhang'he 张赫
'zhang'jie 张杰
'zhang'le'si'zhan 掌乐司战
'zhang'men'gong'yu 掌门宫羽
'zhang'ran'yi 张冉怡
'zhang'wei 张伟
'zhang'wei'shan 章尾山
'zhang'wen'jun 张文俊
'zhang'xin'rong 张辛荣
'zhang'yao'han 张遥函
'zhang'yi'han 张艺瀚
'zhang'you'hao 张宥浩
'zhang'zhe 张喆
'zhang'zhi'yao 张智尧
'zhao'ge 照歌
'zhao'hun'shu 招魂术
'zhao'hun'zhen 招魂阵
'zhao'li'ying 赵丽颖
'zhao'ren'gong'zhu 昭仁公主
'zhao'tai'guan 赵太官
'zhao'xin'huan 赵新环
'zhao'yan'song 赵岩松
'zhao'yao'shan 招摇山
'zhao'yi 赵毅
'zhao'yi'fang 赵依芳
'zhao'yi'niang'niang 昭仪娘娘
'zhao'you'ting 赵又廷
'zhe'nian 折念
'zhe'san'shi'you'duo'chang 这三世有多长
'zhe'shan 折扇
'zhe'xian'san 谪仙伞
'zhe'yan 折颜
'zhe'yan'shang'shen 折颜上神
'zhe'yi'hai'xin'mang'mang 这一海心茫茫
'zhe'yi'lu'you'duo'yuan 这一路有多远
'zhen'feng'xiang'dui 针锋相对
'zhen'ren 真人
'zhen'xin'wu'fa'su'shuo 真心无法诉说
'zhen'zhen 真真
'zheng'yi'de'bao'li 正义的暴力
'zhi'he 知鹤
'zhi'he'gong'zhu 知鹤公主
'zhi'jing'fang 制镜房
'zhi'nang'zhong'ji 智囊仲基
'zhi'shou'dao'di'lao'tian'huang 执手到地老天荒
'zhi'wei 知微
'zhi'yu'xi'luo'man'shi 治愈系罗曼史
'zhi'yuan'wei'ni'san'sheng'chi'kuang 只愿为你三生痴狂
'zhi'yue 织越
'zhong'ji'ou'ba 仲基欧巴
'zhong'lin 重霖
'zhong'she'zhi'huang 众蛇之皇
'zhong'shen'zhi'shou 众神之首
'zhou'shi 周氏
'zhu'ran 竹染
'zhu'xian'tai 诛仙台
'zhu'xian'zhu 诛仙柱
'zhu'xu'dan 祝绪丹
'zhua'zhua 爪爪
'zhuo'shao'zhe'wo'de'xiong'tang 灼烧着我的胸膛
'zhuo'xi 浊息
'zhuo'zhuo'tao'hua'liang 灼灼桃花凉
'zi'chen'dian 紫宸殿
'zi'hua 子画
'zi'jin'guan 紫金冠
'zi'jin'hua'yuan 紫禁花园
'zi'lan 子阑
'zi'ming'gong 紫明宫
'zi'xun 紫熏
'zi'xun'qian'xia 紫薰浅夏
'zi'xun'shang'xian 紫薰上仙
'zi'xun'shang'xian'dong'hua'shang'xian 紫熏上仙东华上仙
'zi'xun'xian'zi 紫熏仙子
'zi'yan 紫烟
'zi'zhu'yuan 紫竹苑
'zui'lan'yi 醉澜依
'zui'wo'shi'li'tao'lin 醉卧十里桃林
'zun'shang 尊上
