'a'can 阿餐
'jie'du'guan'cha'liu'hou 节度观察留后
'jie'du'guan'cha'zhi'shi 节度观察支使
'jie'du'liu'hou 节度留后
'jie'du'mu'fu'cong'shi 节度幕府从事
'jie'du'pan'guan 节度判官
'jie'du'shi 节度使
'jie'du'shi'cong'shi 节度使从事
'jie'du'shi'kai'fu'yi'tong'san'si 节度使开府仪同三司
'jie'du'shi'mu'zuo 节度使幕佐
'jie'du'shi'pan'guan 节度使判官
'jie'du'shi'tong'zhong'shu'men'xia'ping'zhang'shi 节度使同中书门下平章事
'jie'du'shi'tui'guan 节度使推官
'jie'du'shi'xing'jun'si'ma 节度使行军司马
'jie'du'shi'xun'guan 节度使巡官
'jie'du'shi'zhang'shu'ji 节度使掌书记
'jie'du'tui'guan 节度推官
'jie'du'ya'ya 节度押衙
'jie'fu 节妇
'jie'yu 婕妤
'jie'zhi'jun'ma 节制军马
'jin'bu'lang'zhong 金部郎中
'jin'bu'si'lang'guan 金部司郎官
'jin'bu'yuan'wai'lang 金部员外郎
'jin'shi 近侍
'jin'wu'da'jiang'jun 金吾大将军
'jin'wu'jiang'jun 金吾将军
'jin'wu'wei'zhang'shi 金吾卫长史
'jin'wu'xiao'wei 进武校尉
'jin'yi'wei'bai'hu 锦衣卫百户
'jin'yi'wei'dou'zhi'hui'tong'zhi 锦衣卫都指挥同知
'jin'yi'wei'fu'qian'hu 锦衣卫副千户
'jin'yi'wei'zheng'qian'hu 锦衣卫正千户
'jin'yi'wei'zhi'hui'qian'shi 锦衣卫指挥佥事
'jin'yi'wei'zhi'hui'shi 锦衣卫指挥使
'jin'zi'guang'lu'dai'fu 金紫光禄大夫
'jing'fu'zuo'jun'xun'pan'guan 京府左军巡判官
'jing'ku'da'shi 京库大使
'jing'li 经历
'jing'lue'an'fu'shi 经略安抚使
'jing'lue'an'fu'shi'si'guan'gou'zhu'guan'ji'yi'wen'zi 经略安抚使司管勾主管机宜文字
'jing'lue'an'fu'si'can'yi'guan 经略安抚司参议官
'jing'lue'an'fu'si'gan'ban'gong'shi 经略安抚司干办公事
'jing'lue'an'fu'yan'bian'zhao'tao'shi 经略安抚沿边招讨使
'jing'lue'fu'shi 经略副使
'jing'lue'pan'guan 经略判官
'jing'lue'shi 经略使
'jing'yan'jian'tao 经筵检讨
'jiu'pin'san'guan 九品散官
'jiu'si'wu'jian 九寺五监
'ju'da'shi 局大使
'jun'bie'jia 郡别驾
'jun'bo 郡伯
'jun'bo'shi 郡博士
'jun'cheng 郡丞
'jun'dou'yu'hou 军都虞候
'jun'du'zhi'hui'shi 军都指挥使
'jun'fu'ren 郡夫人
'jun'fu'shi 军副使
'jun'gong 郡公
'jun'hu'cao'yuan 郡户曹掾
'jun'hu'yuan 郡户掾
'jun'jiang 军将
'jun'jun 郡君
'jun'kai'guo'gong 郡开国公
'jun'kai'guo'hou 郡开国侯
'jun'min'zhao'fu'shi 军民招抚使
'jun'qi'jian'cheng 军器监丞
'jun'qi'jian'jian 军器监监
'jun'qi'jian'shao'jian 军器监少监
'jun'qi'jian'zhu'bu 军器监主簿
'jun'qi'ku'shi 军器库使
'jun'shi 军使
'jun'shi'pan'guan 军事判官
'jun'shi'tui'guan 军事推官
'jun'shou 郡守
'jun'si'fa'can'jun 郡司法参军
'jun'si'gong'can'jun 郡司功参军
'jun'si'hu'can'jun 郡司户参军
'jun'si'ma 军司马
'jun'si'ma 郡司马
'jun'tai'fu'ren 郡太夫人
'jun'tai'jun 郡太君
'jun'tong'shou 郡通守
'jun'wang 郡王
'jun'wang'fu'jiao'shou 郡王府教授
'jun'zhang'shi 郡长史
'jun'zheng 郡正
'jun'zhu 郡主
'jun'zuo'ya'ya 军左押衙
'kai'feng'fu'shao'yin 开封府少尹
'kai'feng'fu'si'lu'can'jun'shi 开封府司录参军事
'kai'feng'fu'tui'guan 开封府推官
'kai'feng'fu'yin 开封府尹
'kai'fu 开府
'kai'fu'yi'tong'san'si 开府仪同三司
'kai'guo'bo 开国伯
'kai'guo'gong 开国公
'kai'guo'nan 开国男
'kao'gong'lang'zhong 考功郎中
'kao'gong'si'lang'guan 考功司郎官
'kao'gong'yuan'wai'lang 考功员外郎
'kao'shi'guan 考试官
'ke'ji'shi'zhong 科给事中
'ke'ji'yuan 课绩院
'kong'he'jian 控鹤监
'kong'he'nei'gong'feng 控鹤内供奉
'ku'bu'lang'zhong 库部郎中
'ku'bu'si'lang'zhong 库部司郎中
'ku'bu'si'yuan'wai'lang 库部司员外郎
'ku'bu'yuan'wai'lang 库部员外郎
'kui'zhang'ge'jian'shu'bo'shi 奎章阁鉴书博士
'kui'zhang'ge'xue'shi'yuan'da'xue'shi 奎章阁学士院大学士
'lang'guan 郎官
'lang'jiang 郎将
'lang'zhong 郎中
'li'bin'fu'shi 礼宾副使
'li'bin'shi 礼宾使
'li'bu 吏部
'li'bu 礼部
'li'bu'guan'zheng 吏部观政
'li'bu'guan'zheng 礼部观政
'li'bu'lang'guan 吏部郎官
'li'bu'lang'guan 礼部郎官
'li'bu'lang'zhong 吏部郎中
'li'bu'lang'zhong 礼部郎中
'li'bu'ru'shi 礼部儒士
'li'bu'shang'shu 吏部尚书
'li'bu'shang'shu 礼部尚书
'li'bu'shi'lang 吏部侍郎
'li'bu'shi'lang 礼部侍郎
'li'bu'shi'lang'zuo'you'xuan 吏部侍郎左右选
'li'bu'si'lang'guan 吏部司郎官
'li'bu'si'lang'guan 礼部司郎官
'li'bu'si'wu 礼部司务
'li'bu'you'shi'lang 吏部右侍郎
'li'bu'you'shi'lang 礼部右侍郎
'li'bu'you'xuan'shi'lang 吏部右选侍郎
'li'bu'yuan'wai'lang 吏部员外郎
'li'bu'yuan'wai'lang 礼部员外郎
'li'bu'zhu'shi 吏部主事
'li'bu'zhu'shi 礼部主事
'li'bu'zuo'shi'lang 吏部左侍郎
'li'bu'zuo'shi'lang 礼部左侍郎
'li'ji'bo'shi 礼记博士
'li'ke'du'ji'shi'zhong 礼科都给事中
'li'ke'ji'shi'zhong 吏科给事中
'li'ke'ji'shi'zhong 礼科给事中
'li'mu 吏目
'li'quan'guan'shi 醴泉观使
'li'wen 理问
'li'wen'suo'li'wen 理问所理问
'li'wen'suo'zhi'shi 理问所知事
'li'yi'shi 礼仪使
'li'yi'xiang'ding'shi 礼仪详定使
'li'yi'yuan 礼仪院
'li'yu'cang'cang'shi 豊裕仓仓使
'lian'fang'si'zhao'mo 廉访司照磨
'liang'fu 两府
'liang'sheng 两省
'liang'yi 良医
'liang'yi'zheng 良医正
'liang'zhi 两制
'lin'tai'jian 麟台监
'lin'tai'zheng'zi 麟台正字
'ling'ren 令人
'ling'shi 令史
'ling'shi 领使
'ling'tai'lang 灵台郎
'ling'tai'ling 陵台令
'liu'bu 六部
'liu'bu'shang'shu 六部尚书
'liu'bu'shi'lang 六部侍郎
'liu'hou 留后
'liu'nei'quan'li'bu 流内铨吏部
'liu'shou 留守
'liu'shou'si'liu'shou 留守司留守
'liu'shou'si'tong'zhi 留守司同知
'liu'wai'quan 流外铨
'liu'zhai'fu'shi 六宅副使
'liu'zhai'shi 六宅使
'long'tu 龙图
'long'tu'ge'dai'zhi 龙图阁待制
'lu'bing'ma'dou'yuan'shuai 路兵马都元帅
'lu'cha'fang'shi 路察访使
'lu'dao'lu 路道录
'lu'fen'bing'ma'dou'jian 路分兵马都监
'lu'fen'bing'ma'qian'xia 路分兵马钤辖
'lu'fen'ma'bu'jun'fu'bu'shu 路分马步军副部署
'lu'fen'ma'bu'jun'fu'zong'guan 路分马步军副总管
'lu'jing'li 路经历
'lu'li 路吏
'lu'lu'shi 路录事
'lu'pan'guan 路判官
'lu'ru'xue'zheng 路儒学正
'lu'shi'can'jun 录事参军
'lu'shi'pan'guan 录事判官
'lu'shi'si'da'lu'hua'chi 录事司达鲁花赤
'lu'shi'si'lu'shi 录事司录事
'lu'shi'si'pan'guan 录事司判官
'lu'shui'wu'ti'ling 路税务提领
'lu'si'yu 路司狱
'lu'ti'dian'xing'yu'gong'shi 路提点刑狱公事
'lu'ti'ju'shi'bo'si 路提举市舶司
'lu'ti'ju'xue'shi'guan 路提举学事官
'lu'ti'kong'an'du 路提控案牍
'lu'tong'zhi 路同知
'lu'wan'hu 路万户
'lu'xing'da'si'nong'si'ling'shi 路行大司农司令史
'lu'xue'zheng 路学正
'lu'yin'yang'xue'jiao'shou 路阴阳学教授
'lu'zhao'mo 路照磨
'lu'zhu'bo'bing'ma'dou'jian 路驻泊兵马都监
'lu'zhuan'yun'shi 路转运使
'luan'tai'shi'lang 鸾台侍郎
'luo'yuan'fu'shi 洛苑副使
'luo'yuan'shi 洛苑使
'lv'geng'ling 率更令
'lv'shuai 旅帅
'lv'xue'zhu'jiao 律学助教
'ma'bu'jun'dou'bu'shu 马步军都部署
'ma'bu'jun'dou'zong'guan'bu'shu 马步军都总管部署
'ma'bu'jun'fu'dou'zong'guan'bu'shu 马步军副都总管部署
'ma'bu'jun'fu'zong'guan 马步军副总管
'ma'bu'jun'long'wei'shen'wei'si'xiang'du'zhi'hui'shi 马步军龙卫神卫四厢都指挥使
'ma'bu'jun'zong'guan 马步军总管
'mei'ren 美人
'men'xia'sheng'dian'yi 门下省典仪
'men'xia'sheng'ji'shi'zhong 门下省给事中
'men'xia'shi'lang 门下侍郎
'meng'gu'jun'wan'hu 蒙古军万户
'meng'gu'zi'jiao'shou 蒙古字教授
'mi'ge 秘阁
'mi'ge'jiao'kan 秘阁校勘
'mi'ge'xiao'li 秘阁校理
'mi'ge'xiu'zhuan 秘阁修撰
'mi'shu'cheng 秘书丞
'mi'shu'jian 秘书监
'mi'shu'jian'bian'yan'shu'hua'zhi'chang 秘书监辨验书画直长
'mi'shu'jian'dian'bu 秘书监典簿
'mi'shu'jian'dian'li 秘书监典吏
'mi'shu'jian'dian'shi 秘书监典史
'mi'shu'jian'dian'shu 秘书监典书
'mi'shu'jian'guan'gou 秘书监管勾
'mi'shu'jian'jian'cheng 秘书监监丞
'mi'shu'jian'jian'qing 秘书监监卿
'mi'shu'jian'ling'shi 秘书监令史
'mi'shu'jian'qie'li'ma'chi 秘书监怯里马赤
'mi'shu'jian'tai'jian 秘书监太监
'mi'shu'jian'ti'kong'an'du 秘书监提控案牍
'mi'shu'jian'xiao'shu'lang 秘书监校书郎
'mi'shu'jian'yi'shi 秘书监译史
'mi'shu'jian'zhi'yin 秘书监知印
'mi'shu'jian'zhu'zuo'lang 秘书监著作郎
'mi'shu'jian'zhu'zuo'zuo'lang 秘书监著作佐郎
'mi'shu'jian'zou'cha 秘书监奏差
'mi'shu'lang 秘书郎
'mi'shu'shao'jian 秘书少监
'mi'shu'sheng 秘书省
'mi'shu'sheng'jian 秘书省监
'mi'shu'sheng'shao'jian 秘书省少监
'mi'shu'sheng'xiao'shu'lang 秘书省校书郎
'mi'shu'sheng'zheng'zi 秘书省正字
'mi'shu'sheng'zhu'zuo'lang 秘书省著作郎
'min'bu'shang'shu 民部尚书
'ming'wei'jiang'jun 明威将军
'mo'kan'jing'chao'guan'yuan 磨勘京朝官院
'mo'kan'zhu'lu'ti'dian'xing'yu'si 磨勘诸路提点刑狱司
'mou'fu'fu'xue'jiao'shou 某府府学教授
'mou'jun'cheng'xuan'shi 某军承宣使
'mou'jun'jie'du'guan'cha'liu'hou 某军节度观察留后
'mou'jun'jie'du'shi 某军节度使
'mou'jun'jun'xue'jiao'shou 某军军学教授
'mou'zhou'ci'shi 某州刺使
'mou'zhou'fang'yu'shi 某州防御使
'mou'zhou'fu'bing'cao'can'jun 某州府兵曹参军
'mou'zhou'fu'gong'cao'can'jun 某州府工曹参军
'mou'zhou'fu'hu'cao'can'jun 某州府户曹参军
'mou'zhou'fu'hu'cao'yuan 某州府户曹掾
'mou'zhou'fu'jun'jian'xue'jiao'shou 某州府军监学教授
'mou'zhou'fu'shi'cao'can'jun 某州府士曹参军
'mou'zhou'fu'xing'cao'can'jun 某州府刑曹参军
'mou'zhou'fu'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi 某州府驻扎御前诸军都统制
'mou'zhou'fu'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi'si 某州府驻扎御前诸军都统制司
'mou'zhou'guan'cha'shi 某州观察使
'mou'zhou'tuan'lian'shi 某州团练使
'mou'zhou'zhou'xue'jiao'shou 某州州学教授
'mu'fu 幕府
'mu'guan 幕官
'mu'zhi'guan 幕职官
'mu'zhong 幕中
'na'yan 纳言
'nan'ping'wang 南平王
'nan'tai'cha'yuan'jian'cha'yu'shi 南台察院监察御史
'nan'tai'dai'fu 南台大夫
'nan'tai'jia'ge'ku'guan'gou 南台架阁库管勾
'nan'tai'jing'li 南台经历
'nan'tai'yuan 南台掾
'nan'tai'zhao'mo 南台照磨
'nan'tai'zhong'cheng 南台中丞
'nei'cang'ku 内藏库
'nei'cang'ku'shi 内藏库使
'nei'gei'shi 内给事
'nei'gong'feng 内供奉
'nei'shi 内侍
'nei'shi 内史
'nei'shi'she'ren 内史舍人
'nei'shi'sheng'ya'ban 内侍省押班
'nei'shi'shi'lang 内史侍郎
'nei'ye'zhe'jian 内谒者监
'nei'yuan'shi 内园使
'pan'da'li'si'shi 判大理寺事
'pan'da'zong'zheng'si'shi 判大宗正司事
'pan'deng'wen'jian'yuan'shi 判登闻检院事
'pan'dou'shui'jian'shi 判都水监事
'pan'du'zhi 判度支
'pan'guan 判官
'pan'guan'shi 判馆事
'pan'guo'zi'jian'shi 判国子监事
'pan'hu'bu'shi 判户部事
'pan'jiang'zuo'jian'shi 判将作监事
'pan'jun'qi'jian'shi 判军器监事
'pan'li'bu'liu'nei'quan'shi 判吏部流内铨事
'pan'li'bu'nan'cao'shi 判吏部南曹事
'pan'mou'fu'jun'fu'shi 判某府军府事
'pan'mou'zhou'jun'zhou'shi 判某州军州事
'pan'shang'shu'sheng'xing'bu'shi 判尚书省刑部事
'pan'shi'guan'shi 判史馆事
'pan'si'bu'wei 判司簿尉
'pan'si'shi'da'li'deng'si 判寺事大理等寺
'pan'tai'chang'qing'shi 判太常卿事
'pan'tai'chang'si 判太常寺
'pan'yuan'shi 判院事
'pao'shui'shou'dou'yuan'shuai 炮水手都元帅
'pei'rong'fu'wei 陪戎副尉
'pei'rong'wei 陪戎尉
'pi'jiang 裨将
'pi'yong'bo'shi 辟雍博士
'pi'yong'lu 辟雍录
'piao'qi'da'jiang'jun 骠骑大将军
'piao'qi'jiang'jun 骠骑将军
'ping'shi 评事
'ping'zhang'shi 平章事
'ping'zhang'zheng'shi 平章政事
'pu'ye 仆射
'qi'du'wei 骑都尉
'qi'ju'lang 起居郎
'qi'ju'she'ren 起居舍人
'qi'pin'san'guan 七品散官
'qi'wang 齐王
'qian'hu 千户
'qian'hu'suo'guan'jun'zong'ba 千户所管军总把
'qian'niu 千牛
'qian'niu'wei'jiang'jun 千牛卫将军
'qian'shi 佥事
'qian'shu'jie'du'pan'guan'ting'gong'shi 签书节度判官厅公事
'qian'shu'pan'guan'ting 签书判官厅
'qian'shu'pan'guan'ting'gong'shi 签署判官厅公事
'qian'shu'shu'mi'yuan'shi 签书枢密院事
'qian'ti'xing'an'cha'si'shi 佥提刑按察司事
'qian'xia 钤辖
'qin'jun'bai'hu 亲军百户
'qin'jun'du'zhi'hui'shi 亲军都指挥使
'qin'jun'qian'hu 亲军千户
'qin'shi 亲事
'qin'wang'fu'ji'shi'can'jun'shi 亲王府记室参军事
'qin'wang'fu'yi'shan 亲王府翊善
'qin'wang'fu'zan'du 亲王府赞读
'qin'wang'fu'zhi'jiang 亲王府直讲
'qin'wei'dai'fu 亲卫大夫
'qing'che'du'wei 轻车都尉
'qiu'guan'shi'lang 秋官侍郎
'qu'shi'guan 驱使官
'quan'bing'bu'shang'shu 权兵部尚书
'quan'bing'bu'shi'lang 权兵部侍郎
'quan'fa'qian'mou'zhou'jun'zhou'shi 权发遣某州军州事
'quan'gong'bu'shang'shu 权工部尚书
'quan'gong'bu'shi'lang 权工部侍郎
'quan'hu'bu'shi'lang 权户部侍郎
'quan'li'bu'shang'shu 权吏部尚书
'quan'li'bu'shang'shu 权礼部尚书
'quan'li'bu'shi'lang 权礼部侍郎
'quan'nong'ying'tian'fu'shi 劝农营田副使
'quan'san'si'shi'gong'shi 权三司使公事
'quan'shang'shu'sheng'hu'bu'shang'shu 权尚书省户部尚书
'quan'shang'shu'sheng'li'bu'shi'lang 权尚书省吏部侍郎
'quan'xing'bu'shang'shu 权刑部尚书
'quan'xing'bu'shi'lang 权刑部侍郎
'quan'yu'shi'zhong'cheng'shi 权御史中丞事
'quan'zhi'kai'feng'fu'shi 权知开封府事
'quan'zhi'xue'shi'yuan 权直学士院
'quan'zhong'shu'she'ren 权中书舍人
'qun'mu'fu'shi 群牧副使
'qun'mu'pan'guan 群牧判官
'qun'mu'shi 群牧使
'qun'mu'zhi'zhi'shi 群牧制置使
'rong'lu'dai'fu 荣禄大夫
'ru'guan 儒官
'ru'jing'fu'shi 如京副使
'ru'jing'shi 如京使
'ru'lin'lang 儒林郎
'ru'ming'huan'ci 入名宦祠
'ru'nei'gong'bei'ku'fu'shi 入内供备库副使
'ru'nei'nei'shi'sheng'dou'zhi 入内内侍省都知
'ru'nei'nei'shi'sheng'fu'dou'zhi 入内内侍省副都知
'ru'nei'nei'shi'sheng'nei'dong'tou'gong'feng'guan 入内内侍省内东头供奉官
'ru'nei'nei'shi'sheng'nei'shi'huang'men 入内内侍省内侍黄门
'ru'nei'nei'shi'sheng'xiao'huang'men 入内内侍省小黄门
'ru'nei'wen'si'shi 入内文思使
'ru'nei'xi'jing'zuo'cang'ku'fu'shi 入内西京左藏库副使
'ru'nei'xi'jing'zuo'cang'ku'shi 入内西京左藏库使
'ru'ren 孺人
'ru'xue'jiao'shou 儒学教授
'ru'xue'ti'ju'si'fu'ti'ju 儒学提举司副提举
'ru'xue'ti'ju'si'ti'ju 儒学提举司提举
'ru'xue'xun'dao 儒学训导
'san'cheng 三丞
'san'fu'zhi'fu'huo'fu'yin 散府知府或府尹
'san'gong 三公
'san'guan 三馆
'san'guan 散官
'san'qi'chang'shi 散骑常侍
'san'si'dou'gou'yuan 三司都勾院
'san'si'dou'li'qian'si 三司都理欠司
'san'si'dou'mo'kan'si 三司都磨勘司
'san'si'dou'ping'you'si 三司都凭由司
'san'si'du'zhi'fu'shi 三司度支副使
'san'si'du'zhi'gou'yuan 三司度支勾院
'san'si'du'zhi'pan'guan 三司度支判官
'san'si'fu'shi 三司副使
'san'si'gou'dang'gong'shi 三司勾当公事
'san'si'hu'bu'fu'shi 三司户部副使
'san'si'hu'bu'gou'yuan 三司户部勾院
'san'si'hu'bu'pan'guan 三司户部判官
'san'si'kai'chai'si 三司开拆司
'san'si'pan'guan 三司判官
'san'si'shi 三司使
'san'si'yan'tie'fu'shi 三司盐铁副使
'san'si'yan'tie'gou'yuan 三司盐铁勾院
'san'si'yan'tie'pan'guan 三司盐铁判官
'seng'zheng 僧正
'shan'bu'lang'zhong 膳部郎中
'shan'bu'yuan'wai'lang 膳部员外郎
'shan'ding'guan 删定官
'shang'bai'hu'she'xing'qian'hu 上百户摄行千户
'shang'bai'hu'suo'bai'hu 上百户所百户
'shang'bao'si'cheng 尚宝司丞
'shang'bao'si'qing 尚宝司卿
'shang'bao'si'shao'qing 尚宝司少卿
'shang'hu'jun 上护军
'shang'kai'fu 上开府
'shang'lin'yuan'jian'lu'shi 上林苑监录事
'shang'qi'du'wei 上骑都尉
'shang'qian'hu'suo'da'lu'hua'chi 上千户所达鲁花赤
'shang'qing'che'du'wei 上轻车都尉
'shang'shu 尚书
'shang'shu'bo'shi 尚书博士
'shang'shu'lang 尚书郎
'shang'shu'lang'zhong 尚书郎中
'shang'shu'ling 尚书令
'shang'shu'sheng'bing'bu'shi'lang 尚书省兵部侍郎
'shang'shu'sheng'dou'shi 尚书省都事
'shang'shu'sheng'gong'bu'gong'bu'si'lang'zhong 尚书省工部工部司郎中
'shang'shu'sheng'gong'bu'gong'bu'si'yuan'wai'lang 尚书省工部工部司员外郎
'shang'shu'sheng'gong'bu'shang'shu 尚书省工部尚书
'shang'shu'sheng'gong'bu'shi'lang 尚书省工部侍郎
'shang'shu'sheng'gong'bu'tun'tian'si'lang'zhong 尚书省工部屯田司郎中
'shang'shu'sheng'gong'bu'tun'tian'si'yuan'wai'lang 尚书省工部屯田司员外郎
'shang'shu'sheng'gong'bu'yu'bu'si'lang'zhong 尚书省工部虞部司郎中
'shang'shu'sheng'gong'bu'yu'bu'si'yuan'wai'lang 尚书省工部虞部司员外郎
'shang'shu'sheng'hu'bu'cang'bu'si'lang'zhong 尚书省户部仓部司郎中
'shang'shu'sheng'hu'bu'cang'bu'si'yuan'wai'lang 尚书省户部仓部司员外郎
'shang'shu'sheng'hu'bu'du'zhi'si 尚书省户部度支司
'shang'shu'sheng'hu'bu'du'zhi'si'lang'zhong 尚书省户部度支司郎中
'shang'shu'sheng'hu'bu'du'zhi'si'yuan'wai'lang 尚书省户部度支司员外郎
'shang'shu'sheng'hu'bu'jin'bu'si'lang'zhong 尚书省户部金部司郎中
'shang'shu'sheng'hu'bu'jin'bu'si'yuan'wai'lang 尚书省户部金部司员外郎
'shang'shu'sheng'hu'bu'shang'shu 尚书省户部尚书
'shang'shu'sheng'hu'bu'shi'lang 尚书省户部侍郎
'shang'shu'sheng'li'bu'ci'bu'si'lang'zhong 尚书省礼部祠部司郎中
'shang'shu'sheng'li'bu'ci'bu'si'yuan'wai'lang 尚书省礼部祠部司员外郎
'shang'shu'sheng'li'bu'kao'gong'si'lang'zhong 尚书省吏部考功司郎中
'shang'shu'sheng'li'bu'kao'gong'si'yuan'wai'lang 尚书省吏部考功司员外郎
'shang'shu'sheng'li'bu'lang'zhong 尚书省吏部郎中
'shang'shu'sheng'li'bu'shan'bu'si'lang'zhong 尚书省礼部膳部司郎中
'shang'shu'sheng'li'bu'shan'bu'si'yuan'wai'lang 尚书省礼部膳部司员外郎
'shang'shu'sheng'li'bu'si'lang'zhong 尚书省礼部司郎中
'shang'shu'sheng'li'bu'si'yuan'wai'lang 尚书省礼部司员外郎
'shang'shu'sheng'li'bu'yuan'wai'lang 尚书省吏部员外郎
'shang'shu'sheng'li'bu'zhu'ke'si 尚书省礼部主客司
'shang'shu'sheng'li'bu'zhu'ke'si'lang'zhong 尚书省礼部主客司郎中
'shang'shu'sheng'li'bu'zhu'ke'si'yuan'wai'lang 尚书省吏部主客司员外郎
'shang'shu'sheng'liu'bu'zhu'si'lang'zhong'yuan'wai'lang 尚书省六部诸司郎中员外郎
'shang'shu'sheng'xing'bu'bi'bu'si'lang'zhong 尚书省刑部比部司郎中
'shang'shu'sheng'xing'bu'bi'bu'si'yuan'wai'lang 尚书省刑部比部司员外郎
'shang'shu'sheng'xing'bu'dou'guan'si'lang'zhong 尚书省刑部都官司郎中
'shang'shu'sheng'xing'bu'dou'guan'si'yuan'wai'lang 尚书省刑部都官司员外郎
'shang'shu'sheng'xing'bu'shang'shu 尚书省刑部尚书
'shang'shu'sheng'xing'bu'si'men'si'lang'zhong 尚书省刑部司门司郎中
'shang'shu'sheng'xing'bu'si'men'si'yuan'wai'lang 尚书省刑部司门司员外郎
'shang'shu'sheng'xing'bu'xing'bu'si'lang'zhong 尚书省刑部刑部司郎中
'shang'shu'sheng'xing'bu'xing'bu'si'yuan'wai'lang 尚书省刑部刑部司员外郎
'shang'shu'sheng'you'cheng 尚书省右丞
'shang'shu'sheng'you'si'lang'guan 尚书省右司郎官
'shang'shu'sheng'you'si'lang'zhong 尚书省右司郎中
'shang'shu'sheng'you'si'yuan'wai'lang 尚书省右司员外郎
'shang'shu'sheng'zuo'cao'lang'guan 尚书省左曹郎官
'shang'shu'sheng'zuo'cheng 尚书省左丞
'shang'shu'sheng'zuo'si'lang'guan 尚书省左司郎官
'shang'shu'sheng'zuo'si'lang'zhong 尚书省左司郎中
'shang'shu'sheng'zuo'si'yuan'wai'lang 尚书省左司员外郎
'shang'shu'you'cheng'xiang 尚书右丞相
'shang'shu'you'pu'ye'tong'zhong'shu'men'xia'ping'zhang'shi 尚书右仆射同中书门下平章事
'shang'shu'yuan'wai'lang 尚书员外郎
'shang'shu'zuo'cheng'xiang 尚书左丞相
'shang'shu'zuo'pu'ye 尚书左仆射
'shang'shu'zuo'pu'ye'jian'men'xia'shi'lang 尚书左仆射兼门下侍郎
'shang'shu'zuo'you'cheng 尚书左右丞
'shang'yi'tong'san'si 上仪同三司
'shang'zhu'guo 上柱国
'shao'bao 少保
'shao'fu 少傅
'shao'fu'jian 少府监
'shao'fu'jian'jian 少府监监
'shao'fu'jian'zhu'bu 少府监主簿
'shao'fu'shao'jian 少府少监
'shao'jian 少监
'shao'qing 少卿
'shao'shi 少师
'shao'yin 少尹
'shao'zai 少宰
'she'ren 舍人
'she'ren'yuan 舍人院
'shen'li 审理
'shen'li'zheng 审理正
'shen'xing'yuan'xiang'yi'guan 审刑院详议官
'sheng'du'shi 省都事
'sheng'ji'guan 省祭官
'sheng'yuan 省掾
'sheng'zhao'mo 省照磨
'shi'bo'fu'ti'ju 市舶副提举
'shi'bo'si'ti'ju 市舶司提举
'shi'cong 侍从
'shi'du 侍读
'shi'du'xue'shi 侍读学士
'shi'fu 使府
'shi'guan 史馆
'shi'guan 试官
'shi'guan'bian'xiu 史馆编修
'shi'guan'jian'yue 史馆检阅
'shi'guan'jiao'kan 史馆校勘
'shi'guan'xiu'zhuan 史馆修撰
'shi'jiang 侍讲
'shi'jiang 十将
'shi'jiang'xue'shi 侍讲学士
'shi'jin 侍禁
'shi'lang 侍郎
'shi'lu'yuan'jian'tao'guan 实录院检讨官
'shi'lu'yuan'tong'xiu'zhuan 实录院同修撰
'shi'lu'yuan'xiu'zhuan 实录院修撰
'shi'wei'qin'jun'bu'jun'si'dou'yu'hou 侍卫亲军步军司都虞候
'shi'wei'qin'jun'bu'jun'si'du'zhi'hui'shi 侍卫亲军步军司都指挥使
'shi'wei'qin'jun'bu'jun'si'fu'du'zhi'hui'shi 侍卫亲军步军司副都指挥使
'shi'wei'qin'jun'fu'du'zhi'hui'shi 侍卫亲军副都指挥使
'shi'wei'qin'jun'ma'jun'si'dou'yu'hou 侍卫亲军马军司都虞候
'shi'wei'qin'jun'ma'jun'si'du'zhi'hui'shi 侍卫亲军马军司都指挥使
'shi'wei'qin'jun'ma'jun'si'fu'du'zhi'hui'shi 侍卫亲军马军司副都指挥使
'shi'wei'qin'jun'si'ma'bu'jun'dou'yu'hou 侍卫亲军司马步军都虞候
'shi'wei'qin'jun'si'ma'bu'jun'fu'du'zhi'hui'shi 侍卫亲军司马步军副都指挥使
'shi'yi 拾遗
'shi'yi 食邑
'shi'yi'shi 侍仪使
'shi'yi'si'shi'yi'she'ren 侍仪司侍仪舍人
'shi'you'lang'guan 侍右郎官
'shi'yu'shi 侍御史
'shi'yu'shi'zhi'za'shi 侍御史知杂事
'shi'zhi 使职
'shi'zhi 史职
'shi'zhong 侍中
'shi'zuo'lang'guan 侍左郎官
'shou'bei 守备
'shou'guan 寿官
'shou'yu 守御
'shu'fei 淑妃
'shu'gu'dian'xue'shi 述古殿学士
'shu'ji 书记
'shu'ji'shi 庶吉士
'shu'mi 枢密
'shu'mi'fu'shi 枢密副使
'shu'mi'shi 枢密使
'shu'mi'yuan'bian'xiu 枢密院编修
'shu'mi'yuan'cheng'zhi 枢密院承旨
'shu'mi'yuan'dou'cheng'zhi 枢密院都承旨
'shu'mi'yuan'dou'shi 枢密院都事
'shu'mi'yuan'fu'dou'cheng'zhi 枢密院副都承旨
'shu'mi'yuan'fu'shu 枢密院副枢
'shu'mi'yuan'ji'yi'guan 枢密院计议官
'shu'mi'yuan'jian'xiang'zhu'fang'wen'zi 枢密院检详诸房文字
