'an'jiao 岸礁
'liu'yu 流域
'liu'yu'fen'shui'xian 流域分水线
'liu'yu'gui'hua 流域规划
'liu'yu'xing'tai 流域形态
'lu'bing 陆冰
'lu'di'wei'xing 陆地卫星
'lu'lian'dao 陆连岛
'lu'mian'zheng'fa 陆面蒸发
'lu'wei'zhao'ze 芦苇沼泽
'luo'shui'dong 落水洞
'luo'ye'lin 落叶林
'lv'dai'cheng'shi 绿带城市
'lv'se'ge'ming 绿色革命
'lv'you'di'li 旅游地理
'lv'you'dian 旅游点
'lv'you'ke'liang 旅游客量
'lv'you'ye 旅游业
'lv'you'zi'yuan 旅游资源
'lv'zhou 绿洲
'lv'zhou'geng'zuo 绿洲耕作
'mei'yu 梅雨
'mi'du'ce'ding 密度测定
'mi'du'fen'ge 密度分割
'min'zu'di'li'xue 民族地理学
'min'zu'zhi 民族志
'ming'li'chou 明里紬
'mo'gai'ceng 漠盖层
'mo'ka'tuo'tou'ying 墨卡托投影
'mo'qi 漠漆
'mo'shi'shi'bie 模式识别
'mu'cai'sheng'chan'ji'di 木材生产基地
'mu'cheng 母城
'mu'shi'pan'du 目视判读
'mu'ye'qu 牧业区
'nan'ban'qiu 南半球
'nan'hui'gui'xian 南回归线
'nan'ji 南极
'nei'bu'fa'zhan'li'lun 内部发展理论
'nei'di'gong'ye 内地工业
'nei'lu 内陆
'neng'yuan'di'li'xue 能源地理学
'ni'cheng'shi'hua 逆城市化
'ni'liu 泥流
'ni'mo 泥漠
'ni'sha'yun'dong 泥沙运动
'ni'shi'liu 泥石流
'ni'tan 泥炭
'nian'ling'xing'bie'jin'zi'ta 年龄性别金字塔
'nian'lun'qi'hou'xue 年轮气候学
'nian'zheng'chang'jing'liu'liang 年正常径流量
'niao'kan'tu 鸟瞰图
'niu'e'hu 牛轭湖
'nong'mu'jie'he 农牧结合
'nong'ye'bu'ju 农业布局
'nong'ye'cun'zhen 农业村镇
'nong'ye'di'dai 农业地带
'nong'ye'di'li'xue 农业地理学
'nong'ye'di'yu'lei'xing 农业地域类型
'nong'ye'qu 农业区
'nong'ye'qu'hua 农业区划
'nong'ye'qu'wei'lun 农业区位论
'pai'sheng'di'tu 派生地图
'pan'du 判读
'pan'du'biao'zhi 判读标志
'pao'wu'xian'xing'sha'qiu 抛物线形沙丘
'pen'di 盆地
'pen'fa 喷发
'peng'hu'qu 棚户区
'pian'shi 片蚀
'piao'li 漂砾
'pin'min'qu 贫民区
'pin'ying'yang'zhao'ze 贫营养沼泽
'ping'ding'hai'shan 平顶海山
'ping'jun'hai'ping'mian 平均海平面
'ping'yuan 平原
'ping'yuan'zhao'ze 平原沼泽
'po'di 坡地
'po'du 坡度
'po'ji'wu 坡积物
'po'mian'liu 坡面流
'po'shui'dui'ji'wu 坡水堆积物
'po'xiang 坡向
'pu'bu 瀑布
'pu'na'cao'yuan 普那草原
'pu'tong'di'li'tu 普通地理图
'pu'tong'di'li'xue 普通地理学
'pu'tong'di'tu 普通地图
'pu'tong'di'tu'ji 普通地图集
'pu'tong'di'tu'xue 普通地图学
'pu'tong'zi'ran'di'li'xue 普通自然地理学
'qi'hou 气候
'qi'hou'bian'qian 气候变迁
'qi'hou'dai 气候带
'qi'hou'di'mao'xue 气候地貌学
'qi'hou'fen'lei 气候分类
'qi'hou'qu 气候区
'qi'hou'qu'hua 气候区划
'qi'hou'xi'tong 气候系统
'qi'hou'xing 气候型
'qi'hou'xue 气候学
'qi'hou'zai'hai 气候灾害
'qi'hou'zhi 气候志
'qi'hou'zi'yuan 气候资源
'qi'xiang'wei'xing 气象卫星
'qian'neng'mo'shi 潜能模式
'qian'shi'zuo'yong 潜蚀作用
'qian'xi'geng'zuo 迁徙耕作
'qian'yi'kuo'san 迁移扩散
'qiao'ben'you'cai 桥本有菜
'qin'shi 侵蚀
'qin'shi'ji'zhun'mian 侵蚀基准面
'qin'shi'mian 侵蚀面
'qin'shi'xun'huan 侵蚀循环
'qing'kong'guang 青空光
'qiu'ling 丘陵
'qu'hua 区划
'qu'hua'tu 区划图
'qu'liu 曲流
'qu'wei'li'lun 区位理论
'qu'wei'san'jiao'xing 区位三角形
'qu'wei'shang 区位商
'qu'wei'xi'shu 区位系数
'qu'wei'yin'zi 区位因子
'qu'yu 区域
'qu'yu'di'li'xue 区域地理学
'qu'yu'di'tu'ji 区域地图集
'qu'yu'fen'xi 区域分析
'qu'yu'fen'yi 区域分异
'qu'yu'gui'hua 区域规划
'qu'yu'huan'jing 区域环境
'qu'yu'jing'ji'di'li'xue 区域经济地理学
'qu'yu'kai'fa 区域开发
'qu'yu'ke'xue 区域科学
'qu'yu'li'shi'di'li 区域历史地理
'qu'yu'qi'hou 区域气候
'qu'yu'xi'tong 区域系统
'quan'hua'chen'ji 泉华沉积
'quan'qiu'xing'hai'mian'sheng'jiang 全球性海面升降
'qun'cong 群丛
'qun'dao 群岛
'qun'luo'sheng'jing 群落生境
'qun'xi 群系
'rang'zhong'liu 壤中流
're'dai 热带
're'dai'yu'lin'qi'hou 热带雨林气候
're'hai 热害
're'hong'wai'yao'gan 热红外遥感
're'hu 热湖
're'ka'si'te 热喀斯特
're'ka'si'te'hu 热喀斯特湖
're'shui'ping'heng 热水平衡
'ren'ben'zhu'yi'di'li'xue 人本主义地理学
'ren'di'guan'xi 人地关系
'ren'gong'di'mao 人工地貌
'ren'gong'hu 人工湖
'ren'ji 刃脊
'ren'kou'di'li'xue 人口地理学
'ren'kou'jie'gou 人口结构
'ren'kou'ling'zeng'zhang 人口零增长
'ren'kou'mi'du 人口密度
'ren'kou'ping'heng 人口平衡
'ren'kou'xin'xi'xi'tong 人口信息系统
'ren'kou'ya'li 人口压力
'ren'kou'zong'chu'sheng'lv 人口总出生率
'ren'kou'zong'si'wang'lv 人口总死亡率
'ren'kou'zu'cheng 人口组成
'ren'lei'di'li'xue 人类地理学
'ren'lei'sheng'tai'xue 人类生态学
'ren'wen'di'li'xue 人文地理学
'ren'zhong'di'li'xue 人种地理学
'ri'jie'xian 日界线
'rong'dou 溶斗
'rong'gou 溶沟
'rong'hua'zhi'shu 融化指数
'rong'shi 溶蚀
'rong'shi'gu 溶蚀谷
'rong'shi'pen 溶蚀盆
'rong'tu 融土
'rong'xue'jing'liu 融雪径流
'rong'yan'liu 熔岩流
'ru'shen 入渗
'sa'wa'na 萨瓦纳
'sa'wa'na'qi'hou 萨瓦纳气候
'san'jiao'zhou 三角洲
'san'shang'you'ya 三上悠亚
'san'wei'di'dai'xing 三维地带性
'san'wei'tu'cheng'xu 三维图程序
'san'xian'gong'ye 三线工业
'sen'lin'cao'yuan 森林草原
'sen'lin'qi'hou 森林气候
'sen'lin'shang'xian 森林上限
'sen'lin'shui'wen'xue 森林水文学
'sen'lin'tu'rang 森林土壤
'sha'bao 沙暴
'sha'long 沙垅
'sha'mo 沙漠
'sha'mo'li'shi'di'li 沙漠历史地理
'sha'qiu 沙丘
'sha'zui 沙嘴
'shan'an'feng'hua 山岸逢花
'shan'di 山地
'shan'di'qi'hou 山地气候
'shan'di'zhao'ze 山地沼泽
'shan'ding'mian 山顶面
'shan'feng 山峰
'shan'gu'feng 山谷风
'shan'hu'jiao 珊瑚礁
'shan'jian'pen'di 山间盆地
'shan'lu 山麓
'shan'lu'dui'ji 山麓堆积
'shan'lu'ping'yuan 山麓平原
'shan'lu'qin'shi'mian 山麓侵蚀面
'shan'lu'qin'shi'ping'yuan 山麓侵蚀平原
'shan'mai 山脉
'shan'ti'xiao'ying 山体效应
'shan'xing 山形
'shan'xing'lun 扇形论
'shan'yue'bing'chuan 山岳冰川
'shan'zhi 山志
'shan'zui 山嘴
'shang'lu 商路
'shang'pin'jing'ji 商品经济
'shang'pin'xing'nong'ye 商品性农业
'shang'pin'xing'sheng'chan'ji'di 商品性生产基地
'shang'ye'di'li'xue 商业地理学
'shang'ye'qu 商业区
'shang'ye'wang'bu'ju 商业网布局
'shang'ye'zhong'xin 商业中心
'she'hui'di'li'xue 社会地理学
'she'hui'huan'jing 社会环境
'she'hui'xiao'yi 社会效益
'she'qu 社区
'shen'ceng'di'xia'shui 深层地下水
'shen'tian'yong'mei 深田咏美
'sheng'chan'bu'ju 生产布局
'sheng'chan'di'li'xue 生产地理学
'sheng'chan'di'yu'zong'he'ti 生产地域综合体
'sheng'chan'li'bu'ju 生产力布局
'sheng'chan'zhuan'ye'hua 生产专业化
'sheng'cun'kong'jian 生存空间
'sheng'huo'xing 生活型
'sheng'huo'xing'pu 生活型谱
'sheng'jing 生境
'sheng'ming'cheng'zai'neng'li 生命承载能力
'sheng'na'yao'gan 声纳遥感
'sheng'tai'di'duan 生态地段
'sheng'tai'di'li'xue 生态地理学
'sheng'tai'dian 生态点
'sheng'tai'ping'heng 生态平衡
'sheng'tai'qu 生态区
'sheng'tai'qu'yu 生态区域
'sheng'tai'xi'tong 生态系统
'sheng'tai'xiao'qu 生态小区
'sheng'tai'xiao'yi 生态效益
'sheng'wu'di'li'qun'luo 生物地理群落
'sheng'wu'di'li'xue 生物地理学
'sheng'wu'fen'bu 生物分布
'sheng'wu'fen'bu'xue 生物分布学
'sheng'wu'feng'hua'zuo'yong 生物风化作用
'sheng'wu'qian'yi 生物迁移
'sheng'wu'quan 生物圈
'sheng'wu'qun 生物群
'sheng'wu'zi'yuan'bao'hu 生物资源保护
'sheng'yuan'jing'guan 生源景观
'shi'bie'mo'shi 识别模式
'shi'chang 市场
'shi'chang'dao'xiang'gong'ye 市场导向工业
'shi'di 湿地
'shi'hai 湿害
'shi'hui'hua 石灰华
'shi'jian'fen'bian'lv 时间分辨率
'shi'jie'di'tu'ji 世界地图集
'shi'lin 石林
'shi'pin'fen'lei 视频分类
'shi'qu 时区
'shi'run'qi'hou 湿润气候
'shi'sheng'zhi'wu 湿生植物
'shi'zhong'xin 市中心
'shi'zu'ju'luo 氏族聚落
'shou'du 首都
'shou'wei'cheng'shi 首位城市
'shou'wei'du 首位度
'shu'jing 竖井
'shu'liang'di'li'xue 数量地理学
'shu'liang'di'se'fa 数量底色法
'shu'niu 枢纽
'shu'niu'qu 枢纽区
'shu'sha'neng'li 输沙能力
'shu'xian 树线
'shu'zi'bian'ma 数字编码
'shu'zi'di'tu 数字地图
'shu'zi'di'xing'mo'xing 数字地形模型
'shu'zi'lv'bo 数字滤波
'shu'zi'tu'xiang'chu'li 数字图象处理
'shu'zi'tu'xiang'xiang'qian 数字图象镶嵌
'shu'zi'xiang'guan'fa 数字相关法
'shu'zi'xiang'qian 数字镶嵌
'shuai'luo'qu 衰落区
'shui'chan'yang'zhi'ji'di 水产养殖基地
'shui'cheng'jing'guan 水成景观
'shui'dao'wang 水道网
'shui'hua'xue 水化学
'shui'jun'yi 水均益
'shui'li'chuan'dao'du 水力传导度
'shui'li'jing'ji'xue 水利经济学
'shui'li'xue 水力学
'shui'liang'jiao'huan 水量交换
'shui'mian'zheng'fa 水面蒸发
'shui'neng 水能
'shui'ping'di'dai 水平地带
'shui'ping'di'dai'xing 水平地带性
'shui'ping'heng 水平衡
'shui'ping'jiang'shui 水平降水
'shui'qian'yi 水迁移
'shui'quan 水圈
'shui'shang'jing'guan 水上景观
'shui'sheng'zhi'wu 水生植物
'shui'ti 水体
'shui'tu'bao'chi 水土保持
'shui'tu'liu'shi 水土流失
'shui'tuan 水团
'shui'wei 水位
'shui'wen'ce'yan 水文测验
'shui'wen'di'li'xue 水文地理学
'shui'wen'guo'cheng 水文过程
'shui'wen'qing'shi 水文情势
'shui'wen'wu'li'xue 水文物理学
'shui'wen'xue 水文学
'shui'wu'ran 水污染
'shui'xia'jing'guan 水下景观
'shui'xun'huan 水循环
'shui'yu'bing 水俣病
'shui'zai 水灾
'shui'zhi 水质
'shui'zi'yuan 水资源
'shui'zi'yuan'bao'hu 水资源保护
'su'yuan'dui'ji 溯源堆积
'su'yuan'qin'shi 溯源侵蚀
'sui'xie'xing'feng'hua'qiao 碎屑型风化壳
'tai'cao'zhao'ze 苔草沼泽
'tai'di 台地
'tai'feng 台风
'tai'jia'lin 泰加林
'tai'yang'fu'she 太阳辐射
'tai'yuan 苔原
'tai'yuan'qi'hou 苔原气候
'tan'di'zhao'ze 滩地沼泽
'tan'ji 滩脊
'tan'ji'xing'chao'tan 滩脊型潮滩
'tan'ji'xing'chao'tan'ping'yuan 滩脊型潮滩平原
'tao'nai'mu'xiang'nai 桃乃木香奈
'tao'shi 掏蚀
'tian'ran'di 天然堤
'tian'yuan'cheng'shi 田园城市
'tong'ji'di'tu 统计地图
'tong'qin 通勤
'tong'qin'dai 通勤带
'tong'tong'bing 痛痛病
'tong'xin'yuan'di'dai'lun 同心圆地带论
'tong'yi'di'li'xue 统一地理学
'tou'ying'bian'huan 投影变换
'tu'an'ba 凸岸坝
'tu'bei 土被
'tu'di 土地
'tu'di'dan'yuan 土地单元
'tu'di'fen'lei 土地分类
'tu'di'gai'ge 土地改革
'tu'di'gai'liang 土地改良
'tu'di'gong'neng 土地功能
'tu'di'guan'li 土地管理
'tu'di'ke'mian 土地刻面
'tu'di'lei'xing 土地类型
'tu'di'li'yong 土地利用
'tu'di'li'yong'fen'lei 土地利用分类
'tu'di'li'yong'lei'xing 土地利用类型
'tu'di'li'yong'zhi'du 土地利用制度
'tu'di'neng'li 土地能力
'tu'di'ping'jia 土地评价
'tu'di'sheng'chan'lv 土地生产率
'tu'di'sheng'chan'neng'li 土地生产能力
'tu'di'shi'yi'xing 土地适宜性
'tu'di'shu'xing 土地属性
'tu'di'te'xing 土地特性
'tu'di'xi'tong 土地系统
'tu'di'xian'zhi'xing 土地限制性
'tu'di'xin'xi'xi'tong 土地信息系统
'tu'di'yao'su 土地要素
'tu'di'zhi'liang 土地质量
'tu'li 图例
'tu'lian 土链
'tu'mian'zi'dong'zhu'ji 图面自动注记
'tu'rang'di'li'xue 土壤地理学
'tu'rang'fu'qu 土壤复区
'tu'rang'qi'hou 土壤气候
'tu'rang'qin'shi 土壤侵蚀
'tu'rang'quan 土壤圈
'tu'rang'shui 土壤水
'tu'rang'shui'wen'xue 土壤水文学
'tu'rang'tui'hua 土壤退化
'tu'rang'wu'ran 土壤污染
'tu'rang'zi'yuan 土壤资源
'tu'rang'zu'he 土壤组合
'tu'ti'ru'dong 土体蠕动
'tu'xiang'chong'die 图象重叠
'tu'xiang'chu'li 图象处理
'tu'xiang'fu'he 图象复合
'tu'xiang'ji'he'ce'ding 图象几何测定
'tu'xiang'mo'ni 图象模拟
'tu'xiang'shi'bie 图象识别
'tu'xiang'shu'ju'ci'dai 图象数据磁带
'tu'xiang'shu'zi'hua 图象数字化
'tu'xiang'tou'ying'bian'huan 图象投影变换
'tu'xiang'zeng'qiang 图象增强
'tui'shui'qu'xian 退水曲线
'tuo'guan'di'qu 托管地区
'wa'di 洼地
'wai'lai'ming 外来名
'wan'quan'hun'he'hu 完全混合湖
'wang'ge'di'tu 网格地图
'wei'bo'yao'gan 微波遥感
'wei'kai'fa'qu 未开发区
'wei'ren'tong'zhi'di 委任统治地
'wei'xian 纬线
'wei'xian'hu 微咸湖
'wei'xing'cheng 卫星城
'wei'xing'xiang'pian 卫星象片
'wei'xing'yao'gan'jie'shou'zhan 卫星遥感接收站
'wei'xing'ying'xiang 卫星影象
'wen'dai 温带
'wen'hua'bian'jie 文化边界
'wen'hua'di'li'xue 文化地理学
'wen'hua'hui'he 文化汇合
'wen'hua'jing'guan 文化景观
'wen'hua'qu 文化区
'wen'ni 纹泥
'wo'cheng 卧城
'wu'chao'hai 无潮海
'wu'hou'xue 物候学
'wu'li'feng'hua'zuo'yong 物理风化作用
'wu'shuang'qi 无霜期
'xi'lie'di'tu 系列地图
'xi'tong'di'li'xue 系统地理学
'xi'yin'qu 吸引区
'xia'gu 峡谷
'xia'qie'qin'shi 下切侵蚀
'xian'lei'zhao'ze 藓类沼泽
'xian'qu 限区
'xian'shui'hu 咸水湖
'xian'xia'di'li 闲暇地理
'xian'xing'xian'xiang 线性现象
'xiang'cun'di'li'xue 乡村地理学
'xiang'cun'gui'hua 乡村规划
'xiang'cun'ren'kou 乡村人口
'xiang'dui'gao'du 相对高度
'xiang'guan'chen'ji 相关沉积
'xiang'guan'yan'mo 相关掩模
'xiang'liang'di'tu 向量地图
'xiang'pian'pan'du 相片判读
'xiang'xian'si'fen'shu 象限四分树
'xiang'yuan 象元
'xiao'bing'qi 小冰期
'xiao'fei'di'li'xue 消费地理学
'xiao'qi'hou 小气候
'xiao'qu 小区
'xiao'rong'qu 消融区
'xiao'sheng'jing 小生境
'xiao'tiao'qu 萧条区
'xiao'ze'ma'li'ya 小泽玛利亚
'xin'bei'jie 新北界
'xin'bing'qi 新冰期
'xin'feng 信风
'xin'gou'zao'yun'dong 新构造运动
'xin're'dai'jie 新热带界
'xin'xi'jing'ji 信息经济
'xin'xi'ti'qu 信息提取
'xin'xi'ya'suo 信息压缩
'xin'yue'xing'sha'qiu 新月形沙丘
'xin'zang'di'dai 心脏地带
'xing'wei'di'li'xue 行为地理学
'xing'wei'huan'jing 行为环境
'xing'wei'ju'zhen 行为矩阵
'xing'xing'feng'xi 行星风系
'xing'zheng'di'li 行政地理
'xing'zheng'jie'xian 行政界线
'xiu'geng 休耕
'xuan'bing'chuan 悬冰川
'xuan'ju'di'li 选举地理
'xuan'yi'zhi 悬移质
'xuan'zhi 选址
'xue'beng 雪崩
'xue'dai 雪带
'xue'shi 雪蚀
'xue'xian 雪线
'xun'lian'yang'ben 训练样本
'xun'lian'yang'qu 训练样区
'ya'gao'shan 亚高山
'ya're'dai 亚热带
'ya'xue'dai 亚雪带
'yan'beng 岩崩
'yan'bin'ni'sha'liu 沿滨泥沙流
'yan'ge'di'li 沿革地理
'yan'hai'gong'ye 沿海工业
'yan'hu 盐湖
'yan'mo 岩漠
'yan'mo 盐漠
'yan'qi 岩漆
'yan'shi'quan 岩石圈
'yan'tan 岩滩
'yan'ti 演替
'yan'tu 盐土
'yan'xie'dui 岩屑堆
'yan'xie'zhui 岩屑锥
'yan'zhao 盐沼
'yang'bei'shi 羊背石
'yang'pen 洋盆
'yang'po 阳坡
'yao'chong'cheng'shi 要冲城市
'yao'gan'ping'tai 遥感平台
'yao'gan'xin'xi 遥感信息
'yao'gan'zhi'tu 遥感制图
'ye'zhuang'bo'luo 页状剥落
'yi'jing'di'tu 意境地图
'yi'ping'mian 夷平面
'yi'ping'zuo'yong 夷平作用
'yi'xue'di'li'xue 医学地理学
'yin'li'mo'shi 引力模式
'yin'po 阴坡
'ying'xiang'di'tu 影象地图
'ying'xiang'fen'bian'lv 影象分辨率
'ying'xiang'hui'du 影象灰度
'ying'xiang'pan'du 影象判读
'ying'xiang'zhi'liang 影象质量
'ying'ye'lin 硬叶林
'ying'yong'di'li'xue 应用地理学
'you'chao'he'kou 有潮河口
'you'nian'tu'rang 幼年土壤
'you'qi'di'li 游憩地理
'you'qi'zhong'xin 游憩中心
'you'yi'hu 游移湖
'you'zheng'di'li'xue 邮政地理学
'yu'bao'di'tu 预报地图
'yu'di'qin'shi 雨滴侵蚀
'yu'lin 雨林
'yu'xian'ren'kou 阈限人口
'yu'yan'di'li'xue 语言地理学
'yu'ying 雨影
'yuan'di'li'xue 元地理学
'yuan'xing'gong'ye'hua 原型工业化
'yuan'zhu'tou'ying 圆柱投影
'yun'dong'xian'fa 运动线法
'yun'shu'di'li'xue 运输地理学
'yun'shu'lian'xi 运输联系
'yun'shu'qu'hua 运输区划
'yun'shu'shu'niu 运输枢纽
'yun'shu'wang'bu'ju 运输网布局
'yun'shu'wang'luo 运输网络
'yun'xuan'fa 晕渲法
'zai'bian'lun 灾变论
'zai'hai'di'li'xue 灾害地理学
'zeng'zhang'ji'lun 增长极论
'zhang'bi'ba 障壁坝
'zhao'ye'lin 照叶林
'zhao'ze 沼泽
'zhao'ze'hua 沼泽化
'zhao'ze'lv 沼泽率
'zhao'ze'sheng'tai'xi'tong 沼泽生态系统
'zhao'ze'shui'wen 沼泽水文
'zhao'ze'xing'cheng'guo'cheng 沼泽形成过程
'zhao'ze'xue 沼泽学
'zhao'ze'zhi'wu 沼泽植物
'zhen'ye'lin 针叶林
'zheng'can'ji'feng'hua'qiao 正残积风化壳
'zheng'chang'di'mao 正常地貌
'zheng'di'mao 正地貌
'zheng'fa 蒸发
'zheng'she'ying'xiang'di'tu 正射影象地图
'zheng'zhi'di'li'xue 政治地理学
'zhi'bei 植被
'zhi'bei'xing 植被型
'zhi'biao'tu 指标图
'zhi'jiao'zuo'biao 直角坐标
'zhi'liang'di'se'fa 质量底色法
'zhi'liu 支流
'zhi'min'di 殖民地
'zhi'neng'quan 智能圈
'zhi'shi'qun'luo 指示群落
'zhi'shi'zhi'wu 指示植物
'zhi'tu'jing'du 制图精度
'zhi'wu'di'li'xue 植物地理学
'zhi'wu'qu'xi 植物区系
'zhi'wu'qun'luo 植物群落
'zhong'li'di'dai 中立地带
'zhong'qun 种群
'zhong'sheng'zhi'wu 中生植物
'zhong'wei'zhao'ze 中位沼泽
'zhong'xin'cheng'shi 中心城市
'zhong'xin'di'li'lun 中心地理论
'zhong'xin'qu'wei 中心区位
'zhong'xin'shang'ye'qu 中心商业区
'zhong'yang'jing'xian 中央经线
'zhong'ying'yang'zhao'ze 中营养沼泽
'zhong'zhi'yuan 种植园
'zhong'zhi'zhi'du 种植制度
'zhu'bei'ji 猪背脊
'zhu'dao'gong'ye 主导工业
'zhuan'hong'rang 砖红壤
'zhuan'ti'di'tu 专题地图
'zhuan'ti'di'tu'ji 专题地图集
'zhuan'ti'di'tu'xue 专题地图学
'zhuan'ti'zhi'tu'yi 专题制图仪
'zhuan'yong'di'tu 专用地图
'zhun'ping'yuan 准平原
'zi'cheng'jing'guan 自成景观
'zi'dong'hua'zhi'tu 自动化制图
'zi'ji'xing'nong'ye 自给性农业
'zi'jin'mi'ji'gong'ye 资金密集工业
'zi'liu'shui'pen'di 自流水盆地
'zi'ran'bao'hu 自然保护
'zi'ran'bao'hu'qu 自然保护区
'zi'ran'di'li'guo'cheng 自然地理过程
'zi'ran'di'li'xue 自然地理学
'zi'ran'huan'jing 自然环境
'zi'ran'jing'guan 自然景观
'zi'ran'li 自然历
'zi'ran'sheng'chan'qian'li 自然生产潜力
'zi'ran'yi'yuan'di 自然疫源地
'zi'ran'zai'hai 自然灾害
'zi'ran'zi'yuan 自然资源
'zi'ran'zi'yuan'bao'hu 自然资源保护
'zi'ran'zong'he'ti 自然综合体
'zi'wai'yao'gan 紫外遥感
'zi'xue'xi'tong 自学系统
'zi'you'shi'chang 自由市场
'zi'yuan'di'li'xue 资源地理学
'zi'yuan'xin'xi'xi'tong 资源信息系统
'zi'yuan'you'shi 资源优势
'zi'zhi'qu 自治区
'zi'zhuan 自转
'zong'gai'tu 棕钙土
'zong'gu 纵谷
'zong'he'di'tu'ji 综合地图集
'zong'he'fa'zhan 综合发展
'zong'he'kao'cha 综合考察
'zong'he'ping'jia'di'tu 综合评价地图
'zong'he'yun'shu 综合运输
'zong'he'zhi'tu 综合制图
'zong'he'zi'ran'di'li'xue 综合自然地理学
'zong'he'zi'ran'qu'hua 综合自然区划
'zong'jiao'di'li 宗教地理
'zong'mo'tu 棕漠土
'zong'qin'shi'ji'zhun'mian 总侵蚀基准面
'zong'rang 棕壤
'zong'ti'kai'fa 总体开发
'zong'xiang'sha'qiu 纵向沙丘
'zong'zheng'fa 总蒸发
'zuo'wu'bu'ju 作物布局
'zuo'wu'zu'he 作物组合
