'a'bi'de 阿比德
'di'jie'chang'hong'xue'cheng'bi 地结苌弘血成碧
'di'lao'cui'tui'bu'zuo'jian 抵老摧颓不作茧
'di'li'shen'cui'shi'er'feng 滴沥深摧十二峰
'di'qian'chang'jiang'zuo'nan'du 帝遣长江作南渎
'di'qiu'zhi'min'da'shi'hong 地球之民大誓訇
'di'ru'si'qi'fang'luo'shi 第入思齐访落诗
'di'sheng'xiang'lao'xi'ri'qi'xi 低声相劳兮日其夕
'di'shi'yu'yi'hua'wu'zhi'zhen 帝示予以化物之甄
'di'wen'hua'li'shui'bi'fei 地文划劙水觱沸
'di'yan'xiao'yi'wang'yan 帝宴笑以忘言
'di'you'jing'gu'zhi'ji'nian 地幽井古知几年
'di'zhu'xi'shang'shang 砥柱兮汤汤
'dian'er'bu'chi 颠而不持
'dian'ying'lei'lei'pei'shan'shan 钿璎累累佩珊珊
'diao'huang'yuan'zu'ying'xiang'si 钓璜远祖应相似
'diao'meng'hua'dong'guang'chen'chen 雕甍画栋光沉沉
'ding'an'xian'sheng'gu'jiu'lai'shang'zhi 定庵先生沽酒来赏之
'ding'ce'qing'yuan'chu 定策庆元初
'ding'li'jiang'lai'yi'bo'zhong 定力降来一钵中
'ding'ri'yue'zhi'suo'she'xi 定日月之所舍兮
'ding'zhou'hua'ci'zhuo'hong'yu 定州花瓷琢红玉
'ding'zi'gu'zhong'lie'lou'lu 丁字沽中列楼卤
'dong'dong'xia'jian'min'zhi'qing 洞洞下鉴民之情
'dong'guo'you'ren'qian'gu'qing 东郭幽人千古情
'dong'ting'xiao'xiang'wan'feng'xiu 洞庭潇湘晚风休
'dong'xi'bi'ci'sui'bu'tong 东西彼此虽不同
'dong'xi'xi'yu'you'chen 动细习於游尘
'dong'yang'you'guan'zu'gao'wo 洞阳有馆足高卧
'dong'you'ze'xi'shen'ding 动有则兮神定
'dong'you'zhuo'he'xi'qing'zhang 东有浊河西清漳
'dou'bu'shi 都不是
'dou'ping'lu'xi'zhen'she 陡平陆兮震慑
'dou'qie'xian'xi'shen'hu'he'yi'wei'yu 都且闲兮神乎何以为御
'du'chu'kong'lu'zuo'lei'xie 独处空庐坐缧绁
'du'de'dong'fang'ren 独得东方仁
'du'hao'xiu'yi'zeng'kua'xi 独好修以增姱兮
'du'jian'xiao'yu'ming'ming 独见晓於冥冥
'du'jing'xi'shu'fang 读经兮漱芳
'du'juan'xiao'ti'yuan'mu'jiao 杜鹃晓啼猿暮叫
'du'ling'bao'tuo'shou'qin'shi 杜陵宝唾手亲拾
'du'qin'ai'xi'shi'ru'yong 毒侵癌袭蚀汝痈
'du'shu'wo'kan'san'feng'yun 读书卧看三峰云
'du'yi'yi'er'wu'shui'yu'xi 独挹抑而无谁语兮
'du'you'shi'ren'huo'nan'shou 独有诗人货难售
'du'you'xian'feng'zhe'chang'xiu 独有仙风折长袖
'duan'geng'liu'si'zheng'you'ye 断梗流澌正幽咽
'duan'mao'chun'yi'jing'xiang'jiu 短帽鹑衣竞相就
'duan'yi'dong'zhi'bu'neng'jie 短衣冻指不能结
'dui'ke'shi'shao'wei 对客实少味
'dui'qing'ruo'bing 对卿若兵
'dui'zhi'yi'zu'liang'fei'ying 对之已足凉肺膺
'duo'duo'he'he 哆哆啝啝
'duo'duo'hu'seng 咄咄胡僧
'duo'kan'bi'sheng'bu'neng'bi 多看毕生不能毕
'duo'qu'huang'gan'qian'hu'hou 夺去黄柑千户侯
'duo'yi'lun'shi'wei'mao'zhang 朵颐论诗谓毛张
'duo'yin'yin'ji'zeng'chou'chang 堕裀印屐增惆怅
'duo'zheng'li 夺正理
'e'da'yan'er'shun'tui 俄怛焉而顺隤
'e'feng'tao'xi'xiang'dong 愕风涛兮项洞
'e'qing'ku'quan'fei'wei'ye 俄顷枯泉飞为液
'e'qing'sheng'bai'fa 俄顷生白发
'e'you'bei'hu'zhi'yu'chong'xi 俄有悲乎之羽虫兮
'e'zhe'qu'zhi'li'dang'cong 恶者去之理当从
'er'da'shi'shu'nv'si'ma 儿大诗书女丝麻
'er'de'qi'yu'zhi'cao 而得耆域之草
'er'hao'zhi'suo'zheng 二豪之所争
'er'hou'liao'liao'ji'bai'nian 尔后寥寥几百年
'er'jin'feng'huo'lie'tun'shu 而今烽火列屯戍
'er'jin'yi'er 而今已而
'er'lai'hou'tu'zhong'ye'zhen 迩来后土中夜震
'er'leng'bu'ceng'wen'ci'qu 耳冷不曾闻此曲
'er'leng'ran'si'you'suo'cun 而冷然似有所存
'er'miao'ling'tai'xiang'xiao'ti 二妙灵台向晓啼
'er'nv'he'zu'gu 儿女何足顾
'er'qi'huo'zhe'tian'shi'shi'zhi'sang'yu 而其或者天实使之丧予
'er'qian'nian'hou'fu'lai'gui 二千年后复来归
'er're'qi'tun'kun'gang'beng 耳热气吞昆冈崩
'er'ru'zi'cheng'ming 而孺子成名
'er'shi'er'nian'kan'xian'fei 二十二年看仙飞
'er'shi'nian'qian'shen'xing'huang 二十年前身姓黄
'er'shi'si'zheng'wu'bu'zhi 二十四证无不治
'er'shi'wu'cheng'bu'dang'jia 二十五城不当价
'er'shi'yi'sui'ci'qi'gu 二十一岁赐旗鼓
'er'shi'yu'nian'zou'chen'tu 二十馀年走尘土
'er'wo'wu'cai'jing'ruo'he 而我无才竟若何
'er'xi'zi'yi'you'fang'zhi'nei 而席子以游方之内
'er'xi'zi'yi'you'fang'zhi'wai 而席子以游方之外
'er'yue'tu 二月兔
'er'zhong'bu'neng'sui'gong'zhi'zhuang'huai 而终不能遂公之壮怀
'er'zhong'dao'zhi'qi'xi 而中道之弃兮
'fa'mu'ding'ding 伐木丁丁
'fa'nai'zui 罚乃罪
'fa'ren'kang'zhuang 发轫康庄
'fa'yu'ge'yong'xing'yu'shi 发于歌咏形于诗
'fan'ba'er'wang'er'bai'nian 凡八而往二百年
'fan'cheng'da'gu'e 范成大姑恶
'fan'cheng'da'jiao'nan 范成大交难
'fan'cheng'da'song'zi'wen'za'yan 范成大送子文杂言
'fan'cheng'da'wan'sui'teng'ge 范成大万岁藤歌
'fan'cheng'da'zhou'jin'xing 范成大昼锦行
'fan'di'zheng'lun'wei'chang'kuang 翻抵正论为猖狂
'fan'er'chuan'tou'lei'da'gu 番儿船头擂大鼓
'fan'jun'yi'xiang'lei'qiu'ju'zhi'ying 泛君以湘累秋菊之英
'fan'wu'tao 泛吴涛
'fan'yin'ji'jie'shi'er'bian 繁音急节十二遍
'fan'ying'rao'dian'jing'cheng'yan 繁英绕甸竞呈妍
'fan'you'xing'er'yi'da'guan'xi 犯有形而遗大观兮
'fan'zuo'tian'dan'yong'rong'sheng 翻作恬淡雍容声
'fang'gu'ji'xi'chuang'ran 访故迹兮怆然
'fang'hai'ye'qian'guan'jiang'jun 防海夜遣关将军
'fang'hun'dun'zhi'suo'zhi'xi 访混沌之所止兮
'fang'jiao'han'shan'ti'mu'ye 仿郊寒山题木叶
'fang'mo'jiang'xi 方谟匠兮
'fang'sa'ta'er'bing'yu'xi 芳飒遝而并御兮
'fang'shi'dao'zhi'wei'hua'xi 方世道之纬繣兮
'fang'shi'fu'er'yan'xiu'ling 方士服饵延修龄
'fei'die'ke'jia'guang'su'chong 飞碟可驾光速冲
'fei'fu'ren'rang'bi'xi'shui'yu'gan'wu 非夫人攘臂兮谁余敢侮
'fei'he'hu'zhi'wu'zhou 非河浒之无舟
'fei'lian'xian'qu'zou'huan'yu 蜚廉先驱走寰宇
'fei'meng'hua'dong'cen'ci'fu 飞甍画栋参差浮
'fei'qi'ji'yi 飞其机矣
'fei'qi'qin'shan'si'wu'yi 废弃寝膳思无益
'fei'qing'pin'bai'ou'xi'shei'yu'tong'le 非青蘋白鸥兮谁与同乐
'fei'qiu'xian'yu'shi 非求显於世
'fei'qu'yi'yu'ren 非取异於人
'fei'wei'gu'shi'kai'ke'chang 非为故事开科场
'fei'yi'qi'cai'gu'ye 非以其材故耶
'fen'fen'er'bei'gou'fu'gui 纷纷儿辈苟富贵
'fen'hong'xiao'die'mei'liu'yan 纷红小蝶没柳烟
'fen'ran'ji'weng'huo'xiao'er 奋然击瓮活小儿
'fen'shi'zhi'tu'yu'sheng'xi 分士之土与生息
'fen'wu'yu'wan'peng'e'mei 分无玉碗捧蛾眉
'fen'xiang'zai'bai'qi'bi'cang 焚香再拜祈彼苍
'feng'chui'shuang'kong'yue'sheng'po 风吹霜空月生魄
'feng'dang'yang'hua'wu'pan'an 风荡杨花无畔岸
'feng'di'ze'ye 奉帝则也
'feng'gang'qiao'yin'zhi'yi'gao 凤冈樵隐之遗稿
'feng'gao'yu'xi'yi'bu'xiang 凤告予兮以不祥
'feng'huang'qi'lin'wu'yu'yong 凤凰麒麟舞虞咏
'feng'lin'lu'he 风林露壑
'feng'ling'ling'xi'duan'si 风稜稜兮断澌
'feng'luan'qi'yi'qi'mu'mu 峰峦泣以其穆穆
'feng'men'chang'he'er'jin'yu 风门阊阖而进予
'feng'mo'tian'er'shi'ye 凤摩天而逝也
'feng'nian'xiao'xi'ding'he'ru 丰年消息定何如
'feng'qin'an'le'yi'bei'shui 奉亲安乐一杯水
'feng'qu'yu'ya'wu'fu'ai 风驱雨压无浮埃
'feng'rou'ri'nuan'hua'qi'fa 风柔日暖花气发
'feng'sheng'qun'kou'fang'chu'qi 风生群口方出奇
'feng'tu'ji'zhi'feng'ren'gong 逢土即掷逢人攻
'feng'xiu'bo'jing'er'wu'yun 风休波静而无云
'feng'xiu'di'ang'ru'you'qing 风袖低昂如有情
'feng'xiu'yu'zhi'xi'shen'he'chu'suo 风休雨止兮神何处所
'feng'ya'yi'yin'tang'shang'cun 风雅遗音傥尚存
'feng'yu'bu'dong'chang'cang'ran 风雨不动常苍然
'feng'yu'shi'xi'duo'shu'tu 风雨时兮多黍稌
'feng'yu'xiao'xiao'ji'zi'ming 风雨潇潇鸡自鸣
'feng'zhou'tang'qian'ye'ju'xiang 凤咮堂前野桔香
'fo'dan'yu'xi'xi 佛诞于西兮
'fo'sheng'yu'tian'xi 佛升于天兮
'fu'bu'si 妇不死
'fu'guo'yu'fu'pin'yu'pin 富国愈富贫愈贫
'fu'ji'er'gao'xiu'shan'zhi'xun'xi 扶疾而告修善之训兮
'fu'jian'ru'zhi'si 复见汝之死
'fu'jin'ding'ding'kong'gu'qiao 斧斤丁丁空谷樵
'fu'li'jin'ke'shi'ye'sou 扶犁近可师野叟
'fu'li'sheng'yu'zeng'sheng'chen 釜里生鱼甑生尘
'fu'mo'bao'hong'zhi'dao'shan 抚摩宝泓置道山
'fu'mu'bu'lai'xin'du'ku 傅姆不来心独苦
'fu'neng'yang'gu'gong'zhen'gui 妇能养姑供珍鲑
'fu'pan'gu'zhi'ding'xi 抚盘古之顶兮
'fu'ren'bi'huo 夫人避火
'fu'ren'bu'xia'tang 妇人不下堂
'fu'si'chi'yi'wei'zhu'jiu 腹似鸱夷惟贮酒
'fu'si'yu'shi'er'nian'hou'zhi'shi 复死于十二年后之事
'fu'suo'xiang'xi 斧所相兮
'fu'wan'shi'xi'yun'kong 付万事兮云空
'fu'wang'shi'xi'zi'lian 抚往事兮自怜
'fu'wei'zhong'chen'qi'lie'nv 夫为忠臣妻烈女
'fu'wen'ci'yu'cui'xin'gan 父闻此语摧心肝
'fu'weng'lv'wei 涪翁履危
'fu'weng'zhou'qin 涪翁昼寝
'fu'wo'hai'shang'peng'lai'zhi'xian'shan 负我海上蓬莱之仙山
'fu'xiu'zhi'lun'zi'you'chong 腐朽之论子犹崇
'fu'xuan'de'xi'yu'bu'ming'wei'ren 负玄德兮羽不名为人
'fu'yan'gu'e'wei'ke'zhi 妇言姑恶未可知
'fu'yang'zhi'jian 俯仰之间
'fu'yu'jian'a 扶余涧阿
'fu'yun'he'you'you 浮云何悠悠
'fu'yun'xi'gui'lai 浮云兮归来
'fu'zhe'shen'yin'san'shi'nian 覆辙沈吟三十年
'gai'chang'yin'chang'sang'zhi'wan 盖尝饮长桑之丸
'gai'tian'zhen'wu'guo 盖天振吾过
'gai'yi'e'fu'qi'qi'er'guai'guai 盖亦恶夫奇奇而怪怪
'gan'bing'xi'shi'hao'xiao'yong 赣兵昔时号骁勇
'gan'dan'yi'jian'sheng'guang'mang 肝胆一剑生光芒
'gan'wu'cheng'ju'geng'gong'shang 感物诚居耿恭上
'gan'ze'qu 赶则去
'gan'zi'dun'ji'xiang'yan'ku 感兹遁迹向岩窟
'gao'feng'qian'gu'wei'biao'ge 高风千古为标格
'gao'jie'ci'shi'ming 高揭刺史名
'gao'qiu'zhi'ren'xi'wei'jun'du 高丘之人兮为君妒
'gao'ren'chu'shi'xin'dan'bo 高人处世心淡泊
'gao'si'sun'jiu'huai'si'yu 高似孙九怀思禹
'gao'tang'dui'jiu'bu'de'zui 高堂对酒不得醉
'gao'wei'feng'lan'xia'tao'jiang 高为峰岚下涛江
'ge'bei'zhi'long'you'nan'zhi 葛陂之龙又难致
'ge'guo'tong'gong 各国同工
'ge'sheng'de 歌圣德
'ge'xie'lu'xi'you'lei'xuan'quan 歌薤露兮有泪悬泉
'ge'xie'lu'zhi'san'zhang'xi 歌薤露之三章兮
'ge'yi'xie'yi'jia'xiong'di'zhi'qing 歌以写一家兄弟之情
'ge'zhong'ji'shi'di'xing'xian 个中即是地行仙
'gen'dao'di 根到底
'geng'er'shi'xi'wu'xu 耕而食兮无恤
'geng'meng'zhu'bian'han'mo'chang 更蒙著鞭翰墨场
'geng'mi'zhong'jian'ji'nei'wai 更觅中间及内外
'geng'nian'pan'long'bu'ru'xiang 更碾盘龙不入香
'geng'shu'qi'chang'gong'ye'chui'zhu'gang 更书旗常功业垂朱杠
'geng'si'yi'shi'ji'yang'cheng 更思一士济阳城
'geng'wan'yu'li'tong'peng'ying 更万余里通蓬瀛
'geng'xie'tan'yu'zheng'dong'ji 更挟贪欲征东急
'geng'yi'bu'xu'quan 耕亦不须劝
'geng'you'chi'xu'hu 更有赤须胡
'geng'zuo'yan'ling'zai'diao'tai 更作严陵在钓台
'gong'dan'du'shu'zhu'chun'cha 公但读书煮春茶
'gong'du'shu'xi'hu'shang'tang 公读书兮湖上堂
'gong'guan'bian'he'shu 宫馆变禾黍
'gong'gui'lai'xi'gu'xiang 公归来兮故乡
'gong'jiu'guan'er'tian'ao 羾九关而天翱
'gong'lun'sui'lv'shi'xi 公论虽屡蚀兮
'gong'sun'lao'ru'yi'qu'xue 公孙老儒亦曲学
'gong'wei'di'min 共为帝民
'gong'ye'ge'ming'shu'bai'zai 工业革命数百载
'gong'ze'xi'chou'qiang'ci'hui 工则奚愁强疵毁
'gong'zi'zhen'xi'jiao'luo'hua'ge 龚自珍西郊落花歌
'gou'yu'bi'shi'bu'ke'chi 苟欲避世不可迟
'gu'bai'ri'lin'chen'xi 顾白日临辰兮
'gu'bu'e 姑不恶
'gu'bu'ruo'fang'zhi'zi'de'zhi'chang 固不若放之自得之场
'gu'cao'ai'jie'quan'shi'meng 孤操爱结泉石盟
'gu'chang'yi'hao'wei'huo 固常以好为祸
'gu'cheng'zao'jing'yu'qian'chi 孤城凿井逾千尺
'gu'duo'bing 故多兵
'gu'e'fu'suo'yun 姑恶妇所云
'gu'er'yi'zhong'bao'wang'ji 孤儿以忠报罔极
'gu'fu'ji'rang'xiang'cong'xi 鼓腹击壤相从嬉
'gu'guan'qing'deng'bu'zi'liao 孤馆青灯不自聊
'gu'guan'si'shi'er'bu'gai'qi'ke 故贯四时而不改其柯
'gu'ji'yin'wu'xi'mang'mang'zhui'xu 故迹堙芜兮茫茫坠绪
'gu'lai'dan'fu'shang'chun'shi 古来但赋伤春诗
'gu'lai'jian'guo'wei'zhong'yuan 古来建国惟中原
'gu'lai'jue'yi'bi'ming'shi 古来绝艺必名士
'gu'lai'xi'jia'ru'xian'yang 古来希价入咸阳
'gu'lai'ying'xiong'bi'nan'wu 古来英雄必南骛
'gu'mu'qing'yin'dan'jing'lan 古木清阴丹井栏
'gu'qie'bi'yu'peng'dan'zhi'shou 故窃比於彭耽之寿
'gu'ren'shou'chi'yi'jian'shu 故人手持一缄书
'gu'ren'suo'huai'he'lei'luo 古人所怀何磊落
'gu'ren'wang'wo'xi'hu'bu'gui 故人望我兮胡不归
'gu'ren'yu'wo'xi 古人与我兮
'gu'rou'shi'nian'zhong'yan'qing 骨肉十年终眼青
'gu'shi'su'zhi'guang'xiang'xi 固时俗之俇儴兮
'gu'shun'mu'er'xiang'jing 故眴目而相惊
'gu'tian'xia'shu'bu'xue'xi 顾天下孰不学兮
'gu'ting'le'xuan'xing'fu'zhi 顾听乐悬行复止
'gu'wei'ci'jing'zhen'liang'peng 顾谓此井真良朋
'gu'xi'qu'yuan'zhi'li'yi'de'xiang 故喜曲辕之栎以得祥
'gu'xiao'zi'guo'jin'wan'hu 古萧子国今万户
'gu'yan'fu'e'ding'you'zhi 姑言妇恶定有之
'gu'yue'shi'hu 故曰时乎
'gu'zhan'jiu'quan'xi'qi'qi'ke'zuo 顾瞻九泉兮岂其可作
'gu'zhi'ren'chang'ze'yan'xi 古之人偿责言兮
'gua'bao'bian'zhu'wu'qi'neng 挂包便住吾岂能
'guai'jun'he'tan'you'he'she 怪君何贪又何奢
'guai'shi'xiao'tang'jie'chong'gong 怪石篠簜皆充贡
'guan'cang'mi'wo'bu'de'qu 官仓縻我不得去
'guan'cao'zuo'shi'wu'liang'chou 官曹坐食无良筹
'guan'di'li'heng'ru'hu'lang 官籴吏横如虎狼
'guan'er'wu'guan'yue'zheng'guan 观而无观曰正观
'guan'gai'zhui'sui'jie'gui'you 冠盖追随皆贵游
'guan'gao'de'hou'duo'you'huan 官高得厚多忧患
'guan'he'ruo'ling 观壑若陵
'guan'he'sang'luan'duo'sha'lu 关河丧乱多杀戮
'guan'ju'po'wu'chao'yan'luo 官居破屋巢烟萝
'guan'jun'yong'yao'ru'you'shen 观君用药如有神
'guan'li'dao'yu'shu'ju'qiong 官吏祷雨术俱穷
'guan'pei'ru'yun'yan 冠佩如云烟
'guan'pei'xiang'wang'jing'ji'qiu 冠佩相望经几秋
'guan'xin'rong'bi'rao'jie'sheng 关心茸碧绕阶生
'guan'zhong'miao'zhi'xuan'xuan 观众妙之玄玄
'guan'zu'li'zheng'you'gu'chang 官租吏征有故常
'guang'bu'neng'ni'hong'guan'ri'chong'hun'chang 光不能霓虹贯日冲阍阊
'guang'nian'tiao'tiao'lai'ru'gong 光年迢迢来汝攻
'guang'wen'guan'she'fei'li'cao 广文官舍非吏曹
'guang'wen'zu'jie'deng'wang'ji 广文组解登王畿
'gui'cang'liu'yong'zhong'you'guang 龟藏六用中有光
'gui'cong'huo'huo'fa'xin'quan 贵从活火发新泉
'gui'lai'xi'xiao'yao 归来兮逍遥
'gui'lao'xi'lan'mei 桂橑兮兰楣
'gui'men'xiao'you'min'suo'mu 闺门孝友民所慕
'gui'qi'yu'di'yu 鬼泣于地狱
'gui'ren'bu'yi'jian 贵人不易见
'gui'shen'hu'he'liu'ding'li 鬼神护呵六丁立
'gui'shen'mo'jiu'gong'mo'shi 鬼神莫救功莫施
'gui'wo'xiu'yi 归我休矣
'gui'ying'qing'deng'zhao'gu'zuo 鬼影青灯照孤坐
'gui'yu'huai'zai 归欤怀哉
'gui'zhan'meng'ling'xi 归占梦灵兮
'guo'an'xi'qin'ning 国安兮亲宁
'guo'chang'jiao'xi'fu'xiong'hu 馘长蛟兮缚雄虎
'guo'jia'yang'shi'en'zhi'wo 国家养士恩至渥
'guo'nan'men'tou'zhe'yang'liu 国南门头折杨柳
'guo'po'jia'yi'fen 国破家亦焚
'guo'tou'yi'bai'tou'huang'fu 裹头衣白投荒服
'guo'wu'zhi'xi 国无知兮
'guo'you'shang 国有殇
'guo'zi'yi'wo 郭子遗我
'hai'bo'fei'yong'an'luo'ri 海波沸涌黯落日
'hai'hu'zai'shan'wai 海忽在山外
'hai'ji'qi'mie 醢鸡起灭
'hai'nei'xing'yi'cheng'gua'er 海内行翳称寡二
'hai'ru'he'xun'zai'yang'zhou 还如何逊在扬州
'hai'ruo'xi'xian'yue 海若兮献月
'hai'si'hu'zhi'qie'fa 骇兕虎之窃发
'hai'yue'gao'gao'wen'jiao'sheng 海月高高闻角声
'han'bu'ji'jiang'nan'zhi'luo'mao 寒不缉江南之落毛
'han'chan'sheng'su 寒蝉声速
'han'hai'lian'tian'jue'ren'ji 瀚海连天绝人迹
'han'ji'jiang'nan'zhi'luo'mao 寒缉江南之落毛
'han'jia'bu'tong'wu'li'guo 汉家不通无礼国
'han'jia'cheng'xiang'fang'you'bian 汉家丞相方忧边
'han'jia'lin'ge'duo'wang'hou 汉家麟阁多王侯
'han'jian'chen'bei'qian'zai'chi 汗简沉碑千载痴
'han'jiang'xi'ji'tian'ma'lai 汉将西极天马来
'han'jun'he'ri'tun'wei'bin 汉军何日屯渭滨
'han'li'shu'lv'gui'qi'yang 汉隶书吕规其阳
'han'mo'gong'ming'gui'si'du 翰墨功名归四杜
'han'ru'feng'sheng'san'xiao'se 寒入风声散萧瑟
'han'shu'qian'ye'ji'ze'qian'xi 寒暑浅夜极则迁兮
'han'wang'cang'huang'wen'dao'xi 汉王仓皇问道西
'han'wei'zhu'shu'chong'ceng'yun 汉魏著述充层云
'han'xu'ping'sheng'lin'yu'zhi 涵蓄平生霖雨志
'han'yong'yi'shi'yi'xi 函泳以适意兮
'hang'chu'ze 航楚泽
'hang'kong'mu'jian'mo'an'bi 航空母舰摩岸壁
'hang'tai'yuan'qi 航太远器
'hao'dong'hu'tian'ji 好动乎天机
'hao'hao'wan'wu'zi'sheng'cheng 浩浩万物资生成
'hao'li'zhi'cha'xi'tian'rang'yi'wei 毫釐之差兮天壤易位
'hao'ran'xi'zhang'zai 浩然兮长在
'hao'tian'bu'diao 昊天不吊
'he'bei'bu'zhi'xu'ji'zhou 河北不知虚几州
'he'ben'zhou'qi'liang'qiang 何奔骤其踉跄
'he'bu'ke'cheng 河不可乘
'he'chang'duan'ge'wu'ge'yong 何尝断隔无歌咏
'he'chang'shi'wu'bao'xi 盍尝视吾宝兮
'he'chu'di'shang'fei'tian'qiong 何处地上非天穹
'he'chu'hua'yan'you'hai'hui 何处华严有海会
'he'chu'po'suo'you'shi'jie 何处婆娑有世界
'he'dan'mie'di'qiu'ru'mie'yi'shi 核弹灭地球如灭一虱
'he'dang'xi'yu'zhu'zhong'tian 何当羲御驻中天
'he'er'cheng 呵二乘
'he'gan'nan'xiang'zheng'quan'heng 曷敢南向争权衡
'he'ge'que'li'bu'gan'qian 荷戈却立不敢前
'he'he'he 诃诃诃
'he'hen'yuan'bie'yin'shu'shao 何恨远别音书少
'he'hou'sheng'zhi'mei'mei 何后生之昧昧
'he'kuang'qi'lu'jian 何况岐路间
'he'ling'xiu'zhi'wei'yuan 何灵修之为怨
'he'neng'ren 何能忍
'he'ren'shi'jian'xin'xi'guo'xian 何人世间心兮过险
'he'ren'zhe'zhi'bu'shou 何仁者之不寿
'he'ru'chun'yu'chi'wa 何如春雨池蛙
'he'ru'jin'pao'jin'dai'pei'shuang'yu 何如锦袍金带佩双玉
'he'ru'qing'men'wu'se'gua 何如青门五色瓜
'he'ru'yang'qiu'diao'yan'sha 何如羊裘钓烟沙
'he'ru'yi'shen'wu'si'bi 何如一身无四壁
'he'shi'duan'neng'ju'guo'wo 何时端能俱过我
'he'shi'fen'fen'shuo'wei'qi 何事纷纷说魏齐
'he'shi'gu'yi'wei'lian'shan 何时古易为连山
'he'shi'jie'ying'zhuo'cang'lang 何时解缨濯沧浪
'he'shi'yan'qian'jian'an'du 何时眼前见安堵
'he'shi'yin'yi'wei'kun'qian 何时殷易为坤乾
'he'shu'ben'xi'lin'qiu 鹤书贲兮林丘
'he'suo'qi 何所期
'he'wei'hu'hong'huang'zhi'bu'zai'shi 曷为乎鸿荒之不再世
'he'xi'er'qi'ci'qu'ye 何喜而弃此去也
'he'xi'su'zhi'ri'li 何习俗之日醨
'he'xian'cang'sheng'wang'qian'xi 何限苍生望前席
'he'xue'shuang'zhi'bu'ren'xi 何雪霜之不仁兮
'he'yi'guan'zhi'liu'yu'yang 何以贯之柳与杨
'he'yi'mu'mo'zhi'you'kuang'feng 何异木末之有狂风
'he'yi'ni'fu'zhi'wan'shang 曷疑尼父之惋伤
'he'yi'wa'shi'tou'xu'kong 何异瓦石投虚空
'he'zhe'le'er'shui'zhe'zu'you 何者乐而谁者足忧
'he'zhi'shui 河之水
'he'zhi'zhu'zuo'you'xi'guan'sheng'zhao'jie 盍置诸左右兮观省昭揭
'he'zu'shang'hu'fu'ci 何足尚乎浮辞
'he'zui'jian'zhu'xin'mi'meng 何罪见诛心迷蒙
'hei'diao'shi'nian'bi 黑貂十年弊
'hei'he'wu'chuan'du'zhe'ji 黑河无船渡者几
'hei'sha'bai'lang'xiang'tun'tu 黑沙白浪相吞屠
'hen'jun'bu'feng'zhu'zhu'jun 恨君不逢朱竹君
'hen'jun'bu'yu'cheng'yu'men 恨君不遇程鱼门
'heng'shan'ba'ming'lie'feng'hou 恒山八命列封侯
'heng'shan'hu'bei'kai'han'jiang 横山虎北开汉疆
'hong'du'shan'gao'zhang'shui'shen 洪都山高章水深
'hong'qi'guan'dou'niu'xi 虹气贯斗牛兮
'hong'qi'man'cheng'qiao 虹起漫成桥
'hong'qi'qing'gai'hu'ming'mie 红旗青盖互明灭
'hong'shang'xia'pei'bu'yao'guan 虹裳霞帔步摇冠
'hong'si'tan'shi'zhi'ji'zhi'cai'nan 红丝潭石之际知才难
'hong'ya'han'bo'wang'zhu'chen 红牙捍拨网蛛尘
'hou'dai'er'sun'bu'shi'zu 后代儿孙不识祖
'hou'lai'geng'lai'nv'wa'xian 后来更赖女娲贤
'hu'bao'qun'er'shi'ren 虎豹群而食人
'hu'bu'gui 胡不归
'hu'bu'ke'bao 虎不可暴
'hu'du'wei'xi'tai'ge 胡独微兮台阁
'hu'men'yue'yan'hou 虎门粤咽喉
'hu'peng'yi'de'san'si'zi 呼朋亦得三四子
'hu'po'fan'guang'bai'yu'zun 琥珀泛光白玉樽
'hu'ran'hui'shou'bu'de'yi 忽然回首不得意
'hu'shang'qing'lin'bao'qiu'se 忽上青林报秋色
'hu'shang'zheng'wei'shi'she'kai 壶觞政为诗社开
'hu'shi'dan'dan 虎视眈眈
'hu'wang'zhan'bu'er'bu'nan 胡望瞻部而不南
'hu'wei'hu'lai'zai 胡为乎来哉
'hu'wei'ruo'zi'xiong 胡为若兹雄
'hu'wei'sao'tou'lu'quan'si'mang'mang 胡为搔头卢泉思茫茫
'hu'wei'zhi'ci'shan'zhi'you 胡为滞此山之幽
'hu'wo'feng'xi'biao'yi'bi 护我封狶膘以逼
'hu'xiao'er'wang'chi'kuang'long 呼啸而往驰狂龙
'hu'yi'ni'chang'wu'chu'wen 忽忆霓裳无处问
'hu'yin'xi'hu'xian 忽隐兮忽现
'hu'zhong'dao'er'chuan'zhi 胡中道而遄止
'hua'fei'bu'dao'di 花飞不到地
'hua'gong'zuo'ru'ru'ji'wo 画工作汝汝即我
'hua'hong'xi'yi'bai 花红兮衣白
'hua'lin'cao'qi'wu'jiao'qing 花林草砌无交情
'hua'ran'ju'huo'dan'tian'xia 砉然巨火啖天下
'hua'shen'wen'chang'bai'tong'di 花深闻唱白铜鞮
'hua'tai'yu'mu'chun'ci'qu 花台欲暮春辞去
'hua'wei'peng'lai'fang'zhang'yu'ying'zhou 化为蓬莱方丈与瀛洲
'hua'wei'xian'ren'wu'cheng'shi'er'lou 化为仙人五城十二楼
'hua'xu'shi'zhi'guo 华胥氏之国
'hua'zhang'xi'bo'e 花涨兮波恶
'hua'zhi'liu'se'jing'xian'hao 花枝柳色竞鲜好
'hua'zi'gang 华子冈
'huai'jin'wo'yu'di'zi'shang 怀瑾握瑜秪自伤
