'a'jiao'pian 阿胶片
'fu'fang'an'lin'ba'bi'tuo'zhu'she'ye 复方氨林巴比妥注射液
'fu'fang'bai'bu'zhi'ke'ke'li 复方百部止咳颗粒
'fu'fang'bai'bu'zhi'ke'tang'jiang 复方百部止咳糖浆
'fu'fang'bao'tai'song'ji'xue'teng'pian 复方保泰松鸡血藤片
'fu'fang'ben'ba'bi'tuo'xiu'hua'na'pian 复方苯巴比妥溴化钠片
'fu'fang'bing'gu'an'xi'mi'ti'ding'pian 复方丙谷胺西咪替丁片
'fu'fang'cao'shan'hu'han'pian 复方草珊瑚含片
'fu'fang'chen'xiang'wei'pian 复方沉香胃片
'fu'fang'chen'xiang'wei'pian 复方陈香胃片
'fu'fang'chuan'bei'jing'pian 复方川贝精片
'fu'fang'chuan'xin'lian'pian 复方穿心莲片
'fu'fang'cu'suan'di'sai'mi'song'ru'gao 复方醋酸地塞米松乳膏
'fu'fang'dan'an'suan'dan'jian'pian 复方蛋氨酸胆碱片
'fu'fang'dan'shen'di'wan 复方丹参滴丸
'fu'fang'dan'shen'pian 复方丹参片
'fu'fang'dan'shen'wan 复方丹参丸
'fu'fang'dan'tong'jiao'nang 复方胆通胶囊
'fu'fang'dan'tong'pian 复方胆通片
'fu'fang'di'fen'nuo'zhi'pian 复方地芬诺酯片
'fu'fang'du'zhong'jiao'nang 复方杜仲胶囊
'fu'fang'e'zhu'you'shuan 复方莪术油栓
'fu'fang'gan'cao'kou'fu'rong'ye 复方甘草口服溶液
'fu'fang'gan'cao'pian 复方甘草片
'fu'fang'gan'cao'suan'gan'jiao'nang 复方甘草酸苷胶囊
'fu'fang'gan'cao'suan'gan'zhu'she'ye 复方甘草酸苷注射液
'fu'fang'gan'cao'zhe'bei'lv'hua'an'pian 复方甘草浙贝氯化铵片
'fu'fang'ge'qing'pian 复方蛤青片
'fu'fang'gu'tai'zhu'she'ye 复方骨肽注射液
'fu'fang'gua'zi'jin'ke'li 复方瓜子金颗粒
'fu'fang'huang'an'jia'e'zuo'pian 复方磺胺甲噁唑片
'fu'fang'huang'an'mi'pian 复方磺胺脒片
'fu'fang'huang'lian'su'pian 复方黄连素片
'fu'fang'jie'geng'zhi'ke'pian 复方桔梗止咳片
'fu'fang'jin'yin'hua'ke'li 复方金银花颗粒
'fu'fang'lei'fu'nu'er 复方雷夫奴尔
'fu'fang'lei'ni'ti'ding'jiao'nang 复方雷尼替丁胶囊
'fu'fang'li'xue'ping'an'ben'die'ding'pian 复方利血平氨苯碟啶片
'fu'fang'li'xue'ping'pian 复方利血平片
'fu'fang'liu'huang'ru'gao 复方硫黄乳膏
'fu'fang'long'dan'tan'suan'qing'na'pian 复方龙胆碳酸氢钠片
'fu'fang'lu'hui'jiao'nang 复方芦荟胶囊
'fu'fang'lu'hui'pian 复方芦荟片
'fu'fang'luo'bu'ma'pian 复方罗布麻片
'fu'fang'lv'suan'bi'pian 复方铝酸铋片
'fu'fang'lv'yi'ding'di'sai'mi'song'mo 复方氯已定地塞米松膜
'fu'fang'nao'dan'bai'shui'jie'wu'pian 复方脑蛋白水解物片
'fu'fang'niu'huang'xiao'yan'jiao'nang 复方牛黄消炎胶囊
'fu'fang'qi'guan'yan'pian 复方气管炎片
'fu'fang'qing'dai'wan 复方青黛丸
'fu'fang'qing'yang'hua'lv'pian 复方氢氧化铝片
'fu'fang'san'qin'lu'ding'pian 复方三嗪芦丁片
'fu'fang'shi'wei'jiao'nang 复方石韦胶囊
'fu'fang'shi'wei'ju'jue'pian 复方石韦咀嚼片
'fu'fang'tong'kang'zuo'fa'yong'xi'ji 复方酮康唑发用洗剂
'fu'fang'tong'kang'zuo'ruan'gao 复方酮康唑软膏
'fu'fang'xian'he'cao'chang'yan'pian 复方仙鹤草肠炎片
'fu'fang'xing'xiang'tu'er'feng'jiao'nang 复方杏香兔耳风胶囊
'fu'fang'xiong'dan'di'yan'ye 复方熊胆滴眼液
'fu'fang'yan'bai'cai'su'pian 复方岩白菜素片
'fu'fang'yang'jiao'ke'li 复方羊角颗粒
'fu'fang'yang'jiao'pian 复方羊角片
'fu'fang'yi'mei'san 复方胰酶散
'fu'fang'yi'xian'shui'yang'suan'pian 复方乙酰水杨酸片
'fu'fang'zuo'que'nuo'yun'tong'pian 复方左炔诺孕酮片
'fu'gui'gu'tong'jiao'nang 附桂骨痛胶囊
'fu'he'wei'sheng'su'yan'bu'jing'hua 复合维生素眼部精华
'fu'he'wei'ta'ming'jin'fu'shui 复合维他命紧肤水
'fu'jian'sheng'quan'zhou'luo'shang'shan'zhi'yao'chang 福建省泉州罗裳山制药厂
'fu'jian'tai'ping'yang'zhi'yao'you'xian'gong'si 福建太平洋制药有限公司
'fu'kang'pian 妇康片
'fu'kang'zuo'jiao'nang 氟康唑胶囊
'fu'kang'zuo'lv'hua'na'zhu'she'ye 氟康唑氯化钠注射液
'fu'kang'zuo'pian 氟康唑片
'fu'ke'an'pian 腹可安片
'fu'ke'qian'jin'pian 妇科千金片
'fu'ke'tiao'jing'ke'li 妇科调经颗粒
'fu'ke'tiao'jing'pian 妇科调经片
'fu'ke'zhi'xue'ling'pian 妇科止血灵片
'fu'le'ke'li 妇乐颗粒
'fu'ling'pu'gong'ying'qu'wei'xi'ye 茯苓蒲公英祛味洗液
'fu'ming'pian 复明片
'fu'nan'tuo'yin'chang'rong'pian 呋喃妥因肠溶片
'fu'nan'zuo'tong'pian 呋喃唑酮片
'fu'ping'jiao'nang 妇平胶囊
'fu'ren'yao'ye'ji'tuan'you'xian'gong'si 辅仁药业集团有限公司
'fu'sai'mi'pian 呋塞米片
'fu'sai'mi'zhu'she'ye 呋塞米注射液
'fu'tai'li'fu'xie'tie 弗泰吏腹泻贴
'fu'tai'li'tui're'tie 弗泰吏退热贴
'fu'tai'li'zao'yun'jian'ce'bi 弗泰吏早孕检测笔
'fu'xin'meng'yao'you'xian'gong'si 阜新蒙药有限公司
'fu'yan'jie 妇炎洁
'fu'yan'jing'jiao'nang 妇炎净胶囊
'fu'yan'jing'pian 妇炎净片
'fu'yan'kang'fu'pian 妇炎康复片
'fu'yan'kang'pian 妇炎康片
'fu'yan'ling'pao'teng'pian 妇炎灵泡腾片
'fu'yue'kang'jiao'nang 妇月康胶囊
'fu'zhou'chen'xing'yao'ye'you'xian'gong'si 福州辰星药业有限公司
'fu'zhuan'jia'jin'san'jiao'pen'ji 肤专家金三角喷剂
'fu'zhuan'jia'jin'san'jiao'ruan'gao 肤专家金三角软膏
'fu'zhuan'jia'pen'ji 肤专家喷剂
'fu'zhuan'jia'shi'yang'wang 肤专家湿痒王
'fu'zhuan'jia'tong'li'xiao 肤专家痛立消
'fu'zhuan'jia'xuan'wang 肤专家癣王
'fu'zi'li'zhong'wan 附子理中丸
'ga'ri'di'wu'wei'wan 噶日迪五味丸
'gai'jia'xin'kou'fu'ye 钙加锌口服液
'gai'ruan'jiao'nang'wei'er'jian 钙软胶囊维尔健
'gai'wei'ping'pian 盖胃平片
'gan'an'suan'tan'suan'gai'jiao'nang 甘氨酸碳酸钙胶囊
'gan'cao'liang'yan'tang 甘草良咽糖
'gan'cao'pian 甘草片
'gan'cao'suan'er'zhu'she'ye 甘草酸二注射液
'gan'fu'kang'wan 肝复康丸
'gan'jiao'mu'pian 干酵母片
'gan'lan'shen'ceng'qing'jie'jing'you'zao 橄榄深层清洁精油皂
'gan'lu'chun'zhu'she'ye 甘露醇注射液
'gan'lu'liu'yan'zhi'pian 甘露六烟酯片
'gan'mao'ling'ke'li 感冒灵颗粒
'gan'mao'qing'jiao'nang 感冒清胶囊
'gan'mao'qing'ke'li 感冒清颗粒
'gan'mao'qing're'ke'li 感冒清热颗粒
'gan'mao'ruan'jiao'nang 感冒软胶囊
'gan'mao'tui'shao'pian 感冒退烧片
'gan'mao'zhi'ke'ke'li 感冒止咳颗粒
'gan'shu'lin'bi 甘舒霖笔
'gan'shuang'ke'li 肝爽颗粒
'gan'su'cheng'ji'yao'ye'you'xian'gong'si 甘肃成纪药业有限公司
'gan'su'fo'ren'zhi'yao'ke'ji'you'xian'gong'si 甘肃佛仁制药科技有限公司
'gan'su'he'xi'zhi'yao'you'xian'ze'ren'gong'si 甘肃河西制药有限责任公司
'gan'su'tai'kang 甘肃泰康
'gan'su'tian'sen'yao'ye'you'xian'gong'si 甘肃天森药业有限公司
'gan'su'xin'lan'yao'yao'ye'you'xian'gong'si 甘肃新兰药药业有限公司
'gan'su'zhong'tian'jin'dan'yao'ye'you'xian'gong'si 甘肃中天金丹药业有限公司
'gan'su'zhong'you'yao'ye'you'xian'gong'si 甘肃众友药业有限公司
'gan'tai'shu'jiao'nang 肝泰舒胶囊
'gan'yu'jiao'nang 感愈胶囊
'gang'kang'mu'ku'li'pian 肛康穆库利片
'gang'shu'ning 肛舒宁
'gang'tai'tie 肛泰贴
'gao'meng'suan'jia 高锰酸钾
'ge'gen'su'lv'hua'na'zhu'she'ye 葛根素氯化钠注射液
'ge'hong'jiao'qi'shui 葛洪脚气水
'ge'jie'ding'chuan'wan 蛤蚧定喘丸
'ge'lie'ben'niao'pian 格列本脲片
'ge'lie'bi'qin'pian 格列吡嗪片
'ge'lie'mei'niao'pian 格列美脲片
'ge'lie'qi'te'pian 格列奇特片
'gen'tong'ping'jiao'nang 根痛平胶囊
'geng'nian'an'pian 更年安片
'geng'nian'ling'jiao'nang 更年灵胶囊
'gong'e'ya'you'suan'lv'cha 共轭亚油酸绿茶
'gong'liu'xiao'jiao'nang 宫瘤消胶囊
'gong'xiu'hong'rong'ye 汞溴红溶液
'gong'xue'ning'jiao'nang 宫血宁胶囊
'gong'yan'kang'fu'yong'xi'ye 宫炎康妇用洗液
'gong'yan'kang'jiao'nang 宫炎康胶囊
'gong'yan'ping'fen'san'pian 宫炎平分散片
'gong'yan'ping'jiao'nang 宫炎平胶囊
'gou'qi'wu'wei'zi'jiao'nang'wei'er'jian 枸芪五味子胶囊维尔健
'gu'ben'ke'chuan'jiao'nang 固本咳喘胶囊
'gu'ben'yan'ling'wan 固本延龄丸
'gu'chang'jiao'nang 固肠胶囊
'gu'chang'zhi'xie'wan 固肠止泻丸
'gu'ci'ping'pian 骨刺平片
'gu'ci'xiao'tong'jiao'nang 骨刺消痛胶囊
'gu'ci'xiao'tong'ye 骨刺消痛液
'gu'tai'zhu'she'ye 骨肽注射液
'gu'wei'su'pian 谷维素片
'gu'you'ling'ca'ji 骨友灵擦剂
'gu'zhe'cuo'shang'jiao'nang 骨折挫伤胶囊
'gu'zhi'zeng'sheng'tie 骨质增生贴
'guan'jie'zhi'tong'gao 关节止痛膏
'guan'mai'ning'pian 冠脉宁片
'guan'xin'ning'zhu'she'ye 冠心宁注射液
'guan'xin'qi'wei'pian 冠心七味片
'guan'xin'sheng'mai'wan 冠心生脉丸
'guan'xin'shu'tong'jiao'nang 冠心舒通胶囊
'guan'xin'su'he'wan 冠心苏合丸
'guan'xin'tai'wan 冠心泰丸
'guang'dong'bai'ke'zhi'yao'you'xian'gong'si 广东百科制药有限公司
'guang'dong'bang'min'zhi'yao'chang'you'xian'gong'si 广东邦民制药厂有限公司
'guang'dong'cheng'mei'jing'ji'fa'zhan'you'xian'gong'si 广东诚美经济发展有限公司
'guang'dong'he'ping'yao'ye'you'xian'gong'si 广东和平药业有限公司
'guang'dong'heng'jian'zhi'yao'you'xian'gong'si 广东恒健制药有限公司
'guang'dong'hong'ying'ke'ji'you'xian'gong'si 广东宏盈科技有限公司
'guang'dong'hua'run'shun'feng'yao'ye'you'xian'gong'si 广东华润顺峰药业有限公司
'guang'dong'jia'ying'zhi'yao'gu'fen'you'xian'gong'si 广东嘉应制药股份有限公司
'guang'dong'jiu'lian'shan'yao'ye'you'xian'gong'si 广东九连山药业有限公司
'guang'dong'luo'fu'shan'guo'yao'gu'fen'you'xian'gong'si 广东罗浮山国药股份有限公司
'guang'dong'mei'hao'zhi'yao'you'xian'gong'si 广东美好制药有限公司
'guang'dong'nan'guo'yao'ye'you'xian'gong'si 广东南国药业有限公司
'guang'dong'ren'ren'kang'yao'ye'you'xian'gong'si 广东人人康药业有限公司
'guang'dong'sheng'hui'zhou'shi'zhong'yao'chang'you'xian'gong'si 广东省惠州市中药厂有限公司
'guang'dong'tai'an'tang'yao'ye'gu'fen'you'xian'gong'si 广东太安堂药业股份有限公司
'guang'dong'xian'qiang'yao'ye'gu'fen'you'xian'gong'si 广东先强药业股份有限公司
'guang'dong'xian'yue'zhi'yao'you'xian'gong'si 广东仙乐制药有限公司
'guang'dong'xin'feng'yao'ye'gu'fen'you'xian'gong'si 广东新峰药业股份有限公司
'guang'dong'xin'gong'yao'ye'you'xian'gong'si 广东新功药业有限公司
'guang'dong'xing'hao'yao'ye'you'xian'gong'si 广东星昊药业有限公司
'guang'dong'yi'chao'sheng'wu'ke'ji'you'xian'gong'si 广东亿超生物科技有限公司
'guang'dong'yi'he'yao'ye'you'xian'gong 广东一禾药业有限公
'guang'dong'yi'shu'zhi'yao'you'xian'gong'si 广东逸舒制药有限公司
'guang'xi'bo'ke'yao'ye'you'xian'gong'si 广西博科药业有限公司
'guang'xi'chan'fang'yao'ye'you'xian'gong'si 广西禅房药业有限公司
'guang'xi'chan'fang'yao'ye'you'xian'gong'si 广西禅方药业有限公司
'guang'xi'chun'zheng'tang'zhi'yao'chang 广西纯正堂制药厂
'guang'xi'da'li'shen'zhi'yao'gu'fen'you'xian'gong'si 广西大力神制药股份有限公司
'guang'xi'he'feng'yao'ye'you'xian'gong'si 广西河丰药业有限公司
'guang'xi'he'li'yao'ye'you'xian'gong'si 广西禾力药业有限公司
'guang'xi'heng'tuo'ji'tuan'ren'sheng'zhi'yao'you'xian'gong'si 广西恒拓集团仁盛制药有限公司
'guang'xi'jin'hai'tang'yao'ye'you'xian'ze'ren'gong'si 广西金海堂药业有限责任公司
'guang'xi'jin'nuo'zhi'yao'you'xian'gong'si 广西金诺制药有限公司
'guang'xi'jin'sang'zi'you'xian'ze'ren'gong'si 广西金嗓子有限责任公司
'guang'xi'jin'ye'zhi'yao'you'xian'gong'si 广西金页制药有限公司
'guang'xi'ling'feng'yao'ye'you'xian'gong'si 广西灵峰药业有限公司
'guang'xi'liu'zhou'yao'ye'you'xian'gong'si 广西柳州药业有限公司
'guang'xi'sheng'min'zhi'yao'you'xian'gong'si 广西圣民制药有限公司
'guang'xi'sheng'te'yao'ye'you'xian'gong'si 广西圣特药业有限公司
'guang'xi'shi'biao'zhi'yao'you'xian'gong'si 广西世彪制药有限公司
'guang'xi'shuang'yi'yao'ye'you'xian'gong'si 广西双蚁药业有限公司
'guang'xi'wu'zhou'zhi'yao'gu'fen'you'xian'gong'si 广西梧洲制药股份有限公司
'guang'xi'wu'zhou'zhi'yao'ji'tuan'gu'fen'you'xian'gong'si 广西梧州制药集团股份有限公司
'guang'xi'yi'kang'yao'ye'gu'fen'you'xian'gong'si 广西亿康药业股份有限公司
'guang'xi'yu'lan'zhi'yao'you'xian'gong'si 广西玉兰制药有限公司
'guang'xi'yu'lin'zhi'yao'ji'tuan'you'xian'ze'ren'gong'si 广西玉林制药集团有限责任公司
'guang'zhou'bai'yun'shan'zhi'yao'zong'chang 广州白云山制药总厂
'guang'zhou'bai'yun'zhong'yi'yao'ye'you'xian'gong'si 广州白云中一药业有限公司
'guang'zhou'da'ming'lian'he'xiang'jiao'zhi'pin'you'xian'gong'si 广州大明联合橡胶制品有限公司
'guang'zhou'fang'fan'sheng'wu'ke'ji'you'xian'gong'si 广州方凡生物科技有限公司
'guang'zhou'hui'shi'sheng'wu'ke'ji'you'xian'gong'si 广州惠氏生物科技有限公司
'guang'zhou'jin'han'quan'sheng'wu'ke'ji'you'xian'gong'si 广州金瀚泉生物科技有限公司
'guang'zhou'jin'yi'de'yi'yao'ke'ji'you'xian'gong'si 广州金益德医药科技有限公司
'guang'zhou'kang'he'yao'ye'you'xian'gong'si 广州康和药业有限公司
'guang'zhou'lai'tai'zhi'yao'you'xian'gong'si 广州来泰制药有限公司
'guang'zhou'niu'cui'jian'yi'yao'ke'ji'you'xian'gong'si 广州紐崔健医药科技有限公司
'guang'zhou'nuo'jin'zhi'yao'you'xian'gong'si 广州诺金制药有限公司
'guang'zhou'shi'li'en'sheng'wu'ke'ji'you'xian'gong'si 广州市利恩生物科技有限公司
'guang'zhou'shi'mei'di'er'sheng'wu'ke'ji'you'xian'gong'si 广州市美笛尔生物科技有限公司
'guang'zhou'shi'wo'mei'ri'hua'yong'pin'you'xian'gong'si 广州市沃美日化用品有限公司
'guang'zhou'shi'xian'ya'hua'zhuang'pin'you'xian'gong'si 广州市纤雅化妆品有限公司
'guang'zhou'tai'an'tang'yao'ye'gu'fen'you'xian'gong'si 广州太安堂药业股份有限公司
'guang'zhou'tong'ji'sheng'wu'ke'ji'you'xian'gong'si 广州同济生物科技有限公司
'guang'zhou'wei'li'yi'liao'qi'xie'gu'fen'you'xian'gong'si 广州维力医疗器械股份有限公司
'guang'zhou'yi'sen'kang'sheng'wu'ke'ji'you'xian'gong'si 广州懿森康生物科技有限公司
'gui'fu'di'huang'wan 桂附地黄丸
'gui'jia'yang'yin'pian 龟甲养阴片
'gui'lin'nan'yao'gu'fen'you'xian'gong'si 桂林南药股份有限公司
'gui'lin'san'jin'yao'ye'gu'fen'you'xian'gong'si 桂林三金药业股份有限公司
'gui'lin'xi'gua'shuang 桂林西瓜霜
'gui'ling'pian 桂灵片
'gui'long'jin'gu'ning'pian 归龙筋骨宁片
'gui'long'jin'gu'ning'pian 桂龙金骨宁片
'gui'long'yao'ye'an'hui'you'xian'gong'si 桂龙药业安徽有限公司
'gui'zhi'fu'ling'jiao'nang 桂芝茯苓胶囊
'gui'zhi'fu'ling'wan 桂芝茯苓丸
'gui'zhou'an'tai'yao'ye'you'xian'gong'si 贵州安泰药业有限公司
'gui'zhou'bai'ling'qi'ye'ji'tuan'zhi'yao'you'xian'gong'si 贵州百灵企业集团制药有限公司
'gui'zhou'bai'te'zhi'yao'you'xian'gong'si 贵州拜特制药有限公司
'gui'zhou'hao'cheng'yao'ye'you'xian'gong'si 贵州浩诚药业有限公司
'gui'zhou'jia'cheng'yao'ye'you'xian'ze'ren'gong'si 贵州家诚药业有限责任公司
'gui'zhou'jian'xing'yao'ye'you'xian'ze'ren'gong'si 贵州健兴药业有限责任公司
'gui'zhou'jing'feng'zhu'she'ji'you'xian'gong'si 贵州景峰注射剂有限公司
'gui'zhou'shen'qi'yao'ye'you'xian'gong'si 贵州神奇药业有限公司
'gui'zhou'shun'jian'zhi'yao'you'xian'gong'si 贵州顺健制药有限公司
'gui'zhou'tian'di'yao'ye'you'xian'ze'ren'gong'si 贵州天地药业有限责任公司
'gui'zhou'tong'ji'tang'zhi'yao'you'xian'gong'si 贵州同济堂制药有限公司
'gui'zhou'wei'men'yao'ye'you'xian'gong'si 贵州威门药业有限公司
'gui'zhou'yi'bai'zhi'yao'you'xian'gong'si 贵州益佰制药有限公司
'guo'ge 国哥
'guo'yang'hua'qing 过氧化氢
'guo'yao'ji'tuan'gong'ye'you'xian'gong'si 国药集团工业有限公司
'guo'yao'ji'tuan'guo'rui'yao'ye'you'xian'gong'si 国药集团国瑞药业有限公司
'guo'yao'ji'tuan'rong'sheng'zhi'yao'you'xian'gong'si 国药集团容生制药有限公司
'guo'yao'ji'tuan'san'yi'yao'ye'wu'hu'you'xian'gong'si 国药集团三益药业芜湖有限公司
'ha'er'bin'da'yang'zhi'yao'gu'fen'you'xian'gong'si 哈尔滨大洋制药股份有限公司
'ha'er'bin'er'tong'zhi'yao'chang'you'xian'gong'si 哈尔滨儿童制药厂有限公司
'ha'er'bin'hua'yu'ji'tuan'you'xian'gong'si 哈尔滨华雨集团有限公司
'ha'er'bin'jun'ke'xiao'du'yong'pin'chang 哈尔滨菌克消毒用品厂
'ha'er'bin'kai'cheng'zhi'yao'you'xian'gong'si 哈尔滨凯程制药有限公司
'ha'er'bin'kang'you'yao'ye'you'xian'gong'si 哈尔滨康友药业有限公司
'ha'er'bin'ren'huang'yao'ye'you'xian'gong'si 哈尔滨仁黄药业有限公司
'ha'er'bin'san'le'sheng'wu'gong'cheng'you'xian'gong'si 哈尔滨三乐生物工程有限公司
'ha'er'bin'san'lian'yao'ye 哈尔滨三联药业
'ha'er'bin'san'mu'zhi'yao'chang 哈尔滨三木制药厂
'ha'er'bin'sheng'tai'sheng'wu'zhi'yao'you'xian'gong'si 哈尔滨圣泰生物制药有限公司
'ha'er'bin'shi'tian'shi'wei'sheng'cai'liao'chang 哈尔滨市天使卫生材料厂
'ha'er'bin'tai'hua'yao'ye'gu'fen'you'xian'gong'si 哈尔滨泰华药业股份有限公司
'ha'er'bin'tong'yi'tang'yao'ye'you'xian'gong'si 哈尔滨同一堂药业有限公司
'ha'er'bin'yi'zhou'yao'ye'you'xian'gong'si 哈尔滨一洲药业有限公司
'ha'er'bin'zhong'yao'liu'chang'you'xian'gong'si 哈尔滨中药六厂有限公司
'ha'xi'nai'de'rong'ye 哈西奈德溶液
'ha'yao'ji'tuan'san'jing'ming'shui'yao'ye'you'xian'gong'si 哈药集团三精明水药业有限公司
'ha'yao'ji'tuan'san'jing'qian'he'zhi'yao'you'xian'gong'si 哈药集团三精千鹤制药有限公司
'ha'yao'ji'tuan'san'jing'zhi'yao'gu'fen'you'xian'gong'si 哈药集团三精制药股份有限公司
'ha'yao'ji'tuan'san'jing'zhi'yao'si'chang'you'xian'gong'si 哈药集团三精制药四厂有限公司
'ha'yao'ji'tuan'shi'yi'tang'zhi'yao'chang 哈药集团世一堂制药厂
'ha'yao'ji'tuan'zhi'yao'liu'chang 哈药集团制药六厂
'ha'yao'ji'tuan'zhi'yao'zong'chang 哈药集团制药总厂
'ha'yao'ji'tuan'zhong'yao'er'chang 哈药集团中药二厂
'ha'yao'pai'gai'tie'xin'kou'fu'ye 哈药牌钙铁锌口服液
'hai'gou'ren'shen'wan 海狗人参丸
'hai'kou'qi'li'zhi'yao'gu'fen'you'xian'gong'si 海口奇力制药股份有限公司
'hai'kou'shi'zhi'yao'chang'you'xian'gong'si 海口市制药厂有限公司
'hai'nan'bi'kai'yao'ye'you'xian'gong'si 海南碧凯药业有限公司
'hai'nan'hai'li'zhi'yao'you'xian'gong'si 海南海力制药有限公司
'hai'nan'hai'ling'hua'xue'zhi'yao'you'xian'gong'si 海南海灵化学制药有限公司
'hai'nan'quan'xing'zhi'yao'you'xian'gong'si 海南全星制药有限公司
'hai'nan'sheng'jin'dao'zhi'yao'chang 海南省金岛制药厂
'hai'nan'tong'yong'kang'li'zhi'yao'you'xian'gong'si 海南通用康力制药有限公司
'hai'nan'tong'yong'tong'meng'yao'ye'you'xian'gong'si 海南通用同盟药业有限公司
'hai'nan'wan'zhou'lv'se'zhi'yao'you'xian'gong'si 海南万州绿色制药有限公司
'hai'nan'xin'shi'tong'yao'ye'you'xian'gong'si 海南新世通药业有限公司
'hai'nan'yang'sheng'tang'yao'ye'you'xian'gong'si 海南养生堂药业有限公司
'hai'shao'dan 还少丹
'hai'wang'jin'zun'pian 海王金樽片
'han'dan'fu'rong'zhi'yao'you'xian'gong'si 邯郸滏荣制药有限公司
'han'dan'shi'bo'lin'yao'ye'you'xian'gong'si 邯郸市柏林药业有限公司
'han'dan'shi'ji'nan'zhi'yao'you'xian'gong'si 邯郸市冀南制药有限公司
'han'tang'wen'xin'ke'li 含糖稳心颗粒
'han'tao'ye'pian 汉桃叶片
'han'tong'yao'ye 汉通药业
'hang'zhou'fu'tai'li 杭州弗泰吏
'hang'zhou'guo'guang'yao'ye'you'xian'gong'si 杭州国光药业有限公司
'hang'zhou'hui'zhi'yuan'ke'ji'you'xian'gong'si 杭州惠致源科技有限公司
'hao'bei'bei'xiao'er'yi'sheng'jun'chong'ji 好贝贝小儿益生菌冲剂
'hao'yi'sheng'gao'gai'pian 好医生高钙片
'he'ai'jia'er 和爱佳儿
'he'bei'an'guo'yao'ye'ji'tuan'you'xian'gong'si 河北安国药业集团有限公司
'he'bei'bai'shan'yao'ye'you'xian'gong'si 河北百善药业有限公司
'he'bei'chang'tian'yao'ye'you'xian'gong'si 河北长天药业有限公司
'he'bei'guo'jin'yao'ye'you'xian'ze'ren'gong'si 河北国金药业有限责任公司
'he'bei'heng'shui'shi'kang'yi'liao'yong'pin'chu'chang 河北衡水世康医疗用品出厂
'he'bei'jin'niu'zhi'yao'you'xian'gong'si 河北金牛制药有限公司
'he'bei'ju'long'yao'ye'you'xian'ze'ren'gong'si 河北巨龙药业有限责任公司
'he'bei'kang'ji'yao'xie'you'xian'gong'si'chu'pin 河北康济药械有限公司出品
'he'bei'kang'tai'yao'ye'you'xian'gong'si 河北康泰药业有限公司
'he'bei'rui'sen'yao'ye'you'xian'gong'si 河北瑞森药业有限公司
'he'bei'tian'cheng'yao'ye'gu'fen'you'xian'gong'si 河北天成药业股份有限公司
'he'bei'tong'le'ru'jiao'zhi'pin'you'xian'gong'si 河北同乐乳胶制品有限公司
'he'bei'wan'bang'fu'lin'yao'ye'you'xian'gong'si 河北万邦复临药业有限公司
'he'bei'wan'sui'yao'ye'you'xian'gong'si 河北万岁药业有限公司
'he'bei'yi'neng'pu'yao'ye'you'xian'gong'si 河北亿能普药业有限公司
'he'bei'yong'feng'yao'ye'you'xian'gong'si 河北永丰药业有限公司
'he'fei'hua'run'shen'lu'yao'ye'you'xian'gong'si 合肥华润神鹿药业有限公司
'he'he'jiao'nang 何荷胶囊
'he'lan'ou'jia'nong'gong'si 荷兰欧加农公司
'he'nan'ding'chang'yao'ye'you'xian'gong'si 河南鼎昌药业有限公司
'he'nan'fu'ren'tang'zhi'yao'you'xian'gong'si 河南辅仁堂制药有限公司
'he'nan'huai'qing'yao'ye'you'xian'ze'ren'gong'si 河南怀庆药业有限责任公司
'he'nan'jin'tai'yi'liao'qi'xie'you'xian'gong'si 河南金泰医疗器械有限公司
'he'nan'jiu'shi'zhi'yao'gu'fen'you'xian'gong'si 河南九势制药股份有限公司
'he'nan'ke'lun'yao'ye'you'xian'gong'si 河南科伦药业有限公司
'he'nan'ling'rui'zhi'yao'gu'fen'you'xian'gong'si 河南羚锐制药股份有限公司
'he'nan'ming'kang'zhi'yao'you'xian'gong'si 河南明康制药有限公司
'he'nan'pu'rui'zhi'yao'you'xian'gong'si 河南普瑞制药有限公司
'he'nan'run'hong'zhi'yao'gu'fen'you'xian'gong'si 河南润弘制药股份有限公司
'he'nan'sheng'bai'quan'zhi'yao'you'xian'gong'si 河南省白泉制药有限公司
'he'nan'sheng'bai'quan'zhi'yao'you'xian'gong'si 河南省百泉制药有限公司
'he'nan'sheng'guang'ji'tuan'san'si'yao'ye'you'xian'gong'si 河南圣光集团三思药业有限公司
'he'nan'sheng'kang'hua'huai'qing'yao'ye'you'xian'gong'si 河南省康华怀庆药业有限公司
'he'nan'sheng'wan'xi'zhi'yao'gu'fen'you'xian'gong'si 河南省宛西制药股份有限公司
'he'nan'tian'di'yao'ye'gu'fen'you'xian'gong'si 河南天地药业股份有限公司
'he'nan'tian'fang'hua'zhong'yao'ye'you'xian'gong'si 河南天方华中药业有限公司
'he'nan'tian'fang'yao'ye'gu'fen'you'xian'gong'si 河南天方药业股份有限公司
'he'nan'tong'yuan'zhi'yao'you'xian'gong'si 河南同源制药有限公司
'he'nan'yu'zhou'shi'yao'wang'zhi'yao'you'xian'gong'si 河南禹州市药王制药有限公司
'he'xue'ming'mu'pian 和血明目片
'he'ze'san'mu'wei'sheng'cai'liao'you'xian'gong'si'chu'pin 菏泽三木卫生材料有限公司出品
'hei'long'jiang'bai'tai'yao'ye'you'xian'gong'si 黑龙江百泰药业有限公司
'hei'long'jiang'heng'ding'sheng'yao'ye'you'xian'gong'si 黑龙江恒鼎升药业有限公司
