'a'ba'ye'ka'luo'ji'duo 阿巴耶卡罗笈多
'yuan'zong 圆宗
'yue'cheng 月称
'yue'ding 月顶
'yue'guan 月官
'yue'xia 月霞
'yue'xing 月性
'yun'chang 运敞
'yun'fen 允汾
'yun'kan 允堪
'yun'qing 运庆
'yun'ruo 允若
'zan'ning 赞宁
'zao'dao'jing'zheng 早岛镜正
'ze'mu'xing'dao 泽木兴道
'zeng'gu'wen'xiong 增谷文雄
'zhan'zhe 战遮
'zhao'liang'jie 赵亮杰
'zhao'ming'tai'zi 昭明太子
'zhao'pu'chu 赵朴初
'zhao'tian'hui'fan 沼田惠范
'zhao'zhi'feng 赵智凤
'zheng'che 正彻
'zheng'cheng 正澄
'zheng'guo 正果
'zheng'jue 正觉
'zheng'kong 证空
'zheng'nian 正念
'zheng'shi'yan 郑石岩
'zheng'xue'li 郑学礼
'zheng'yan 证严
'zheng'yan 正喦
'zheng'zhen'huang 郑振煌
'zhi'dun 支遁
'zhi'feng 芝峰
'zhi'kong 指空
'zhi'li 知礼
'zhi'lou'jia'chen 支娄迦谶
'zhi'min'du 支敏度
'zhi'ne 知讷
'zhi'qian 支谦
'zhi'tian'de'neng 织田得能
'zhi'xuan 知玄
'zhi'yuan 知苑
'zhong'ben'qi'xiang 冢本启祥
'zhong'ben'shan'long 冢本善隆
'zhong'cun'rui'long 中村瑞隆
'zhong'cun'yuan 中村元
'zhong'jin 中津
'zhong'sheng 中圣
'zhong'song'jun'zhang 重松俊章
'zhong'suan 仲算
'zhong'xi'niu'lang 中西牛郎
'zhong'xian 重显
'zhong'xun 忠寻
'zhong'ye'da'hui 中野达慧
'zhong'ye'yi'zhao 中野义照
'zhou'an'shi 周安士
'zhou'ji 周及
'zhou'li'pan'tuo'jia 周利槃陀迦
'zhou'liang 周良
'zhou'qiao'yi'zai 舟桥一哉
'zhou'shu'jia 周叔迦
'zhou'xin 周信
'zhou'xuan'de 周宣德
'zhou'yong 周顒
'zhu'fa'hu 竺法护
'zhu'fa'lan 竺法兰
'zhu'fa'tai 竺法汰
'zhu'fa'ya 竺法雅
'zhu'li'an 朱利安
'zhu'lian 住莲
'zhu'mo 竺摩
'zhu'qian 竺潜
'zhu'sha'ya'zhang 竺沙雅章
'zhu'shi'xing 朱士行
'zhu'shu'lan 竺叔兰
'zhu'yun 煮云
'zhuan'dao 转道
'zhuan'feng 转逢
'zi'chao 自超
'zi'chun 子淳
'zi'cong 子聪
'zi'qi'zheng'zhi 姊崎正治
'zi'tan 子昙
'zi'wen 子温
'zi'xuan 子璇
'zi'yi 子仪
'zi'yuan 子元
'zong'bao 宗宝
'zong'ben 宗本
'zong'bing 宗炳
'zong'gao 宗杲
'zong'ka'ba 宗喀巴
'zong'le 宗泐
'zong'li 宗利
'zong'lin 宗璘
'zong'mi 宗密
'zong'peng 宗彭
'zong'xiao 宗晓
'zong'xing 宗性
'zong'yang 宗仰
'zong'yin 宗印
'zong'ze 宗赜
'zun'shi 遵式
'zuo'bo'ding'yin 佐伯定胤
'zuo'he'long'yan 佐和隆研
'zuo'teng'da'xuan 佐藤达玄
'zuo'teng'xian'shun 佐藤贤顺
'zuo'tian'jie'shi 佐田介石
'zuo'zuo'mu'jiao'wu 佐佐木教悟
'zuo'zuo'mu'xian'shun 佐佐木现顺
'zuo'zuo'mu'yue'qiao 佐佐木月樵
'zuo'zuo'mu'zhi'yue 佐佐木指月
