'a'na'kan 阿那看
'gong'you'shu'tian'er'qing 公有秫田二顷
'gong'you'tan'zhou'bai'hu 公有潭州百斛
'gong'zai'hua'tang'zhong 公在画堂中
'gong'zhi'fou 公知否
'gong'zhong'chui'xiao 宫中吹箫
'gong'zhong'ying 宫中膺
'gong'zhu'ping 公助平
'gong'zhun'ni'jie'ting 共准拟阶庭
'gou'wei'diao'chan'man'zuo 狗尾貂蝉满座
'gou'zhi'chun'han 鞲指春寒
'gu 鼓
'gu'fu'shui'yun'duo 辜负水云多
'gu'hou'gua 故侯瓜
'gu'jin'liang'ye'ru'ci 古今良夜如此
'gu'jin'shou'sui'wu'yan'shuo 古今守岁无言说
'gu'lian'tian'yin'zhu'hua'guang 鼓连天银烛花光
'gu'ren'bu'jian'shi'wu'chou 古人不见使吾愁
'gu'ren'bu'si'jin'ren'ku 古人不似今人苦
'gu'ren'chang'hen'zhong'nian'bie 古人长恨中年别
'gu'ren'cheng'tu 故人成土
'gu'ren'he'wo 故人贺我
'gu'ren'he'xu 故人何许
'gu'ren'jin'zi'ru'meng 故人锦字如梦
'gu'ren'nian'wo'he'chu 故人念我何处
'gu'ren'xiang'guo 故人相过
'gu'ren'yi'yi 古人已矣
'gu'ru'zi 顾孺子
'gu'shan'mei'xia'yin'hun'leng 孤山梅下吟魂冷
'gu'sheng'die'die 鼓声叠叠
'gu'shi'xun'yi'ju 古诗寻一句
'gu'wo'zun'qian'ge'chi'bi 顾我尊前歌赤壁
'gu'yan'dan'dan'wu'qing 孤烟澹澹无情
'gu'ying'bao'chan'han 孤影抱蟾寒
'gu'ying'ke'lian'sheng 顾影可怜生
'gu'yuan'meng'li'neng'gui'fou 故园梦里能归否
'gu'zhu'shuang'qing 孤竹双清
'guai'shu'ying 怪疏影
'guan'jin'yu'shan'jiang'he'wei 纶巾羽扇将何为
'guan'jun'wei'chu 官军围处
'guan'qu'dang'yan'man'quan'xun 管取当筵满劝旬
'guan'shen'he'hou'hou'chi 管甚何侯侯齿
'guan'wa'gong'bi 馆娃宫闭
'guang'dong'huang'yin 光动黄银
'guang'han'bi 广寒逼
'guang'han'gong 广寒宫
'guang'qi'che'tian'fu 光气彻天浮
'guang'wu'yi'xi 广武噫嘻
'guang'yin'ran'ran 光阴冉冉
'gui'ben'he'bian'can'dian'luan'ru'xing 归奔河边残点乱如星
'gui'dao'hai'bian'fang'yi'wo 归到海边方忆我
'gui'he'si'jian 贵何似贱
'gui'lai'ba'ju 归来把菊
'gui'lai'bao'xi 归来抱膝
'gui'lu'pian'shi 归路偏失
'gui'lu'yue'xiang'sui 归路月相随
'gui'meng'ru'li'hua'chun'yu 归梦入梨花春雨
'gui'qu'lai'xi 归去来兮
'gui'qu'liu'yin'xing'yue 归去柳阴行月
'gui'shan'xue 龟山雪
'gui'shen'jian'ye'xu'chen 鬼神见也须瞋
'gui'wo'fu'yao'qu'yi 规我扶摇去意
'gui'xing'he'nong 归兴何浓
'gui'yu'bai'niao 归欤白鸟
'gun'he'xiu 衮和绣
'gun'yi'xin 衮衣新
'guo'che'hui'shou 过车回首
'guo'dou'zi'bu'dao'heng'yang 过都字不到衡阳
'guo'jin'liang'feng'tian'mo 过尽凉风天末
'guo'jin'qian'zhong'mo'zhang 过尽千重魔障
'guo'lang'gan'yun'qi'xian'cai 郭郎感运岂仙才
'guo'lang'lao 郭郎老
'guo'que'ming'chao 过却明朝
'guo'shuang'qiao'luo'yue 过霜桥落月
'guo'xi'si'shi'dong'lin'lu 过溪似是东林路
'guo'yan'fen'fen'yao'ji 过眼纷纷遥集
'guo'yan'tian'bian'xin'xi 过雁天边信息
'guo'yan'wu'qing 过眼无情
'guo'yu'cheng'xi'lu 过雨城西路
'guo'yu'xin'he'sheng'shui'qi 过雨新荷生水气
'hai'di'yue'chen'tian'shang'tu 海底月沉天上兔
'hai'feng'chui'duan'lou'tai'wu 海风吹断楼台雾
'hai'geng'lai'me 还更来么
'hai'kan'wu'er'xu'tao'shang 还看吴儿胥涛上
'hai'ku'qi'jin'tian'wu'lei 海枯泣尽天吴泪
'hai'ri'qing'hong'tong'si'lian 海日轻红通似脸
'hai'sang'qing 海桑晴
'hai'shan'hun 海山昏
'hai'shan'shi 海山石
'hai'shang'chuan'gan'meng'zhong'qu 海上传柑梦中去
'hai'shang'gui'lai'xiang'gong'lao 海上归来相公老
'hai'shang'su'li 海上苏李
'hai'shang'tui'yun'chao'bu'fan 海上颓云潮不返
'hai'shang'xin'qing 海上心情
'hai'shui'cheng'chen 海水成尘
'hai'suo'yi'qiu 还索衣裘
'hai'tang'hong 海棠红
'hai'tang'hua'xia'shao'zhu'ci 海棠花下烧烛词
'hai'tang'kai'hou'xin'ru'sui 海棠开后心如碎
'hai'tang'ye'nen'kong'guo 海棠也恁空过
'hai'xi'jian 骇犀剑
'hai'yi'feng'gong'shou 还以奉公寿
'hai'yi'jin'xiao'san'jiu 还忆今宵三韭
'hai'yi'yong'xin'jiao'xiao 还忆永新娇小
'hai'you'bai'yi'lai'fou 还有白衣来否
'hai'you'cheng'wo 海又成涡
'hai'you'shu'bu'jin'de'xiang'si'qing 还有数不尽的相思情
'hai'zheng'jiao'cha'xie 亥正较差些
'hai'zhi'dao 还知道
'hai'zhuan'pan'sha'he'duo'li 还转盼沙河多丽
'hai'zi'yan'xie'xie 亥字雁斜斜
'han'guang'ru'zhu 寒光如注
'han'ji'he'yi'dai'ren'gui 寒机何意待人归
'han'kong'jiu'shi'ti'shi'chu 寒空旧是题诗处
'han'lu'bai'bi 寒炉败壁
'han'lu'yong'xue 寒炉拥雪
'han'mian'shi'lai'yong'fu'fen 汗面拭来慵傅粉
'han'qi'bao'bao'chun'wu'li 寒欺薄薄春无力
'han'quan'jiu'jing 寒泉九井
'han'sheng'dai'ying'liu 寒声带影流
'han'shi'jiang'cun 寒食江村
'han'shi'shui'jia'mu 寒食谁家墓
'han'shi'yu 寒士语
'han'si'xue'tian'mei 寒似雪天梅
'han'xuan'ren'ke'yi 含暄忍客衣
'han'xue'qin'lao'shei'yu'yu 汗血勤劳谁与语
'han'yan'xia'huang'zhou 寒雁下荒洲
'han'yuan'ye'rao 寒猿夜绕
'han'yue'wu'qing 汉月无情
'han'yun'wan'die'chi'bu'yu 旱云万叠赤不雨
'han'yun'yu'xia 寒云欲下
'han'zhang'lu'li 韩张卢李
'hang'guo'gu'ren'chai'sang'li 行过故人柴桑里
'hang'guo'shi'tou'jiu'du 行过石头旧渡
'hang'guo'xi'shen'song'xue'xia 行过溪深松雪下
'hang'guo'zhang'jiang'san'shi'li 行过章江三十里
'hao'ge'bai'xue'yu'jun'ting 好歌白雪与君听
'hao'hao'juan'juan'cheng'xue 好好娟娟成雪
'hao'meng'yi'ran'shao 好梦依然少
'hao'si'ge'tou'qi 好似歌头起
'hao'si'qu'nian'chun 好似去年春
'hao'zai'bing'hua 好在冰花
'he'bi'jin'pao'chui'yu'di 何必锦袍吹玉笛
'he'bu'fen'yi'zhou'hou'fang 何不分伊肘后方
'he'bu'gu'se'geng'chui'sheng 何不鼓瑟更吹笙
'he'bu'lao'nong'lao'pu 何不老农老圃
'he'ceng'jian 何曾见
'he'ceng'jian'fei'du 何曾见飞渡
'he'ceng'ying'mian'kan'fei 何曾迎面看飞
'he'chou'bu'hui'chang'sheng 何愁不会长生
'he'chu'bu'qing'qing 何处不青青
'he'chu'cong'tou'shuo 何处从头说
'he'chu'fei'lai'shuang'jia'die 何处飞来双蛱蝶
'he'chu'hu'jia'san'nong 何处胡笳三弄
'he'chu'she'gua'guo 何处设瓜果
'he'chu'you 何处有
'he'chu'you'gao'lou 何处有高楼
'he'chu'zui'nan'wang 何处最难忘
'he'ci 贺词
'he'deng'zhong'fu'wan'chun 和邓中甫晚春
'he'deng'zhong'fu'zhong'qiu 和邓中甫中秋
'he'fa'pang'mei 鹤发庞眉
'he'fang'mei 和访梅
'he'fei'qu 鹤飞曲
'he'feng'li'ri 和风丽日
'he'gong'gui'zhou 贺公归昼
'he'gui'cheng 鹤归城
'he'han'xi'peng'lai 河汉洗蓬莱
'he'hao'dang'shi'fa 何皓当时发
'he'huai'cheng'zi'shou 和槐城自寿
'he'hui'zheng'yang'hou 鹤会正阳后
'he'kan'geng'jie'chi'mu 何堪更嗟迟暮
'he'ke'wan'qian'tong 贺客万钱通
'he'lu'ru'xia'shang 和露入霞觞
'he'meng'xue'tang'zhou 鹤梦雪堂舟
'he'mian'jiang'dong 何面江东
'he'mo'xuan 贺默轩
'he'mo'xuan'chu'du'yun 和默轩初度韵
'he'nian'si'yong'he'nian 何年似永和年
'he'qi'man 和气满
'he'qi'zhi'jin 何期至今
'he'qing'shuai'zi'shou 和卿帅自寿
'he'qiu'qian 合鞦韆
'he'ren'cui'xue 和人催雪
'he'ren're'nao 何人热恼
'he'ren'xing'ju 何人星聚
'he'ru'luo'si'xie'qi'ying 何如洛寺写耆英
'he'ru'wu'shou'hua'tang 何如吾寿华堂
'he'ru'zi'xiu'can'hua'rui 何如自嗅残花蕊
'he'shang'xue'lin'shou'yan'ji'xi 和尚学林寿筵即席
'he'shi 何事
'he'shi'cheng 和诗成
'he'shi'mang 和诗忙
'he'shi'xing'lai'you 何事醒来又
'he'shi'zhong'dao'hu'nuo 何时重到湖堧
'he'shui'du'ji 河水渡楫
'he'shui'wu'yin 河水无银
'he'si'han'shi'qiu 何似汉时秋
'he'si'ping'xing'nan'ji'li 何似屏星南极里
'he'si'wei'sheng'shi 何似未生时
'he'si'zun'qian'ban'lan'qi 何似尊前斑斓起
'he'ti'shu 赫蹄书
'he'tian'wu'ju 和天无据
'he'wang'huai'cheng'zi'shou 和王槐城自寿
'he'wo'wu'wu'ming'se 和我乌乌鸣瑟
'he'xian'men'sheng'er'zi 何限门生儿子
'he'xiang'qu'shu 荷香去暑
'he'xiang'yan'shang'yuan'yun 和香岩上元韵
'he'xiang'yu'mei 何乡鱼美
'he'xiao'ru'dao'gan'qiu 和萧汝道感秋
'he'xie'li'tong'nian 和谢李同年
'he'xu'bai'yi'ren'xie'hou 何许白衣人邂逅
'he'xu'geng'dai'san'san'jing 何须更待三三径
'he'xu'hen'dian'le'xi'hu 何须恨典了西湖
'he'xu'jian'zhi 何须剪纸
'he'xu'mu'dan'can 何许牡丹残
'he'xu'xi 何须惜
'he'xu'xiang'qiu 何许相求
'he'xu'yin'tian'fu 何须饮田父
'he'xu'yin'zhu'hong'zhuang 何须银烛红妆
'he'xu'zhai 何须摘
'he'xun'wu'guan'he 和巽吾观荷
'he'xun'wu'liu'bie'yun 和巽吾留别韵
'he'xun'wu'wen'ying 和巽吾闻莺
'he'xun'wu'yun 和巽吾韵
'he'yi'jian'jin'shui'neng'yuan 和衣减尽谁能怨
'he'yi'zhu'gong'qian'bai'sui 何以祝公千百岁
'he'yi'zi'fang'lin'he 荷衣自放林壑
'he'yin'bing'zi 涸阴冰子
'he'yin'cun'wu 和尹存吾
'he'yong'xue 和咏雪
'he'zhang'you'li'hai'li 和章有例还例
'he'zhao'song'lu 贺赵松庐
'he'zhi'ren'shi 何知人事
'he'zhong'fu'jiu'ri 和中甫九日
'he'zhong'zhai'duan'wu'yun 和中斋端午韵
'he'zhong'zhai'jiu'ri 和中斋九日
'hei'tou'yi'zhu'shi'zhong'diao 黑头宜著侍中貂
'hen'bu'jian'er'san'shi'sui 恨不减二三十岁
'hen'bu'neng'kai 恨不能开
'hen'bu'neng'yan 恨不能言
'hen'bu'pao'ren'guo'jiang'qu 恨不抛人过江去
'hen'bu'tai'tou'xiang'tian'ku 恨不抬头向天哭
'hen'bu'tian'wei'zhi 恨不天为纸
'hen'cang'cang'han'bing'qi'wo 恨苍苍寒冰弃我
'hen'dang'shi'qing'yun'die'dang 恨当时青云跌宕
'hen'er'chi'bu'liao 恨儿痴不了
'hen'hen'yu'ru'he 恨恨欲如何
'hen'man'dong'feng'wu'lv'bin 恨满东风无绿鬓
'hen'meng'zhong'bu'zui'qiong'hua'lu 恨梦中不醉琼花露
'hen'nan'gong'bu'jian'qin'wei'chu 恨南公不见秦为楚
'hen'ting'ying'bu'jian 恨听莺不见
'hen'wo'bu'neng'qin 恨我不能琴
'hen'wu'ren 恨无人
'hen'wu'tie'di 恨无铁笛
'hen'xue'qian'nian'ming'de'li 恨血千年明的皪
'hen'yi'lin'jin'su'dou'kong 恨一林金粟都空
'hen'you'ming'wo'yu'gong'fen 恨幽明我与公分
'heng'ye'di 横野笛
'hong'dao'shou'yang'ye'bu'shuo'huai'yang 红到寿阳也不说淮阳
'hong'du'kai'fu 洪都开府
'hong'fan'shang'yuan 鸿翻上苑
'hong'lei'yi'cheng'zhu'li 红泪裛成珠粒
'hong'lu'wei'shen'zha'nuan 红炉未深乍暖
'hong'qi'bao'wo 红旗报我
'hong'qi'zui'xiu'ti'lan'gan 红欹醉袖殢阑干
'hong'ya'he'zi'guo'wo 洪崖何自过我
'hong'yu'duan 鸿欲断
'hong'yu'heng'xiao 虹玉横箫
'hong'zhuang'chun'qi 红妆春骑
'hong'zi'xiao'wu'se 红紫销无色
'hou'bai'nian'xian 后百年闲
'hou'guan'diao'wu 候馆凋梧
'hou'jin'jin'you'xi 后今今又昔
'hou'lai'tao'li 后来桃李
'hou'lai'xi'zi'bi'wu'yan 后来西子避无盐
'hou'liu'shi'nian 后六十年
'hou'lu'gu'ren 厚禄故人
'hou'nan'you 后难游
'hou'qi'ri'xiang'kan 后七日相看
'hou'qi'wu'ju 后期无据
'hou'tian'xian'jia'ru'ci 后天先甲如此
'hou'wu'ri 后五日
'hou'yi'fu'shui'rong 厚意复谁容
'hu'bai'shi 呼白石
'hu'bian'liu'se'jian'ti'ying 湖边柳色渐啼莺
'hu'chuang'ye'yue'shui'ju 胡床夜月谁据
'hu'di'juan'nuan 湖堤倦暖
'hu'e'qi'wu 呼蛾起舞
'hu'hu'xin'qing'wei'wen 忽忽心情未稳
'hu'hu'yin'hua'shu 户户银花树
'hu'jin'hai'fei'yu 忽近海飞鱼
'hu'jing'bao'mi'luo'wu'zhu 忽惊抱汨罗无柱
'hu'jing'hua'niao'shi'cui'tui 忽惊花鸟使摧颓
'hu'jue'duan'chao'gui'qu'ye 忽觉断潮归去也
'hu'nan'dao'zhong 湖南道中
'hu'pan'ju'sheng'ri 胡盘居生日
'hu'shan'tang 湖山堂
'hu'shan'wai'feng'di'lan'gan 湖山外风笛阑干
'hu'shang'xian'yin'bu'ming'yue 湖上闲吟步明月
'hu'shang'yong'yue 湖上咏月
'hu'tou'hua'shou'shui'kan'xu 虎头画手谁堪许
'hu'tou'yan'han'ren'jian'rou 虎头燕颔人间肉
'hu'tuo'bing'dong 滹沱兵冻
'hu'xi'chun'ri 虎溪春日
'hu'xiang'hong'mei'ce'pan 忽向红梅侧畔
'hu'xiao'lan'jie'er'tong'yu 忽晓阑街儿童语
'hu'zhe'xiang 忽折向
'hua'bu'kan'chi 花不堪持
'hua'can'hui'zi'shuo'xin'qi 画残灰自说心期
'hua'chuan'chen'yu 画船沉雨
'hua'cun'mai'du'mai'man'dao 花村买犊卖蛮刀
'hua'deng'ming'zhou 华灯明昼
'hua'di'dong'feng'you'bie 花底东风又别
'hua'fu'ren'lang'fou 花复认郎否
'hua'ge'quan'er'ti 画个圈儿替
'hua'ge'xin'cheng 画阁新成
'hua'gong'zi'hua'long'zhong 画工自画龙种
'hua'ji'qian'du 花记前度
'hua'ji'xu 花几许
'hua'jian'yue 花间约
'hua'kai'hua'xie 花开花谢
'hua'kan'jie'zi'jie'kan'fu 花堪结子节堪扶
'hua'liang'yu'tou'lian'long'xiao 画梁语透帘栊晓
'hua'long'yun 化龙云
'hua'lou'kong 画楼空
'hua'lu'shi 花露湿
'hua'lu'zhong 花露重
'hua'pian'pian'lai'jiu'zhan'zhong 花片偏来酒盏中
'hua'pin 花品
'hua'qian'yi'xiao 花前一笑
'hua'qing'gong'li 华清宫里
'hua'qing'quan'ce 华清泉侧
'hua'qing'yuan 华清远
'hua'rao'qi'ju 画桡齐举
'hua'ri'chuan'chuang'mei'xiao'xiao 花日穿窗梅小小
'hua'ru'ren'mian 花如人面
'hua'shang'xue 花上雪
'hua'shui'bu'cheng'jiao'si'bing 花睡不成娇似病
'hua'shui'hua'shan'zi'bu'tong 华水华山自不同
'hua'shui'qi'jun'san'shi'hu 花水乞君三十斛
'hua'tang'ke'guan'zhen'wu'shu 画堂客馆真无数
'hua'tang'shen 画堂深
'hua'tang'sun'zi'zi 画堂孙子子
'hua'tang'wei'pa'chun'chi 画堂未怕春迟
'hua'wai'zhu'ren'hui 花外主人回
'hua'wei'san'wu'li 化为三五粒
'hua'wei'yi'pian'shi 化为一片石
'hua'xia'lao'ren'you'ji'wo 花下老人犹记我
'hua'xia'shu 花下数
'hua'xia'zhu'ren'dou'zai'ci 花下主人都在此
'hua'xin'ding'you'he'ren'nian 花心定有何人捻
'hua'xu'you'you 花絮悠悠
'hua'yin'mie 花阴灭
'hua'yin'xue 花阴雪
'hua'ying'wei'shui'zhong 花影为谁重
'hua'zai'quan'er'wai 话在圈儿外
'hua'zhao'yue 花朝月
'hua'zhong'zen'kan'nian 花重怎堪捻
'hua'zuo'huai'hua'wu'shu 化作槐花无数
'hua'zuo'zhu'fei'qiao 化作竺飞峤
'huai'bao'wu'xun'qian 怀抱无荀倩
'huai'bao'xiang'shui'qing 怀抱向谁倾
'huai'di'si'qin'zai 槐第似亲栽
'huai'huang'luo'yue 徊徨落月
'huai'tai'bu'gan'wen'chun'dong 怀胎不敢问春冬
'huai'wang'xi 怀往昔
'huai'yi'bei 淮以北
'huai'yin'hu'yi'jia'nan 槐阴护一家难
'huai'zheng'wu 槐正午
'huai'zhi'dao 槐知道
'huan'cao'lu'ren'qi 唤草庐人起
'huan'le'shao'xi'ai'yuan'duo 欢乐少兮哀怨多
'huan'qi'heng'jiang'fei'dao'shi 唤起横江飞道士
'huan'qi'lao'long 唤起老龙
'huan'qi'lao'zhang'han'su'su 唤起老张寒蔌蔌
'huan'tong'que'lao'wu'ji 还童却老无计
'huan'zhe'xian'ren 唤谪仙人
'huan'zuo'zhang'san'li'wu 唤作张三李五
'huang'bei'cheng'lu 荒杯承露
'huang'bu'ji'ao'tou'ya'chu 恍不记鳌头压处
'huang'chu'shan'hong'chen'chui'duan 恍出山红尘吹断
'huang'cun'liu'luo 荒村流落
'huang'dong'ming'hu'cheng'gui'huo 篁峒鸣狐成鬼火
'huang'gan'bo'po'chuan'chun'wu 黄柑擘破传春雾
'huang'gong'lu'xia 黄公垆下
'huang'hua'fu'lu'wu 黄花扶路舞
'huang'hua'man'yi'rao'huang'cheng 黄花满意绕荒城
'huang'hua'zhi'si'qu'nian'huang 黄花只似去年黄
'huang'huang'de'si'jiang'nan'me 荒荒得似江南么
'huang'hun'xi'yu 黄昏细雨
'huang'hun'yu 黄昏雨
'huang'ji'chang'ri 黄鸡唱日
'huang'ji'wo'wo'cui'ren'qi 黄鸡喔喔催人起
'huang'jin'you'shu 黄金有术
'huang'le'dong'li 荒了东篱
'huang'lian'lv'mu'chuang'chui'wu 黄帘绿幕窗垂雾
'huang'liao'jing 潢潦净
'huang'si'niang'jia'jin'he'zai 黄四娘家今何在
'huang'tou'wu'zhao'lin'jiang'chu 黄头舞棹临江处
'huang'yang'ming'guang'lian'di'di 滉漾明光连邸第
'hui'ban'ci'di 回班赐第
'hui'hao'li'ma 挥毫立马
'hui'jiao'chun'she'tiao'ying'wu 会教唇舌调鹦鹉
'hui'jie'duan'cha'heng 灰劫断槎横
'hui'lei'fu'bai'tou'yin 挥泪赋白头吟
'hui'que'chu'nian 悔却初念
'hui'shou'ge'fang'zhou 回首隔芳洲
'hui'shou'shang'liu'luo 回首伤流落
'hui'shou'shang'shen 回首伤神
'hui'shou'shao'nian'zhen'ke'xiao 回首少年真可笑
'hui'shou'shi'yi'ban'sheng 回首仕已半生
'hui'shou'yi'chong'chong 回首意冲冲
'hui'tou'que'hen'chun'san'yue 回头却恨春三月
'hui'tou'shen'hai 回头蜃海
'hui'tou'yi'zhu'shen'xian'chu 回头忆著神仙处
'hui'tou'zi'mo 回头紫陌
'hui'wo'lu'ting'chun'yi 回我炉亭春意
'hui'zhou'jin'xing 回舟尽兴
'hui'zhu'bu'xu'jiu'xi 挥麈不须九锡
'hun'gui'fou 魂归否
'hun'hun'qi'xiang'cong 混混起相从
'hun'jia'yi'sui'shi 昏嫁已随时
'hun'meng'leng 魂梦冷
'hun'meng'zhui'xun 魂梦追寻
'hun'wei'jue 浑未觉
'hun'wei'zhu 浑未住
'huo'cheng'cu'zhang 火城簇仗
'huo'ren'xiang'si 活人相似
'huo'yun'xiang'dui'ying'ying 火云相对英英
'ji'bian'cha'kan'zhu 汲遍茶堪煮
'ji'cao'cheng'mian 藉草成眠
'ji'ceng'feng 几曾逢
'ji'chu'ji'hui'qing 几处几回晴
'ji'de'fen'ming'xiu'zhi'rui 记得分明羞掷蕊
'ji'de'shi'qiu'chu'mu'hao 记得是秋除目好
'ji'de'yuan'xiao'ge'wu 记得元宵歌舞
'ji'dou'wai 箕斗外
'ji'du'huan'qi'xing'lei 几度唤起醒累
'ji'du'pi'yi'jiao'wo 几度披衣教我
'ji'du'rong'ku'xin'fu'gu 几度荣枯新复故
'ji'duan'qiao'ji'guan'wei'xian 记断桥急管危弦
'ji'duo'xin'jin 几多新进
'ji'fan'xing'xiao 几番行晓
'ji'fan'yao'luo 几番摇落
'ji'ge'neng'xiao'ci 几个能销此
'ji'ge'tou'xin'ren'gui'jia 记歌头辛壬癸甲
'ji'ge'xie'hui 几个斜晖
'ji'ge'yu'ren'cheng'tu 几个玉人成土
'ji'gu'guan'wang'yun 记孤馆望云
'ji'hong'yu 寄红雨
'ji'hu'chuan 记湖船
'ji'hu'hai'ping'sheng 记湖海平生
'ji'hua'qiao'huang'zhu'ge'sheng 记画桥黄竹歌声
'ji'hui'qiu 几回秋
'ji'hui'xin 几回新
'ji'hui'yue 几回月
'ji'ji'fu'ji'ji 寂寂复寂寂
'ji'ji'gu'ren'an'zai 寂寂古人安在
'ji'ji'ji'shi'liu 寂寂几时留
'ji'ji'lu'zhu'ti'lian 寂寂露珠啼脸
'ji'ji'ping'an'xi'zi 寂寂平安西子
'ji'ji'wu'geng'feng 寂寂五更风
'ji'jian'dong'ling'gua'hao 几见东陵瓜好
'ji'jian'wo 几见我
'ji'lao'po'xin 记老婆心
'ji'li'liu'feng'xie'yi 寂历柳风斜倚
'ji'li'mo'kan'hua 记李陌看花
'ji'long'shan'zuo'ye 记龙山昨夜
'ji'long'yun 记龙云
'ji'meng'rong 藉蒙茸
'ji'ming'guan'hou 鸡鸣关候
'ji'mo'chai'sang'han'hua'wai 寂寞柴桑寒花外
'ji'mo'fang'weng'nan'yuan'ji 寂寞放翁南园记
'ji'mo'jiang'nan'lun'si'jiao 寂寞江南轮四角
'ji'mo'jiang'tou'du'bu 寂寞江头独步
'ji'mo'kong'shan'yu 寂寞空山语
'ji'mo'ru'xiang'nao 寂寞如相恼
'ji'mo'ting'shu'zhong 寂寞听疏钟
'ji'mo'wu'ge'wu 寂寞无歌舞
'ji'mo'wu'ji'ti'san'si 寂寞午鸡啼三四
'ji'mo'xi'ling'ge'you'wu 寂寞西陵歌又舞
'ji'mo'xiao'xiao'shu'li 寂寞小小疏篱
'ji'nian'bu'ting'wei'cheng'sheng 几年不听渭城声
'ji'nian'cheng'zhong'wu'kan'deng 几年城中无看灯
'ji'pi'ma'jing'xing 记匹马经行
'ji'qian'chao'he'hui'you'zhong'lai 记前朝鹤会又重来
'ji'qian'du 记前度
'ji'qian'xiao'shen'meng'zhi'jiu 记前宵深盟止酒
'ji'qing 寄情
'ji'qu'nian'zui'li 记去年醉里
'ji'quan'ren'jian'bai'zhan'chang 鸡犬人间百战场
'ji'ren'dan'sui 几人胆碎
'ji'ren'jian 几人健
'ji'ren'kan 几人看
'ji'ren'neng'dao 几人能到
'ji'san'du'san'qian 记三度三千
'ji'shang'yuan'shi'jie 记上元时节
'ji'shen'bu'jin'jun'zai'gu 藉甚不禁君再顾
'ji'sheng'jiu'shi'lin'li 寄声旧时邻里
'ji'shi'lao'jun'hu 即是老君乎
'ji'shu'sheng'neng'ban'tou'xiang'fu 几书生能办投湘赋
'ji'sui'bi'liao'dong 几岁避辽东
'ji'wei'shi 几未失
'ji'wo'gong'jiao'jiao'fu'tian'lu 寄我公矫矫扶天路
'ji'wo'you'xing'kuang 记我友醒狂
'ji'xi'hu'ju'jing'cun'zhuang 记西湖聚景村庄
'ji'xi'ji'you 即席纪游
'ji'xi'yu'zhu'xian 记昔与诸贤
'ji'xiang'lei'jiang'ri 记湘累降日
'ji'xiao'ren'si'bai'si'shi 记小人四百四十
'ji'xu'xian'chou 几许闲愁
'ji'xu'xian'chou'xie'zhao'li 几许闲愁斜照里
'ji'xu'ying'xiong'wen'wu 几许英雄文武
'ji'xuan'du'kan'hua'jun'zi 记玄都看花君子
'ji'xun'lang'dai'dui 记薰廊待对
'ji'yi'sheng'zhen'zhong 寄一声珍重
'ji'yi'xing'rong 极意形容
'ji'yi'zhu'nan'tang 记移竹南塘
'ji'yu'hao'jia'qing'bo'er 寄语豪家轻薄儿
'ji'yu'hou'lai'kan'hua'ke 寄语后来看花客
'ji'yu'liang'jia'sun'you'zi 寄与两家孙又子
'ji'yu'qing'jing'she 寄语清净社
'ji'yu'quan'men'qu'yan'zhe 寄语权门趋炎者
'ji'yu'yue'ming'qian'li 寄与月明千里
'ji'zhao'ye'xu'liu 急召也须留
'ji'zhi'lai'shi'chun'wei'mu 及至来时春未暮
'ji'zhu'nan'xun 记著南巡
'ji'zhuang'ti'jiu 髻妆啼旧
'ji'zuo'chao'mang'xie'suo'li 记昨朝芒鞋蓑笠
'jia'die'chuan'ren'wu 蛱蝶穿人舞
'jia'guo'shi 家国事
'jia'ke'wei'pin'qing 佳客为频倾
'jia'niang'kui'ping'kong 家酿愧瓶空
'jia'ren'bai'wu'shou'shang'qian 佳人拜舞寿觞前
'jia'ren'dang'shui'mei 家人当睡美
'jia'ren'hao'zai 佳人好在
'jia'ren'meng'duan'hua'jian'yue 佳人梦断花间约
'jia'ren'xiang'dui'shuo 家人相对说
'jia'ren'yuan'wo 佳人怨我
'jia'shan'hao 家山好
'jia'shan'he'zai 家山何在
'jia'shen'hai'shi'lian'zhu'me 甲申还是连珠么
'jia'shen'ju'wu'xing'zhao 甲申聚五星照
'jia'shen'qi 甲申起
'jia'wu'jiu'ri'niu'shan'zuo 甲午九日牛山作
'jia'wu'song'chun 甲午送春
'jia'xi'hao 嘉熙好
'jian'bi'feng'yun'jiao'long'qi 健笔风云蛟龙起
'jian'chi'chi 蹇吃吃
'jian'jin'zhong'qiu'hao 渐近中秋好
'jian'jin'zhong'qiu'tuan'tuan'yue 渐近中秋团团月
'jian'jiu'yu'ji'qing'leng 渐久玉肌清冷
'jian'liu'nian'liu 蹇六年留
'jian'lv'bu'zai'yin'bian'qu 蹇驴不载吟鞭去
'jian'shuo'cheng'zhong'chu'chu'deng 见说城中处处灯
'jian'shuo'dong'xiang'zhu'shao 见说东厢诸少
'jian'shuo'hai'shang'gui'lai 见说海上归来
'jian'shuo'nei'jia'xiao'xi'jin 见说内家消息近
'jian'shuo'yan'jun'ping'dao 见说严君平道
'jian'wu'duo'shi'peng'jiu'ban 渐无多诗朋酒伴
'jian'yi'sui'chou'mei 减一岁愁眉
'jian'yi'zhi'ji'yu'fang'zun 拣一枝寄与芳尊
'jian'yi'zhi'zhi 剪一枝枝
'jian'yu'guo'nong'jiao 渐雨过农郊
'jian'yuan'bu'zhi'he'du'yu 渐远不知何杜宇
'jian'zhi'chui'cheng 剪纸吹成
'jian'zhu'shen'ye'ba'shan 剪烛深夜巴山
