'ba'shan'yue'ling 巴山越岭
'ba'she'shan'chuan 跋涉山川
'ba'shi'de'wu 拔十得五
'ba'shi'shi'wu 拔十失五
'ba'shu'han'shan 拔树撼山
'ba'shu'sou'gen 拔树搜根
'ba'shu'xun'gen 拔树寻根
'ba'wan'si'qian 八万四千
'ba'wan'wu'yan 把玩无厌
'ba'wang'bie'ji 霸王别姬
'ba'wang'feng'yue 霸王风月
'ba'xi'zhuo'xiang 拔犀擢象
'ba'xin'ling'yi 拔新领异
'ba'xin'zhu'huo 把薪助火
'ba'yin'die'zou 八音迭奏
'ba'yin'e'mi 八音遏密
'ba'zhao'yi'han 拔赵易汉
'ba'zhen'yu'shi 八珍玉食
'ba'zhi'yi'zhi 拔帜易帜
'ba'zi'da'kai 八字打开
'ba'zi'mei'yi'pie 八字没一撇
'bai'ban'diao'nan 百般刁难
'bai'ban'feng'cheng 百般奉承
'bai'ban'fu'wei 百般抚慰
'bai'ban'zhe'mo 百般折磨
'bai'bi'cong'sheng 百弊丛生
'bai'bi'qing'ying 白璧青蝇
'bai'bi'san'xian 白璧三献
'bai'bi'wei'xia 白璧微瑕
'bai'bi'wu'xia 白璧无瑕
'bai'bu'chuan'yang 百步穿杨
'bai'bu'dang'yi 百不当一
'bai'bu'huo'yi 百不获一
'bai'bu'shi'yi 百不失一
'bai'bu'xuan'zhong 败不旋踵
'bai'bu'yi'dai 百不一贷
'bai'cai'shang'jin 败材伤锦
'bai'cao'huang'yun 白草黄云
'bai'chi'gan'tou 百尺竿头
'bai'chi'qing'mei 白齿青眉
'bai'chuan'chao'hai 百川朝海
'bai'chuan'fu'hai 百川赴海
'bai'chuan'gui'hai 百川归海
'bai'ci'zhi'shi 拜赐之师
'bai'dai'guo'ke 百代过客
'bai'dai'wen'zong 百代文宗
'bai'dao'yuan'men 拜倒辕门
'bai'ding'su'ke 白丁俗客
'bai'du'bu'yan 百读不厌
'bai'duan'dai'ju 百端待举
'bai'duan'jiao'ji 百端交集
'bai'er'guan'he 百二关河
'bai'er'shan'chuan 百二山川
'bai'er'shan'he 百二山河
'bai'fa'bai'zhong 百发百中
'bai'fa'cang'cang 白发苍苍
'bai'fa'cang'yan 白发苍颜
'bai'fa'dan'xin 白发丹心
'bai'fa'hong'yan 白发红颜
'bai'fa'luan'ji 败法乱纪
'bai'fa'qian'zhang 白发千丈
'bai'fa'qing'shan 白发青衫
'bai'fa'ru'xin 白发如新
'bai'fa'zhu'yan 白发朱颜
'bai'fan'qing'chu 白饭青刍
'bai'fei'dai'ju 百废待举
'bai'fei'dai'xing 百废待兴
'bai'fei'ju'xing 百废俱兴
'bai'fei'ju'xing 百废具兴
'bai'fu'ju'zhen 百福具臻
'bai'gan'jiao'ji 百感交集
'bai'gu'lu'ye 白骨露野
'bai'gu'zhi'pi 败鼓之皮
'bai'guai'qian'qi 百怪千奇
'bai'guan'xiao'shuo 稗官小说
'bai'guan'ye'shi 稗官野史
'bai'gui'qiu'shen 拜鬼求神
'bai'gui'zhi'dian 白圭之玷
'bai'he'zong'heng 捭阖纵横
'bai'hei'fen'ming 白黑分明
'bai'hong'guan'ri 白虹贯日
'bai'hua'qi'fang 百花齐放
'bai'hua'sheng'ri 百花生日
'bai'hua'zheng'yan 百花争妍
'bai'hua'zheng'yan 百花争艳
'bai'hua'zhi'yuan 白华之怨
'bai'hui'ju'ju 百堕俱举
'bai'hui'qian'pa 百卉千葩
'bai'hui'yi'ci 百喙一词
'bai'ji'qian'fang 百计千方
'bai'ji'qian'mou 百计千谋
'bai'ji'qian'xin 百计千心
'bai'jia'lan'shan 白袷蓝衫
'bai'jia'zheng'ming 百家争鸣
'bai'jiang'feng'hou 拜将封侯
'bai'jie'chou'chang 百结愁肠
'bai'ju'bai'jie 百举百捷
'bai'ju'bai'quan 百举百全
'bai'ju'guo'xi 白驹过隙
'bai'ju'kong'gu 白驹空谷
'bai'jun'zhi'jiang 败军之将
'bai'kan'bu'yan 百看不厌
'bai'kong'qian'chuang 百孔千创
'bai'kong'qian'chuang 百孔千疮
'bai'kou'mo'bian 百口莫辩
'bai'kou'tong'sheng 百口同声
'bai'la'ming'jing 白蜡明经
'bai'li'tiao'yi 百里挑一
'bai'li'zhi'cai 百里之才
'bai'lian'cheng'gang 百炼成刚
'bai'lian'cheng'gang 百炼成钢
'bai'lin'can'jia 败鳞残甲
'bai'ling'bai'li 百伶百俐
'bai'ling'mei'shou 百龄眉寿
'bai'liu'can'hua 败柳残花
'bai'long'yu'fu 白龙鱼服
'bai'ma'guo'xi 白马过隙
'bai'mao'huang'yue 白旄黄钺
'bai'mei'qian'jiao 百媚千娇
'bai'mi'yi'shu 百密一疏
'bai'mian'ru'sheng 白面儒生
'bai'mian'shu'sheng 白面书生
'bai'mou'qian'ji 百谋千计
'bai'nian'bu'yu 百年不遇
'bai'nian'da'ji 百年大计
'bai'nian'da'ye 百年大业
'bai'nian'hao'he 百年好合
'bai'nian'hao'shi 百年好事
'bai'nian'nan'yu 百年难遇
'bai'nian'shu'ren 百年树人
'bai'nian'xie'lao 百年偕老
'bai'nian'xie'lao 百年谐老
'bai'nian'zhi'hao 百年之好
'bai'nian'zhi'hou 百年之后
'bai'nian'zhi'ye 百年之业
'bai'nian'zhi'yue 百年之约
'bai'qiao'cheng'qiong 百巧成穷
'bai'qiao'qian'qiong 百巧千穷
'bai'ren'cheng'jin 百忍成金
'bai'ri'fei'sheng 白日飞升
'bai'ri'jian'gui 白日见鬼
'bai'ri'qing'tian 白日青天
'bai'ri'shang'sheng 白日上升
'bai'ri'sheng'tian 白日升天
'bai'ri'yi'xiu 白日衣绣
'bai'ri'zuo'meng 白日作梦
'bai'ri'zuo'meng 白日做梦
'bai'shan'hei'shui 白山黑水
'bai'she'chong'jian 百舍重茧
'bai'shen'he'shu 百身何赎
'bai'shen'mo'shu 百身莫赎
'bai'shi'da'ji 百事大吉
'bai'shi'liu'fang 百世流芳
'bai'shi'wu'cheng 百事无成
'bai'shi'yi'ren 百世一人
'bai'shi'zhi'shi 百世之师
'bai'shou'bei'mian 白首北面
'bai'shou'cheng'jia 白手成家
'bai'shou'kong'gui 白首空归
'bai'shou'qi'jia 白手起家
'bai'shou'qi'mei 白首齐眉
'bai'shou'qiong'jing 白首穷经
'bai'shou'ru'xin 白首如新
'bai'shou'tong'gui 白首同归
'bai'shou'wei'lang 白首为郎
'bai'shou'xiang'zhi 白首相知
'bai'shou'xing'jia 白手兴家
'bai'shou'zhi'xin 白首之心
'bai'shui'jian'xin 白水鉴心
'bai'si'bu'jie 百思不解
'bai'sui'qian'qiu 百岁千秋
'bai'sui'zhi'hao 百岁之好
'bai'sui'zhi'hou 百岁之后
'bai'tian'jian'gui 白天见鬼
'bai'tou'dao'lao 白头到老
'bai'tou'ru'xin 白头如新
'bai'tou'xiang'shou 白头相守
'bai'tou'xie'lao 白头偕老
'bai'tu'chi'wu 白兔赤乌
'bai'wan'xiong'bing 百万雄兵
'bai'wan'xiong'shi 百万雄师
'bai'wang'hei'lai 白往黑来
'bai'wei'yao'tou 摆尾摇头
'bai'wen'bu'ru'yi'jian 百闻不如一见
'bai'wen'bu'yan 百问不厌
'bai'wu'han'men 白屋寒门
'bai'wu'jin'ji 百无禁忌
'bai'wu'liao'lai 百无聊赖
'bai'wu'shi'chu 百无是处
'bai'wu'yi'kan 百无一堪
'bai'wu'yi'neng 百无一能
'bai'wu'yi'shi 百无一失
'bai'wu'yi'shi 百无一是
'bai'wu'yi'yong 百无一用
'bai'wu'zhi'shi 白屋之士
'bai'xing'er'gui 败兴而归
'bai'xiu'que'jin 摆袖却金
'bai'xue'yang'chun 白雪阳春
'bai'yan'xiang'kan 白眼相看
'bai'ye'xiao'tiao 百业萧条
'bai'yi'bai'cong 百依百从
'bai'yi'bai'shun 百依百顺
'bai'yi'bai'sui 百依百随
'bai'yi'cang'gou 白衣苍狗
'bai'yi'gong'qing 白衣公卿
'bai'yi'qing'xiang 白衣卿相
'bai'yi'tian'shi 白衣天使
'bai'yi'xiu'shi 白衣秀士
'bai'yi'zai'xiang 白衣宰相
'bai'yi'zheng'xue 白蚁争穴
'bai'yu'chi'wu 白鱼赤乌
'bai'yu'deng'zhou 白鱼登舟
