'a'wei'wu'zhen 阿魏无真
'tang'shang'er'lao'shi'huo'fo 堂上二老是活佛
'ti'qi'fo'qian'deng 剔起佛前灯
'tian'bi'you'zhi 天必佑之
'tian'shang'zhong'xing'jie'gong'bei 天上众星皆拱北
'tian'shi'bu'ru'di'li 天时不如地利
'tian'tu'shen'geng'zu'yang'jia 田土深耕足养家
'tian'wen'ru'lei 天闻如雷
'tian'xia'ming'shan'seng'zhan'duo 天下名山僧占多
'tian'xia'wu'bu'shi'de'fu'mu 天下无不是的父母
'tian'yan'hui'hui 天眼恢恢
'tian'yan'zhao'zhao 天眼昭昭
'ting'qian'sheng'rui'cao 庭前生瑞草
'ting'zai'qi'feng'zhu 庭栽栖凤竹
'tong'jun'yi'xi'hua 同君一席话
'tui'bu'si'liang'shi'shi'kuan 退步思量事事宽
'tui'yi'bu 退一步
'wan'ban'jie'xia'pin 万般皆下品
'wan'e'yin'wei'shou 万恶淫为首
'wan'shi'bu'you'ren'ji'jiao 万事不由人计较
'wan'shi'jie'yi'ding 万事皆已定
'wan'shi'quan'ren'xiu'man'mei 万事劝人休瞒昧
'wang'en'fu'yi 忘恩负义
'wei'e'nan'tao 为恶难逃
'wei'guan'xu'zuo'xiang 为官须作相
'wei'ke'quan'pao'yi'pian'xin 未可全抛一片心
'wei'ren'he'bi'zheng'gao'xia 为人何必争高下
'wei'ren'mo'zuo'kui'xin'shi 为人莫作亏心事
'wei'shan'zui'le 为善最乐
'wei'wan'xian'tou'su 未晚先投宿
'wei'xue'shi'zhi'dao 为学始知道
'wei'you'du'shu'gao 唯有读书高
'wen'shi'bu'zhi 问事不知
'wo'jian'bai'tou'xi 我见白头喜
'wu'gu'bu'cheng'jin 无古不成今
'wu'lou'geng'zao'lian'ye'yu 屋漏更遭连夜雨
'wu'ni'hai'sheng'wu'ni'er 忤逆还生忤逆儿
'wu'qian'fang'duan'jiu 无钱方断酒
'wu'qian'nan'mai'zhen 无钱难买针
'wu'qian'xiu'ru'zhong 无钱休入众
'wu'qian'yu'bu'zhen 无钱语不真
'wu'qiu'dao'chu'ren'qing'hao 无求到处人情好
'wu'shi'jiang'jin'xun'si'lu 五十将近寻死路
'wu'shi'zao'gui 无事早归
'wu'xian'zhu'men'sheng'e 无限朱门生饿
'wu'xin'cha'liu'liu'cheng'yin 无心插柳柳成荫
'wu'xing'ba'zi'ming'sheng'cheng 五行八字命生成
'wu'yi'lan'chu'men 无衣懒出门
'wu'yue'bu'deng'lou 无月不登楼
'wu'zi'fu'bu'chang 无子富不长
'xi'fu'zi'you'zuo'po'shi 媳妇自有做婆时
'xi'hua'xu'jian'dian 惜花须检点
'xi'qian'mo'jiao'zi 惜钱莫教子
'xi'que'lei'ting'zhi'nu 息却雷霆之怒
'xi'shi'xian'wen 昔时贤文
'xi'yi'nu 息一怒
'xian'dao'wei'jun 先到为君
'xian'fu'ling'fu'gui 贤妇令夫贵
'xian'nv'jing'fu 贤女敬夫
'xian'shi'bu'shao'xiang 闲时不烧香
'xian'shi'xiu'guan 闲事休管
'xiang'feng'bu'yin'kong'gui'qu 相逢不饮空归去
'xiang'feng'hao'si'chu'xiang'shi 相逢好似初相识
'xiang'jian'bu'ru'chu 相见不如初
'xiang'lun'cheng'ying'hao 相论逞英豪
'xiang'shi'man'tian'xia 相识满天下
'xiang'yang'hua'mu'zao'feng'chun 向阳花木早逢春
'xiang'zhong'shui 乡中水
'xiao'di'wei'xian 孝第为先
'xiao'jia'xiong'e'xun'er'lang 小家凶恶训儿郎
'xiao'li'mo'zheng 小利莫争
'xiao'ren'qiong'si'lan'yi 小人穷斯滥矣
'xiao'ren'wang'zi'zuo'xiao'ren 小人枉自做小人
'xiao'shi'cheng'da 小事成大
'xiao'shi'shi'xiong'di 小时是兄弟
'xiao'shun'hai'sheng'xiao'shun'zi 孝顺还生孝顺子
'xin'ge'you'jian 心各有见
'xin'le'du 信了肚
'xin'xin'chang'si'guo'qiao'shi 心心常似过桥时
'xing'chuan'you'yu'da'tou'feng 行船有遇打头风
'xing'sheng'tai'ping'wu'shi'ri 幸生太平无事日
'xing'xing'chang'bu'zu 惺惺常不足
'xing'yan'kan'zui'ren 醒眼看醉人
'xiong'di'he'er'jia'bu'fen 兄弟和而家不分
'xiong'di'xiang'hai 兄弟相害
'xiu'bie'you'yu'chu 休别有鱼处
'xiu'hua'sui'hao'bu'wen'xiang 绣花虽好不闻香
'xu'fang'ren'bu'ren 须防仁不仁
'xu'ren'yi'wu 许人一物
'xu'wen'san'lao 须问三老
'xu'xia'si'gong'fu 须下死功夫
'xue'zai'yi'ren'zhi'xia 学在一人之下
'xue'zhe'nan 学者难
'ya'you'fan'bu'zhi'yi 鸦有反哺之义
'yan'qing'mo'quan'ren 言轻莫劝人
'yang'bing'qian'ri'yong'bing'yi'shi 养兵千日用兵一时
'yang'er'fang'lao 养儿防老
'yang'er'fang'zhi'fu'mu'en 养儿方知夫母恩
'yang'ji'chi'yu 殃及池鱼
'yang'jia'yi'ban 养家一般
'yang'nv'bu'jiao'ru'yang'zhu 养女不教如养猪
'yang'you'gui'ru'zhi'en 羊有跪乳之恩
'yang'zi'bu'jiao'ru'yang'lv 养子不教如养驴
'yao'guang'xing'fang'bian 要广行方便
'yao'neng'yi'jia'bing 药能医假病
'yao'zhen'jia'sheng'zai'du'shu 要振家声在读书
'ye'bei'pang'ren'shuo'shi'fei 也被旁人说是非
'ye'mian'ba'chi 夜眠八尺
'ye'ye'fang'dao 夜夜防盗
'yi'cun'guang'yin'yi'cun'jin 一寸光阴一寸金
'yi'dan'bai'zhi'you'yu 一旦败之有余
'yi'dan'wu'ming'wan'shi'xiu 一旦无命万事休
'yi'fan'yi'fu'xiao'ren'xin 易反易复小人心
'yi'hao'zhi'e 一毫之恶
'yi'hao'zhi'shan 一毫之善
'yi'jia'yang'nv'bai'jia'qiu 一家养女百家求
'yi'ju'cheng'ming'tian'xia'zhi 一举成名天下知
'yi'ju'shou'deng'long'hu'bang 一举首登龙虎镑
'yi'ma'bu'xing'bai'ma'you 一马不行百马忧
'yi'nian'zhi'ji'zai'yu'chun 一年之计在于春
'yi'nian'zhi'ji'zai'yu'qin 一年之计在于勤
'yi'ren'dao'xu 一人道虚
'yi'ren'yi'tiao'xin 一人一条心
'yi'ren'you'qing 一人有庆
'yi'ri'chong'gong'ban'nian'liang 一日舂工半年粮
'yi'ri'fu'qi 一日夫妻
'yi'ri'wei'shi 一日为师
'yi'sheng'dou'shi'ming'an'pai 一生都是命安排
'yi'yan'ji'chu 一言既出
'yi'ye'shou'gu'qi 一夜受孤凄
'yi'zhang'yi'tui'shan'xi'shui 易涨易退山溪水
'yi'zi'ru'gong'men 一自入公门
'yi'zi'zhi'qian'jin 一字值千金
'yi'zui'jie'qian'chou 一醉解千愁
'yin'e'yang'shan 隐恶扬善
'yin'feng'chui'huo 因风吹火
'ying'hua'you'pa'chun'guang'lao 莺花犹怕春光老
'ying'kong'shi'chi'ren 应恐是痴人
'ying'xiong'xing'xian'dao 英雄行险道
'yong'li'bu'duo 用力不多
'yong'xin'ji'jiao'ban'ban'cuo 用心计较般般错
'yong'zai'wan'ren'zhi'shang 用在万人之上
'you'cha'you'jiu'duo'xiong'di 犹茶有酒多兄弟
'you'er'qiong'bu'jiu 有儿穷不久
'you'fu'shang'ji 有福伤己
'you'hua'fang'zhuo'jiu 有花方酌酒
'you'li'wu'qian'mo'jin'lai 有理无钱莫进来
'you'qian'dao'zhen'yu 有钱道真语
'you'qian'kan'mai'jin 有钱堪买金
'you'ren'kan'chu'zhong 有人堪出众
'you'ru'shi'pian'bao 犹如拾片宝
'you'shu'bu'du'zi'sun'yu 有书不读子孙愚
'you'tian'bu'geng'cang'lin'xu 有田不耕仓廪虚
'you'yi'zai'hua'hua'bu'fa 有意栽花花不发
'yu'chang'he'shun'xu'wei'shan 欲昌和顺须为善
'yu'qiu'sheng'fu'gui 欲求生富贵
'yu'ren'bu'he 与人不和
'yu'ren'bu'mu 与人不睦
'yu'ren'fang'bian 与人方便
'yu'wei'ben'bo'shi'hua'long 鱼为奔波始化龙
'yu'yin'jiu'shi'xu'yin'jiu 遇饮酒时须饮酒
'yu'zhe'quan'wu 愚者全无
'yuan'qin'bu'ru'jin'lin 远亲不如近邻
'yuan'sheng'mo'yuan'si 怨生莫怨死
'yuan'shui'nan'jiu'jin'huo 远水难救近火
'yuan'zai'er'sun'jin'zai'shen 远在儿孙近在身
'yue'guo'shi'wu'guang'ming'shao 月过十五光明少
'yun'qu'jin'cheng'tie 运去金成铁
'yun'qu'lei'hong'jian'fu'bei 运去雷轰荐福碑
'zai'jia'you'fu 在家有父
'zai'san'liu'bu'zhu 再三留不住
'zai'san'xu'zhong'shi 再三须重事
'zai'si'ke'yi 再思可矣
'zao'hua'sui'xiao'jie'shi'cheng 枣花虽小结实成
'zao'nan'mo'xun'qin 遭难莫寻亲
'ze'qi'shan'zhe'er'cong'zhi 择其善者而从之
'ze'ren'zhi'xin'ze'ji 责人之心责己
'zei'shi'xiao'ren 贼是小人
'zen'de'jian'bo'tao 怎得见波涛
'zeng'guang'xian'wen 增广贤文
'zha'fu'bu'zhi'xin'shou'yong 乍富不知新受用
'zha'pin'nan'gai'jiu'jia'feng 乍贫难改旧家风
'zhang'da'ge'xiang'li 长大各乡里
'zhao'min'xian'lai 兆民咸赖
'zhen'bu'shan'zhe'yi'gai'zhi 真不善者宜改之
'zhen'fu'ai'se 贞妇爱色
'zheng'ta'yi'jiao'tun 争他一脚豚
'zhi'dai'yu'lin'tou 直待雨淋头
'zhi'guo'jun'zi 知过君子
'zhi'ji'zhi'bi 知己知彼
'zhi'pa'qiu'lai'you'leng'shi 只怕秋来有冷时
'zhi'pa'ren'qing'liang'mian'dao 只怕人情两面刀
'zhi'qi'liang'duan 执其两端
'zhi'ren'zhi'mian'bu'zhi'xin 知人知面不知心
'zhi'shi'shao'shi'fan'nao'shao 知事少时烦恼少
'zhi'wo'zhe'wei'wo'xin'you 知我者谓我心忧
'zhi'xin'neng'ji'ren 知心能几人
'zhi'yin'shuo'yu'zhi'yin'ting 知音说与知音听
'zhi'you'he'qi'qu'ying'ren 只有和气去迎人
'zhi'zhe'jian'ban 知者减半
'zhi'zheng'lai'zao'yu'lai'chi 只争来早与来迟
'zhi'zhi'chang'zhi 知止常止
'zhi'zu'chang'zu 知足常足
'zhong'bu'qiao'bu'ming 钟不敲不鸣
'zhong'dou'de'dou 种豆得豆
'zhong'hou'zi'you'zhong'hou'bao 忠厚自有忠厚报
'zhong'ma'de'ma 种麻得麻
'zhong'shen'bu'chi 终身不耻
'zhong'shen'bu'ru 终身不辱
'zhong'sheng'ru'fu 终生如父
'zhong'xing'lang'lang 众星朗朗
'zhong'xu'hai'dao'lao 终须还到老
'zhong'xu'wu'fan'nao 终须无烦恼
'zhong'xu'yi'bie 终须一别
'zhong'yan'ni'er'li'yu'xing 忠言逆儿利于行
'zhu'li'mao'she'feng'guang'hao 竹篱茅舍风光好
'zhuan'yan'bian'shi'bai'tou'weng 转眼便是白头翁
'zi'hen'zhi'wu'ye 自恨枝无叶
'zi'jia'xin'li'ji 自家心里急
'zi'sun'san'qian 自损三千
'zi'sun'yu'xi'li'yi'shu 子孙愚兮礼义疏
'zi'xi'si'liang'wo'bu'ru 仔细思量我不如
'zi'xiao'fu'xin'kuan 子孝夫心宽
'zui'hou'qian'kun'da 醉后乾坤大
'zui'hou'tian'bei'bu'ru'wu 醉后添杯不如无
'zuo'e'zao'tian'qian 作恶遭天谴
'zuo'ke'mo'zai'hou 做客莫在后
'zuo'shan'gui'shen'qin 作善鬼神钦
'zuo'shang'ke'chang'man 座上客常满
