'ai'shang'ceng'lou 爱上层楼
'hua'cheng'you'si 画成幽思
'hua'chuan'chui'gu'cui'jun'qu 画船捶鼓催君去
'hua'chuan'ting'yu'mian 画船听雨眠
'hua'chuan'zai'qing'ming'guo'que 画船载清明过却
'hua'chuan'zai'qu'chun'gui'qu 画船载取春归去
'hua'deng'ming'zhou 华灯明昼
'hua'deng'zong'bo 华灯纵博
'hua'di'hu'wen'qiao'liang'jiang 花底忽闻敲两桨
'hua'di'li'chou'san'yue'yu 花底离愁三月雨
'hua'fa'nai'shan'qing 华发奈山青
'hua'fang'yi'you'wan'bai'zhuan 画舫夷犹湾百转
'hua'fei'hua 花非花
'hua'ge'ting'rao 画舸停桡
'hua'guo'yu 花过雨
'hua'hong'yi'shuai'si'lang'yi 花红易衰似郎意
'hua'ji'qian'du 花记前度
'hua'jiao'sheng'can 画角声残
'hua'jiao'sheng'duan'qiao'men 画角声断谯门
'hua'jing'an'xiang'liu 花径暗香流
'hua'kai'hua'xie 花开花谢
'hua'kong'yan'shui'liu 花空烟水流
'hua'lian'ban'juan'dong'feng'ruan 画帘半卷东风软
'hua'liu'shang 花柳上
'hua'lou'lian'mu'juan'xin'qing 画楼帘幕卷新晴
'hua'lou'yun'yu'wu'ping 画楼云雨无凭
'hua'luo'hua'kai'zi'you'shi 花落花开自有时
'hua'luo'jin'fei'cui 画罗金翡翠
'hua'luo'zi'gui'ti 花落子规啼
'hua'mei'wei'wen 画眉未稳
'hua'mian'jiao'xiang'ying 花面交相映
'hua'ping'jin'zhe'gu 画屏金鹧鸪
'hua'ping'xian'zhan'wu'shan'cui 画屏闲展吴山翠
'hua'qi'jiu'xiang'qing'si'niang 花气酒香清厮酿
'hua'sai'jiu'mian'hong'xiang'xiang 花腮酒面红相向
'hua'shang'you'huang'li 花上有黄鹂
'hua'shen'shen 花深深
'hua'shi'deng'ru'zhou 花市灯如昼
'hua'shi'guang'xiang'she 花市光相射
'hua'tang'ren'jing'yu'meng'meng 画堂人静雨蒙蒙
'hua'tu'nan'zu 画图难足
'hua'tui'can'hong'qing'xing'xiao 花褪残红青杏小
'hua'wai'lou 花外楼
'hua'wai'lou'sheng'tiao'di 花外漏声迢递
'hua'wai'xuan'chuang'pai'yuan'xiu 花外轩窗排远岫
'hua'wei'qing'xu 化为轻絮
'hua'wu'ren'dai 花无人戴
'hua'xiao'wei'jing'feng'li 花小未经风力
'hua'xiao'ying'qi 花销英气
'hua'ya'bin'yun'pian 花压鬓云偏
'hua'yan'zhu'wang 画檐蛛网
'hua'ye'ying'xiu 花也应羞
'hua'ying'chui'sheng 花影吹笙
'hua'ying'luan 花影乱
'hua'yu'ban'ban 花雨斑斑
'hua'yue'zheng'chun'feng 花月正春风
'hua'zheng'luan 花正乱
'hua'zhong'qi'jue 花中奇绝
'hua'zi'piao'ling'shui'zi'liu 花自飘零水自流
'hua'zuo'ci'hua'you'du 化作此花幽独
'hua'zuo'xi'lou'yi'lv'yun 化作西楼一缕云
'hua'zuo'xiang'si'lei 化作相思泪
'huai'jia'han'shi'ye 怀家寒食夜
'huai'kong'zong 怀倥偬
'huai'nan'hao'yue'leng'qian'shan 淮南皓月冷千山
'huai'zuo'ming'du 淮左名都
'huan'bu'xiang'yin 缓步香茵
'huan'cang'ya'yun'shu 幻苍崖云树
'huan'de'dong'jia'zhong'shu'shu 换得东家种树书
'huan'le'qian'zhen'di'chang 换了浅斟低唱
'huan'qi'liang'mou'qing'jiong'jiong 唤起两眸清炯炯
'huan'qi'yu'ren 唤起玉人
'huan'qing'bo 欢情薄
'huan'qu'gui'lai'tong'zhu 唤取归来同住
'huan'qu'zhe'xian'ping'zhang'kan 唤取谪仙平章看
'huan'sha'you'nv 浣纱游女
'huan'sheng'zhen'di 欢声震地
'huan'wo'xin 换我心
'huan'xiang'xu'duan'chang 还乡须断肠
'huan'yu'jian'sui'liu'shui 欢娱渐随流水
'huang'feng'pin'pu'qiu'qian'suo 黄蜂频扑秋千索
'huang'fu'song'cai'lian'zi'chuan'dong'hu'guang'yan'yan'qiu 皇甫松采莲子船动湖光滟滟秋
'huang'fu'song'cai'lian'zi'han'dan'xiang'lian'shi'qing'bei 皇甫松采莲子菡萏香连十顷陂
'huang'fu'song'meng'jiang'nan'lan'jin'luo 皇甫松梦江南兰烬落
'huang'gong'du'qing'yu'wan'lin'ji'bu'guan'li'huai'ku 黄公度青玉案邻鸡不管离怀苦
'huang'gong'shao'qing'yu'wan'nian'nian'she'ri'ting'zhen'xian 黄公绍青玉案年年社日停针线
'huang'he'duan'ji'tou 黄鹤断矶头
'huang'hua'bai'fa'xiang'qian'wan 黄花白发相牵挽
'huang'hua'qian'dian'you'yan'xia 黄花千点幽岩下
'huang'hun'du'yi'zhu'lan 黄昏独倚朱阑
'huang'hun'que'xia'xiao'xiao'yu 黄昏却下潇潇雨
'huang'hun'xiao'yuan 黄昏小院
'huang'ji'shuang'tian'xiao'jiao'han'jiang'ye'su 黄机霜天晓角寒江夜宿
'huang'jin'bang'shang 黄金榜上
'huang'ju'zhi'tou'sheng'xiao'han 黄菊枝头生晓寒
'huang'le'shao'ping'gua'pu 荒了邵平瓜圃
'huang'li'you'ti'shu'sheng 黄鹂又啼数声
'huang'ling'miao'ce'shui'mang'mang 黄陵庙侧水茫茫
'huang'lou'ye'jing 黄楼夜景
'huang'lu'ku'zhu 黄芦苦竹
'huang'shang'jian'zi'mu'lan'hua'hong'qi'gao'ju 黄裳减字木兰花红旗高举
'huang'sheng'qing'ping'le'zhu'lian'ji'ji 黄昇清平乐珠帘寂寂
'huang'teng'jiu 黄縢酒
'huang'ting'jian'nian'nu'jiao'duan'hong'ji'yu 黄庭坚念奴娇断虹霁雨
'huang'ting'jian'qing'ping'le'chun'gui'he'chu 黄庭坚清平乐春归何处
'huang'ting'jian'qing'yu'wan'yan'zhong'yi'xian'lai'shi'lu 黄庭坚青玉案烟中一线来时路
'huang'ting'jian'shui'diao'ge'tou'yao'cao'yi'he'bi 黄庭坚水调歌头瑶草一何碧
'huang'ting'jian'wang'jiang'dong'jiang'shui'xi'tou'ge'yan'shu 黄庭坚望江东江水西头隔烟树
'huang'ting'jian'zhe'gu'tian'huang'ju'zhi'tou'sheng'xiao'han 黄庭坚鹧鸪天黄菊枝头生晓寒
'huang'xiao'mai'xiang'chun'ye'yue'jin'qing'ming 黄孝迈湘春夜月近清明
'huang'ye'di 黄叶地
'hui'an'shi'yao'tao'zhu'hu 会暗识夭桃朱户
'hui'dang'chu 悔当初
'hui'dao'xiang'si 讳道相思
'hui'gu 回顾
'hui'hong'qing'yu'wan'lv'huai'yan'liu'chang'ting'lu 惠洪青玉案绿槐烟柳长亭路
'hui'shou'chi'nan'jiu'shi 回首池南旧事
'hui'shou'dui'chuang'ye'yu 回首对床夜语
'hui'shou'gao'cheng'yin'xin'zu 回首高城音信阻
'hui'shou'ji'guan'shan 回首几关山
'hui'shou'jiao'yun'fei'feng'qi 回首叫云飞风起
'hui'shou'jing'nian 回首经年
'hui'shou'luo'yang'hua'shi'jin 回首洛阳花石尽
'hui'shou'lv'bo'san'chu'mu 回首绿波三楚暮
'hui'shou'xi'yang'hong'jin'chu 回首夕阳红尽处
'hui'shou'xiang'guan'gui'lu'nan 回首乡关归路难
'hui'shou'xiang'lai'xiao'se'chu 回首向来萧瑟处
'hui'shou'yao'fen'wei'sao 回首妖氛未扫
'hui'shou'you'zhong'dao 回首犹重道
'hui'tou'tiao'di'bian'shu'yi 回头迢递便数驿
'hui'tou'yan'liu'jian'chong'chong 回头烟柳渐重重
'hui'wan'diao'gong'ru'man'yue 会挽雕弓如满月
'hui'xiang'gao'jie'feng 会向藁街逢
'hun'bu'si 浑不似
'hun'bu'si'jiu'shi'yan'se 浑不似旧时颜色
'hun'hun'xue'yi'can'yun'rong 昏昏雪意惨云容
'hun'meng'ren'you'yang 魂梦任悠扬
'hun'si'jiang'nan'hua 浑似江南画
'huo'ji'lv'suo'qing'li 活计绿蓑青笠
'ji'cai'hua'fan'hu'die'luan 荠菜花繁蝴蝶乱
'ji'ceng'shi'gan'ge 几曾识干戈
'ji'ceng'zhu'yan'kan'hou'wang 几曾著眼看侯王
'ji'cui'bo'zhang'deng 记翠箔张灯
'ji'dang'ri'men'yan'li'hua 记当日门掩梨花
'ji'dang'shi'duan'ji'tao'gen'du 记当时短楫桃根渡
'ji'dao'yu'guan'ying'wan'li 寄到玉关应万里
'ji'de'lv'luo'qun 记得绿罗裙
'ji'de'na'nian'hua'xia 记得那年花下
'ji'de'nian'shi 记得年时
'ji'de'nian'shi'gu'jiu'na'ren'jia 记得年时沽酒那人家
'ji'de'pian'zhong'san'wu 记得偏重三五
'ji'de'shao'nian'chu'xuan'ru 记得少年初选入
'ji'de'tai'hang'shan'bai'wan 记得太行山百万
'ji'de'xiao'ping'chu'jian 记得小苹初见
'ji'dian'liu'ying'ming'mie 几点流萤明灭
'ji'dian'yu'deng'xiao 几点渔灯小
'ji'du'fei'hua 几度飞花
'ji'du'fei'lai'huo'zhuo'qu 几度飞来活捉取
'ji'duo'you'yuan 几多幽怨
'ji'fan'chun'mu 几番春暮
'ji'fan'feng'yu 几番风雨
'ji'gu'feng'yue 几辜风月
'ji'huan'dui'qi 髻鬟对起
'ji'hui'chou'sha'zhao'chuan'lang 几回愁煞棹船郎
'ji'hui'hun'meng'yu'jun'tong 几回魂梦与君同
'ji'hui'sha'ji'gui'lu 几回沙际归路
'ji'ji'shi'zhong'liu 击楫誓中流
'ji'jiang'nan'xiao'xi 寄江南消息
'ji'lai'qie'zhu 既来且住
'ji'lai'shi 记来时
'ji'mo 寂寞
'ji'mo'gu'hao'hua 寂寞古豪华
'ji'mo'kai'wu'zhu 寂寞开无主
'ji'mo'kuang'zong'ji 寂寞狂踪迹
'ji'mo'ping'gao'nian'yuan 寂寞凭高念远
'ji'mo'sha'zhou'leng 寂寞沙洲冷
'ji'mo'wu'ren'jian 寂寞无人见
'ji'mo'wu'tong'shen'yuan'suo'qing'qiu 寂寞梧桐深院锁清秋
'ji'mo'wu'xing'lu 寂寞无行路
'ji'mo'xi'qiao'pan 寂寞溪桥畔
'ji'mo'zhao'zhao'mu'mu 寂寞朝朝暮暮
'ji'mu'song 极目送
'ji'nian'li'suo 几年离索
'ji'qu'cui'hui'mu'yang 记取崔徽模样
'ji'ren'ping'di'shang 几人平地上
'ji'ri'xing'yun'he'chu'qu 几日行云何处去
'ji'se'leng'guang'xiang'she 霁色冷光相射
'ji'sheng'ge'guan 几声歌管
'ji'shi'ji 几时极
'ji'shi'jian'de 几时见得
'ji'shi'shou 几时收
'ji'shi'xi 几时洗
'ji'shi'xiu 几时休
'ji'shi'you'ce'cong'shui'tu 济时有策从谁吐
'ji'shi'zhong 几时重
'ji'yu'dong'cheng'gu'jiu'shi 寄语东城沽酒市
'ji'yu'guan'ta'xue'shi'qing'you 记玉关踏雪事清游
'jia'chang'che 驾长车
'jia'ci'yi'lun'yu 驾此一轮玉
'jia'gu'bei'ming 笳鼓悲鸣
'jia'gu'dong 笳鼓动
'jia'jie'you'chong'yang 佳节又重阳
'jia'li'di 佳丽地
'jia'qi'ru'meng 佳期如梦
'jia'ren'he'zai 佳人何在
'jia'shan'he'chu 家山何处
'jia'tong'bi'xi'yi'lei'ming 家童鼻息已雷鸣
'jia'yuan'shi'mu'wu'tou'bian 家园十亩屋头边
'jia'zhu'wu'men 家住吴门
'jia'zhu'xi'qin 家住西秦
'jian'bai'ye'ling'luan 见败叶零乱
'jian'bie'pu'ying'hui 渐别浦萦回
'jian'bu'duan 剪不断
'jian'chui'jin'zhi'tou'xiang'xu 渐吹尽枝头香絮
'jian'deng'shen'ye'yu 剪灯深夜语
'jian'duan'xin'shang'chou'hen 剪断心上愁痕
'jian'hou'xi'feng 剑吼西风
'jian'hu'ying'sou'quan 间呼鹰嗾犬
'jian'huang'hun 渐黄昏
'jian'jin'han'zhi'bu'ken'qi 拣尽寒枝不肯栖
'jian'jin'yan'shan 渐近燕山
'jian'jing'suan'feng'she'yan 箭径酸风射眼
'jian'jue'shang'chun'mu 渐觉伤春暮
'jian'ke'ru'lai 见客入来
'jian'li'hua'chu'dai'ye'yue 见梨花初带夜月
'jian'ren'ru'gu 见人如故
'jian'shuang'feng'qi'jin 渐霜风凄紧
'jian'shuo'dao 见说道
'jian'shuo'jiang'tou'chun'lang'miao 见说江头春浪渺
'jian'xin'hen'xuan'liu 渐新痕悬柳
'jian'ye'ru'he'mu 见也如何暮
'jian'zhu'kan'wu'gou 剪烛看吴钩
'jiang'bian'yi'wang'chu'tian'chang 江边一望楚天长
'jiang'chao'rong'yi'de 江潮容易得
'jiang'cheng'ci'di 江城次第
'jiang'dong'lu 江东路
'jiang'fa'hua'lou'fang'jiu 将发画楼芳酒
'jiang'guo 江国
'jiang'guo'duo'han'nong'shi'wan 江国多寒农事晚
'jiang'hai'ji'yu'sheng 江海寄余生
'jiang'he'lv'wu'xing'ming'mie 绛河绿雾星明灭
'jiang'hen'yu'xian'hua'ju'xie 将恨与闲花俱谢
'jiang'jie'mei'hua'yin'bai'ou'wen'wo'bo'gu'zhou 蒋捷梅花引白鸥问我泊孤舟
'jiang'jie'yi'jian'mei'yi'pian'chun'chou'dai'jiu'jiao 蒋捷一剪梅一片春愁待酒浇
'jiang'jie'yu'mei'ren'shao'nian'ting'yu'ge'lou'shang 蒋捷虞美人少年听雨歌楼上
'jiang'jun'bai'fa'zheng'fu'lei 将军白发征夫泪
'jiang'jun'bai'zhan'sheng'ming'lie 将军百战声名裂
'jiang'kui'an'xiang'jiu'shi'yue'se 姜夔暗香旧时月色
'jiang'kui'chang'ting'yuan'man'jian'chui'jin 姜夔长亭怨慢渐吹尽
'jiang'kui'cui'lou'yin'yue'leng'long'sha 姜夔翠楼吟月冷龙沙
'jiang'kui'dian'jiang'chun'yan'yan'wu'xin 姜夔点绛唇燕雁无心
'jiang'kui'nian'nu'jiao'nao'hong'yi'ge 姜夔念奴娇闹红一舸
'jiang'kui'qi'tian'le'yu'lang'xian'zi'yin'chou'fu 姜夔齐天乐庾郎先自吟愁赋
'jiang'kui'qing'gong'chun'shuang'jiang'chun'bo 姜夔庆宫春双桨莼波
'jiang'kui'shu'ying'tai'zhi'zhui'yu 姜夔疏影苔枝缀玉
'jiang'kui'ta'sha'xing'yan'yan'qing'ying 姜夔踏莎行燕燕轻盈
'jiang'kui'yang'zhou'man'huai'zuo'ming'du 姜夔扬州慢淮左名都
'jiang'kui'zhe'gu'tian'jing'luo'feng'liu'jue'dai'ren 姜夔鹧鸪天京洛风流绝代人
'jiang'kuo'yun'di 江阔云低
'jiang'lan'zhu 江阑住
'jiang'liu'ru'ci 江流如此
'jiang'nan'hao 江南好
'jiang'nan'jiang'bei 江南江北
'jiang'nan'tian'kuo 江南天阔
'jiang'nan'wu'lu 江南无路
'jiang'nan'yi 江南忆
'jiang'nan'yi'jiu'cheng'jia'li 江南依旧称佳丽
'jiang'nan'you'zi 江南游子
'jiang'nan'zi'shi'li'chou'ku 江南自是离愁苦
'jiang'shan'hui'shou 江山回首
'jiang'shan'qiu'se 江山秋色
'jiang'shan'ru'hua 江山如画
'jiang'shang'liu'ru'yan 江上柳如烟
'jiang'shang'zhou'yao 江上舟摇
'jiang'shui'wu'qing'liu'bo'mu 江水无情流薄暮
'jiang'shui'xi'tou'ge'yan'shu 江水西头隔烟树
'jiang'tou'chao'yi'ping 江头潮已平
'jiang'wan'zheng'chou'yu 江晚正愁余
'jiang'xing'zu'nv'jian'zi'mu'lan'hua'zhao'yun'heng'du 蒋兴祖女减字木兰花朝云横度
'jiang'yan'kun'liu 将烟困柳
'jiang'yuan'long'hao'shi'jin'ye'an'ru'ya'ti 蒋元龙好事近叶暗乳鸦啼
'jiang'yun'die'die'zhe'yuan'pu 江云叠叠遮鸳浦
'jiang'zuo'chen'han'qiu'ming'zhe 江左沉酣求名者
'jiao'fang'you'zou'bie'li'ge 教坊犹奏别离歌
'jiao'jia'xiao'meng'ti'ying 交加晓梦啼莺
'jiao'jie'wu'dou'xiong 交结五都雄
'jiao'sheng'chui 角声吹
'jiao'sheng'han 角声寒
'jiao'si'guo'gu'jiu'lou'qian 骄嘶过沽酒楼前
'jiao'xue'e'kong 狡穴俄空
'jiao'yuan'chu'yu'yu 郊原初遇雨
'jie'an'lv'she'tian'jiang'mu 解鞍旅舍天将暮
'jie'an'qi'zhen'lv'yang'qiao 解鞍欹枕绿杨桥
'jie'an'shao'zhu'chu'cheng 解鞍少驻初程
'jie'chang'ting 接长亭
'jie'fang'yong'yu'le'feng'nuan'ying'jiao 解昉永遇乐风暖莺娇
'jie'tian'liu 接天流
'jie'tou'xi'gu 街头戏鼓
'jie'wen'gu'shan'lin'chu'shi 借问孤山林处士
'jie'wen'jiang'chao'yu'hai'shui 借问江潮与海水
'jie'yan'hong 借颜红
'jie'zi'yu'huang'shi 结子欲黄时
'jin'ba'zuo'wo'she'qi'hu 今把作握蛇骑虎
'jin'bi'lou'xi 金碧楼西
'jin'bo'dan 金波淡
'jin'chai'dou'cao 金钗斗草
'jin'chan'tu'qi'du'jiang'chu 锦襜突骑渡江初
'jin'dao'qing'ge'chuan'hao'chi 尽道清歌传皓齿
'jin'er'tou'ji'you'su 锦儿偷寄幽素
'jin'fan'chong'lang 锦帆冲浪
'jin'fei'zuo 今非昨
'jin'feng'wei'lin 金风未凛
'jin'feng'yu'lu'yi'xiang'feng 金风玉露一相逢
'jin'ge'tie'ma 金戈铁马
'jin'gu'jun'you 金谷俊游
'jin'gu'nian'nian 金谷年年
'jin'gui'jie'jin'liu'wu'ji 金龟解尽留无计
'jin'hao'zong 矜豪纵
'jin'he'xu 今何许
'jin'hou'cen'ji 津堠岑寂
'jin'hua'li'wai'zhu'heng'qiao 槿花篱外竹横桥
'jin'huang'hun 尽黄昏
'jin'huo'tian'yi'shi'shi'xin'zhuang 禁火天已是试新妆
'jin'ji'mai'qing'qing 尽荠麦青青
'jin'lai'shi'jue'gu'ren'shu 近来始觉古人书
'jin'ling'cheng'shang'xi'lou 金陵城上西楼
'jin'lv'shui'tai'xie'ying'qiu'qian 近绿水台榭映秋千
'jin'mao'diao'qiu 锦帽貂裘
'jin'nian'hai'jiao'tian'ya 今年海角天涯
'jin'nian'han'pu'chu'ci 今年汉酺初赐
'jin'nian'hua'sheng'qu'nian'hong 今年花胜去年红
'jin'nian'yuan'ye'shi 今年元夜时
'jin'qi'liang'bu'xiang'niu'shan'di 尽凄凉不向牛山滴
'jin'qing'ming 近清明
'jin'ri'chen'yan'xiang'yi'lv 尽日沉烟香一缕
'jin'ri'ci'zun'kong 今日此尊空
'jin'ri'du'xun'huang'ye'lu 今日独寻黄叶路
'jin'ri'fang'zun'wei'kong'qian 今日芳尊惟恐浅
'jin'ri'jiang'cheng'chun'yi'ban 今日江城春已半
'jin'ri'lou'tai'ding'nai 今日楼台鼎鼐
'jin'ri'men'qian'xi'shui'zhang 近日门前溪水涨
'jin'ri'ming'mi 尽日冥迷
'jin'ri'mu'duan'wang'sun 尽日目断王孙
'jin'ri'ping'lan'lou'shang'wang 尽日凭阑楼上望
'jin'ri're'fei'xu 尽日惹飞絮
'jin'ri'wu'ti'ren'jing 尽日乌啼人静
'jin'ri'xiang'si'luo'dai'huan 尽日相思罗带缓
'jin'ru'yu'qiao'xian'hua 尽入渔樵闲话
'jin'se'heng'chuang 锦瑟横床
'jin'se'hua'nian'shei'yu'du 锦瑟华年谁与度
'jin'shen'xian'chou 禁甚闲愁
'jin'shu'nan'tuo 锦书难托
'jin'shu'xiao'xi'duan 锦书消息断
'jin'shui'zai 今谁在
'jin'suo'zhong'men'huang'yuan'jing 金锁重门荒苑静
'jin'wo'chu'wen 锦幄初温
'jin'xi'feng'ji'ying'gui'wei 尽西风季鹰归未
'jin'xi'qing'hui'bu'zu 今夕清辉不足
'jin'xi'shi'he'nian 今夕是何年
'jin'xiao'jiu'xing'he'chu 今宵酒醒何处
'jin'xiao'lu'su'he'fang 今宵露宿何妨
'jin'xiao'ou'ye'xi 金销藕叶稀
'jin'xiao'sheng'ba'yin'gang'zhao 今宵剩把银釭照
'jin'xiao'yu'po'yun'hun 今宵雨魄云魂
'jin'xiu'shang'kong're'ti'hen 襟袖上空惹啼痕
'jin'ye'hua'chuan'he'chu 今夜画船何处
'jin'ye'shan'shen'chu 今夜山深处
'jin'ye'xue 今夜雪
'jin'yi'xi'jiang 尽挹西江
'jin'yuan'jiao'han 禁苑娇寒
'jin'zhong'qiu 近中秋
'jing'dao'lin'qiang 惊倒邻墙
'jing'dao'yu 惊岛屿
'jing'fen'zhong'die'su'xi'yuan 惊粉重蝶宿西园
'jing'feng'sui 静烽燧
'jing'hao'she 竞豪奢
'jing'he'cheng 竟何成
'jing'hu'yuan'zi'shu'xian'ren 镜湖元自属闲人
'jing'hui'qian'li'meng 惊回千里梦
'jing'kang'chi 靖康耻
'jing'ke'shu'dan'gui'cen'ci 静可数丹桂参差
'jing'kua'qing'jun 竞夸轻俊
'jing'li'yan'diao 镜里颜凋
'jing'li'zhu'yan'dou'bian'jin 镜里朱颜都变尽
'jing'li'zhu'yan'gai 镜里朱颜改
'jing'luo'feng'liu'jue'dai'ren 京洛风流绝代人
'jing'qi'que'hui'tou 惊起却回头
'jing'qi'wang 惊起望
'jing'qi'yi'tan'ou'lu 惊起一滩鸥鹭
'jing'qiu'kong 净秋空
'jing'sai'yan 惊塞雁
'jing'san'mu'ya 惊散暮鸦
'jing'se'zha'chang'chun'zhou 景色乍长春昼
'jing'tao'lie'an 惊涛裂岸
'jing'tui'wan'ren'zheng'zhan'qi 惊退万人争战气
'jing'wu'yu'ning'ye 竟无语凝噎
'jing'xia'luan'hong'pu'xiu 惊下乱红铺绣
'jiu'bing'sha'ru'zuo 酒病煞如昨
'jiu'ceng'ti'chu 旧曾题处
'jiu'chao'wu'mi'chu 旧巢无觅处
'jiu'di'huang'liu'luan'zhu 九地黄流乱注
'jiu'han'er're'shuo'wen'zhang 酒酣耳热说文章
'jiu'han'xiong'dan'shang'kai'zhang 酒酣胸胆尚开张
'jiu'jian'chang'chou'ke'shao 酒贱常愁客少
'jiu'jiang'dong'zhu 九江东注
'jiu'jiang'shan'hun'shi'xin'chou 旧江山浑是新愁
'jiu'jin'wei'neng'qu 酒尽未能去
'jiu'kun'lu'chang'wei'yu'shui 酒困路长惟欲睡
'jiu'lan'geng'xi'tuan'cha'ku 酒阑更喜团茶苦
'jiu'lan'wen'sai'di 酒阑闻塞笛
'jiu'li'xiao'chu'xiao'yu'xin 酒力消除笑语新
'jiu'nong'chun'ru'meng 酒浓春入梦
'jiu'qi'sha'an 酒旗沙岸
'jiu'qi'xi'gu'shen'chu'shi 酒旗戏鼓甚处市
'jiu'qi'xin'long'liang'yi'yi 旧栖新垅两依依
'jiu'qian'shang 酒千觞
'jiu'ru'chou'chang 酒入愁肠
'jiu'shan'song'zhu'lao 旧山松竹老
'jiu'shen'qing'yi'shen 酒深情亦深
'jiu'shi'guang'yin'neng'you'ji 九十光阴能有几
'jiu'shi'mao'dian'she'lin'bian 旧时茅店社林边
'jiu'shi'tian'qi'jiu'shi'yi 旧时天气旧时衣
'jiu'shi'yue'se 旧时月色
'jiu'tu'yi'ban'qu'feng'hou 酒徒一半取封侯
'jiu'wan'li'feng'peng'zheng'ju 九万里风鹏正举
'jiu'wu'ren'quan 酒无人劝
'jiu'xiang'can'fen'si'dang'chu 旧香残粉似当初
'jiu'xin'qing 旧心情
'jiu'xing'bo'yuan 酒醒波远
'jiu'xing'duan'hai'xu 酒兴断还续
'jiu'xing'hou 酒醒后
'jiu'xing'lian'mu'di'chui 酒醒帘幕低垂
'jiu'xing'ren'jing'nai'chou'nong 酒醒人静奈愁浓
'jiu'yan'ge'xi'mo'ci'pin 酒筵歌席莫辞频
'jiu'yi'shi'qing'shui'yu'gong 酒意诗情谁与共
'jiu'you'jiu'you'jin'zai'fou 旧游旧游今在否
'jiu'zhan'xuan'jiang'he'ye'dang 酒盏旋将荷叶当
'jiu'zuo'chang'an'lv 久作长安旅
'ju'da'bai 举大白
'ju'hua'can 菊花残
'ju'hua'kai 菊花开
'ju'nu'wu'yang 橘奴无恙
'ju'ru'xu 遽如许
'ju'san'ku'cong'cong 聚散苦匆匆
'ju'san'zhen'rong'yi 聚散真容易
'ju'shu'jiao'yin'ke 拘束教吟课
'ju'tou'wen'que'xi 举头闻鹊喜
'ju'tou'xi'bei'fu'yun 举头西北浮云
'ju'wan'luo'qian'cun'hu'tu 聚万落千村狐兔
'juan'chu'xi'wei 倦出犀帷
'juan'qi'qian'dui'xue 卷起千堆雪
'juan'qing'lang'chen'chen'qian'li 卷轻浪沉沉千里
'juan'you'yan 倦游燕
'juan'zhu'bo 卷珠箔
'jue'lai'shuang'lei'chui 觉来双泪垂
'jue'lai'xiao'yuan'xing'bian 觉来小园行遍
'jue'lai'yin 绝来音
'jue'lai'zhi'shi'meng 觉来知是梦
'jue'ruan'tu'qiong 觉阮途穷
'jun'bu'jian 君不见
'jun'lei'ying 君泪盈
'jun'mo'wu 君莫舞
'jun'qu'jing'dong'hao'jie'xi 君去京东豪杰喜
'jun'shan'yi'dian 君山一点
'jun'shi'qu 君试觑
'jun'ting'zhen'shang'kan'chao'tou 郡亭枕上看潮头
'jun'xin'fu'qie'xin 君心负妾心
'jun'zhi'fou 君知否
'jun'zhu'chang'jiang'wei 君住长江尾
'kai'shi'si'xue 开时似雪
'kai'yi'jing 开一径
'kan'ai'chu 堪爱处
'kan'bi'jian'san'jue 看壁间三绝
'kan'chu'nv'xian'yao'yi'ba 看楚女纤腰一把
'kan'dong'song'yu'bei'liang 堪动宋玉悲凉
'kan'gu'hong'ming'mie 看孤鸿明灭
'kan'hao'dang'qian'ya'qiu'se 看浩荡千崖秋色
'kan'hen'xi'feng'chui'shi'huan 堪恨西风吹世换
'kan'hua'lao'yan 看花老眼
'kan'huang'hun 看黄昏
'kan'ju'chou'yan'lan'qi'lu 槛菊愁烟兰泣露
'kan'kan'chang'mian'shou'xin'jian 看看尝面收新茧
'kan'kan'qu'ying'hong 看槛曲萦红
'kan'ming'wang'xiao'lie 看名王宵猎
'kan'qu'mei'tou'bin'shang 看取眉头鬓上
'kan'qu'nie'can'shuang'bin 看取镊残双鬓
'kan'qu'wan'lai'feng'shi 看取晚来风势
'kan'shan'qia'si'zou'lai'ying 看山恰似走来迎
'kan'shi'wu'shi'liu 看十五十六
'kan'sun'lang 看孙郎
'kan'wo'bi'xiao'zhong 看我碧霄中
'kan'xian'hao'yin'yuan 堪羡好因缘
'kan'xiao'yi'ye'piao'ling 堪笑一叶漂零
'kan'xiu'sun'shan'tao'ru'xue 堪羞损山桃如血
'kan'xun'fang 堪寻访
'kan'yan'yan 看燕燕
'kan'yuan'wang'sun 堪怨王孙
'kan'yun'wai'shan'he 看云外山河
'kan'zu'liu'hun'hua'ming 看足柳昏花暝
'ke'geng'xiang'yi 可更相宜
'ke'kan'geng'jin'qian'long'jie 可堪更近乾龙节
'ke'kan'gu'guan'bi'chun'han 可堪孤馆闭春寒
'ke'kan'hui'shou 可堪回首
'ke'kan'sui'wan 可堪岁晚
'ke'lai'bian'qing 客来便请
'ke'li'xiang'feng 客里相逢
'ke'lian'bai'fa'sheng 可怜白发生
'ke'lian'lao'qu'lan'cheng 可怜老去兰成
'ke'lian'wu'shu'shan 可怜无数山
'ke'lian'wu'yong 可怜无用
'ke'lian'ye'ye'guan'qing 可怜夜夜关情
'ke'meng'bu'jin'peng'bei'yu 客梦不禁篷背雨
'ke'nai'meng'sui'chun'lou'duan 可奈梦随春漏短
'ke'she'si'jia'jia'si'ji 客舍似家家似寄
'ke'xi'dong'feng 可惜东风
'ke'xi'feng'liu'zong'xian'que 可惜风流总闲却
