'dian'chang'ji'suan'ji'kong'zhi'xi'tong 电厂计算机控制系统
'dian'ci'ce'liang'shi'yan'ji'shu 电磁测量实验技术
'dian'ci'chang'ji'suan'ji 电磁场计算机
'dian'ci'chang'li'lun 电磁场理论
'dian'ci'chang'shu'zhi'ji'suan 电磁场数值计算
'dian'ci'chang'yu'dian'ci'bo 电磁场与电磁波
'dian'ci'chang'yu'wei'bo'ji'shu 电磁场与微波技术
'dian'ci'chang'zhong'de'shu'zhi'fang'fa 电磁场中的数值方法
'dian'ci'chang'zhong'de'shu'zhi'ji'suan 电磁场中的数值计算
'dian'ci'xue 电磁学
'dian'dong'li'xue 电动力学
'dian'du 电镀
'dian'fen'xi'hua'xue 电分析化学
'dian'gong'cai'liao 电工材料
'dian'gong'ce'liang'ji'shu'ji'chu 电工测量技术基础
'dian'gong'ce'shi'ji'shu'ji'chu 电工测试技术基础
'dian'gong'chan'pin'xue 电工产品学
'dian'gong'dian'zi'ji'shu'ji'chu 电工电子技术基础
'dian'gong'dian'zi'xue 电工电子学
'dian'gong'ji'chu 电工基础
'dian'gong'ji'chu'li'lun 电工基础理论
'dian'gong'ji'chu'shi'yan 电工基础实验
'dian'gong'ji'shu 电工技术
'dian'gong'ji'shu'ji'chu 电工技术基础
'dian'gong'li'lun'yu'xin'ji'shu 电工理论与新技术
'dian'gong'shi'xi 电工实习
'dian'gong'shi'yan 电工实验
'dian'gong'shi'yan'ji'shu'ji'chu 电工实验技术基础
'dian'gong'xue 电工学
'dian'gong'yu'dian'ji'kong'zhi 电工与电机控制
'dian'hu'dian'jie'chu 电弧电接触
'dian'hu'han'ji'dian'zha'han 电弧焊及电渣焊
'dian'hua'xue'ce'shi'ji'shu 电化学测试技术
'dian'hua'xue'gong'cheng 电化学工程
'dian'hua'xue'gong'yi'xue 电化学工艺学
'dian'ji 电机
'dian'ji'ce'shi'ji'shu 电机测试技术
'dian'ji'dian'ci'chang'de'fen'xi'yu'ji'suan 电机电磁场的分析与计算
'dian'ji'dian'ci'chang'de'shu'zhi'ji'suan 电机电磁场的数值计算
'dian'ji'dian'ci'chang'li'lun 电机电磁场理论
'dian'ji'dian'qi'yu'gong'dian 电机电器与供电
'dian'ji'ju'zhen'fen'xi'fa 电机矩阵分析法
'dian'ji'ke'cheng'she'ji 电机课程设计
'dian'ji'rao'zu'li'lun 电机绕组理论
'dian'ji'rao'zu'li'lun'ji'ying'yong 电机绕组理论及应用
'dian'ji'she'ji 电机设计
'dian'ji'shun'bian'guo'cheng 电机瞬变过程
'dian'ji'tong'yi'li'lun 电机统一理论
'dian'ji'xue 电机学
'dian'ji'xue'ji'kong'zhi'dian'ji 电机学及控制电机
'dian'ji'yu'dian'qi 电机与电器
'dian'ji'yu'tuo'dong 电机与拖动
'dian'ji'yuan'li 电机原理
'dian'ji'yuan'li'yu'tuo'dong 电机原理与拖动
'dian'ji'zhuan'ti 电机专题
'dian'jie'chu'yu'dian'hu 电接触与电弧
'dian'jie'zhi'wu'li 电介质物理
'dian'jing 电镜
'dian'li'dian'zi'dian'lu 电力电子电路
'dian'li'dian'zi'dian'qi 电力电子电器
'dian'li'dian'zi'qi'jian 电力电子器件
'dian'li'dian'zi'xue 电力电子学
'dian'li'dian'zi'yu'dian'li'chuan'dong 电力电子与电力传动
'dian'li'gong'cheng 电力工程
'dian'li'qi'ye'guan'li 电力企业管理
'dian'li'sheng'chan'ji'shu 电力生产技术
'dian'li'sheng'chan'you'hua'guan'li 电力生产优化管理
'dian'li'tuo'dong 电力拖动
'dian'li'tuo'dong'ji'chu 电力拖动基础
'dian'li'tuo'dong'kong'zhi'xi'tong 电力拖动控制系统
'dian'li'tuo'dong'yu'dian'qi'kong'zhi 电力拖动与电气控制
'dian'li'xi'tong 电力系统
'dian'li'xi'tong'dian'yuan'zui'you'hua'gui'hua 电力系统电源最优化规划
'dian'li'xi'tong'duan'lu 电力系统短路
'dian'li'xi'tong'fen'xi 电力系统分析
'dian'li'xi'tong'gui'hua 电力系统规划
'dian'li'xi'tong'guo'dian'ya 电力系统过电压
'dian'li'xi'tong'ji'dian'bao'hu'yuan'li 电力系统继电保护原理
'dian'li'xi'tong'ji'qi'zi'dong'hua 电力系统及其自动化
'dian'li'xi'tong'jing'ji'fen'xi 电力系统经济分析
'dian'li'xi'tong'jing'ji'yun'xing 电力系统经济运行
'dian'li'xi'tong'ke'cheng'she'ji 电力系统课程设计
'dian'li'xi'tong'ke'kao'xing 电力系统可靠性
'dian'li'xi'tong'ke'kao'xing'fen'xi 电力系统可靠性分析
'dian'li'xi'tong'wu'gong'bu'chang'ji'ying'yong 电力系统无功补偿及应用
'dian'li'xi'tong'xie'bo 电力系统谐波
'dian'li'xi'tong'you'hua'ji'shu 电力系统优化技术
'dian'li'xi'tong'you'hua'she'ji 电力系统优化设计
'dian'li'xi'tong'yuan'dong 电力系统远动
'dian'li'xi'tong'yuan'dong'ji'shu 电力系统远动技术
'dian'li'xi'tong'yun'xing 电力系统运行
'dian'li'xi'tong'zi'dong'hua 电力系统自动化
'dian'li'xi'tong'zi'dong'zhuang'zhi 电力系统自动装置
'dian'li'xi'tong'zui'you'gui'hua 电力系统最优规划
'dian'li'zhuang'zhi'ke'cheng'she'ji 电力装置课程设计
'dian'li'zhuang'zhi'yu'xi'tong 电力装置与系统
'dian'lu'ce'liang'yu'shi'yan 电路测量与实验
'dian'lu'ce'shi'ji'shu 电路测试技术
'dian'lu'ce'shi'ji'shu'ji'chu 电路测试技术基础
'dian'lu'ce'shi'ji'shu'ji'shi'yan 电路测试技术及实验
'dian'lu'fen'xi'ji'chu 电路分析基础
'dian'lu'fen'xi'ji'chu'shi'yan 电路分析基础实验
'dian'lu'fen'xi'shi'yan 电路分析实验
'dian'lu'he'dian'zi'ji'shu 电路和电子技术
'dian'lu'ji'ben'li'lun 电路基本理论
'dian'lu'li'lun 电路理论
'dian'lu'li'lun'ji'chu 电路理论基础
'dian'lu'li'lun'shi'yan 电路理论实验
'dian'lu'she'ji'yu'ce'shi'ji'shu 电路设计与测试技术
'dian'lu'yu'xi'tong 电路与系统
'dian'qi'ce'liang'ji'shu 电气测量技术
'dian'qi'chuan'dong 电气传动
'dian'qi'gong'cheng 电气工程
'dian'qi'kong'zhi'ji'shu 电气控制技术
'dian'qi'she'ji 电器设计
'dian'qi'xue 电器学
'dian'qi'yu'kong'zhi 电器与控制
'dian'shi'chuan'gan'qi'tu'xiang'xian'shi 电视传感器图象显示
'dian'shi'jie'mu 电视节目
'dian'shi'jie'mu'zhi'zuo 电视节目制作
'dian'shi'jie'shou'ji'shu 电视接收技术
'dian'shi'xin'ji'shu 电视新技术
'dian'shi'xin'wen 电视新闻
'dian'shi'yuan'li 电视原理
'dian'wang'diao'du'zi'dong'hua 电网调度自动化
'dian'xing'ji'suan'ji'fen'xi 典型计算机分析
'dian'xue'shi'yan 电学实验
'dian'ying'xue 电影学
'dian'ying'yi'shu 电影艺术
'dian'zhan'wei'ji'jian'ce'kong'zhi 电站微机检测控制
'dian'zi'cai'liao'yu'yuan'jian'ce'shi'ji'shu 电子材料与元件测试技术
'dian'zi'cai'liao'yuan'jian 电子材料元件
'dian'zi'cai'liao'yuan'jian'ce'liang 电子材料元件测量
'dian'zi'ce'liang'yu'shi'yan'ji'shu 电子测量与实验技术
'dian'zi'ce'shi 电子测试
'dian'zi'ce'shi'ji'shu 电子测试技术
'dian'zi'ce'shi'ji'shu'yu'shi'yan 电子测试技术与实验
'dian'zi'ce'shi'shi'yan 电子测试实验
'dian'zi'ce'shi'yu'shi'yan'ji'shu 电子测试与实验技术
'dian'zi'ji'shu 电子技术
'dian'zi'ji'shu'fu'shi'ce'shi'zhong'de'ying'yong 电子技术腐蚀测试中的应用
'dian'zi'ji'shu'ji'chu 电子技术基础
'dian'zi'ji'shu'ji'chu'yu'shi'yan 电子技术基础与实验
'dian'zi'ji'shu'ke'cheng'she'ji 电子技术课程设计
'dian'zi'ji'shu'shi'yan 电子技术实验
'dian'zi'ji'shu'zong'he'xing'she'ji'shi'yan 电子技术综合性设计实验
'dian'zi'ji'xie'yun'dong'kong'zhi'ji'shu 电子机械运动控制技术
'dian'zi'ke'xue'yu'ji'shu 电子科学与技术
'dian'zi'li'lun'shi'yan 电子理论实验
'dian'zi'xian'lu 电子线路
'dian'zi'xian'lu'de'ji'suan'ji'fu'zhu'fen'xi 电子线路的计算机辅助分析
'dian'zi'xian'lu'de'ji'suan'ji'fu'zhu'she'ji 电子线路的计算机辅助设计
'dian'zi'xian'lu'ke'cheng'she'ji 电子线路课程设计
'dian'zi'xian'lu'she'ji'yu'ce'shi'ji'shu 电子线路设计与测试技术
'dian'zi'xian'lu'she'ji'yu'ce'shi'shi'yan 电子线路设计与测试实验
'dian'zi'xian'lu'shi'yan 电子线路实验
'dian'zi'xian'wei'fen'xi 电子显微分析
'dian'zi'xian'wei'jing 电子显微镜
'dian'zi'xue 电子学
'dian'zi'xue'ke'cheng'she'ji 电子学课程设计
'dian'zi'zhao'xiang'ji'shu 电子照相技术
'diao'su'yi'shu'xin'shang 雕塑艺术欣赏
'dong'li'gong'cheng'ji'gong'cheng're'wu'li 动力工程及工程热物理
'dong'li'ji'xie'ji'gong'cheng 动力机械及工程
'dong'tai'gui'hua 动态规划
'dong'tai'wu'sun'jian'ce 动态无损检测
'dong'tai'xin'hao 动态信号
'dong'tai'xin'hao'fen'xi'yu'yi'qi 动态信号分析与仪器
'dong'wu'xue 动物学
'dong'wu'yi'chuan'yu'zhong'yu'fan'zhi 动物遗传育种与繁殖
'dong'wu'ying'yang'yu'si'liao'ke'xue 动物营养与饲料科学
'duan'lie'li'xue 断裂力学
'duan'lie'pi'lao'li'xue 断裂疲劳力学
'duan'ya'ce'shi'ji'shu 锻压测试技术
'duan'ya'gong'yi 锻压工艺
'duan'ya'ji'xie'ye'ya'chuan'dong 锻压机械液压传动
'duan'ya'jia're'she'bei 锻压加热设备
'duan'ya'she'bei'zhuan'ti 锻压设备专题
'duan'ya'xi'tong'dong'li'xue 锻压系统动力学
'duan'zao'gong'yi 锻造工艺
'duan'zao'jia're'she'bei 锻造加热设备
'dui'wai'mao'yi'bao'xian 对外贸易保险
'dui'wai'mao'yi'di'li 对外贸易地理
'dui'wai'mao'yi'gai'lun 对外贸易概论
'dui'wai'mao'yi'yun'shu 对外贸易运输
'duo'ceng'wang'luo'fang'fa 多层网络方法
'duo'mei'ti'ji'suan'ji'ji'shu 多媒体计算机技术
'duo'mu'biao'you'hua'fang'fa 多目标优化方法
'duo'xiang'ju'zhen 多项距阵
'duo'yuan'tong'ji'fen'xi 多元统计分析
'e'yu'yu'yan'wen'xue 俄语语言文学
'er'bi'yan'hou'ke'xue 耳鼻咽喉科学
'er'ke'xue 儿科学
'er'shao'wei'sheng'yu'fu'you'bao'jian'xue 儿少卫生与妇幼保健学
'fa'dian'chang 发电厂
'fa'dian'chang'dian'qi'bu'fen 发电厂电气部分
'fa'dian'chang'dian'qi'bu'fen'yu'dong'li'bu'fen 发电厂电气部分与动力部分
'fa'dian'chang'dian'qi'bu'fen'yu're'li'she'bei 发电厂电气部分与热力设备
'fa'dian'chang'ji'suan'ji'kong'zhi 发电厂计算机控制
'fa'jiao'gong'cheng 发酵工程
'fa'li'xue 法理学
'fa'lv'ji'chu 法律基础
'fa'lv'shi 法律史
'fa'xue 法学
'fa'xue'gai'lun 法学概论
'fa'xue'ji'chu 法学基础
