'a'bi'di'yu 阿鼻地狱
'can'tou'yan'wei 蚕头燕尾
'can'wu'cuo'zong 参伍错综
'can'wu'ren'dao 惨无人道
'can'wu'ren'li 惨无人理
'can'wu'tian'ri 惨无天日
'can'xia'shu'xie 餐霞漱瀣
'can'xia'xi'lu 餐霞吸露
'can'xia'yin'jing 餐霞饮景
'can'xia'yin'xie 餐霞饮瀣
'can'xia'yin'ye 餐霞饮液
'can'xing'zhuo'fu 餐腥啄腐
'can'yu'suan'feng 惨雨酸风
'can'yun'wo'shi 餐云卧石
'can'zha'yu'nie 残渣馀孽
'can'zha'yu'nie 残渣余孽
'cang'bai'wu'li 苍白无力
'cang'cu'zhi'ji 仓卒之际
'cang'cu'zhu'ren 仓卒主人
'cang'cui'yu'di 苍翠欲滴
'cang'gong'peng'gou 藏弓烹狗
'cang'gou'bai'yi 苍狗白衣
'cang'gou'na'wu 藏垢纳污
'cang'hai'heng'liu 沧海横流
'cang'hai'sang'tian 沧海桑田
'cang'hai'yi'lin 沧海一鳞
'cang'hai'yi'su 沧海一粟
'cang'hai'yi'zhu 沧海遗珠
'cang'huang'chu'tao 仓皇出逃
'cang'huang'fan'fu 苍黄翻覆
'cang'huang'fan'fu 苍黄翻复
'cang'huang'shi'cuo 仓皇失措
'cang'lang'lao'ren 沧浪老人
'cang'long'wo'hu 藏龙卧虎
'cang'nu'su'yuan 藏怒宿怨
'cang'qi'dai'shi 藏器待时
'cang'qiao'yu'zhuo 藏巧于拙
'cang'ran'ru'ji 苍髯如戟
'cang'sheng'tu'tan 苍生涂炭
'cang'song'cui'bai 苍松翠柏
'cang'tou'lu'wei 藏头露尾
'cang'wu'na'gou 藏污纳垢
'cang'xing'ni'ying 藏形匿影
'cang'yan'bai'fa 苍颜白发
'cang'ying'jian'xie 苍蝇见血
'cang'zhi'ming'shan 藏之名山
'cang'zhu'ming'shan 藏诸名山
'cang'zong'nie'ji 藏踪蹑迹
'cao'cao'liao'shi 草草了事
'cao'cao'shou'bing 草草收兵
'cao'chuang'wei'jiu 草创未就
'cao'dao'bi'ge 操刀必割
'cao'dao'shang'jin 操刀伤锦
'cao'dao'zhi'jin 操刀制锦
'cao'fu'fa'ke 操斧伐柯
'cao'ge'ru'shi 操戈入室
'cao'ge'tong'shi 操戈同室
'cao'gu'ran'han 操觚染翰
'cao'han'cheng'zhang 操翰成章
'cao'jian'qiu'huo 草间求活
'cao'jian'ren'ming 草菅人命
'cao'lu'san'gu 草庐三顾
'cao'man'ling'yu 草满囹圄
'cao'mang'ying'xiong 草莽英雄
'cao'mao'ru'shi 操矛入室
'cao'mu'jie'bing 草木皆兵
'cao'mu'ju'xiu 草木俱朽
'cao'mu'xiao'shu 草木萧疏
'cao'mu'yu'fu 草木愚夫
'cao'mu'zhi'wei 草木知威
'cao'qi'ji'ying 操奇计赢
'cao'qi'zhu'ying 操奇逐赢
'cao'shen'xing'shi 操身行世
'cao'shuai'cong'shi 草率从事
'cao'shuai'shou'bing 草率收兵
'cao'ti'qin'xian 草薙禽狝
'cao'tou'tian'zi 草头天子
'cao'xing'lu'su 草行露宿
'cao'yi'mu'shi 草衣木食
'cao'ying'zhi'qi 操赢致奇
'cao'zhang'ying'fei 草长莺飞
'cao'zhi'guo'cu 操之过蹙
'cao'zhi'guo'ji 操之过急
'cao'zhi'guo'ji 操之过激
'cao'zhi'guo'qie 操之过切
'cao'zong'zi'ru 操纵自如
'ce'mu'er'shi 侧目而视
'ce'shen'qi'jian 厕身其间
'ce'wu'yi'suan 策无遗算
'ce'yin'zhi'xin 恻隐之心
'ce'zu'er'li 侧足而立
'ce'zu'qi'jian 厕足其间
'cen'ci'bu'qi 参差不齐
'cen'ci'cuo'luo 参差错落
'ceng'chu'bu'qiong 层出不穷
'ceng'chu'die'jian 层出叠见
'ceng'ji'he'shi 曾几何时
'ceng'jian'cuo'chu 层见错出
'ceng'jian'die'chu 层见迭出
'ceng'jian'die'chu 层见叠出
'ceng'jing'cang'hai 曾经沧海
'ceng'luan'die'zhang 层峦叠嶂
'ceng'tai'lei'xie 层台累榭
'cha'cha'wei'ming 察察为明
'cha'chi'nan'fei 插翅难飞
'cha'chi'nan'tao 插翅难逃
'cha'fan'wu'xin 茶饭无心
'cha'ji'zhi'ren 察己知人
'cha'jian'yuan'yu 察见渊鱼
'cha'jin'zhi'gu 察今知古
'cha'ke'da'hun 插科打诨
'cha'ke'shi'qi 插科使砌
'cha'qiang'ren'yi 差强人意
'cha'quan'nong'tao 插圈弄套
'cha'ruo'hao'li 差若毫厘
'cha'san'cuo'si 差三错四
'cha'wu'shi'ju 查无实据
'cha'yan'guan'se 察言观色
'cha'yan'guan'se 察颜观色
'cha'yan'guan'xing 察言观行
'cha'yi'hao'li 差以毫厘
'cha'yi'qian'li 差以千里
'cha'yu'fan'hou 茶余饭后
'cha'yu'jiu'hou 茶余酒后
'cha'zhi'hao'li 差之毫厘
'cha'zhi'mo'fen 搽脂抹粉
'cha'zhi'qian'li 差之千里
'cha'zi'yan'hong 姹紫嫣红
'chai'bai'dao'zi 拆白道字
'chai'dong'bu'xi 拆东补西
'chai'dong'qiang'bu'xi'qiang 拆东墙补西墙
'chai'heng'bin'luan 钗横鬓乱
'chai'hu'zhi'xin 豺狐之心
'chai'hui'gu'li 柴毁骨立
'chai'jing'qun'bu 钗荆裙布
'chai'lang'cheng'xing 豺狼成性
'chai'lang'dang'dao 豺狼当道
'chai'lang'dang'lu 豺狼当路
'chai'lang'dang'tu 豺狼当涂
'chai'lang'heng'dao 豺狼横道
'chai'lang'hu'bao 豺狼虎豹
'chai'lang'zhi'wen 豺狼之吻
'chai'li'bu'e 柴立不阿
'chai'mi'fu'qi 柴米夫妻
'chai'mi'you'yan 柴米油盐
'chai'tian'gai'wu 柴天改物
'chai'tian'gai'yu 柴天改玉
'chan'bu'zhi'xue 蝉不知雪
'chan'cao'chu'gen 剗草除根
'chan'chuan'lei'gan 蝉喘雷干
'chan'e'chu'jian 剗恶锄奸
'chan'fu'gui'chang 蝉腹龟肠
'chan'gong'zhe'gui 蟾宫折桂
'chan'hang'duo'shi 搀行夺市
'chan'ji'xiao'sheng 铲迹销声
'chan'jiu'mou'xin 剗旧谋新
'chan'kou'shuo'jin 谗口铄金
'chan'mian'chuang'ru 缠绵床褥
'chan'mian'fei'ce 缠绵悱恻
'chan'mian'yun'jie 缠绵蕴藉
'chan'qian'luo'hou 搀前落后
'chan'ran'er'xiao 冁然而笑
'chan'shang'jiao'xia 谄上骄下
'chan'shang'qi'xia 谄上欺下
'chan'shang'yi'xia 谄上抑下
'chan'shi'diao'long 禅世雕龙
'chan'xian'yu'di 馋涎欲滴
'chan'xiao'xie'jian 谄笑胁肩
'chan'xu'zhan'ni 禅絮沾泥
'chan'yan'ning'yu 谗言佞语
'chan'yang'guang'da 阐扬光大
'chan'yi'wei'zhong 蝉翼为重
'chan'you'jue'wei 阐幽抉微
'chan'you'ming'wei 阐幽明微
'chan'yu'qu'rong 谄谀取容
'chang'an'dao'shang 长安道上
'chang'an'ju'da'bu'yi 长安居大不易
'chang'an'qi'ju 长安棋局
'chang'an'shao'nian 长安少年
'chang'bei'bu'xie 常备不懈
'chang'cai'duan'yu 长才短驭
'chang'cai'guang'du 长才广度
'chang'cai'mao'xue 长材茂学
'chang'cai'xiao'shi 长材小试
'chang'chou'liang'sha 唱筹量沙
'chang'chu'yang'zao 昌歜羊枣
'chang'chun'bu'lao 长春不老
'chang'ci'yi'wang 长此以往
'chang'dan'mian'xin 尝胆眠薪
'chang'dan'wo'xin 尝胆卧薪
'chang'ding'yi'luan 尝鼎一脔
'chang'dui'tai'xi 唱对台戏
'chang'e'bu'quan 长恶不悛
'chang'e'mi'quan 长恶靡悛
'chang'er'bu'he 倡而不和
'chang'fei'nao'man 肠肥脑满
'chang'feng'po'lang 长风破浪
'chang'ge'dang'ku 长歌当哭
'chang'hong'hua'bi 苌弘化碧
'chang'hua'duan'shuo 长话短说
'chang'huang'mi'li 惝恍迷离
'chang'hui'cheng'she 长虺成蛇
'chang'ji'gao'men 长戟高门
'chang'ji'yuan'lv 长计远虑
'chang'jia'yuan'yu 长驾远驭
'chang'jiang'hou'lang'tui'qian'lang 长江后浪推前浪
'chang'jiang'tian'qian 长江天堑
'chang'jiao'yang'ji 畅叫扬疾
'chang'jie'duan'xiang 长街短巷
'chang'jing'niao'hui 长颈鸟喙
'chang'jiu'zhi'ji 长久之计
'chang'jue'yi'shi 猖獗一时
'chang'le'wei'yang 长乐未央
'chang'lin'fan'jie 常鳞凡介
'chang'lin'feng'cao 长林丰草
'chang'lv'gu'hou 长虑顾后
'chang'lv'hou'gu 长虑后顾
'chang'lv'que'gu 长虑却顾
'chang'mian'bu'qi 长眠不起
'chang'ming'bai'sui 长命百岁
'chang'ming'fu'gui 长命富贵
'chang'mu'fei'er 长目飞耳
'chang'nian'lei'yue 长年累月
'chang'nian'lei'yue 常年累月
'chang'nian'que'lv 长念却虑
'chang'pei'yuan'yu 长辔远驭
'chang'pei'yuan'yu 长辔远御
'chang'pian'da'lun 长篇大论
'chang'pian'da'tao 长篇大套
'chang'pian'lei'du 长篇累牍
'chang'qing'ye'si 倡情冶思
'chang'qu'shen'ru 长驱深入
'chang'qu'zhi'jin 长驱直进
'chang'qu'zhi'ru 长驱直入
'chang'ran'ruo'shi 怅然若失
'chang'sha'zuo'mi 唱沙作米
'chang'she'feng'shi 长蛇封豕
'chang'she'zhi'fu 长舌之妇
'chang'sheng'bu'lao 长生不老
'chang'sheng'bu'si 长生不死
'chang'sheng'jiang'jun 常胜将军
'chang'sheng'jiu'shi 长生久视
'chang'sheng'xi'ri 长绳系日
'chang'sheng'xi'ying 长绳系景
'chang'suan'yuan'lue 长算远略
'chang'suo'yu'wei 畅所欲为
'chang'suo'yu'yan 畅所欲言
'chang'tan'kuo'lun 长谈阔论
'chang'tiao'ye'ye 倡条冶叶
'chang'ting'duan'ting 长亭短亭
'chang'ting'lv'shi 昌亭旅食
'chang'ting'zhi'ke 昌亭之客
'chang'tong'wu'zu 畅通无阻
'chang'tu'ba'she 长途跋涉
'chang'wang'yuan'yin 长往远引
'chang'xiu'shan'wu 长袖善舞
'chang'xu'duan'tan 长吁短叹
'chang'xu'duan'tan 长嘘短叹
'chang'yan'wu'ji 昌言无忌
'chang'yang'zi'si 徜徉恣肆
'chang'ye'man'man 长夜漫漫
'chang'ye'nan'ming 长夜难明
'chang'ye'zhi'yin 长夜之饮
'chang'yi'bu'bai 长揖不拜
'chang'yu'duan'qi 长吁短气
'chang'zhai'li'fo 长斋礼佛
'chang'zhai'xiu'fo 长斋绣佛
'chang'zhen'da'bei 长枕大被
'chang'zhen'da'qin 长枕大衾
'chang'zhi'jiu'an 长治久安
'chao'chao'xuan'zhu 超超玄著
'chao'chao'xuan'zhu 超超玄箸
'chao'chen'ba'su 超尘拔俗
'chao'chen'chu'su 超尘出俗
'chao'du'zhong'sheng 超度众生
'chao'fan'chu'shi 超凡出世
'chao'fan'ru'sheng 超凡入圣
'chao'fen'yuan'liao 巢焚原燎
'chao'feng'nong'yue 嘲风弄月
'chao'feng'yong'yue 嘲风咏月
'chao'hui'luan'po 巢毁卵破
'chao'ju'xue'chu 巢居穴处
'chao'li'wu'ren'mo'zuo'guan 朝里无人莫做官
'chao'lin'yi'zhi 巢林一枝
'chao'ming'dian'che 潮鸣电掣
'chao'ming'dian'zhi 潮鸣电挚
'chao'qian'xi'dang 朝乾夕愓
'chao'qing'luan'fu 巢倾卵覆
'chao'qing'luan'po 巢倾卵破
'chao'qun'ba'lei 超群拔类
'chao'qun'chu'zhong 超群出众
'chao'qun'jue'lun 超群绝伦
'chao'ran'wu'wai 超然物外
'chao'ran'xiang'wai 超然象外
'chao'ran'zi'de 超然自得
'chao'ran'zi'yi 超然自逸
'chao'yang'dan'feng 朝阳丹凤
'chao'yang'ming'feng 朝阳鸣凤
'chao'ye'shang'xia 朝野上下
'chao'yi'dong'shi 朝衣东市
'chao'yi'jue'chen 超轶绝尘
'chao'yi'xiang'wai 超以象外
'che'chen'ma'ji 车尘马迹
'che'chen'ma'zu 车尘马足
'che'chi'ma'zhou 车驰马骤
'che'dai'ma'fan 车殆马烦
'che'di'deng'qing 澈底澄清
'che'fan'ma'bi 车烦马毙
'che'gu'duo'qi 扯鼓夺旗
'che'ji'zhou'lian 车击舟连
'che'jin'lu'zhou 掣襟露肘
'che'li'che'wai 彻里彻外
'che'li'zhi'meng 车笠之盟
'che'li'zhi'wai 彻里至外
'che'ma'ying'men 车马盈门
'che'nei'che'wai 彻内彻外
'che'peng'la'qian 扯篷拉纤
'che'qi'fang'pao 扯旗放炮
'che'shang'che'xia 彻上彻下
'che'shou'che'wei 彻首彻尾
'che'shui'ma'long 车水马龙
'che'shun'feng'qi 扯顺风旗
'che'tian'ma'ai 车填马隘
'che'tong'gui 车同轨
'che'tou'che'wei 彻头彻尾
'che'wu'tui'biao 车无退表
'che'zai'chuan'zhuang 车载船装
'che'zai'dou'liang 车载斗量
'che'zai'ma'qian 车在马前
'che'zhe'ma'ji 车辙马迹
'chen'bo'jue'li 沉博绝丽
'chen'can'mu'li 晨参暮礼
'chen'can'mu'xing 晨参暮省
'chen'chen'xiang'yin 陈陈相因
'chen'ci'lan'diao 陈词滥调
'chen'ci'lan'diao 陈辞滥调
'chen'fan'tu'geng 尘饭涂羹
'chen'fu'fu'yang 沉浮俯仰
'chen'geng'tu'fan 尘羹涂饭
'chen'gou'bi'kang 尘垢秕糠
'chen'gou'bi'kang 尘垢粃糠
'chen'gu'ci'jin 陈古刺今
'chen'gu'zi'lan'zhi'ma 陈谷子烂芝麻
'chen'gu'zi'ruo 沉痼自若
'chen'guang'xi'wei 晨光熹微
'chen'gui'lou'xi 陈规陋习
'chen'hun'ding'xing 晨昏定省
'chen'huo'da'jie 趁火打劫
'chen'huo'qiang'jie 趁火抢劫
'chen'jia'you'wu 称家有无
'chen'jing'gua'yan 沉静寡言
'chen'jing'xi'li 晨兢夕厉
'chen'ke'nan'qi 沉疴难起
'chen'ke'su'ji 沉疴宿疾
'chen'li'fu'gua 沉李浮瓜
'chen'li'jiu'lie 陈力就列
'chen'men'ru'shi 臣门如市
'chen'mi'gua'yan 沉密寡言
'chen'mian'jiu'se 沉湎酒色
'chen'mian'yin'yi 沉湎淫逸
'chen'mo'gua'yan 沉默寡言
'chen'mu'e'wan 瞋目扼腕
'chen'mu'qie'chi 瞋目切齿
'chen'qian'gang'ke 沉潜刚克
'chen'qin'mu'chu 晨秦暮楚
'chen'quan'bu'da'xiao'mian 嗔拳不打笑面
'chen're'da'tie 趁热打铁
'chen'ren'zhi'wei 趁人之危
'chen'shan'bi'xie 陈善闭邪
'chen'sheng'jing'qi 沉声静气
'chen'shi'ju'lv 陈师鞠旅
'chen'shi'luo'peng 趁势落篷
'chen'shui'he'ni 趁水和泥
'chen'si'shu'lv 沉思熟虑
'chen'ti'xi'ming 晨提夕命
'chen'ti'zai'yi 称体载衣
'chen'xin'kuai'yi 称心快意
'chen'xin'man'yi 称心满意
'chen'xin'ru'shui 臣心如水
'chen'xin'ru'yi 称心如意
'chen'xing'ye'mei 晨兴夜寐
'chen'xu'er'ru 趁虚而入
'chen'yan'fu'ci 陈言肤词
'chen'yan'lao'tao 陈言老套
'chen'yan'wu'qu 陈言务去
'chen'yin'bu'jue 沉吟不决
'chen'yin'bu'yu 沉吟不语
'chen'yin'wei'jue 沉吟未决
'chen'yin'zhang'ju 沉吟章句
'chen'yu'dun'cuo 沉郁顿挫
'chen'yu'luo'yan 沉鱼落雁
'chen'yuan'mo'bai 沉冤莫白
'chen'yuan'mo'xue 沉冤莫雪
'chen'zao'chan'wa 沉灶产蛙
'chen'zao'sheng'wa 沉灶生蛙
'chen'zhong'mu'gu 晨钟暮鼓
'chen'zhou'po'fu 沉舟破釜
'chen'zhu'tong'kuai 沉著痛快
'chen'zhuo'tong'kuai 沉着痛快
'chen'zi'fan'qi 沉滓泛起
'cheng'an'jiu'chuan 撑岸就船
'cheng'bai'de'shi 成败得失
'cheng'bai'li'dun 成败利钝
'cheng'bai'lun'ren 成败论人
'cheng'bai'xing'fei 成败兴废
'cheng'bai'zai'ci'yi'ju 成败在此一举
'cheng'bang'jie'dui 成帮结队
'cheng'bei'xu'gong 城北徐公
'cheng'bu'li'tuo 秤不离砣
'cheng'chang'zhu'du 撑肠拄肚
'cheng'chang'zhu'fu 撑肠拄腹
'cheng'che'dai'li 乘车戴笠
'cheng'chen'na'gong 称臣纳贡
'cheng'cheng'duan'jin 成城断金
'cheng'de'duo'gong 称德度功
'cheng'e'quan'shan 惩恶劝善
'cheng'fei'yi'qing 乘肥衣轻
'cheng'fen'zhi'yu 惩忿窒欲
'cheng'feng'jin'e 成风尽垩
'cheng'feng'po'lang 乘风破浪
'cheng'feng'xing'lang 乘风兴浪
'cheng'feng'zhuan'duo 乘风转舵
'cheng'fo'zuo'zu 成佛作祖
'cheng'gao'jue'shui 乘高决水
'cheng'geng'chui'ji 惩羹吹齑
'cheng'gong'song'de 称功颂德
'cheng'gong'xuan'qiao 逞工炫巧
'cheng'gu'dao'gua 称孤道寡
'cheng'guai'pi'qi 逞怪披奇
'cheng'hu'qi'hou 瞠乎其后
'cheng'hu'she'shu 城狐社鼠
'cheng'huai'you'mu 骋怀游目
'cheng'huan'xi'xia 承欢膝下
'cheng'huang'cheng'kong 诚惶诚恐
'cheng'huang'ju'lv 橙黄桔绿
'cheng'huang'ju'lv 橙黄橘绿
'cheng'ji'cheng'wu 成己成物
'cheng'ji'da'jie 乘机打劫
'cheng'jia'li'ji 成家立计
'cheng'jia'li'ye 成家立业
'cheng'jian'ce'fei 乘坚策肥
'cheng'jian'di'xi 乘间抵隙
'cheng'jian'qu'liang 乘坚驱良
'cheng'jian'si'xi 乘间伺隙
'cheng'jiang'ru'lian 澄江如练
'cheng'jiao'cheng'mei 逞娇呈美
'cheng'jiao'dou'mei 逞娇斗媚
'cheng'jin'zhu'liang 秤斤注两
'cheng'li'xi'sheng 乘利席胜
'cheng'long'jia'xu 乘龙佳婿
'cheng'long'kuai'xu 乘龙快婿
'cheng'long'pei'feng 乘龙配凤
'cheng'long'pei'tao 成龙配套
'cheng'luan'kua'feng 乘鸾跨凤
'cheng'men'li'xue 程门立雪
'cheng'men'shi'huo 城门失火
'cheng'men'yu'yang 城门鱼殃
'cheng'ming'cheng'jia 成名成家
'cheng'mu'er'shi 瞠目而视
'cheng'mu'jie'she 瞠目结舌
'cheng'nian'gu'dai 成年古代
'cheng'nian'lei'yue 成年累月
'cheng'ping'dou'man 秤平斗满
'cheng'ping'sheng'shi 承平盛世
'cheng'qi'ben'yu 骋耆奔欲
'cheng'qi'bu'bei 乘其不备
'cheng'qi'bu'yi 乘其不意
'cheng'qi'dao'jue 称奇道绝
'cheng'qi'xuan'yi 逞奇眩异
'cheng'qian'bi'hou 惩前毖后
'cheng'qian'cheng'wan 成千成万
'cheng'qian'lei'wan 成千累万
'cheng'qian'lun'wan 成千论万
'cheng'qian'qi'hou 承前启后
'cheng'qian'shang'wan 成千上万
'cheng'qiang'cheng'neng 逞强称能
'cheng'qiang'hao'sheng 逞强好胜
'cheng'qing'qu'fei 乘轻驱肥
'cheng'qing'tian'xia 澄清天下
'cheng'qun'da'huo 成群打伙
'cheng'qun'ji'dang 成群集党
'cheng'qun'jie'dang 成群结党
'cheng'qun'jie'dui 成群结队
'cheng'qun'zhu'dui 成群逐队
'cheng'qun'zuo'dui 成群作队
'cheng're'da'tie 乘热打铁
'cheng'ren'bu'zi'zai 成人不自在
'cheng'ren'qu'yi 成仁取义
'cheng'ren'zhi'mei 成人之美
'cheng'ren'zhi'shan 成人之善
'cheng'ren'zhi'wei 乘人之危
'cheng'ri'cheng'ye 成日成夜
'cheng'shang'bu'yi 称赏不已
'cheng'shang'qi'xia 承上起下
'cheng'shang'qi'xia 承上启下
'cheng'shen'li'xing 澄神离形
'cheng'sheng'zhu'bei 乘胜逐北
'cheng'sheng'zhui'ji 乘胜追击
'cheng'shi'ben'yu 骋嗜奔欲
'cheng'shi'bu'shuo 成事不说
'cheng'shi'bu'zu 成事不足
'cheng'shi'cheng'shi 乘时乘势
'cheng'shi'shi'qi 乘势使气
'cheng'shi'zai'tian 成事在天
'cheng'shuang'cheng'dui 成双成对
'cheng'shuang'zuo'dui 成双作对
'cheng'shui'bu'lou 盛水不漏
'cheng'si'miao'lv 澄思渺虑
'cheng'suan'zai'xin 成算在心
'cheng'tian'zhi'hu 承天之祜
'cheng'tian'zhi'you 承天之祐
'cheng'tian'zhu'di 撑天拄地
'cheng'ting'lie'yue 撑霆裂月
'cheng'tuan'da'kuai 成团打块
'cheng'tuo'sui'xiao'ya'qian'jin 秤砣虽小压千斤
'cheng'wang'bai'kou 成王败寇
'cheng'wang'cheng'ba 称王称霸
'cheng'wei'xing'zha 乘伪行诈
'cheng'xi'dao'xu 乘隙捣虚
'cheng'xi'er'ru 乘隙而入
'cheng'xia'zhi'meng 城下之盟
'cheng'xia'zhi'ru 城下之辱
'cheng'xian'di'xi 乘险抵巇
'cheng'xian'jian'neng 称贤荐能
'cheng'xian'qi'hou 承先启后
'cheng'xin'cheng'yi 诚心诚意
'cheng'xin'er'cuan 秤薪而爨
'cheng'xin'er'cuan 称薪而爨
'cheng'xin'ru'yi 逞心如意
'cheng'xin'shi'yi 诚心实意
'cheng'xing'er'lai 乘兴而来
'cheng'xing'lv'cao 承星履草
'cheng'xing'wang'wei 逞性妄为
'cheng'xiong'dao'di 称兄道弟
'cheng'xiong'si'nue 逞凶肆虐
'cheng'xu'dao'xi 乘虚蹈隙
'cheng'xu'die'chu 乘虚迭出
'cheng'xu'er'ru 乘虚而入
'cheng'yan'dou'se 逞妍斗色
'cheng'yan'hou'se 承颜候色
'cheng'ye'xiao'he 成也萧何
'cheng'ye'xiao'he'bai'xiao'he 成也萧何败萧何
'cheng'yi'jia'yan 成一家言
'cheng'yi'jing'bai 惩一警百
'cheng'yi'jing'bai 惩一儆百
'cheng'yi'kua'neng 逞异夸能
'cheng'yu'dao'qing 称雨道晴
'cheng'yun'xing'ni 乘云行泥
'cheng'ze'wei'wang 成则为王
'cheng'zhi'jin'kai 诚至金开
'cheng'zhu'zai'xiong 成竹在胸
'chi'ao'ba'jiu 持螯把酒
'chi'bai'chun'hong 齿白唇红
'chi'ban'dou'shi 尺板斗食
'chi'bi'ao'bing 赤壁鏖兵
'chi'bi'cun'yin 尺壁寸阴
'chi'bi'she'cun 齿弊舌存
'chi'bing'cun'tie 尺兵寸铁
'chi'bo'dian'xie 尺波电谢
'chi'bo'shang'zhen 赤膊上阵
'chi'bu'dou'su 尺布斗粟
'chi'bu'liao'dou'zhe'zou 吃不了兜着走
'chi'bu'sheng'qu 尺步绳趋
'chi'cheng'jiang'chang 驰骋疆场
'chi'cheng'xiang'dai 赤诚相待
'chi'chi'bu'xiu 侈侈不休
'chi'chou'wo'suan 持筹握算
'chi'chu'bu'qian 踟蹰不前
'chi'chuan'pian'wa 尺椽片瓦
'chi'chuan'yong'du 吃穿用度
'chi'cun'ke'qu 尺寸可取
'chi'cun'qian'li 尺寸千里
'chi'cun'zhi'bing 尺寸之柄
'chi'cun'zhi'di 尺寸之地
'chi'cun'zhi'gong 尺寸之功
'chi'dan'zhong'xin 赤胆忠心
'chi'di'qian'li 赤地千里
'chi'duan'cun'chang 尺短寸长
'chi'en'xi'chong 侈恩席宠
'chi'er'dai'nv 痴儿呆女
'chi'er'xiu'cai 尺二秀才
'chi'er'yuan'jia 尺二冤家
'chi'fu'cun'jian 尺幅寸缣
'chi'fu'qian'li 尺幅千里
'chi'gan'cheng'fei 齿甘乘肥
'chi'gao'wu'yuan 驰高鹜远
'chi'gao'wu'yuan 弛高骛远
'chi'ge'shi'ma 持戈试马
'chi'guo'jian'sui 齿过肩随
'chi'he'wan'le 吃喝玩乐
'chi'heng'yong'xuan 持衡拥璇
'chi'huai'bu'jue 迟徊不决
'chi'huai'guan'wang 迟徊观望
'chi'hui'guan'wang 迟回观望
'chi'hun'dang'po 驰魂宕魄
'chi'hun'dang'po 弛魂宕魄
'chi'hun'duo'po 驰魂夺魄
'chi'huo'qiu'shen 尺蠖求伸
'chi'huo'tou'tong 齿豁头童
'chi'ji'wu'fu 尺籍伍符
'chi'jia'gua'ren 齿颊挂人
'chi'jia'sheng'xiang 齿颊生香
'chi'jian'ru'gui 齿剑如归
'chi'jie'feng'yun 叱嗟风云
'chi'jiu'lin'zi 池酒林胾
'chi'ju'ren'xia 耻居人下
'chi'ju'wang'hou 耻居王后
'chi'kou'bai'she 赤口白舌
'chi'kou'du'she 赤口毒舌
'chi'ku'nai'lao 吃苦耐劳
'chi'li'bu'tao'hao 吃力不讨好
'chi'li'ce'hai 持蠡测海
'chi'li'hong'yan 侈丽闳衍
'chi'li'pa'wai 吃里扒外
'chi'li'pa'wai 吃里爬外
'chi'liang'bu'guan'shi 吃粮不管事
'chi'lu'yang'jiao 持禄养交
'chi'luo'she'dun 齿落舌钝
'chi'ma'shi'jian 驰马试剑
'chi'man'jie'ying 持满戒盈
'chi'mei'dun'yan 迟眉钝眼
'chi'mei'wang'liang 魑魅魍魉
'chi'mei'wang'liang 魑魅罔两
'chi'ming'dang'shi 驰名当世
'chi'ming'tian'xia 驰名天下
'chi'ming'zhong'wai 驰名中外
'chi'mu'hu'wen 鸱目虎吻
'chi'mu'zhi'nian 迟暮之年
'chi'nan'yuan'nv 痴男怨女
'chi'pin'ru'xi 赤贫如洗
'chi'ping'zhi'lun 持平之论
'chi'quan'he'bian 持权合变
'chi'ren'chang'duan 持人长短
'chi'ren'guan'ting 侈人观听
'chi'ren'shuo'meng 痴人说梦
'chi'ri'kuang'jiu 迟日旷久
'chi'ru'bian'bei 齿如编贝
'chi'ru'han'bei 齿如含贝
'chi'ru'qi'bei 齿如齐贝
'chi'ruan'bu'chi'ying 吃软不吃硬
'chi'ruo'bian'bei 齿若编贝
'chi'shan'cun'shui 尺山寸水
'chi'shao'qi'rui 齿少气锐
'chi'shao'xin'rui 齿少心锐
'chi'she'shao'cheng 赤舌烧城
'chi'shen'lu'ti 赤身露体
'chi'shen'luo'ti 赤身裸体
'chi'sheng'ji'zu 赤绳系足
'chi'sheng'zou'yu 驰声走誉
'chi'sheng'zou'yu 弛声走誉
'chi'shi'bi'zhong 敕始毖终
'chi'shi'hu'gu 鸱视虎顾
'chi'shi'lang'gu 鸱视狼顾
'chi'shou'kong'quan 赤手空拳
'chi'shu'cun'hong 尺树寸泓
'chi'shui'zhang'bo 尺水丈波
'chi'tuo'zan'bi 持橐簪笔
'chi'wang'she'cun 齿亡舌存
'chi'wei'fa'xiu 齿危发秀
'chi'wei'fu'dian 持危扶颠
'chi'xian'shen'zhou 赤县神州
'chi'xiao'nong'she 鸱鸮弄舌
'chi'xin'bao'guo 赤心报国
'chi'xin'wang'xiang 痴心妄想
'chi'xin'xiang'dai 赤心相待
'chi'ya'ba'kui 吃哑巴亏
'chi'ya'chun'se 齿牙春色
'chi'ya'shi'shu 鸱鸦嗜鼠
'chi'ya'wei'hua 齿牙为猾
'chi'ya'wei'huo 齿牙为祸
'chi'ya'yu'hui 齿牙馀惠
'chi'ya'yu'hui 齿牙馀慧
'chi'ya'yu'lun 齿牙馀论
'chi'ya'yu'lun 齿牙余论
'chi'ya'zhi'hua 齿牙之猾
'chi'yan'ren'guo 耻言人过
'chi'yi'bu'ding 迟疑不定
'chi'yi'bu'duan 迟疑不断
'chi'yi'bu'jue 迟疑不决
'chi'yi'gu'wang 迟疑顾望
'chi'yi'guan'wang 迟疑观望
'chi'yi'mei'shi 侈衣美食
'chi'yi'qian 吃一堑
'chi'yi'wei'jue 迟疑未决
