'a'tong'san'chi'chui 阿童三尺棰
'deng'hua'he'gu'xi 灯花何故喜
'deng'huo'lan'can'ge'wu'san 灯火阑残歌舞散
'deng'lan'mang'ran'que'yu'chou 登览茫然却欲愁
'deng'li'xiang'sui'zou'lu'qi 簦笠相随走路歧
'deng'qian'ke'wei'kong 灯前客未空
'deng'shi'er'xi'wu 等是儿戏物
'di'jie'bian'huai'shan'bei'qu 地接汴淮山北去
'di'jin'han'qin'qi'su'hao 地近函秦气俗豪
'di'jiong'lou'gao'yi'duan'hun 地迥楼高易断魂
'di'mi'lian'mu'jia'jia'yu 低迷帘幕家家雨
'di'pian'chang'zhe'wu'che'zhe 地偏长者无车辙
'di'qian'bu'sheng'zan 蒂浅不胜簪
'di'qian'wu'yang'zhao'wo'hun 帝遣巫阳招我魂
'di'shang'fen'yu'li 帝觞分余沥
'di'tou'qiang'shuo'feng 低头抢朔风
'di'yi'nian'bian'bing 第一念边兵
'dian'dao'shang'yi'zhong'ye'qi 颠倒裳衣中夜起
'dian'dao'xuan'xiao'er 颠倒眩小儿
'dian'dian'bu'yi'zong 点点不移踪
'dian'wen'ru'shui'zhang'ru'yan 簟纹如水帐如烟
'dian'zhui'hao'mo'fen'qing'yan 点缀毫末分清妍
'diao'gong'gu'zai'shou 雕弓故在手
'diao'tai'jing'tao'guo'zhou'mian 钓台惊涛聒昼眠
'diao'tou'bu'shou'peng'you'jian 掉头不受朋友谏
'diao'wei'qu'ke'hu 掉尾取渴虎
'dong'feng'hao'xi'qu 东风好西去
'dong'feng'luo'ru'shen 东风落如糁
'dong'feng'miao'miao'fan'chong'guang 东风渺渺泛崇光
'dong'jia'huan'ke'yan'hua'tang 东家唤客宴画堂
'dong'jun'zheng'zhu'zhang 东君正主张
'dong'lei'jing'sun'yu'chou'ya 冻雷惊笋欲抽芽
'dong'po'dao'ren'yi'chen'quan 东坡道人已沉泉
'dong'po'xian'sheng'liu'wu'nian 东坡先生留五年
'dong'qing'hua 冬青花
'dong'xi'shi'ba'nian 东西十八年
'dong'xiao'sheng'duan'yue'ming'zhong 洞箫声断月明中
'dou'bei'xie'yang'nian'chu'lai 都被斜阳拈出来
'dou'bing'lan'gan'dong'ting'ye 斗柄阑干洞庭野
'dou'min'huan'le'tai'ping'shi 都民欢乐太平时
'dou'su'shu'qian'wu'bing'rong 斗粟数钱无兵戎
'dou'su'yan'wu'jia 斗粟淹吾驾
'du'bian'can'gao'suo'zhu'si 蠹编残稿锁蛛丝
'du'bing'da'xian'fei'wu'ce 度兵大岘非无策
'du'jiang'jiu'miao'gui'chen'tu 渡江九庙归尘土
'du'li'bu'rong'ying'die'chan 独立不容莺蝶觇
'du'li'dong'feng'kan'mu'dan 独立东风看牡丹
'du'li'qing'feng'ye'shui'ya 独立青峰野水涯
'du'qian'wu'ji'liu 督遣勿稽留
'du'shang'gao'lou'wang'qiu'se 独上高楼望秋色
'du'shi'yu'e'zao 毒螫与恶噪
'du'shu'bu'zuo'ru'sheng'suan 读书不作儒生酸
'du'su'bu'cheng'mei 独宿不成寐
'du'xun'fei'niao'wai 独寻飞鸟外
'duan'chu'tu'jian'bi 断处吐尖碧
'duan'duan'pu'rong'qi'si'jian 短短蒲茸齐似剪
'duan'li'xun'zhang'jian 短篱寻丈间
'duan'qiang'zhe'yu'wo'cheng'zi 断墙着雨蜗成字
'duan'qiao'liu'shui'jun'he'qian 断桥流水君何欠
'duan'xia'ban'kong'yu'wei'chi 断霞半空鱼尾赤
'duan'xian'sui'feng'qu 断线随风去
'duan'yun'yi'ye'dong'ting'fan 断云一叶洞庭帆
'duan'yun'you'meng'shi'mang'mang 断云幽梦事茫茫
'duan'zheng'lou'kong'chun'zhou'yong 端正楼空春昼永
'duan'zhi'qu'zhe'kai'qiu'wan 短纸曲折开秋晚
'dui'jiu'ba'xin'xie 对酒把新蟹
'duo'ban'xie'qiao'yu 多半写樵渔
'duo'shi'bin'mao'sui'jie'huan 多事鬓毛随节换
'e'feng'heng'jiang'jiang'juan'lang 恶风横江江卷浪
'e'ke'sui'shan'hu 恶客碎珊瑚
'e'li'jiang'ru'kou 饿理将入口
'e'yun'sui'yun'ji 厄运虽云极
'er'chi'yu'hui'chen 儿齿欲毁龀
'er'gan'shi'ha'ma 而甘食虾蟆
'er'geng'yue'luo'tian'shen'hei 二更月落天深黑
'er'lai'shi'nian'wo'nan'zou 尔来十年我南走
'er'nv'yi'zai'yan 儿女已在眼
'er'san'xian'shou'qu'fei'yuan 二三贤守去非远
'er'sheng'wei'zhi'fu 儿生未知父
'er'shi'shou'zhong'liu 儿时手种柳
'er'tong'bao'hui'ming 儿童报晦冥
'er'tong'sui'xiao'fang'weng'kuang 儿童随笑放翁狂
'er'wu'sui'ke'zeng 二物虽可憎
'er'yue'shan'cheng'wei'jian'hua 二月山城未见花
'er'zi'ke'wei'ai 二子可畏爱
'er'zi'shuang'feng'huang 二子双凤凰
'fa'chui'bu'zhi'xing'suo'bian 发垂不栉性所便
'fa'duan'chou'cui'bai 发短愁催白
'fa'jia'zuo'cheng'shou 伐葭作城守
'fa'nu'tu'nang'kou 发怒土囊口
'fa'xing'yi'zai'qing'lin'jian 发兴已在青林间
'fan'cheng'da'chun'wan'liang'shou 范成大春晚两首
'fan'cheng'da'dao'zhong 范成大道中
'fan'cheng'da'guo'ping'wang 范成大过平望
'fan'cheng'da'hou'cui'zu'xing 范成大后催租行
'fan'cheng'da'li'you'zhi 范成大李友直
'fan'cheng'da'long'jin'qiao 范成大龙津桥
'fan'cheng'da'qin'qi'xiao'ji 范成大亲戚小集
'fan'cheng'da'si'shi'tian'yuan'za'xing 范成大四时田园杂兴
'fan'cheng'da'wang'xiang'tai 范成大望乡台
'fan'cheng'da'zhou'qiao 范成大州桥
'fan'chou'bai'zui'mian 翻愁败醉眠
'fan'geng'zhu'xi'mao 饭羹煮溪毛
'fan'si'shen'yin'chu 翻思深隐处
'fan'zhong'yan'jiang'shang'yu'zhe 范仲淹江上渔者
'fang'cao'chu'chang'chen'ma'ti 芳草初长衬马蹄
'fang'chang'gou'jian'dan 方尝勾践胆
'fang'chen'mi'lu'gan'yan'jin 放臣迷路感烟津
'fang'hui'jiu'ri 方回九日
'fang'hui'jiu'ri'yue'feng'bo'tian 方回九日约冯伯田
'fang'qi'yu'he'shi 方其欲合时
'fang'weng'lao'si'he'zu'lun 放翁老死何足论
'fang'yu'yi'zhuang'zai 方隅亦壮哉
'fang'zhu'cheng'shui'diao'huan'yao 方诸承水调幻药
'fei'chu'liang'bai'long 飞出两白龙
'fei'fu'bai'you'cuan 肺腑百忧攒
'fei'gui'fei'ren'jing'he'wu 非鬼非人竟何物
'fei'hong'mo'yue'duo'gu'yin 飞鸿摩月堕孤音
'fei'hua'hou'yi'chi 飞花厚一尺
'fei'wu'che'ma'ke 非无车马客
'fei'xian'yao'ju'shou 飞仙遥举手
'fei'xue'hu'man'pao 飞雪忽满袍
'fei'yan'zhao'shan'qi'niao'jing 飞焰照山栖鸟惊
'fei'yuan'hui'qian'xiao 飞鸢悔前笑
'fen'fen'cang'xue'luo'xia'dian 纷纷苍雪落夏簟
'fen'fen'luo'ri'niu'yang'xia 纷纷落日牛羊下
'fen'fu'ruo'feng'shi 忿腹若封豕
'fen'mo'kong'duo'zhen'man'yu 粉墨空多真漫与
'fen'sui'yin'shan'cheng'xue'pian 粉碎银山成雪片
'feng'chui'lu'shi'xiang'jian'gu 风吹露湿香涧谷
'feng'chui'song'zhu'yu'qi'qi 风吹松竹雨凄凄
'feng'cong'bei'lai'bu'ke'dang 风从北来不可当
'feng'du'ru'zao'gu 风毒如遭蛊
'feng'fan'zhu'wang'kai'san'mian 风翻蛛网开三面
'feng'fang'ge'zi'kai'hu'you 蜂房各自开户牖
'feng'gan'ri'bao'xian'wei'jia 风干日曝咸味加
'feng'guan'long'sheng'chu'chu'chui 凤管龙笙处处吹
'feng'han'xiao'yu'liang 风含笑语凉
'feng'huan'wu'bin'gui'lai'wan 风鬟雾鬓归来晚
'feng'huan'zhao'yu'jing 风鬟照玉镜
'feng'lan'de'hua'shu 蜂懒得花疏
'feng'lu'qi'ru'shuang'peng'gen 风露气入霜蓬根
'feng'lu'zhu'ming'mu'jiang'han 风炉煮茗暮江寒
'feng'luan'shang'kai'he 峰峦尚开阖
'feng'ming'wa'huang'wu'shi'xian 风鸣娲皇五十弦
'feng'pu'lie'lie'nong'qing'rou 风蒲猎猎弄轻柔
'feng'shu'ping'hua'xiang 风熟苹花香
'feng'ye'chu'dan'hu'ye'huang 枫叶初丹槲叶黄
'feng'ye'xiang'zhui'zhu 风叶相追逐
'feng'yi'bu'gan'shou 冯夷不敢受
'feng'yu'po'qiu'xi 风雨破秋夕
'feng'yu'zong'heng'luan'ru'lou 风雨纵横乱入楼
'feng'yun'jiu'ri'long'nan'du 风云旧日龙南渡
'feng'zhe'wang'ren'su'bu'kan 逢着王人诉不堪
'feng'zi'xia'man'fang 蜂子夏满房
'fu'an'nie'deng'cheng'yi'chi 抚鞍蹑镫乘以驰
'fu'feng'qiao'mu'xia'yin'he 扶风乔木夏阴合
'fu'fu'si'tong'xue 夫妇死同穴
'fu'gu'mang'weng'zheng'zuo'chang 负鼓盲翁正作场
'fu'he'pian'yi'zhong 负荷偏宜重
'fu'jin'li'zhang'bei'cheng'tou 幅巾藜杖北城头
'fu'jin'suo'she'jin'can'tian 斧斤所赦今参天
'fu'kong'ji'cui'ru'yun'yan 浮空积翠如云烟
'fu'kui'jiao'rao'xing 俯窥娇饶杏
'fu'kui'lian'lv'jing 俯窥怜绿净
'fu'lao'nian'nian'deng'jia'hui 父老年年等驾回
'fu'shan'ruo'peng'dun 浮山若鹏蹲
'fu'shuai'shang'ye'hang 扶衰上野航
'fu'wo'bu'neng'yu 拊我不能语
'fu'wu'can'zhi'fu'wu'geng 妇无蚕织夫无耕
'fu'yan'jing'li'jiang'chou'lv 凫雁静立将俦侣
'fu'yang'ke'zu'sui 俯仰可卒岁
'fu'yi'ji'yu'shi'su'ci 拂衣即与世俗辞
'fu'ying'hu'cang'tian 拊膺呼苍天
'fu'yu'hou'ling'ge 复与后岭隔
'fu'yun'xiao'ci'sheng 浮云笑此生
'fu'zi'pin'jian'li 父子贫贱离
'fu'zuo'xi'nan'qu 复作西南去
'gan'fei'cha'ya'sheng'zhu'shi 肝肺槎牙生竹石
'gan'ge'liao'luo'si'zhou'xing 干戈寥落四周星
'gan'ge'you'kan'rao'huai'chun 干戈又看绕淮春
'gan'ye'luo'cheng'zhen 干叶落成阵
'gao'gong'qi'ming'gu 篙工起鸣鼓
'gao'he'xie'chang'kong 高河泻长空
'gao'li'tiao'tuo'diao'hong'yu 高丽条脱雕红玉
'gao'lou'duo'lv'zhu 高楼堕绿珠
'gao'shi'fen'niu'jiu 篙师分牛酒
'gao'yan'xia'chi'ri 高岩下赤日
'ge'duan'qiu'yue'ming 隔断秋月明
'ge'jiang'bian'shi'qu'yuan'ci 隔江便是屈原祠
'ge'jiang'feng'yu'qing'ying'kong 隔江风雨晴影空
'ge'tian'min'fang'duan'shu'ti'gan 葛天民访端叔提干
'ge'xi'yuan'ku'zhang'xi'teng 隔溪猿哭瘴溪藤
'gen'zhu'hu'lian'luo 根株互连络
'geng'chui'liang'ri'jiang'bi'jie 更吹两日江必竭
'geng'fang'min'shan'wan'li'chuan 更放岷山万里船
'geng'jue'pin'jian'ku 更觉贫贱苦
'geng'jue'suo'xiang'gao 更觉所向高
'geng'po'wan'li'lang 更破万里浪
'geng'qing'han'shi'lei 更倾寒食泪
'geng'shang'yue'yang'lou 更上岳阳楼
'geng'ting'cheng'tou'hua'jiao'ai 更听城头画角哀
'geng'wu'gao'chu'wang'dong'wu 更无高处望东吴
'geng'you'hui'shou'zhi'kong'zhi 更忧回首只空枝
'geng'zuo'yi'feng'qing 更作倚风轻
'gong'dao'zei'ru'lin 共道贼如林
'gong'dui'jiang'shan'san'tan'xi 共对江山三叹息
'gong'e'bu'shi'xing'wang'shi 宫娥不识兴亡事
'gong'fang'chen'zhi'zhu'jiang'di 公方沉鸷诸将底
'gong'fu'fan'ying'shi 共赋泛颍诗
'gong'ji'wu'jin'xing 共寄无尽兴
'gong'kai'shou'ma'tu 龚开瘦马图
'gong'ming'he'yong'duo 功名何用多
'gong'ming'qi'lao'bing 功名欺老病
'gong'qiang'chun'cao'ji'fan'sheng 宫墙春草几番生
'gong'shuo'jin'ling'long'hu'qi 共说金陵龙虎气
'gong'si'lian'qiang'xiu 公私连樯休
'gou'mian'yi'shao'wan 垢面衣少完
'gu'chen'bai'fa'san'qian'zhang 孤臣白发三千丈
'gu'cun'wu'shi'shi 孤村无十室
'gu'du'wu'ding'zhuang 孤独无丁壮
'gu'fo'lai'bu'wu 古佛来布武
'gu'huo'jin'nan'mai 古货今难卖
'gu'ji'wei'guan'shao'nian'shi 顾藉微官少年事
'gu'jin'ju'nang'liao'ke'di 古锦句囊聊可敌
'gu'lai'chu'mo'sui'tao'bo 古来出没随涛波
'gu'lai'li'bie'di 古来离别地
'gu'lai'li'li'xing'wang'chu 古来历历兴亡处
'gu'pu'shen'chu'yu'yuan'yang 菰蒲深处浴鸳鸯
'gu'qing'hun'wu'gao 古檠昏无膏
'gu'shao'gao'zhu'zhao'hong'zhuang 故烧高烛照红妆
'gu'tan'yao'qing'kong 古潭摇青空
'gu'wo'yi'tou'bai 顾我已头白
'gu'xu'ming'xi'yang 孤墟明夕阳
'gu'ying'liang'zi'shen 顾影良自哂
'gu'yu'zha'ju'wang 孤屿乍举网
'gu'zhi'yuan'bie'nan'wei'qing 固知远别难为情
'gu'zhou'chuan'shang'ren 孤舟川上人
'gua'fan'zhi'yu'jie'yan'hai 挂帆直欲截烟海
'gua'qi'xi'chuang'lang'jie'tian 挂起西窗浪接天
'gua'wan'yi'chu'long 瓜蔓已除垄
'gua'xi'shang'niu'dou 挂席上牛斗
'guan'cheng'zi'wu'shi'rou'xiang 管城子无食肉相
'guan'jun'bao'jie'pin 官军报捷频
'guan'jun'du'kou'zhan'fu'zhan 官军渡口战复战
'guan'miao'ge'you'de 观妙各有得
'guan'zhong'ping'di'cao'mu'duan 关中平地草木短
'guan'zu'wei'liao'si'zu'bi 官租未了私租逼
'guang'lang'shu'xia'du'wen'ying 桄榔树下独闻莺
'guang'ling'san'jue'hai'kan'xi 广陵散绝还堪惜
'guang'yuan'hao'zhong'feng 广原嗥终风
'guang'zhao'zhu'gong'lao'ye'bai 光照竹宫劳夜拜
'gui'bu'shu'yu'xia 贵不数鱼虾
'gui'jian'yi'chou'pi 贵贱依俦匹
'gui'jin'bu'ke'ren 归近不可忍
'gui'lai'bei'tang'an 归来北堂暗
'gui'lai'fan'zuo'ke 归来翻作客
'gui'lai'hong'ye'man'zheng'yi 归来红叶满征衣
'gui'lai'lei'man'jin 归来泪满巾
'gui'lai'mian'zhou'xu'mei'ban 归来面皱须眉斑
'gui'lai'xiao'sha'jiu'shi'weng 归来笑煞旧时翁
'gui'meng'bu'zhi'shan'shui'chang 归梦不知山水长
'gui'yan'hang'bian'yu'die'yan 归雁行边余叠巘
'guo'jia'si'ji'shi'zhong'yuan 国家四纪失中原
'guo'jin'mei'hua'ba'jiu'xi 过尽梅花把酒稀
'guo'qu'sheng'zhong'cha'yi'nian 过去生中差一念
'guo'ran'han'yu'zhong 果然寒雨中
'guo'song'yuan'chen'chui'qi'gong'dian 过松源晨炊漆公店
'guo'xi'guan'hua'dan'huang'yuan 郭熙官画但荒远
'guo'yu'tiao'tiao'sha'lu'chang 过雨迢迢沙路长
'hai'bai'ye'yi'shu 海白夜疑曙
'hai'chui'ci'qu'xiang'ying'jian 还吹此曲相迎饯
'hai'cong'jiu'yu'gui 还从旧宇归
'hai'feng'chui'wei'ning 海风吹未凝
'hai'jun'ci'hua'san'tan'xi 还君此画三叹息
'hai'lai'yi'zui'xi'hu'yu 还来一醉西湖雨
'hai'nan'xian'yun'jiao'duo'qi 海南仙云娇堕砌
'hai'nei'gong'zhi'wu'bei'lao 海内共知吾辈老
'hai'shi'lou'tai'yong'jin'bi 海市楼台涌金碧
'hai'su'xiao'xiang'qu 还溯潇湘去
'hai'wai'san'nian'zhe 海外三年谪
'hai'you'jiang'nan'feng'wu'fou 还有江南风物否
'hai'zhao'liang'yuan'yang 还照两鸳鸯
'hai'zuo'gu'yuan'sheng 还作故园声
'han'chuan'bu'gan'yu 汗喘不敢雨
'han'ji'hao'huang'lin 寒鸡号荒林
'han'jia'qu'sui'wu'he'kan 汉嘉去岁无荷看
'han'jia'zong'miao'you'shen'ling 汉家宗庙有神灵
'han'ju'dong'ri'shu'shi 韩驹冬日书事
'han'ju'fu'zhou'xie'hou 韩驹抚州邂逅
'han'ju'jiu'jue'wei'ya'qing'zuo 韩驹九绝为亚卿作
'han'ju'xie'ren'song'feng'tuan'ji'jian'cha 韩驹谢人送凤团及建茶
'han'lin'can'ri'yu'qi'wu 寒林残日欲栖乌
'han'liu'yan'yu'jue 寒流咽欲绝
'han'mo'chang'zhong'lao'fu'bo 翰墨场中老伏波
'han'qi'jiu'ri'shui'ge 韩琦九日水阁
'han'qi'ku're 韩琦苦热
'han'xiang'ti'su'yu'qing'cheng 含香体素欲倾城
'han'xiao'duo'gong'jing 含笑堕宫井
'han'yan'jun'zhong'ye'lian'ri 酣宴军中夜连日
'han'yun'liu'yue'zhang'lin'mang 旱云六月涨林莽
'hao'dang'sheng'ya'ji 浩荡生涯计
'hao'feng'sui'chu'gai 好峰随处改
'hao'hao'zhuo'fei'gan 皓皓濯肺肝
'hao'liang'cui'bai'yi'shan'hua 濠梁崔白亦善画
'hao'lu'xia'cang'jiang 号橹下沧江
'hao'ru'hai'bo'fan 浩如海波翻
'hao'shan'wan'zhou'wu'ren'jian 好山万皱无人见
'hao'shen'shu'zhang'zhou'shi'li 壕深数丈周十里
'hao'shou'wei'xu'lun 好手未须论
'hao'zhu'sen'nu'hao 豪猪森怒嗥
'hao'zuo'xin'shi'ji'sang'zhu 好作新诗寄桑苎
'he'bei'min 河北民
'he'bi'gu'shan'gui 何必故山归
'he'bi'mou'er'qing 何必谋二顷
'he'bi'sang'gan'fang'shi'yuan 何必桑干方是远
'he'ce'geng'yu'yang'hou'zheng 何策更与阳侯争
'he'chu'fang'wu'hua 何处访吴画
'he'dang'ji'ying'ru 何当楫迎汝
'he'jin'yi'wu'qing'yu'gai 荷尽已无擎雨盖
'he'kuang'tian'jia'wang'sui'xin 何况田家望岁心
'he'luo'bei'xing'shan 河洛倍腥膻
'he'luo'xing'shan'jin'ji'nian 河洛腥膻今几年
'he'ren'shen'qu'you'qi'jian 何忍身去游其间
'he'ren'shou'peng'lai 何人守蓬莱
'he'ren'yi'zhi'fang'qiu'shu 何人一纸防秋疏
'he'ri'shao'fu'sang 赫日烧扶桑
'he'ri'shi'gui'nian 何日是归年
'he'shi'ci'di'bu'wei'bian 何时此地不为边
'he'shi'kuai'deng'lin 何时快登临
'he'tun'dang'shi'shi 河豚当是时
'he'wei'qian'wan'chun 何为千万春
'he'xian'lin'shui'jiu 鹤闲临水久
'he'xu'zi'chi'ya 何须资齿牙
'he'yan'bo'chui'zhen 合眼波吹枕
'he'yang'chou'bin'qie'xin'shuang 河阳愁鬓怯新霜
'he'yi'si'ke'zhui'lu'zhu 何异丝窠缀露珠
'he'yue'zhao'san'geng 和月照三更
'he'zhe'zui'ke'lian 何者最可怜
'he'zhi'ming'ming'liang'shi'ren 何止明明两世人
'hen'qu'sheng'lai'bu'du'shu 恨渠生来不读书
'hen'sha'shu'bian'shu 恨煞树边树
'hen'shen'bu'ru'yan'sui'yang 恨身不如雁随阳
'heng'di'yi'duo'lou 横笛倚舵楼
'heng'e'duo'yu'zan 姮娥堕玉簪
'heng'ge'yi'jian'tun'feng'shi 横戈已见吞封豕
'heng'shi'wu'yi'zang 横尸无以葬
'heng'shuo'fu'shi'fei'fu'xi 横槊赋诗非复昔
'hong'chu'ci'shan'gu'yun 洪刍次山谷韵
'hong'dong'jin'shi'zou 澒洞金石奏
'hong'lv'fu'chun'shang'yuan'lin 红绿扶春上远林
'hong'lv'shu'shu'jun'wu'tan 红绿疏疏君勿叹
'hong'tao'ju'lang'ri'xi'xiang'chong'zhuang 洪涛巨浪日夕相舂撞
'hong'yan'ci'yun'gong'shi'lei'yu 洪炎次韵公实雷雨
'hou'di'bu'fu'chen 厚地不复晨
'hou'ren'xia'che'lai'kai'hao 后人下车来开壕
'hu'chen'meng'jing'shi 胡尘蒙京师
'hu'cheng'cang'lang'zhou 忽乘沧浪舟
'hu'feng'chun'zhi'ke'xin'jing 忽逢春至客心惊
'hu'hu'ru'you'ren 忽忽如有人
'hu'hu'xin'wei'wen 忽忽心未稳
'hu'ping'su'lu'sha 湖平宿鹭沙
'hu'ran'sheng'lin'jia 忽然生鳞甲
'hu'ren'chui'duan'di 胡人吹短笛
'hu'shan'ying'meng'wu'lin'chun 湖山应梦武林春
'hu'wen'nan'shi'guo 忽闻南使过
'hu'yi'seng'chuang'tong'ye'fan 忽忆僧床同野饭
'hu'you'hao'shi'sheng'yan'di 忽有好诗生眼底
'hu'zhan'chui'tian'yu 忽展垂天羽
'hua'cheng'ying'qian'yi'sheng'chou 画成应遣一生愁
'hua'chuan'fu'ming'jing 画船俯明镜
'hua'deng'zong'bo'sheng'man'lou 华灯纵博声满楼
'hua'fa'jiang'bian'er'yue'qing 花发江边二月晴
'hua'guang'nong'lan'liu'qing'ming 花光浓烂柳轻明
'hua'jian'zhi'jiu'qing'xiang'fa 花间置酒清香发
'hua'kai'man'yuan'xiang 花开满院香
'hua'kai'nian'lu'chun'ying'jia 花开辇路春迎驾
'hua'kai'you'ke'shi'xie'jiu 花开有客时携酒
'hua'qu'jiang'nan'hao'feng'ri 画取江南好风日
'hua'ru'jie'yu'ying'ren'xiao 花如解语迎人笑
'hua'ru'po'hong'jin 花如破红襟
'hua'shen'bu'jian'hua'chuan'xing 花深不见画船行
'hua'shi'fen'fen'he'zu'shu 画史纷纷何足数
'hua'shi'yi'ri'chang'jiu'zhe 花时一日肠九折
'hua'tang'zhi'xi'wan'huang'jin 华堂直惜万黄金
'hua'tu'miao'jue'wu'ren'zhi 画图妙绝无人知
'hua'tu'xian'zhi'zhong'shu'sheng 画图先至中书省
'hua'wei'si'bi'chuan'wei'jia 花为四壁船为家
'hua'zhou'cheng'xi'tie'cong'ma 华州城西铁骢马
'hua'zuo'xia'shang'zhou'shi'jie 化作夏商周时节
'huai'bi'zui'ti'chen'mo'mo 坏壁醉题尘漠漠
'huai'ren'jiang'hu'yong 怀人江湖永
'huai'shan'yi'ge'hu'chen'duan 淮山已隔胡尘断
'huai'yin'bei'mian'shi'guang'wu 淮阴北面师广武
'huan'hui'si'shi'san'nian'meng 唤回四十三年梦
'huan'qi'zhe'xian'quan'sa'mian 唤起谪仙泉洒面
'huan'wo'yi'shui'yang 唤我一税鞅
'huan'xi'hai'xi'jiang'nai'he 患兮害兮将奈何
'huan'xi'shi'bi'lin 欢喜失鄙吝
'huan'ye'wo'yu'qu 唤爷我欲去
'huan'you'zhi'song'jiang'ru'hai 宦游直送江入海
'huang'cheng'ri'duan'xi'shan'jing 荒城日短溪山静
'huang'jin'bai'bi'shu'bu'you 黄金白璧孰不有
'huang'kong'tan'tou'shuo'huang'kong 惶恐滩头说惶恐
'huang'li'po'san'qing 黄鹂颇三请
'huang'liu'tuan'meng'feng'yong'zhuang 黄流湍猛风用壮
'huang'lu'di'cui'xue'yi'tu 黄芦低摧雪翳土
'huang'lu'mi'lu'chang 黄芦麋鹿场
'huang'mao'gang'xia'chu'chang'wei 黄茅冈下出长围
'huang'niao'yi'zi'xi 黄鸟亦自喜
'huang'quan'bei'wan'wu 黄犬悲晚悟
'huang'ting'jian'bing'qi'jing'jiang'ting'ji'shi 黄庭坚病起荆江亭即事
'huang'ting'jian'da'lei'kou'zu'feng 黄庭坚大雷口阻风
'huang'ting'jian'deng'kuai'ge 黄庭坚登快阁
'huang'ting'jian'guo'jia 黄庭坚过家
'huang'ting'jian'he'chen'jun'yi 黄庭坚和陈君仪
'huang'ting'jian'he'wai'jiu'su'xing 黄庭坚和外舅夙兴
'huang'ting'jian'ji'huang'ji'fu 黄庭坚寄黄几复
'huang'ting'jian'ji'jia 黄庭坚寄家
'huang'ting'jian'lao'keng'ru'qian'cheng 黄庭坚劳坑入前城
'huang'ting'jian'li'fu'yan 黄庭坚离福严
'huang'ting'jian'ti'guo'xi'hua'qiu'shan 黄庭坚题郭熙画秋山
'huang'ting'jian'ti'luo'xing'si 黄庭坚题落星寺
'huang'ting'jian'ti'xi'xuan 黄庭坚题息轩
'huang'ting'jian'ti'zhu'shi'mu'niu 黄庭坚题竹石牧牛
'huang'ting'jian'wang'chong'dao'song'shui'xian'hua 黄庭坚王充道送水仙花
'huang'ting'jian'wu'chang'song'feng'ge 黄庭坚武昌松风阁
'huang'ting'jian'xi'cheng'kong'yi'fu 黄庭坚戏呈孔毅父
'huang'ting'jian'you'bo'da'lei'kou 黄庭坚犹泊大雷口
'huang'ting'jian'yu'zhong'deng'yue'yang'lou 黄庭坚雨中登岳阳楼
'huang'ting'jian'zhai'zhong'wan'chun 黄庭坚斋中晚春
'huang'yan'liang'yu'zhu'ren'bei 荒烟凉雨助人悲
'huang'you'xin'mao'xia 皇祐辛卯夏
'huang'yuan'wu'shu'mu 荒园无数亩
'huang'yun'jue'ri'shou 黄云觉日瘦
'huang'zhi'fang'jin'bai'zhi'cui 黄纸放尽白纸催
'huang'zhou'gu'jiao'yi'duo'qing 黄州鼓角亦多情
'huang'zhou'zhu'ke'wei'ci'huan 黄州逐客未赐环
'hui'bian'yu'jin'hai'pai'huai 挥鞭欲进还徘徊
'hui'chong'wan'chu'wu'zui'xu 惠崇晚出吾最许
'hui'feng'juan'fei'bao 回风卷飞雹
'hui'hong'ti'li'shuo'hua'xiang 惠洪题李愬画像
'hui'kan'jin'gu'cong'tian'xia 会看金鼓从天下
'hui'liu'si'juan'ke 回流似倦客
'hui'shou'gu'shan'qian'li'wai 回首故山千里外
'hui'shou'jiu'gu'leng 回首旧觚棱
'hui'shou'xie'song'zhe 挥手谢送者
'hui'tou'yi'yue'yi'zai'an 回头一跃已在岸
'hui'wang'bai'yun'sheng'cui'yan 回望白云生翠巘
'hui'xiang'chan'kan'yi'zhu'xiang 回向禅龛一炷香
'hui'xu'ying'yi'mu 会须营一亩
'hui'you'tai'shi'zhan'xing'bian 会有太史占星变
'hui'zhou'lu'yi'mi 回舟路已迷
'hun'hun'chang'ge'lao'yan'jian 混混长歌老岩涧
'hun'hun'ji'fei'zui 昏昏既非醉
'hun'hun'yan'wu'ling 昏昏烟雾岭
'hun'qi'jin'he'zheng 魂气今何征
'hun'shen'zuo'zai'shi'gang'li 浑身坐在屎缸里
'ji'chen'fang'shi'geng'du'li 羁臣放士耿独立
'ji'cheng'yi'ri'er'qian'li 计程一日二千里
'ji'chou'wei'wan'xun'gui'ji 羁愁畏晚寻归楫
'ji'cu'jing'qi'qiu'se'li 几簇旌旗秋色里
'ji'de'ceng'nian'yu'di'chui 记得曾拈玉笛吹
'ji'du'pao'suo'zhi'de'cheng 几度抛梭织得成
'ji'he'sheng'li'gu'zhou'yu 芰荷声里孤舟雨
'ji'ji'fan'shan'ye 寂寂樊山夜
'ji'ji'shan'cheng'liu'ying'men 寂寂山城柳映门
'ji'jin'kuang'chu'bu'dai'jiu 即今狂处不待酒
'ji'jin'qiao'cui'bu'kan'lun 即今憔悴不堪论
'ji'jin'shuai'bing'bai'shi'lan 即今衰病百事懒
'ji'lei'nai'an'quan 鸡肋乃安拳
'ji'min'mo'zi'yuan 饥民莫咨怨
'ji'ming'zhong'dong'bai'niao'san 鸡鸣钟动百鸟散
