'a'zi'fu'chuang'qi 阿姊扶床泣
'cui'yu'jing'fei'bie'shu'tou 翠羽惊飞别树头
'cun'yuan'chu'chu'chui'yang'liu 村原处处垂杨柳
'cuo'e'guai'shi'yi'yun'jian 嵯峨怪石倚云间
'da'feng'dong'lai'chui'hai'yi 大风东来吹海溢
'da'gu'bu'ting'ge'bu'xi 打鼓不停歌不息
'da'jiang'lai'cong'wan'shan'zhong 大江来从万山中
'dai'li'xiang'gong'shu'shu'zai 袋里相公书疏在
'dan'chou'chua'hu'bo'lang'qi 但愁欻忽波浪起
'dan'dan'yan'xiao'wu 淡淡烟销午
'dan'hao'mi'shi'ju 但好觅诗句
'dan'ling'si'hai'ge'sheng'ping 但令四海歌升平
'dan'shi'bian'chen'jing 但使边尘静
'dan'shi'wu'ji'jin 但使无饥馑
'dan'xia'shan'yu'hui 丹霞闪馀晖
'dan'yue'wei'yun'jie'si'meng 淡月微云皆似梦
'dang'chao'you'wei'shang 当朝有魏尚
'dang'chu'ru'xiao'jin'ru'ti 当初如笑近如啼
'dang'qi'ku'yin'shi 当其苦吟时
'dang'ri'hui'he'rong 当日悔和戎
'dang'shi'zheng'duo'shi 当世正多事
'dao'chi'yun'nong'ying 到池云弄影
'dao'feng'ye'niang'bu'gan'shou 道逢爷娘不敢收
'dao'he'ji'shi'si'shen'gong 导河积石思神功
'dao'lu'jian'guan'meng'qie'yao 道路间关梦且遥
'dao'tuo'hua'ban'shang'dong'qiang 倒拖花瓣上东墙
'dao'xie'yin'he'ru'yuan'qiang 倒泻银河入苑墙
'dao'yan'huang'hao'yuan'yu'qi 到眼黄蒿元玉砌
'dao'yu'dao'ying'fan'jiang'tan 岛屿倒影翻江潭
'dao'yuan'zao'mei 道源早梅
'deng'an'chuang'zhan'yu 灯暗窗沾雨
'deng'gao'lou 登高楼
'deng'gao'yuan'tiao'xiang'xin'qi 登高远眺乡心起
'deng'lou'fu'wei'cheng 登楼赋未成
'deng'lou'wang'yu'mi 登楼望欲迷
'deng'shao'yue'xia'yue'ru'yin 灯烧月下月如银
'deng'xia'kan'feng'ji'wo'yi 灯下看缝寄我衣
'di'chang'zhong'yuan'qiu'se'jin 地敞中原秋色尽
'di'li'fen'ming'shuo'bin'hua 笛里分明说鬓华
'di'li'mu'chou'sheng 笛里暮愁生
'di'tui'chi'xin'yan'wang'zhong 帝推赤心阉罔忠
'di'yan'shui'hen'ping 地衍水痕平
'di'yi'xian'ban'yu'lu'nong 第一仙班雨露浓
'di'yong'si'bi'tu'qing'hong 底用四壁涂青红
'di'zuo'yu'jie'tai 滴作玉阶苔
'diao'dou'bai'yun'bian 刁斗白云边
'diao'gong'hua'ji'kong'wen'wu 雕弓画戟空文物
'die'shu'zou'bao'zhou'yu'xian 牒书走报州与县
'die'yuan'feng'ji'he'can'yan 蝶怨蜂急鹤惨颜
'ding'shang'bei'geng'qi'weng'lao 鼎上杯羹弃翁姥
'ding'shi'jiang'nan'yuan'xing'ke 定是江南远行客
'ding'tao'mei'ren'qi'chu'wu 定陶美人泣楚舞
'dong'cun'xi'cun'chun'you'wu 东村西村春有无
'dong'cun'xi'she'xuan'hu'bian 东村西舍喧呼遍
'dong'feng'chou'ji'ji'hui'kai 东风愁寂几回开
'dong'feng'chui'kai'geng'chui'luo 东风吹开更吹落
'dong'feng'chui'qu'he'shi'lai 东风吹去何时来
'dong'feng'chui'shi'kai 东风吹始开
'dong'feng'niang'chun'nuan 东风酿春暖
'dong'shi'jie 东市街
'dong'suo'yan'xia'liu'yue'han 洞锁烟霞六月寒
'dong'ting'shuang'jiang'shui'ru'you 洞庭霜降水如油
'dong'ting'ye'wei'xia 洞庭叶未下
'dong'wang'qin'chuan'yi'yan'fei 东望秦川一雁飞
'dong'wu'cheng'guo'jiu'ru'chuan 东吴城郭酒如川
'dong'yun'lian'hai'se 冻云连海色
'dong'zhan'hai'si'bei 东瞻海似杯
'dong'zhu'shou'xiang'cheng 东筑受降城
'dou'men'wu'fu'jiu'san'san 都门无复旧毵毵
'dou'ran'yi'feng'shang 斗然一峰上
'du'ba'jing'hun'ru'meng'li 读罢惊魂如梦里
'du'er'gao'han'bu'dai'qing 独尔高寒不带情
'du'shang'cheng'nan'bai'chi'lou 独上城南百尺楼
'du'tui'fan'cheng'nu 独退反成怒
'du'wo'wu'chang'cheng 独卧武昌城
'du'you'yang'xiong'shang'pei'cong 独有扬雄尚陪从
'du'zhao'san'ba'ye 独棹三巴夜
'du'zhi'man'mie'wei'xiu'rong 读之漫灭为修容
'du'zuo'qiu'feng'diao'shi'bian 独坐秋风钓石边
'duan'he'lun'jiao'tian'di'jian 短褐论交天地间
'duan'qiang'bu'jie'zhe'chun'yi 短墙不解遮春意
'duan'song'can'nian'duo'yu'xue 断送残年多雨雪
'duan'ta'gu'deng'li 短榻孤灯里
'duan'yun'shu'yan'ying 断云疏雁影
'dun'shi'lv'hun'jing 顿使旅魂惊
'duo'can'zuo'fu'cai 多惭作赋才
'duo'qing'wei'wo'xie'peng'lang 多情为我谢彭郎
'duo'qing'zhi'zhao'qi'luo'yan 多情只照绮罗筵
'duo'shao'fang'hun'bu'ke'xun 多少芳魂不可寻
'duo'shao'fu'rong'yi'diao'gan 多少芙蓉忆钓竿
'duo'shao'hu'jia'chui'bu'zhuan 多少胡笳吹不转
'duo'shi'heng'ge'ma'shang'xing 多是横戈马上行
'e'bei'zhao'yao'song'he'shi 峨碑照耀颂何事
'e'mei'gan'ai'shen 蛾眉敢爱身
'e'mei'shan'xia'shui'you'you 峨嵋山下水悠悠
