'shi'hou'hui 十后悔
'shi'ji'lun'dao 诗偈论道
'shi'jian'he'ai'de'gu'shi 时间和爱的故事
'shi'shi'kai'shi 十事开示
'shi'tou'lu'hua 石头路滑
'shi'tou'shi'hou 石头狮吼
'shi'xie'shi'zheng 是邪是正
'shi'ye'zhang 释业障
'shi'zi'shi'shen'me'zuo 虱子是什么做
'shi'zi'shi'shen'me'zuo'de 虱子是什么做的
'shou'duan'shi'mian 守端失眠
'shu'yu'ying 输与赢
'shuang'lin'fu'xi 双林傅翕
'shui'che'yuan'li 水车原理
'shui'de'zui'guo 谁的罪过
'shui'qu'zhu'chi 谁去主持
'shui'shi'chan'shi 谁是禅师
'shui'shi'hou'ren 谁是后人
'shui'shu'fu'ru 谁束缚汝
'shui'xing'shui'kuang 谁醒谁狂
'shui'zhi'dao'ni 谁知道你
'shun'mu'shi'yi 瞬目视伊
'shun'qi'zi'ran 顺其自然
'shuo'cu'shuo'xi 说粗说细
'shuo'jiu'jing'fa 说究竟法
'si'er'fu'huo 死而复活
'si'ge'lao'po 四个老婆
'si'liang'bu'si'liang 思量不思量
'si'zu'dao'xin 四祖道信
'song'yi'lun'ming'yue'gei'ta 送一轮明月给他
'song'yun'chan'shi 松云禅师
'suo'xu'kong 锁虚空
'tan'hua'yi'xian 昙花一现
'tan'shui'de'bi'qiu 贪睡的比丘
'tang'bing 糖饼
'tang'zhong'shou'zuo 堂中首座
'ti'qi'fang'xia 提起放下
'tian'ran'shi'dao 天然释道
'tian'sheng'bao'zao 天生暴躁
'tian'tang'yu'di'yu 天堂与地狱
'ting'yu'bu'ting 听与不听
'tong'shen'shi'yan 通身是眼
'tu'tan 吐痰
'tu'zhong'zhen'zhong 途中珍重
'tuo'er'er'chang 拖耳耳长
'tuo'su'yu'sui'su 脱俗与随俗
'wan'er'bu'tong 宛尔不同
'wan'mei 完美
'wang'na'li'li'qu 往哪里里去
'wei'dao'cao'xi'yi'bu'shi 未到曹溪亦不失
'wei'de'yu'zhe'fu 威德与折福
'wei'ji'suo'mi 为己所迷
'wei'shang'shu'shi 未上树时
'wei'shen'me'ting'bu'xia'lai 为什么停不下来
'wei'shen'me'yao'bei'shang'ku'qi 为什么要悲伤哭泣
'wei'shi'xiong'huai 为师胸怀
'wei'zhi'xiao'er'ti 为止小儿啼
'wen'shu'xian'shen 文殊现身
'wo'bu'shi'fo 我不是佛
'wo'bu'shi'zhong'sheng 我不是众生
'wo'bu'shi'zi 我不识字
'wo'kan'ni'xiang'fo 我看你象佛
'wo'kan'ni'xiang'niu'fen 我看你像牛粪
'wo'men'zou'ba 我们走吧
'wo'ru'lai 卧如来
'wo'wang'xi'fang'zou 我往西方走
'wo'ye'ke'yi'wei'ni'mang 我也可以为你忙
'wo'ye'you'she'tou 我也有舌头
'wo'you'ni'ya 我有你呀
'wo'zai'na'li 我在哪里
'wu'dao'xin 无道心
'wu'qing'shuo'fa 无情说法
'wu'shang'fa'bao 无上法宝
'wu'shi'shou 无事手
'wu'sui 五随
'wu'wei'zhen'ren 无位真人
'wu'xiang'wu'wen 无响无闻
'wu'xing'er 无姓儿
'wu'yan'ju 无言句
'wu'yan'zhi'jiao 无言之教
'wu'yu'bu'wu 悟与不悟
'wu'zui'shuo'fa 无嘴说法
'xi'chu'fo'xing 洗出佛性
'xi'lai'yi 西来意
'xi'mian'ge'xin 洗面革心
'xi'wan'sao'di 洗碗扫地
'xian'tian'chan'shi 仙天禅师
'xiang'niu'fen 像牛粪
'xiang'yan'ji'zhu 香严击竹
'xiao'duo'yu'ku 笑多于哭
'xiao'e'xiao'shan'dou'bu'neng'qing'shi 小恶小善都不能轻视
'xiao'sha'mi'yu'lao'he'shang 小沙弥与老和尚
'xiao'tou'yu'yue'liang 小偷与月亮
'xin'jing 心镜
'xin'jing'guo'tu'jing 心净国土净
'xin'kong'ji'di 心空及第
'xin'li'yu'yan'xiang 心离语言相
'xin'wu'gua'ai 心无挂碍
'xin'wu'wai'wu 心无外物
'xin'zai'na 心在哪
'xing'fu'shi'shen'me 幸福是什么
