'a'mu'zai'pang'zuo 阿母在旁坐
'fei'shu'qing'li'piao'yao'bu 飞书请隶嫖姚部
'fei'wu'fei'yan 非雾非烟
'fei'xu'fei'hua'he'chu'shi 飞絮飞花何处是
'fen'ming'qian'dian'lei 分明千点泪
'fen'ming'que'dao'liang'xi 分明却到梁溪
'fen'ming'xiao'xiang'chen'xiang'lv 分明小像沉香缕
'fen'xiang'kan'you'bie 粉香看又别
'feng'hen'yu'dian'lan'ban'li 风痕雨点斓斑里
'feng'hou 封侯
'feng'huan'yu'bin 风鬟雨鬓
'feng'jing'yi'dang'nian 风景忆当年
'feng'sheng'lei'dong'ming'jin'tie 风声雷动鸣金铁
'feng'sheng'yu'sheng 风声雨声
'feng'su'yu'ni'jiang'nan'chun 风酥雨腻江南春
'feng'xu'piao'can'yi'hua'ping 风絮飘残已化萍
'feng'xue'pu'ren'leng 风雪扑人冷
'feng'xue'xian'bei'ba 风雪衔杯罢
'feng'xue'ya'yi'dao 风雪压攲倒
'feng'ye'xiao'xiao 风也萧萧
'feng'yi'geng 风一更
'feng'yu'piao'can'hua'rui 风雨飘残花蕊
'feng'yu'xiao'mo'sheng'si'bie 风雨消磨生死别
'feng'yun'cai'lue'yi'xiao'mo 风云材略已消磨
'fo'yan'jie'huo'yu'jie'xiao 佛言劫火遇皆销
'fu'gui'hong'mao'qing 富贵鸿毛轻
'fu'jin'kuang'ming'shi'wu'nian 负尽狂名十五年
'fu'kan'zhi'shen'jing 复瞰轵深井
'fu'lao'yi'qing'qian 父老一青钱
'fu'ming'shi'zai'bi'shi'tan 浮名十载避诗坛
'fu'ming'xiang'lei 浮名相累
'fu'nv'bu'lan'duo 妇女不懒惰
'fu'qi'kua'da'chen 夫岂夸大陈
'fu'rong'hu'shang'fu'rong'hua 芙蓉湖上芙蓉花
'fu'ru'ru'nan'ren 负汝汝难忍
'fu'ru'you'huan'wu 付汝忧患物
'fu'yi'xing'yi'ru'ben'hong 拂衣行矣如奔虹
'fu'yin'cai'zhe 福因才折
'fu'you'huan 赋忧患
'fu'yu'wei'nan'zhi'nv'chou 付与维南织女愁
'fu'zhi'quan'jia'cha 讣至全家诧
'gan'chen'meng 感尘梦
'gan'chi'xin'qi'zai'jian'bian 敢侈心期在简编
'gan'dao'gong'zhi'qian'bei'han'cheng'wang 敢道公之前辈韩城王
'gan'de'hui'er'shang'xia 感德辉而上下
'gan'fu'shan'hu 竿拂珊瑚
'gan'ji'dong'feng 感激东风
'gan'kai'ru'ma'juan'zhong'jian 感慨如麻卷中见
'gan'li'zhuang'tai'si'yan'bo 甘隶妆台伺眼波
'gan'qing'zhen'zhong'bao'liu'ying 感卿珍重报流莺
'gan'xue'da'kuai'shu'lun'qun 敢学大块舒轮囷
'gan'yi'xu'huai'ce'shang'gong 敢以虚怀测上公
'gan'zuo'dong'jing'mai'bing'jia 甘作东京卖饼家
'gang'feng'li'da'bo'chun'hun 罡风力大簸春魂
'gao'ming'yi'nan'hui 高名亦难毁
'gao'tan'jun'bian'jie'chen'xiong 高谈俊辩皆沉雄
'gao'yan'da'ju'kuai'wu'jia 高言大句快无加
'gao'yang'tai'nan'guo'shang'chan 高阳台南国伤谗
'gao'yin'fei'fu'zou'feng'lei 高吟肺腑走风雷
'gao'yin'jiao'yu'gong 高吟角与宫
'ge'ku 歌哭
'ge'ku'qian'xian'jiao'you'qing 歌哭前贤较有情
'ge'lei'yi'hua'chou'bu'yu 阁泪倚花愁不语
'ge'qi'wu'duan'zi'zi'zhen 歌泣无端字字真
'ge'yan'you'qi'shu'shan'zhe 歌筵有乞书扇者
'ge'yu'ku 歌与哭
'geng'ba'xian'mei'lin'jing'hua 更把纤眉临镜画
'geng'chen'shi'yu'fan 庚辰诗语繁
'geng'dang'yu'jun'bie 更当与君别
'geng'geng 更更
'geng'jian'gao'ge'yu'lan'feng 更兼高阁玉兰风
'geng'jian'he'shi'nai'xun'si 更兼何事耐寻思
'geng'jie'jin'yan'han'xia'zi 更结尽燕邯侠子
'geng'sheng'wu'du'huai'wang'pian 更生误读淮王篇
'geng'shuo'feng'liu'xiao'song 更说风流小宋
'geng'wei'shui'xiu 更为谁羞
'geng'wu'bie'hen'heng'xiong'yi 更无别恨横胸臆
'geng'wu'ren'chu'yue'long'ming 更无人处月胧明
'gong'cheng'ding'bei'ta'ren'fen 功成定被他人分
'gong'chou'yao'fu'xiao 工愁要福销
'gong'deng'xiu'yi'wu'fang'yong 公等休矣吾方慵
'gong'gao'bai'jiang'cheng'xian'wai 功高拜将成仙外
'gong'gong'yi'yang'feng'gu'qi 觥觥益阳风骨奇
'gong'jin'yan'chou'chou'wu'zhong 公今言愁愁无终
'gong'jun'ci'ye'xu'chen'zui 共君此夜须沉醉
'gong'ling'bu'ren'fei 功令不任诽
'gong'qi'zheng'dun'huan'jing'cai 公其整顿焕精采
'gong'ren'ji'du 供人嫉妒
'gong'wen'gu'shi'tai'chang'si 恭闻故实太常寺
'gong'wu'ai'yin'ya'cha'sheng'chen'kong 公毋哀吟娅姹声沉空
'gong'yan'jiang'jun'yi'dian'bing 共言将军宜典兵
'gong'zhi'han'zhu'ba'gu'gen 共知汉主拔孤根
'gong'zhi'zou'shu'mi'zhong'jin 公之奏疏秘中禁
'gong'zi'bu'zai'si 龚子不在斯
'gong'zi'wei'zhu'ke 龚子为逐客
'gong'zi'zhen'juan 龚自珍卷
'gou'jian'ying'mei'jin'bian'jiang 狗监鹰媒尽边将
'gou'li'za'tong'ao 诟厉杂僮媪
'gu'chang'fu'he'shuang'lao'ren 姑倡妇和双劳人
'gu'chou'mang'mang'bu'ke'shuo 古愁莽莽不可说
'gu'hou'men'di'ge'zhong'xie 故侯门第歌钟歇
'gu'jiang'jue'yan'zhi 姑将谲言之
'gu'jin'tong'ji 古今同忌
'gu'lai'bu'ke'jian 古来不可兼
'gu'lai'dan'fu'shang'chun'shi 古来但赋伤春诗
'gu'lai'nan'ming'yan 古来难明言
'gu'lu'shen'chu'you'ren'xing 菰芦深处有人行
'gu'mu'gen'shen'bu'si'hua 古木根深不似花
'gu'ren'heng'hai'bai'jiang'jun 故人横海拜将军
'gu'ren'shui'zhi'shui'dang'yu 古人谁智谁当愚
'gu'ren'tian'mo'bu'jian 故人天末不见
'gu'ren'you'da'xian 故人有大贤
'gu'ren'zhi'zi'gui'ye'qi 古人制字鬼夜泣
'gu'shu'ji'wu'ji 古戍饥乌集
'gu'shu'luan'qian'dui 古书乱千堆
'gu'wu'ling'qian'wei'shi'ma 故物陵前惟石马
'gu'wu'ren'huan'shao 故物人寰少
'gu'yuan'chun'jin'shi 故园春尽时
'gu'yuan'wu'ci'sheng 故园无此声
'gu'zhi'zi'nong'fu'bing'zhe 古之子弄父兵者
'guai'dao'wu'tai'ya'fang'zao 怪道乌台牙放早
'guai'ren'jian'hou'fu 怪人间厚福
'guan'he'sheng'bai'kui 观河生百喟
'guan'jian'yi'qu'cheng 官简易趋承
'guan'mei'zhi'zuo'ye'mei'kan 官梅只作野梅看
'guan'qi'pin'ze'wang'xing'shi 官七品则亡姓氏
'guan'shan'he'chu'qiu'sheng 关山何处秋声
'guan'shan'shi'jian'xing 关山拭剑行
'guan'shu'xu'du'xing'zong'heng 官书许读兴纵横
'guan'xi'ji'shen'liang'jia'zi 关西籍甚良家子
'guan'xin 观心
'guan'xin'fang'cao'qian'shen'nan 关心芳草浅深难
'guan'xin'ping'jian'wen 观心屏见闻
'guang'guai'zhuan'yu'yu 光怪转纡郁
'guang'ling'wu'shi 广陵吴市
'guang'ying'you'cun'ji'wang'luo 光影犹存急网罗
'guang'yue'zhong'nan'shi 光岳钟难恃
'gui'deng'dui'dui'san'qiu'ying 鬼灯队队散秋萤
'gui'guan'wu'san'si 贵官勿三思
'gui'hua'shi'jie'yue'zhong'hai 桂花时节约重还
'gui'lai'liao'li'shu'deng'hong 归来料理书灯红
'gui'lai'wei'suan'nian'hua'wu 归来未算年华误
'gui'lai'yang'wu'bai'kui'sheng 归来仰屋百喟生
'gui'lai'ye'wei 归来也未
'gui'ren'xiang'xun'lao'xiang'hu 贵人相讯劳相护
'gui'ren'yi'xi'xia'fei'yu 贵人一夕下飞语
'guo'fu'san'sheng'min'yi'dou 国赋三升民一斗
'guo'jin'zheng'hong'shu'wei'ji 过尽征鸿书未寄
'guo'qing'shan'wan'hen 过青山万痕
'guo'ran'long'she'pan'wo'hou'she'jian 果然龙蛇蟠我喉舌间
'guo'ran'qing'li 果然清丽
'guo'sui'xiang'xin'meng'bu'cheng 聒碎乡心梦不成
'guo'you'zheng'shi'shi'you'she 国有正士士有舌
'hai'dao'chou'ren'feng'da'shi 海岛畴人奉大师
'hai'dao'you'qing'wu 还道有情无
'hai'nei'ce'zhu'qi'dan'wu'tu'wang 海内侧伫岂但吾徒望
'hai'nei'dan'jian'li'li'chi'chao'gang 海内但见力力持朝纲
'hai'nei'wen'zhang'sheng'da'shi 海内文章盛大师
'hai'ou'wu'shi 海鸥无事
'hai'pa'liang'ren'ju'bo'ming 还怕两人俱薄命
'hai'sheng'jiu'shi'yue'se'zai'xiao'xiang 还剩旧时月色在潇湘
'hai'si'meng'you'fei 还似梦游非
'hai'tang'si 海棠丝
'hai'tang'yu'jiang'li 海棠与江蓠
'hai'wei'wo'shen'shang 还为我神伤
'han'chao'ru'sheng'bu'qing'zi 汉朝儒生不青紫
'han'chao'ru'sheng'xing 汉朝儒生行
'han'chao'xi'hai'ru'jun'xian 汉朝西海如郡县
'han'geng'yu'xie 寒更雨歇
'han'gu'si'xia'meng'wo'zhi 寒鼓四下梦我至
'han'hai'yi'ge'shao 瀚海一蛤少
'han'jia'chang'cheng'yi'dai'jian 汉家长城衣带间
'han'jia'jiu'shi'wu'ren'zhi 汉家旧事无人知
'han'jia'miao'shi'guo'he'ren 汉家庙食果何人
'han'jia'ping'zhun'shu'nan'xu 汉家平准书难续
'han'shi'jin'xing'hu'luo'zhong 汉使今行虎落中
'han'xiao'yi'pian'zhen'qian'bing 寒宵一片枕前冰
'han'xuan'shang'jie'ben'lai'xi 寒暄上界本来希
'han'yue'bei'jia 寒月悲笳
'han'yue'yin'you'xu'wu'shou'xuan'er'shou 寒月吟有序五首选二首
'hang'zhou'ji'xi'xiang'qian'bei 杭州几席乡前辈
'hao'dang'li'chou'bai'ri'xie 浩荡离愁白日斜
'hao'hao'dang'dang 浩浩荡荡
'hao'ju'yi'xu'ge 好句亦须割
'hao'zhi'ta 好知他
'he'bi'jin'qu'qie 何必尽胠箧
'he'bi'rang'zhong'ling 何必让中泠
'he'bi'zhong'qiu'er'nv'du'bi'yue'zhi'liu'hua 何必中秋儿女睹璧月之流华
'he'bu'ke'yi'sang 何不课以桑
'he'bu'zhuan'cheng'hua'xian'qu 何不专城花县去
'he'chu'chui'xiao 何处吹箫
'he'chu'cui'wu'gou 何处淬吴钩
'he'chu'jin'yi'ke 何处金衣客
'he'chu'rong'yin'tong 何处容隐痛
'he'chu'yi'jing'hua 何处异京华
'he'chu'zong'feng'xiang'huo 何处宗风香火
'he'chuan'chun'can 河传春残
'he'dai'wu'xian'jun 何代无先君
'he'fen'fang'du'you'ren'yi 河汾房杜有人疑
'he'gan'lao'wen'you'jiang'gan 河干劳问又江干
'he'gan'zi'jin'yi'guo'shou 何敢自矜医国手
'he'gu'hua'biao 鹤孤华表
'he'huan'ren'lai'meng'zhong'qu 合欢人来梦中去
'he'nian'jie'huo'sheng'can'hui 何年劫火剩残灰
'he'nuan'he'xiang 和暖和香
'he'qi'gui'wei'zhong 何期闺闱中
'he'qi'jiu'yuan'zao 盍乞救援早
'he'qing'lei 和清泪
'he'ri'ming'hong'zong'ji'sui 何日冥鸿踪迹遂
'he'ru'bo'xing'jin'yi'lang 何如薄幸锦衣郎
'he'ru'dan'yin'jiu 何如但饮酒
'he'ru'fan'xu'zhou 何如泛虚舟
'he'ru'lin'zhao'wu 何如鳞爪无
'he'ru'xiang'feng'bu'xiang'he 何如相逢不相合
'he'ru'yi'yi'qiu'jing'cheng 何如一意求精诚
'he'sheng'ben'zi'ye 鹤生本自野
'he'shi'dong'feng 何事东风
'he'shi'qiu'feng'bei'hua'shan 何事秋风悲画扇
'he'shi'shang'xin'zao 何事伤心早
'he'shi'tian'qi'yan 何事添凄咽
'he'shi'wu'zhe'shi 何时无哲士
'he'wu'qian'nian'nu'ruo'chao 何物千年怒若潮
'he'xu'fan'bo'xian'qi'chen 何须番舶献其琛
'he'ye'bei'zhi'ji'yi'ren'shui'shi 荷叶杯知己一人谁是
'he'yi'bian'shi'xi'hua'lu 荷衣便识西华路
'he'yong'geng'liu'ji 何用更留迹
'he'yu'he'yan'liang'bu'sheng 和雨和烟两不胜
'he'yuan'shi'shang'zhi 何缘世上知
'hen'bu'cheng'hua'yi 恨不称花意
'hen'fen'ming 恨分明
'hen'ru'chun'meng'wei'fen'ming 恨如春梦畏分明
'heng'ge'yue'ma'jin'he'shi 横戈跃马今何时
'heng'kan'yu'ce'kan 横看与侧看
'heng'men'li'ge'lei'ru'yu 横门骊歌泪如雨
'hong'jia'yi'qie'mo 宏加以切劘
'hong'jian'xiang'bi'zi'mo'hu 红笺向壁字模糊
'hong'lei'tou'chui 红泪偷垂
'hong'mei'gui 红玫瑰
'hong'mian'fen'leng'zhen'han'pian 红绵粉冷枕函偏
'hong'qiang'xi'qu'ji'yin'he 红墙西去即银河
'hong'xiu'zhao'ren'chuo'you'qing 红袖招人绰有情
'hong'ya'qu 红牙曲
'hong'yuan 红怨
'hou'dai'ru'yi'zun 后代儒益尊
'hou'ren'shi'zi'bai'you'ji 后人识字百忧集
'hou'shen'yuan 后身缘
'hou'shi'du'shu'zhe 后世读书者
'hou'wang'zong'miao'qiu'yuan'fei 侯王宗庙求元妃
'hou'wu'bai'sui 后五百岁
'hu'bao'chen'chen'wo'jiu'hun 虎豹沉沉卧九阍
'hu'bi'ba'zhou 扈跸霸州
'hu'bo'hu'yu'lai'kong'meng 湖波湖雨来空濛
'hu'bo'ru'jing'neng'zhao'rong 湖波如镜能照容
'hu'de'dang'shi'yin'ma'quan 护得当时饮马泉
'hu'deng'er'zhu'zhi 呼灯而烛之
'hu'er'yu'ruo 呼儿语若
'hu'fu'wan'qiu'tian 虎阜晚秋天
'hu'hai'shi 湖海事
'hu'hu'zhong'yuan'mu'ai'sheng 忽忽中原暮霭生
'hu'huang'xuan'chuai'ru'wen'shen 惚恍悬揣如闻呻
'hu'peng'yi'de'san'si'zi 呼朋亦得三四子
'hu'ran'bei'zeng'jiao 忽然被缯缴
'hu'ran'ge'bi'wu'yan'shuo 忽然搁笔无言说
'hu'shi'yi'guan'lai'que'xia 忽筮一官来阙下
'hu'shou'gu'lei'chu'chang'an 忽收古泪出长安
'hu'wen'hai'shui'mang'mang'lv 忽闻海水茫茫绿
'hu'xi'bao'zhi'zou 呼奚抱之走
'hu'yi'qu'nian'feng'yu'ye 忽忆去年风雨夜
'hu'you'du'shen'gui 胡由妒神鬼
'hu'zuo'ling'ran'shui'se'ming 忽作泠然水瑟鸣
'hua'cheng'nuan'ri'ying'lai'qi 花承暖日迎来骑
'hua'jiao'sheng'zhong 画角声中
'hua'jing'lou 花径漏
'hua'kai'bu'he'yang'chun'mu 花开不合阳春暮
'hua'mei'xian'le'hua'fu'rong 画眉闲了画芙蓉
'hua'meng'gui'lun'wen 哗梦鬼论文
'hua'nian'xin'li'jiu'fen'dan 华年心力九分殚
'hua'nian'xin'xu'cong'tou'li 华年心绪从头理
'hua'qiao'ya'pu'zhi'he'chu 画桥压浦知何处
'hua'ru'xue 花如雪
'hua'tang'chun'yi'sheng'yi'dai'yi'shuang'ren 画堂春一生一代一双人
'hua'ying'chu'yang'fu'qi'liao 花映初阳覆绮寮
'hua'zhi 花枝
'hua'zuo'chun'ni'geng'hu'hua 化作春泥更护花
'hua'zuo'fei'xian'hu'qi'kuo 化作飞仙忽奇阔
'hua'zuo'tai'gu'qin 化作太古琴
'huai'gu'yi'shui'chuan 怀古意谁传
'huai'nan'zhi'quan'chi'chu'xing 淮南之犬彳亍行
'huai'zai'ju'neng'wang 怀哉讵能忘
'huan'chu'heng'e'shi'yu'ting 唤出姮娥诗与听
'huan'hua'wei'yu 浣花微雨
'huan'le'jiang'guan'ci'fu 换了江关词赋
'huan'nan'ru'he'wu 患难汝何物
'huan'qu'hong'jin'cui'xiu 唤取红襟翠袖
'huan'xi'sha'can'xue'ning'hui'leng'hua'ping 浣溪沙残雪凝辉冷画屏
'huan'xi'sha'chang'duan'ban'zhui'qu'wei'huan 浣溪沙肠断斑骓去未还
'huan'xi'sha'ji'wan'chang'tiao'yu'bie'nan 浣溪沙记绾长条欲别难
'huan'xi'sha'ji'yan'sun'you 浣溪沙寄严荪友
'huan'xi'sha'jin'yang'nian'hua'shui'yang'liu 浣溪沙锦样年华水样流
'huan'xi'sha'shi'ba'nian'lai'duo'shi'jian 浣溪沙十八年来堕世间
'huan'xi'sha'shui'dao'piao'ling'bu'ke'lian 浣溪沙谁道飘零不可怜
'huan'xi'sha'shui'nian'xi'feng'du'zi'liang 浣溪沙谁念西风独自凉
'huan'xi'sha'shui'qi'xing'song'qiang'zi'zhi 浣溪沙睡起惺忪强自支
'huan'xi'sha'xiao'xi'shui'chuan'dao'ju'shuang 浣溪沙消息谁传到拒霜
'huan'xi'sha'yi'ban'can'yang'xia'xiao'lou 浣溪沙一半残阳下小楼
'huan'xi'sha'yu'wen'jiang'mei'shou'ji'fen 浣溪沙欲问江梅瘦几分
'huang'cheng'ye'zhi'fei 荒城野雉飞
'huang'dao'wo'sheng'chu 恍到我生初
'huang'du'nu'qiu'ru 黄犊怒求乳
'huang'he'hua'yue'gong'ji'guan 黄河华岳公籍贯
'huang'hu'guai'dan'bai'chu'nan'qiong'qi 恍惚怪诞百出难穷期
'huang'hua'kai'ye'jin'chong'yang 黄花开也近重阳
'huang'huang'zu'zong'xin 煌煌祖宗心
'huang'hun'you'ting'cheng'tou'jiao 黄昏又听城头角
'huang'hun'zhi'dui'li'hua 黄昏只对梨花
'huang'jin'bai'jin'liao'ke'bao 黄金百斤聊可保
'huang'jin'hua'fa'liang'piao'xiao 黄金华发两飘萧
'huang'jin'man'xu'pin 黄金满虚牝
'huang'jiu'zi'zhao'qin'qi'gong'ni'li 黄九自招秦七共泥犁
'huang'ni'ting'zi'bai'mao'tang 黄泥亭子白茅堂
'huang'qi'lu'he'lai 肓气六合来
'huang'tian'wu'jin'chong 皇天误矜宠
'hui'bo'bu'qi'jian'shi'yi 恢博不弃贱士议
'hui'dang'da'he'jue'suan'zao 会当大河决酸枣
'hui'deng'bu'gan'meng'gu'ling 回灯不敢梦觚稜
'hui'ji'tang'tang'sui'yue'wei 悔极堂堂岁月违
'hui'lang'yi'cun'xiang'si'di 回廊一寸相思地
'hui'shou'cang'mang'wu'ji 回首苍茫无际
'hui'shou'yue'ming'kong 回首月明空
'hui'tou'hai'kong'sui'xing'yi 回头还恐岁星疑
'hui'yin'qi'zai'xian'jue'zhi 徽音岂在纤厥趾
'hui'zhu'xin'shu'jin'shi'nian 悔著新书近十年
'hun'xiao'xin'si'dou'wu'fa 魂消心死都无法
'hun'ya'jin 昏鸦尽
'huo'nai'ji'zi'mo 祸乃及子墨
'huo'yan'ru'xian'wang 或言儒先亡
'huo'ze'tou'tie'tie 或则头帖帖
'huo'ze'tou'yun'yun 或则头頵頵
'ji'bao'dong'fang'liang'xing'shi 急报东方两星使
'ji'bei'fan'tai'wu'mi'chu 几辈凡胎无觅处
'ji'ci'nan'mian'qun'gong'chen 即此难免群公瞋
'ji'cu'dan'yan'shuai'liu 几簇淡烟衰柳
'ji'dang'shi 记当时
'ji'dian'he'deng 几点荷灯
'ji'dian'huang'hua'man'di'qiu 几点黄花满地秋
'ji'dian'pi'pa'hua'xia'yu 几点枇杷花下雨
'ji'dong'dang'yan'bing'zhu'qing 极动当筵炳烛情
'ji'fu'ke'yi'chun 畿辅可一淳
'ji'gu'you'yao'yuan 稽古有遥源
'ji'hang'xiang'lei 几行乡泪
'ji'jiang'gu'zhuang'bu'ru'shi 姬姜古妆不如市
'ji'ke'you'lai'yi'ying'jue 羁客由来艺英绝
'ji'kui'yu'rang'qiao 既窥豫让桥
'ji'liang'fen'bing'qi'mao'wu'yi'zhao'zhi 寄梁汾并葺茅屋以招之
'ji'ming'gou'ming 鸡鸣狗鸣
'ji'qi'liang'ku 羁栖良苦
'ji'qian'sheng 记前生
'ji'qu'nei'song'zhi'yuan'yin 诘屈内讼知缘因
'ji'ren'nu'ma'chu'chang'an 几人怒马出长安
'ji'shen'bi'gao'ming 戢身避高名
'ji'shi'xiang'jian 几时相见
'ji'si'rou'lv'zha'he'yan 几丝柔绿乍和烟
'ji'tian'guan'sai'yun'zhong 极天关塞云中
'ji'wan'chang'tiao'yu'bie'nan 记绾长条欲别难
'ji'xiang'jie'tuo'wen'shu'tong 吉祥解脱文殊童
'ji'xiu'ta'xian'shi 记绣榻闲时
'ji'xue'zha'fan'xiang'ge'xu 急雪乍翻香阁絮
'ji'yan'hou'shi'jian'nan'zi 寄言后世艰难子
'ji'zheng'ren'yu'shi'san'shou'qi'liu 记征人语十三首其六
'ji'zheng'ren'yu'shi'san'shou'qi'wu 记征人语十三首其五
'ji'zhou'gu'sang'tu 冀州古桑土
'ji'zhuang'shi'qi'hai 既壮恃其孩
'ji'zhuang'zhou'xuan'za'chi'xia 既壮周旋杂痴黠
'jia'fa'wu'xun'zong 家法毋徇纵
'jia'li'shu'wei'yang 佳丽数维扬
'jia'ming'ru'shou'hai'qian'qiu 佳名入手还千秋
'jia'shu'qian'xi'zhi 家书前夕至
'jia'zai'xin'wu'xia 恝哉心无瑕
'jian'dao'sheng 剪刀声
'jian'fu'gao'tan'wo'yong'you 俭腹高谈我用忧
'jian'hen'zai'diao'long 缄恨在雕笼
'jian'hong'qing 减红情
'jian'jin'cheng'nan'tian'chi'wu 渐近城南天尺五
'jian'jin'xun'yi'zuo'ri'xiang 减尽荀衣昨日香
'jian'lan'ren'tian'wu'ju 减兰人天无据
'jian'qi'liang 鉴凄凉
'jian'qi'xiao'xin'yi'li'xiao 剑气箫心一例消
'jian'qun'meng'duan'xu'ying'nan 湔裙梦断续应难
'jian'ren'xiu'se'que'hui'tou 见人羞涩却回头
'jian'shi'fang'qi'qiong 贱士方奇穷
'jian'yao'qing'tong'yi'zu'hao 简要清通已足豪
'jian'ye'jiu'chang'an 建业旧长安
'jian'yi'hai'tang'wu 间以海棠妩
'jian'zi'mu'lan'hua'xin'yue 减字木兰花新月
'jiang'bian'he'xiao'nao 江边何哓呶
'jiang'cheng'zi'yong'shi 江城子咏史
'jiang'da'shui'shen'duo'jiang'yu 江大水深多江鱼
'jiang'dong'jiu'yun'shao'wei'xing 江东久陨少微星
'jiang'guan'ci'fu'xiao'lan'cheng 江关词赋笑兰成
'jiang'guan'duan'xiao'xi 江关断消息
'jiang'hu'xia'gu'kong'wu'duo 江湖侠骨恐无多
'jiang'huai'kuang'sheng'zhi'wo'zhe 江淮狂生知我者
'jiang'jiu'xie'xie 将就些些
'jiang'jun'nei'gu'hu'yi'ju 将军内顾忽疑惧
'jiang'jun'zhi'xin'ru'ci'shen 将军之心如此深
'jiang'liu'hao'miao'jiang'yue'duo 江流浩淼江月堕
'jiang'nan'di'yi'duan'chang'ren 江南第一断肠人
'jiang'nan'hao 江南好
'jiang'nan'hua'yue'jiao'liang'ye 江南花月娇良夜
'jiang'nan'xiao'xi'chen'chen 江南消息沉沉
'jiang'shang'chun'chao'ping'an'shi 江上春潮平岸时
'jiang'shui'se'long'hou 江水涩咙喉
'jiang'tian'ru'mo'wo'fei'hai 江天如墨我飞还
'jiang'wu'jiu'miao'chi 将毋九庙耻
'jiang'xi'bao'fei'qiong 将息报飞琼
'jiang'xiang'lan'qiao'yi'qi 浆向蓝桥易乞
'jiang'ye'yi'xi 江也依稀
'jiang'yuan'xiao'gu'chun'ying'jia 江园箫鼓春迎驾
'jiao'duan'xi'lai'hua'jiang'jie 角端西来画疆界
'jiao'jin'mei'ren'ming'shi 交尽美人名士
'jiao'li'huai'sui'sheng 搅离怀碎生
'jiao'long'ku 蛟龙窟
'jiao'ru'jiao'jiang 搅入椒浆
'jiao'shou'pan'qing'yun 矫首盼青云
'jiao'ta'zhen'zhong'hu'feng'liu 教他珍重护风流
'jiao'xing'liang'qing'yi'si'yu 侥幸梁清一私语
'jiao'xun'meng'ye'hui'lang 教寻梦也回廊
'jiao'yu'yuan'yang'su'bu'ping 交与鸳鸯诉不平
'jiao'zhong'lu 蕉中鹿
'jiao'zhu'beng'luo'geng'nan'shou 鲛珠迸落更难收
'jie'bu'shi 皆不是
'jie'chao'xing 解朝醒
'jie'ke'wu'ling'ying'shao 结客五陵英少
'jie'lue'zi'fu'kong 劫掠资斧空
'jie'qian'shuang'ye'he 阶前双夜合
'jie'shi'wu'zhang'xuan'san'shou 戒诗五章选三首
'jie'shi'xi'you'shi 戒诗昔有诗
'jie'sui'zi'zi'shi 结穗字字实
'jie'xi'zhen'nan'jin 结习真难尽
'jie'yi'zhan'dao'li 藉以战道力
'jin'bi'chu'xie'xun 金碧矗斜曛
'jin'ci'yi'bao'xing 尽此一报形
'jin'fen'dong'nan'shi'wu'zhou 金粉东南十五州
'jin'gu'he'shan'wu'ding'ju 今古河山无定据
'jin'jia'yi'ba'chui 金笳已罢吹
'jin'lai'ren'jian 今来忍见
'jin'li'jiang'jun'yi'bi'hu 尽隶将军一臂呼
'jin'liang'tiao'yue'bian'nan'dong 津梁条约遍南东
'jin'ling 金陵
'jin'lv'qu'sa'jin'wu'duan'lei 金缕曲洒尽无端泪
'jin'lv'qu'wang'fu'ji'ri'you'gan 金缕曲亡妇忌日有感
'jin'lv'qu'wei'xi'ming 金缕曲慰西溟
'jin'lv'qu'wo'you'nan'xing'yi 金缕曲我又南行矣
'jin'lv'qu'zeng'liang'fen 金缕曲赠梁汾
'jin'nian'duo'feng'qian 今年夺俸钱
'jin'nian'shi'zhong'dou 今年适种豆
'jin'nian'zhen'jie'shi 今年真戒诗
'jin'ri'bu'hui'xian'ti'lei 今日不挥闲涕泪
'jin'shi'kong'er'xin 今誓空尔心
'jin'suo'bu'cun'zhe 今所补存者
'jin'tui'yong'rong'shi'shang'nan 进退雍容史上难
'jin'xi'fu'he'ru 今夕复何如
'jin'xiao'gan'kai'you'yin'jun 今宵感慨又因君
'jin'ya'xiang'qing'hu'qi'ling 金鸭香轻护绮棂
'jin'yang'nian'hua'shui'yang'liu 锦样年华水样流
'jin'ye'tian'sun 今夜天孙
'jin'ye'zhen'xin'jing 金液镇心惊
'jin'yi'qi'liang 尽意凄凉
'jin'zhao'wu'feng'xue 今朝无风雪
'jing'ji'wen'zhang'mo'bai'zhou 经济文章磨白昼
'jing'jiang'ri'luo'zhen'yun'di 荆江日落阵云低
'jing'jie'xu 惊节序
'jing'lian'yi'pian'shang'xin'bai 晶帘一片伤心白
'jing'pao'qi 竟抛弃
'jing'qi'shuang'qi'die 惊起双栖蝶
'jing'qi'wu'dao'cong'tian'luo 旌旗五道从天落
'jing'ren'wu'bai'cong 惊人无白骢
'jing'ying'gui'yun'niang 菁英贵酝酿
'jing'zhong'qiang'ban'shang'hong'yan 镜中强半尚红颜
'jiong'bao'yi'kai'huo 窘抱一开豁
'jiu'bei'qing'fu'shen 酒杯清复深
'jiu'bian'lan'shu'deng'diao'chong 九边烂熟等雕虫
'jiu'ge'yuan'zi'jin'zhao'hun 九歌原自近招魂
'jiu'gong'qiu'cha 就公求茶
'jiu'guan'hu'bao'bu'ji'he 九关虎豹不讥诃
'jiu'liu'chu'shou'xu'zong'heng 九流触手绪纵横
'jiu'miao'he'zai'zhi 九庙赫在咫
'jiu'ruo'qing'lu'liang 酒若清露凉
