'a'na'qu 阿那曲
'song'gu'hong'mu'duan'qian'shan'zu 送孤鸿目断千山阻
'sui'chun'qie'kan'gui'he'chu 随春且看归何处
'sui'han'song'zhu'san'yi 岁寒松竹三益
'sui'qun'zan'qian'chou'huai 随群暂遣愁怀
'sui'rou'xie'zi'pao'zhi 碎揉些子抛掷
'ta'qing'xian'bu'jiang'gan 踏青闲步江干
'ti'jin'han'deng'meng'bu'cheng 剔尽寒灯梦不成
'tian'shang'ren'jian'man'yi 天上人间满意
'tian'yi'jian 天易见
'tou'zhan'cao'jia 偷粘草甲
'wan'li'yun'fan'he'shi'dao 万里云帆何时到
'wan'wan'qu 弯弯曲
'wan'yi'ba'qiao'xiang'jian 万一灞桥相见
'wang'xiu'qiong'mu 望休穷目
'wei'ba'yu'yan'piao'sa 为把玉盐飘撒
'wei'liang'ru'mei 微凉入袂
'wei'you'chui'yang'zi'wu 惟有垂杨自舞
'wo'xie'yue'xiang'lian 我谢月相怜
'wu'chuang'shui'qi'ying'sheng'qiao 午窗睡起莺声巧
'wu'le'zha'lai'shuang'yan 误了乍来双燕
'wu'nai'qing'han'zhu'mo'ren 无奈轻寒著摸人
'wu'xian'lou'qian'cang'bo'yi 无限楼前沧波意
'wu'xu'juan'xun'fang 无绪倦寻芳
'xi'feng'ba'shu 西风罢暑
'xi'jiang'yue 西江月
'xi'xia'shui'sheng'chang 溪下水声长
'xian'jiang'ji'chu 霰将集处
'xian'que'qiu'qian'suo 闲却秋千索
'xiang'fu'hua'yue 香浮花月
'xiang'hua'shi'qu 向花时取
'xiao'lai'que'ting'ding'ding'mu 晓来却听丁丁木
'xiao'nie'shi'er'zhi 笑捏狮儿隻
'xiao'yu'fan'kong'yue'zhui 小雨翻空月坠
'xiao'yuan'xiang'lian'xian'bu'juan 小院湘帘闲不卷
'xie'feng'xi'yu'zuo'chun'han 斜风细雨作春寒
'xie'shou'ou'hua'hu'shang'lu 携手藕花湖上路
'xie'yi'dong'feng'hun'man'man 斜倚东风浑漫漫
'xin'nian'xin'yue'gou'han'yu 新年新月钩寒玉
'xin'shi'si'zhong'sheng 心事思重省
'xin'zhi'mu'han'jiao'qian 信知暮寒较浅
'xing'tian'ru'jing 行天入镜
'xing'you'tu'mi'yu'hai'tang 幸有荼縻与海棠
'xue'ya'ting'chun 雪压庭春
'xun'lu'zhong'yun 熏炉重熨
'yan'cang'tai'fang'long'xiang'wan 掩苍苔房栊向晚
'yan'er'mei 眼儿媚
'yao'xiang'chu'yun'shen 遥想楚云深
'ye'ming'bu'pa'deng'mie 夜明不怕灯灭
'ye'shen'hua'zheng'han 夜深花正寒
'ye'wu'mei'liu'xin'biao'ge 也无梅柳新标格
'ye'wu'tao'li'yao'rao'se 也无桃李妖娆色
'yi'bei'du'zhuo 一杯独酌
'yi'jue'lv'fei'hong'qian 已觉绿肥红浅
'yi'pian'chang 意偏长
'yi'qian'huan 忆前欢
'yi'sha'huang'mei'xi'yu 一霎黄梅细雨
'yi'shi'dui'ji 一时堆积
'yi'tian'fei'xu'dong'feng'e 一天飞絮东风恶
'yi'wei'nao'ren'xiang 一味恼人香
'yi'zhi'he'yue'xiang 一枝和月香
'yin'zhu'hua'pin'luo 银烛花频落
'ying'dai'lin'yu'jing 映带林逾静
'ying'nian'long'shou'han'mei 应念陇首寒梅
'you'huan'sheng'zuo 幽欢生座
'you'ting'yi'sheng'qian'que 又听一声乾鹊
'you'zi'feng'qian'piao'liu'xu 犹自风前飘柳絮
'yu'hou'qing'qi'hua'bu'cheng 雨后清奇画不成
'yu'jian'cui'qun'jiao 玉减翠裙交
