'bai'fu'zhang 百夫长
'zuo'shen'wu'jun'tong'jun 左神武军统军
'zuo'tun'wei'da'jiang'jun 左屯卫大将军
'zuo'tun'wei'jiang'jun 左屯卫将军
'zuo'tun'wei'lang'jiang 左屯卫郎将
'zuo'tun'wei'shang'jiang'jun 左屯卫上将军
'zuo'tun'wei'zhong'lang'jiang 左屯卫中郎将
'zuo'wei 左卫
'zuo'wei'da'jiang'jun 左卫大将军
'zuo'wei'jiang'jun 左卫将军
'zuo'wei'lang'jiang 左卫郎将
'zuo'wei'shang'jiang'jun 左卫上将军
'zuo'wei'zhong'lang'jiang 左卫中郎将
'zuo'wu'wei'da'jiang'jun 左武卫大将军
'zuo'wu'wei'jiang'jun 左武卫将军
'zuo'wu'wei'lang'jiang 左武卫郎将
'zuo'wu'wei'shang'jiang'jun 左武卫上将军
'zuo'wu'wei'zhong'lang'jiang 左武卫中郎将
'zuo'xiao'wei 左骁卫
'zuo'xiao'wei'da'jiang'jun 左骁卫大将军
'zuo'xiao'wei'jiang'jun 左骁卫将军
'zuo'xiao'wei'lang'jiang 左骁卫郎将
'zuo'xiao'wei'shang'jiang'jun 左骁卫上将军
'zuo'xiao'wei'zhong'lang'jiang 左骁卫中郎将
'zuo'you'xiang 左右厢
'zuo'yu'lin 左羽林
'zuo'yu'lin'jun 左羽林军
'zuo'yu'lin'jun'da'jiang'jun 左羽林军大将军
'zuo'yu'lin'jun'jiang'jun 左羽林军将军
'zuo'yu'lin'jun'shang'jiang'jun 左羽林军上将军
'zuo'yu'lin'jun'tong'jun 左羽林军统军
