'a'ji'mi'de'qiao'ji 阿基米德巧计
'fei'ji'wei'ji'ceng 飞机尾迹层
'fei'ji'wen'ding'xing 飞机稳定性
'fei'ji'yan'bi'ku 飞机掩蔽库
'fei'ji'yan'ti 飞机掩体
'fei'ji'zui'da'su'du 飞机最大速度
'fei'jie'chu'bao'zha 非接触爆炸
'fei'nai'bao 非耐爆
'fei'nao 飞铙
'fei'qi'ya'shang 肺气压伤
'fei'san'bao'po 飞散爆破
'fei'san'jiao 飞散角
'fei'shan'zhi'shan'ye 非善之善也
'fei'shan'zhi'shan'zhe'ye 非善之善者也
'fei'shui'zhi'zhan 肥水之战
'fei'ta 飞铊
'fei'ting 飞艇
'fei'wan'hao'che'ri 非完好车日
'fei'xiang'mu'biao 飞向目标
'fei'xing 飞行
'fei'xing'chang'di 飞行场地
'fei'xing'cheng'xu 飞行程序
'fei'xing'da'dui 飞行大队
'fei'xing'dan'dao 飞行弹道
'fei'xing'di'dai 飞行地带
'fei'xing'fang'an 飞行方案
'fei'xing'fu 飞行服
'fei'xing'gao'du 飞行高度
'fei'xing'gao'du'ceng 飞行高度层
'fei'xing'guan'zhi 飞行管制
'fei'xing'gui'ji 飞行轨迹
'fei'xing'ji'shu 飞行技术
'fei'xing'jia'ban 飞行甲板
'fei'xing'jiao'ling 飞行教令
'fei'xing'jiu'yuan'ren'wu 飞行救援任务
'fei'xing'ju'li 飞行距离
'fei'xing'kong'yu 飞行空域
'fei'xing'kong'zhi'xi'tong 飞行控制系统
'fei'xing'lu'xian 飞行路线
'fei'xing'ma'he'shu 飞行马赫数
'fei'xing'mo'duan 飞行末端
'fei'xing'qi 飞行器
'fei'xing'qi'yun'dong 飞行器运动
'fei'xing'ren'yuan 飞行人员
'fei'xing'shen'qing 飞行申请
'fei'xing'shi'jian 飞行时间
'fei'xing'su'du 飞行速度
'fei'xing'ti'dui 飞行梯队
'fei'xing'tiao'pei 飞行调配
'fei'xing'tuan 飞行团
'fei'xing'xun'lian 飞行训练
'fei'xing'yuan 飞行员
'fei'xing'zhi'hui'yuan 飞行指挥员
'fei'xing'zhong'dui 飞行中队
'fei'xing'zi'tai 飞行姿态
'fei'yue'ceng 飞跃层
'fei'zhan'dou 非战斗
'fei'zhan'dou'jian'yuan 非战斗减员
'fei'zhan'dou'sun'hao 非战斗损耗
'fei'zhan'dou'sun'shi 非战斗损失
'fei'zhou'jun 非洲军
'fen'bie'hang'du 分别航渡
'fen'bing'ba'shou 分兵把守
'fen'ceng'shi'shi'lan'jie 分层实施拦截
'fen'dao 分导
'fen'dao'fan'wei 分导范围
'fen'dao'shi 分导式
'fen'dao'shi'duo'dan'tou 分导式多弹头
'fen'duan'she'ji 分段射击
'fen'duan'yan'xi 分段演习
'fen'duan'zuo'ye 分段作业
'fen'dui 分队
'fen'dui'zhan'shu'xun'lian 分队战术训练
'fen'dui'zhi'hui'yuan 分队指挥员
'fen'fa'xiang'shang 奋发向上
'fen'ge 分割
'fen'ge'bao'wei 分割包围
'fen'ge'shi'yong 分割使用
'fen'ge'zhi'hui 分割指挥
'fen'hua 分划
'fen'huo 分火
'fen'huo'she'ji 分火射击
'fen'ji'jiu'zhi 分级救治
'fen'ji'ru'fei 奋疾如飞
'fen'jin'he'ji 分进合击
'fen'ju'ji'guan 分局机关
'fen'jun'bei'di 分军备敌
'fen'li'shi'qiang'tuo 分离式枪托
'fen'lian 分练
'fen'lie'shi 分列式
'fen'pi'kong'jiang 分批空降
'fen'pi'zhuan'yi 分批转移
'fen'qu'fang'shou 分区防守
'fen'qu'shou'bei 分区守备
'fen'ren'zhi'bing 分人之兵
'fen'san'bao'zhi 分散报知
'fen'san'jia'you 分散加油
'fen'san'zhi'hui 分散指挥
'fen'shui'xian 分水线
'fen'wei'zhong 分为重
'fen'xi'hua'yan 分析化验
'fen'zhan 分战
'fen'zhan 分站
'fen'zhen'ji'qi 焚珍激气
'fen'zhong'duan'zhan 分终端站
'fen'zu'zuo'ye 分组作业
'feng'bao'chao 风暴潮
'feng'bao'hai'xiao 风暴海啸
'feng'bi'he'tu'po'kou 封闭核突破口
'feng'bi'tong'lu 封闭通路
'feng'bi'tu'po'kou 封闭突破口
'feng'chen'xiu'ji 丰臣秀吉
'feng'huang'tui'hua'jing'dao 凤凰推滑颈刀
'feng'li'deng'ji 风力等级
'feng'lin 峰林
'feng'sha'ni'shui 风沙泥水
'feng'suo'he'tu'po'kou 封锁核突破口
'feng'suo'qu 封锁区
'feng'suo'tu'po'kou 封锁突破口
'feng'suo'xiao'xi 封锁消息
'feng'xiang'feng'ji 风向风级
'feng'xiang'hao 凤翔号
'feng'xiang'zhi'shi'deng 风向指示灯
'feng'yu'xiang 冯玉祥
'feng'zhan 风战
'feng'zui'dao 凤嘴刀
'fu'ban'zhang 副班长
'fu'biao 浮标
'fu'bing 府兵
'fu'bing'tuan 副兵团
'fu'can'mou'zhang 副参谋长
'fu'chao'zuo'zhan 赴朝作战
'fu'chong'gong'ji 俯冲攻击
'fu'chong'hong'zha 俯冲轰炸
'fu'ci'ya'fa 复次压发
'fu'ci'ya'fa'yin'xin 复次压发引信
'fu'da'dui'zhang 副大队长
'fu'dong 浮动
'fu'dong'ji'chu 浮动基础
'fu'du 浮渡
'fu'dun'bing'cuo'rui 夫钝兵挫锐
'fu'gai'mian'da 覆盖面大
'fu'guan'gong'zuo 俘管工作
'fu'he'gan'rao 复合干扰
'fu'he'shang 复合伤
'fu'he'yin'xin'shui'lei 复合引信水雷
'fu'he'zhi'dao 复合制导
'fu'he'zhuang'jia 复合装甲
'fu'huo 俘获
'fu'ji 伏击
'fu'ji'bu'huo 伏击捕获
'fu'ji'di'dai 副极地带
'fu'ji'di'qu 伏击地区
'fu'ji'zhan'dou 伏击战斗
'fu'jia'shi'yuan 副驾驶员
'fu'jiang'zhe 夫将者
'fu'jiao'dao'yuan 副教导员
'fu'jin'huang 复进簧
'fu'jin'ji'gou 复进机构
'fu'juan'bei'cha 附卷备查
'fu'jun'ji 副军级
'fu'ke'ji 副科级
'fu'lai'si'te'ji 福莱斯特级
'fu'lian'zhang 副连长
'fu'long'zhi 伏龙芝
'fu'lu 俘虏
'fu'lu'zheng'ce 俘虏政策
'fu'luo'xi'luo'fu 伏罗西洛夫
'fu'lv 副率
'fu'lv'zhang 副旅长
'fu'mu'qi'zhi 父母弃之
'fu'nang 浮囊
'fu'nv'lian'he'hui 妇女联合会
'fu'pai'zhang 副排长
'fu'pao 副炮
'fu'qi'chao'xue 覆其巢穴
'fu'qiao 浮桥
'fu'qiao'du'kou 浮桥渡口
'fu'qiao'duan 浮桥段
'fu'qiao'jia'she'zuo'ye 浮桥架设作业
'fu'qiao'qi'cai 浮桥器材
'fu'sang'hao 扶桑号
'fu'shao 复哨
'fu'she 敷设
'fu'she'bao'jing'qi 辐射报警器
'fu'she'dai 辐射带
'fu'she'fang'hu 辐射防护
'fu'she'fang'hu'bao'zhang 辐射防护保障
'fu'she'ji 辐射级
'fu'she'yi 辐射仪
'fu'she'zhen'cha 辐射侦察
'fu'she'zhen'cha'qi'cai 辐射侦察器材
'fu'shi 浮式
'fu'shi'ma'tou 浮式码头
'fu'shi'zhang 副师长
'fu'shou 副手
'fu'si'ling'yuan 副司令员
'fu'suo'zhang 副所长
'fu'ti 浮体
'fu'tong 浮筒
'fu'xi'si 福希斯
'fu'xi'ze'guo'bi'ruo 辅隙则国必弱
'fu'xian'tie'lu 复线铁路
'fu'xian'yi 服现役
'fu'xiang 浮箱
'fu'xu'hao 福煦号
'fu'yi 服役
'fu'ying'zhang 副营长
'fu'yong'bing'zhi'fa 夫用兵之法
'fu'you 附油
'fu'you 浮游
'fu'you'bu'fen 浮游部分
'fu'you'duan 浮游段
'fu'you'lan'zhang 浮游拦障
'fu'you'ma'tou 浮游码头
'fu'you'qiao'jiao 浮游桥脚
'fu'you'qiao'jiao'qiao 浮游桥脚桥
'fu'you'xiang 副油箱
'fu'yuan'jun'ren 复员军人
'fu'za'qi'xiang'fei'xing 复杂气象飞行
'fu'ze'bao'an'gong'zuo 负责保安工作
'fu'ze'zu'zhi'ting'zheng 负责组织听证
'fu'zhan 服战
'fu'zheng'wei 副政委
'fu'zhong'lun 负重轮
'fu'zhou'ze'guo'bi'qiang 辅周则国必强
'fu'zhu'deng'gao'xian 辅助等高线
'fu'zhu'hua'xing'dao 辅助滑行道
'fu'zhu'jian'chuan 辅助舰船
'fu'zhu'ren 副主任
'fu'zhu'ren'ke'yuan 副主任科员
'fu'zong'chang 副总长
'fu'zuo'yi 傅作义
'gai'bian'wei 改编为
'gai'fa'she'zhuang'zhi 该发射装置
'gai'lue'ce'liang 概略测量
'gai'lue'fang'wei'jiao 概略方位角
'gai'lue'miao'zhun 概略瞄准
'gai'lue'miao'zhun'ju 概略瞄准具
'gai'lue'nong'du 概略浓度
'gai'nian'yan'zheng'ji 概念验证机
'gai'wei'yuan'zhu'xing 改为圆柱形
'gai'yu'lei'fa'she'guan 该鱼雷发射管
'gai'zao'di'xing 改造地形
'gai'zao'gong'shi 改造工事
'gai'zhuang'ren'wu 改装任务
'gai'zhuang'xun'lian 改装训练
'gan'bu'bu 干部部
'gan'bu'dai'li'ren 干部代理人
'gan'bu'fu'yi'tiao'lie 干部服役条列
'gan'bu'gan'shi 干部干事
'gan'bu'shao 干部哨
'gan'bu'xia'lian'dang'bing 干部下连当兵
'gan'bu'xun'lian 干部训练
'gan'bu'zai'zhi'xun'lian 干部在职训练
'gan'cheng'shi 干成事
'gan'jiang 干将
'gan'jing'he'wu'qi 干净核武器
'gan'liang'dai 干粮袋
'gan'rao'fa'she'ji 干扰发射机
'gan'rao'lai'yuan 干扰来源
'gan'rao'mu'biao 干扰目标
'gan'rao'qiang'du 干扰强度
'gan'rao'qing'bao 干扰情报
'gan'rao'shan'mian 干扰扇面
'gan'rao'she'bei 干扰设备
'gan'rao'shou'duan 干扰手段
'gan'rao'wei'zhuang'qi'cai 干扰伪装器材
'gan'rao'wu 干扰物
'gan'rao'xiao'guo 干扰效果
'gan'rao'yuan 干扰源
'gan'rao'zhe'zhang 干扰遮障
'gan'rao'zhuang'zhi 干扰装置
'gan'rao'zou'lang 干扰走廊
'gan'sheng'fang'she'xing 感生放射性
'gan'su'zou'lang 甘肃走廊
'gan'yi'dan 杆一石
'gan'ying'ci'sheng 感应次声
'gan'ying'ci'sheng'shui'lei 感应次声水雷
'gan'ying'fang'she'xing 感应放射性
'gan'ying'yin'xin 感应引信
'gan'zhu'shi 干贮式
'gang'gui'zhong'liang 钢轨重量
'gang'jin'ji'xie 钢筋机械
'gang'jun 钢军
'gang'kou 港口
'gang'kou'mu'biao 港口目标
'gang'wan'tu 港湾图
'gang'wei'lian'bing 岗位练兵
'gang'xing'dan'kua'qiao 刚性单跨桥
'gang'xing'qian'yin'zhuang'zhi 刚性牵引装置
'gang'ying 钢鹰
'gang'yu 港域
'gang'zhu 钢珠
'gang'zhu'dan 钢珠弹
'gao'bao 高爆
'gao'bao'chuan'tou 高爆穿透
'gao'bao'sui'lie 高爆碎裂
'gao'bo'ji'qu'zhu'jian 高波级驱逐舰
'gao'cha 高差
'gao'cheng 高程
'gao'cheng'ji'zhun'mian 高程基准面
'gao'di 高地
'gao'di'da'pei 高低搭配
'gao'di'ji 高低机
'gao'di'jiao 高低角
'gao'di'jing'miao'ji 高低精瞄机
'gao'di'ping'heng'ji 高低平衡机
'gao'di'she'jie 高低射界
'gao'du'he'cheng 高度合成
'gao'gui'dao 高轨道
'gao'he'jin 高合金
'gao'jia'fu'qiao 高架浮桥
'gao'jie 高界
'gao'kong 高空
'gao'kong'bao'zha 高空爆炸
'gao'kong'dai'chang'fu 高空代偿服
'gao'kong'feng'su 高空风速
'gao'kong'feng'xiang 高空风向
'gao'kong'ping'zhang 高空屏障
'gao'kong'qi'xiang'guan'ce 高空气象观测
'gao'kong'qi'xiang'tan'ce 高空气象探测
'gao'kong'tan'ce'che 高空探测车
'gao'kong'tian'qi'tu 高空天气图
'gao'kong'tiao'san 高空跳伞
'gao'kong'zhen'cha'ji 高空侦察机
'gao'miao'di 高苗地
'gao'nai'yong'xing'su'liao 高耐用性塑料
'gao'neng'ji'guang'qi 高能激光器
'gao'neng'li'zi'liu 高能粒子流
'gao'neng'zhong'zi 高能中子
'gao'pao 高炮
'gao'pao'bu'dui 高炮部队
'gao'pao'fen'huo'she'ji 高炮分火射击
'gao'pao'hun'he'bian'zu 高炮混合编组
'gao'pao'huo'li'fan'wei 高炮火力范围
'gao'pao'huo'li'mi'du 高炮火力密度
'gao'pao'ji'dong'zuo'zhan 高炮机动作战
'gao'pao'ji'huo'she'ji 高炮集火射击
'gao'pao'lian 高炮连
'gao'pao'qun 高炮群
'gao'pao'she'ji'neng'li 高炮射击能力
'gao'pao'she'ji'xiu'zheng 高炮射击修正
'gao'pao'she'ji'yu'an 高炮设计预案
'gao'pao'she'ji'zhi'hui 高炮射击指挥
'gao'pao'she'ji'zhi'shi 高炮射击指示
'gao'pao'shi 高炮师
'gao'pao'tuan 高炮团
'gao'pao'zhen'di 高炮阵地
'gao'pao'zhen'di'dian'hua 高炮阵地电话
'gao'pei 高配
'gao'pin'dian'lan'xian'lu 高频电缆线路
'gao'she 高射
'gao'she'huo'qi 高射火器
'gao'she'ji'qiang 高射机枪
'gao'she'jie 高射界
'gao'she'jie'she'ji 高射界射击
'gao'she'pao 高射炮
'gao'she'pao'bing 高射炮兵
'gao'she'pao'bing'qun 高射炮兵群
'gao'she'pao'dian'she 高射炮点射
'gao'she'pao'duan'dian'she 高射炮短点射
'gao'she'pao'shi 高射炮师
'gao'she'pao'tuan 高射炮团
'gao'she'pao'zhang'dian'she 高射炮长点射
'gao'si'tou'ying 高斯投影
'gao'su 高速
'gao'su'gang 高速钢
'gao'su'pen'she 高速喷射
'gao'su'shu'ju'chuan'shu 高速数据传输
'gao'tan 高碳
'gao'xing'neng'qie 高性能且
'gao'ya'dan 高压弹
'gao'ya'qi'lang 高压气浪
'gao'yuan'di'zhan'dou 高原地战斗
'gao'yuan'fu'za'di'yu 高原复杂地域
'gao'yue'ji'qu'zhu'jian 高月级驱逐舰
'gao'zhuang'tie'si'wang 高桩铁丝网
'ge'bie'ming'ling 个别命令
'ge'bo 戈博
'ge'bo'da'fei'ba 戈博大飞霸
'ge'bo'ge'dou'dao 戈博格斗刀
'ge'bo'hu'wai'fu 戈博户外斧
'ge'bo'qiu'sheng'dao 戈博求生刀
'ge'bo'shou'hu'shen 戈博守护神
'ge'bo'zhan'shu'zhe'dao 戈博战术折刀
'ge'bo'zhan'shu'zhi'dao 戈博战术直刀
'ge'che'qian'sheng 革车千乘
'ge'da'dui 各大队
'ge'er'bu'wei 隔而不围
'ge'fen'ju 各分局
'ge'ge'ji'po 各个击破
'ge'ge'jiao'lian 各个教练
'ge'guo'lu'jun 各国陆军
'ge'hai'zhi'yuan 隔海支援
'ge'huo'qu 隔火区
'ge'ji'ren'min'zheng'fu 各级人民政府
'ge'ji'zhi'hui'yuan 各级指挥员
'ge'jue'shi 隔绝式
'ge'jue'shi'fang'hu 隔绝式防护
'ge'jue'zhe'zhang 隔绝遮障
'ge'jun'zhong 各军种
'ge'li'jie'du 隔离戒毒
'ge'lie 割裂
'ge'lu'men'gong'si 格鲁门公司
'ge'lun'bi'ya'he 哥伦比亚河
'ge'ming'jing'sai 革命竞赛
'ge'ming'jun'ren'jia'shu 革命军人家属
'ge'ming'le'guan'zhu'yi 革命乐观主义
'ge'ming'lie'shi 革命烈士
'ge'ming'lie'shi'jia'shu 革命烈士家属
'ge'ming'lie'shi'ling'yuan 革命烈士陵园
'ge'ming'ying'xiong'zhu'yi 革命英雄主义
'ge'ming'zhan'zheng 革命战争
'ge'ren'de'shi 个人得失
'ge'ren'fang'hu 个人防护
'ge'ren'fang'hu'he 个人防护盒
'ge'ren'fang'hu'qi'cai 个人防护器材
'ge'teng'cha 葛藤岔
'ge'ti'ting'ji'ping 个体停机坪
'ge'wu'you'xi'you'yi 歌舞游戏游艺
'ge'yi'qi'shuo 各异其说
'ge'yin'qi'cai 隔音器材
'ge'you'te'dian 各有特点
'ge'zhi'dui 各支队
'ge'zhong'cuo'shi 各种措施
'ge'zhong'dui 各中队
'gei'shui 给水
'gei'shui'bu'dui 给水部队
'gei'shui'dian 给水点
'gei'shui'gong'cheng'tuan 给水工程团
'gei'shui'qi'cai 给水器材
'gei'shui'qin'wu 给水勤务
'gei'shui'tuan 给水团
'gen'ben'peng'zhi 根本朋之
'gen'ji 根基
'gen'jin'yan'hu 跟进掩护
'gen'ju'di 根据地
'gen'ju'shi'yong'zhe 根据使用者
'gen'ju'xu'yao'shou'ting 根据需要守听
'gen'sui'zhuan'yi 跟随转移
'gen'zong'ce'liang 跟踪测量
'gen'zong'miao'zhun'shi 跟踪瞄准式
'gen'zong'she'bei 跟踪设备
'gen'zong'she'ji 跟踪射击
'gen'zong'xian'shi'qi 跟踪显示器
'gen'zong'zhui'ji 跟踪追击
'geng'huan'dan'xia 更换弹匣
'geng'jia'di'lian 更加低廉
'geng'xin'zhu'yuan'kou'ling 更新诸元口令
'geng'zheng'kou'ling 更正口令
'gong'an'bu 公安部
'gong'an'bu'bian'fang'ju 公安部边防局
'gong'an'bu'ji'guan 公安部机关
'gong'an'bu'jing'wei'ju 公安部警卫局
'gong'an'bu'xiao'fang'ju 公安部消防局
'gong'an'dui'wu 公安队伍
'gong'an'gong'zuo 公安工作
'gong'an'ji'guan'guan'xia 公安机关管辖
'gong'an'jun 公安军
'gong'bi'nie 贡比涅
'gong'bing 工兵
'gong'bing'bu'dui 工兵部队
'gong'bing'fen'dui 工兵分队
'gong'bing'jiao'dao'da'dui 工兵教导大队
'gong'bing'ju 工兵局
'gong'bing'lian 工兵连
'gong'bing'qiao 工兵锹
'gong'bing'si'ling'bu 工兵司令部
'gong'bing'xue'xiao 工兵学校
'gong'bing'ying 工兵营
'gong'chan'dang'yuan 共产党员
'gong'chang'sheng'chan 工厂生产
'gong'cheng'bao'zhang 工程保障
'gong'cheng'bao'zhang'ji'hua 工程保障计划
'gong'cheng'bao'zhang'zhi'shi 工程保障指示
'gong'cheng'bing 工程兵
'gong'cheng'bing'bu 工程兵部
'gong'cheng'bing'chen'lie'guan 工程兵陈列馆
'gong'cheng'bing'ju 工程兵局
'gong'cheng'bing'si'ling'bu 工程兵司令部
'gong'cheng'bing'xian'dai'hua 工程兵现代化
'gong'cheng'bing'yu'bei'dui 工程兵预备队
'gong'cheng'bing'zhan'dou'li 工程兵战斗力
'gong'cheng'bing'zhan'shu 工程兵战术
'gong'cheng'bing'zhan'shu'xue 工程兵战术学
'gong'cheng'chuan 工程船
'gong'cheng'cuo'shi 工程措施
'gong'cheng'da'yuan 攻城打援
'gong'cheng'gou'zhu 工程构筑
'gong'cheng'guan'cha'shao 工程观察哨
'gong'cheng'ji'ju 工程机具
'gong'cheng'ji'xie 工程机械
'gong'cheng'ji'xie'guan'li 工程机械管理
'gong'cheng'ji'xie'zai'yun 工程机械载运
'gong'cheng'jue'xin 工程决心
'gong'cheng'kan'cha 工程勘察
'gong'cheng'liang 工程量
'gong'cheng'qi'cai 工程器材
'gong'cheng'she'shi 工程设施
'gong'cheng'wei'hu'bu'dui 工程维护部队
'gong'cheng'wei'hu'zong'dui 工程维护总队
'gong'cheng'wei'zhuang 工程伪装
'gong'cheng'xing'xiang'jin'du 工程形象进度
'gong'cheng'ze'li'qu 攻城则力屈
'gong'cheng'zhan'yi 攻城战役
'gong'cheng'zhang'ai'wu 工程障碍物
'gong'cheng'zhen'cha 工程侦察
'gong'cheng'zhen'cha'che 工程侦察车
'gong'cheng'zhen'cha'qun 工程侦察群
'gong'cheng'zhen'cha'zu 工程侦察组
'gong'cheng'zhi'fa 攻城之法
'gong'cheng'zhuang'bei 工程装备
'gong'cheng'zhuang'bei'guan'li 工程装备管理
'gong'cheng'zuo'ye 工程作业
'gong'di'bi'jiu 攻敌必救
'gong'gai'bing 工改兵
'gong'gong'jiao'tong'gong'ju 公共交通工具
'gong'gu'bu'dui 巩固部队
'gong'gu'tu'po'kou 巩固突破口
'gong'gu'zhen'di 巩固阵地
'gong'hai 公海
'gong'han 公函
'gong'ji'bo 攻击波
'gong'ji'chu'fa'zhen'wei 攻击出发阵位
'gong'ji'qian'jin 攻击前进
'gong'ji'qu 攻击区
'gong'ji'sheng'na 攻击声纳
'gong'ji'xing'qian'ting 攻击型潜艇
'gong'jia'zhi'fei 公家之费
'gong'jian 攻歼
'gong'jian'bao'po 攻坚爆破
'gong'jian'bao'po'qi'cai 攻坚爆破器材
'gong'jian'qi'cai 攻坚器材
'gong'jian'zhan 攻坚战
'gong'jiang 工匠
'gong'jue'ji'hu'wei'jian 公爵级护卫舰
'gong'kai'dong'yuan 公开动员
'gong'kai'gong'zheng 公开公正
'gong'kai'jing'zheng 公开竞争
'gong'li'mei'xiao'shi 公里每小时
'gong'li'wang 公里网
'gong'lu'bian'qiao 公路便桥
'gong'lu'du'kou 公路渡口
'gong'lu'yang'hu 公路养护
'gong'lu'yun'shu 公路运输
'gong'qi'bu'bei 攻其不备
'gong'qi'wu'bei 攻其无备
'gong'qi'zhong'jian 攻其中坚
'gong'qian 攻潜
'gong'qing'tuan'yuan 共青团员
'gong'shi 工事
'gong'shi 弓矢
'gong'shi 攻势
'gong'shi'fang'hu'deng'ji 工事防护等级
'gong'shi'fang'hua'she'shi 工事防化设施
'gong'shi'gou'jian 工事构件
'gong'shi'gou'zhu 工事构筑
'gong'shi'kang'li 工事抗力
'gong'shi'kang'li'deng'ji 工事抗力等级
'gong'shi'pei'zhi'yao'tu 工事配置要图
'gong'shi'shui'lei 攻势水雷
'gong'shui 供水
'gong'shui'biao'zhun 供水标准
'gong'shui'qin'wu'ban 供水勤务班
'gong'suan'pian'cha 公算偏差
'gong'tian'shu 宫天梳
'gong'tong'ke'mu 共同科目
'gong'tong'ke'mu'xun'lian 共同科目训练
'gong'tong'tiao'ling 共同条令
'gong'tong'yan'zhi 共同研制
'gong'tong'yan'zhi'yi'zhong 共同研制一种
'gong'xiao 工校
'gong'xue'zhan 供血站
'gong'yang 供氧
'gong'yang'she'bei 供氧设备
'gong'ye'dian'qi'gan'rao 工业电器干扰
'gong'ying'biao'zhun 供应标准
'gong'ying'guan'xi 供应关系
'gong'ying'huan'jie 供应环节
'gong'ying'shi'li 供应实力
'gong'ying'ti'zhi 供应体制
'gong'yong'she'shi 公用设施
'gong'ze'you'yu 攻则有余
'gong'zuo'dui 工作队
'gong'zuo'dui'xiang 工作对象
'gong'zuo'guan'jun 工作冠军
'gong'zuo'pin'lv 工作频率
'gong'zuo'shen'du 工作深度
'gong'zuo'shu'ju 工作数据
'gong'zuo'tu 工作图
'gou'gao 钩镐
'gou'jing'kan'xue 沟井坎穴
'gou'mai'ji'qi 购买机器
'gou'tong 沟通
'gou'zhu'gong'shi 构筑工事
'gou'zhu'guan'jing 构筑管井
'gou'zhu'ji'shui'zhan 构筑给水站
'gou'zhu'zhang'ai'wu 构筑障碍物
'gu'bing'gui'sheng 故兵贵胜
'gu'dai'bing'qi 古代兵器
'gu'dai'bing'qi'mao 古代兵器矛
'gu'dai'bing'qi'zhi'yi 古代兵器之一
'gu'dan'zuo'zhan 孤胆作战
'gu'di 谷地
'gu'ding'fa'she 固定发射
'gu'ding'fu'qiao 固定浮桥
'gu'ding'ji'yi 固定机翼
'gu'ding'ma'tou 固定码头
'gu'ding'miao'zhun'jing'zuo 固定瞄准镜座
'gu'ding'mu'biao 固定目标
'gu'ding'mu'biao'zhi'qin 固定目标执勤
'gu'ding'qi 固定器
'gu'ding'qiao'jiao 固定桥脚
'gu'ding'qiao'jiao'qiao 固定桥脚桥
'gu'ding'shi 固定式
'gu'ding'shu'you'guan'xian 固定输油管线
'gu'ding'yan'hu 固定掩护
'gu'ding'yi'fei'ji 固定翼飞机
'gu'ding'zhu'guan 固定贮罐
'gu'ding'zhuang'bei 固定装备
'gu'jing'zhi'yi'wu'shi 故经之以五事
'gu'jun'shen'ru 孤军深入
'gu'jun'shi'ke'zu'ye 故军食可足也
'gu'ke'zhi'wu 古柯植物
'gu'luo'ma'zhi'zheng'guan 古罗马执政官
'gu'mao'you 故矛有
'gu'qi'zhan'sheng'bu'tei 故其战胜不忒
'gu'sha'di'zhe 故杀敌者
'gu'shan'yong'bing'zhe 故善用兵者
'gu'shan'zhan'zhe 故善战者
'gu'shang'bing'fa'mou 故上兵伐谋
'gu'ti'dao'dan 固体导弹
'gu'ti'tui'jin'ji 固体推进剂
'gu'tian'hui'yi 古田会议
'gu'tian'hui'yi'jue'yi 古田会议决议
'gu'wu'chi'shi 故武吃氏
'gu'xiao'di'zhi'jian 故小敌之坚
'gu'xiao'zhi'yi'ji 故校之以计
'gu'ye 固液
'gu'ye'tui'jin'ji 固液推进剂
'gu'yong'bing'zhi'fa 故用兵之法
'gu'zhan 谷战
'gu'zhang'fen'xi 故障分析
'gu'zhi'bing'zhi'jiang 故知兵之将
'gu'zhi'sheng'you'wu 故知胜有五
'gua'dan 挂弹
'gua'lei 挂雷
'gua'zai 挂载
'gua'zhan 寡战
'guai'qiang 拐枪
'guai'tu'qiang 拐突枪
'guan'ai 关隘
'guan'bi'fa'dong'ji 关闭发动机
'guan'bing'hu'jiao 官兵互教
'guan'bing'yi'zhi 官兵一致
'guan'cha'di'duan 观察地段
'guan'cha'di'jing 观察地境
'guan'cha'gong'shi 观察工事
'guan'cha'jie 观察界
'guan'cha'jing 观察镜
'guan'cha'pei'xi 观察配系
'guan'cha'pei'xi'tu 观察配系图
'guan'cha'pei'xi'yao'tu 观察配系要图
'guan'cha'qi'cai 观察器材
'guan'cha'qin'wu 观察勤务
'guan'cha'ren'wu 观察任务
'guan'cha'shao 观察哨
'guan'cha'she'bei 观察设备
'guan'cha'si'jiao 观察死角
'guan'cha'suo 观察所
'guan'cha'suo'zhen'cha 观察所侦察
'guan'cha'tong'xin'zhan 观察通信站
'guan'cha'yao'tu 观察要图
'guan'cha'yuan 观察员
'guan'cha'zha'dian 观察炸点
'guan'chuan'li 贯穿力
'guan'dao'dian'lan'xian'lu 管道电缆线路
'guan'dong'jun 关东军
'guan'du'zhi'zhan 官渡之战
'guan'fang 关防
'guan'jian'chang 关兼常
'guan'jian'chang'shi'ban'yu 关兼常石斑鱼
'guan'jian'ci 关键词
'guan'jiao'bing 官教兵
'guan'kan'bi'sai 观看比赛
'guan'miao'xi'tong 观瞄系统
'guan'mo'jiao'xue 观摩教学
'guan'pao'tong'xin 观炮通信
'guan'ta'na'mo 关塔那摩
'guan'ta'na'mo'ji'di 关塔那摩基地
'guan'ta'na'mo'jian'yu 关塔那摩监狱
'guan'tian'pei 关天培
'guan'tong'fen'dui 观通分队
'guan'tong'zhan 观通站
'guan'xian'bu'dui 管线部队
'guan'xian'jia'you 管线加油
'guan'xing'dao'hang 惯性导航
'guan'xing'jia'lei'da 惯性加雷达
'guan'xing'yin'xin 惯性引信
'guan'xing'zhi'dao 惯性制导
'guan'yuan'shuo 官员说
'guan'zhuang'you'liao 罐装油料
'guang'chong'liang 光冲量
'guang'dao'xian'wei 光导纤维
'guang'dian'ce'ju'yi 光电测距仪
'guang'dian'dui'kang 光电对抗
'guang'dian'xiao'ying'qi 光电效应器
'guang'fan'you'ji 广泛游击
'guang'fu'she 光辐射
'guang'fu'she'shao'shang 光辐射烧伤
'guang'mian'bao'po 光面爆破
'guang'qi 光气
'guang'rong'ji'xun'yang'jian 光荣级巡洋舰
'guang'se'xin'hao 光色信号
'guang'xia 广狭
'guang'xian 光纤
'guang'xian'fa 光线法
'guang'xian'tong'xin 光纤通信
'guang'xue'bao'lu'zheng'hou 光学暴露征候
'guang'xue'gan'rao 光学干扰
