'ai'ai'duan'hang'yan 哀哀断行雁
'fan'pu'gua'mu'yan 帆蒲挂暮烟
'fan'ran'yong'qi'feng 幡然用其锋
'fang'jin'zun'qian'qian'li'mu 放尽樽前千里目
'fang'mu'yi'po'qie 放目意颇惬
'fang'qi'bu'gan'yuan 放弃不敢怨
'fang'san'jin'xiao'gu'chui'sheng 放散今宵鼓吹声
'fang'shao'chu'jian'ye'li'li 放梢初见叶离离
'fang'weng'bai'shou'gui'shan'qu 放翁白首归剡曲
'fang'weng'lao'si'he'zu'lun 放翁老死何足论
'fang'weng'xi'lan'shui'yun'xiang 放翁系缆水云乡
'fang'wo'xi'jiu'shi 方我吸酒时
'fang'zhi'dao 方知道
'fang'zhu'shang'fei'yu'zi'bi 放逐尚非余子比
'fei'cheng'shuang'lu'shi'jing'zhen 废城霜露湿荆榛
'fei'gan'sheng'cui'wei 肺肝生崔嵬
'fei'hua'jin'zhu'wu'geng'feng 飞花尽逐五更风
'fei'wei'wo'lao 非惟我老
'fen'fen'shi'tai'dan'kan'bei 纷纷世态但堪悲
'fen'ge'zhi'qian'hu'ren'li 奋戈直前虎人立
'fen'yang'hui'shou'yi'cheng'chi 汾阳回首亦成痴
'feng'he'jian'jian'diao'gong'li 风和渐减雕弓力
'feng'hou'shi'zai 封侯事在
'feng'huo'zhao'gao'tai 烽火照高台
'feng'juan'jiang'hu'yu'an'cun 风卷江湖雨暗村
'feng'lai'ruo'liu'yao'guan'lv 风来弱柳摇官绿
'feng'lou'chang'ji'dang'nian'yu 凤楼常记当年语
'feng'nian'liu'ke'zu'ji'tun 丰年留客足鸡豚
'feng'nuan'shi'lou'chui'xu'xue 风暖市楼吹絮雪
'feng'qiu'wei'mian'bei 逢秋未免悲
'feng'ru'song'shi'nian'qiu'ma'jin'jiang'bin 风入松十年裘马锦江滨
'feng'su'ling'yi'ri'ke'lian 风俗陵夷日可怜
'feng'xi'tian'jing'ping 风息天镜平
'feng'yue'wei'xu'qing'gan'kai 风月未须轻感慨
'feng'yue'ying'lian'gan'kai'fei 风月应怜感慨非
'feng'yue'yun'yan'chu'chu'liu 风月云烟处处留
'feng'yun'ru'huai'tian'jie'li 风云入怀天借力
'feng'yun'zhi'hui'li'ke'cheng 风云之会立可乘
'fu'bo'gu'miao'zhan'hao'feng 伏波古庙占好风
'fu'gui'kua'ren'si'ji'xiu 富贵夸人死即休
'fu'han'bian'chi'xian'ting'chi 赋歛鞭笞县庭赤
'fu'huo'cai'xu'yu 附火财须臾
'fu'jin'li'zhang'bei'cheng'tou 幅巾藜杖北城头
'fu'lao'shang'niu'jiu 父老上牛酒
'fu'li'jin'ke'shi'ye'sou 扶犁近可师野叟
'fu'mao'chui'tuo'ye 拂帽吹脱叶
'fu'mu'wei'ta'men 父母为它门
'fu'mu'zhong'lian'zhou'shao'zhu 复幕重帘昼烧烛
'fu'ru'zheng'guan'chu 复如正观初
'fu'shang'hao'li'duo'hou'ji 富商豪吏多厚积
'fu'sheng'wu'gen'zhu 浮生无根株
'fu'shi'lei'ling'luo 抚事泪零落
'fu'shuai'ye'geng'sang 扶衰业耕桑
'fu'si'chi'yi'wei'zhu'jiu 腹似鸱夷惟贮酒
'fu'yang'sui'cheng'xi 俯仰遂成昔
'fu'yang'wu'duo'kui 俯仰无多愧
'fu'you'da'jiu'zhou 复有大九州
'fu'yu'gao'tang'san'zhang'bi 付与高堂三丈壁
'fu'yuan'wan'li'song'qian'kun 幅员万里宋乾坤
'fu'yun'zheng'er'kai 浮云正尔开
'fu'zhan'cao'jun'shu 覆毡草军书
'fu'zhen'bei'ge'xing'wei'qiong 抚枕悲歌兴未穷
'gan'ci'wo'xin'ce 感此我心恻
'gan'dan'you'lun'qun 肝胆犹轮囷
'gan'fen 感愤
'gan'ju'shen'zhou'qie'ming'hao 敢据神州窃名号
'gan'kai'que'chou'shang'zhuang'zhi 感慨却愁伤壮志
'gan'wang'guo'shi'feng 敢忘国士风
'gan'xing'er'shou 感兴二首
'gan'yi'huai'en'ru'xie'kuang 感义怀恩如挟纩
'gang'luan'ji'mu'han'shan'chuan 冈峦极目汉山川
'gao'biao'yi'yun'jun'zhi'fou 高标逸韵君知否
'gao'cheng'duan'chu'ge'heng'kong 高城断处阁横空
'gao'di'wang'shu'han 高帝王蜀汉
'gao'di'wei'tong'liu 告籴未通流
'gao'huang'shi'jian'shi'wei'fen 高皇试剑石为分
'gao'jing'piao'miao'yan'yu'zhang 高旌缥缈严玉帐
'gao'tai'dang'ri'du'he'shu 高台当日读何书
'gao'wo'ting'yan'yu 高卧听檐雨
'gao'yin'jin'shi'lie 高吟金石裂
'gao'zhen'chuang'bian'ting'yu'mian 高枕窗边听雨眠
'ge'chuan'po'lang'fei 戈船破浪飞
'ge'jiang'bian'shi'qu'yuan'ci 隔江便是屈原祠
'ge'li'quan'fei'kui'ren'guo 隔篱犬吠窥人过
'ge'lou'wu'xie'gao'ru'yun 歌楼舞榭高入云
'ge'wu'cheng'shang'tian'zhi'chi 歌舞称觞天咫尺
'geng'bei'wen'zi'yu'nian'shuai 更悲文字与年衰
'geng'bi'xian'shan'wu'zhan'bei 更比岘山无湛辈
'geng'chou'xing'ke'qi'zhong'shu 耕畴幸可期中熟
'geng'geng'gu'zhong'bu'zi'sheng 耿耿孤忠不自胜
'geng'hu'dou'jiu'zuo'chang'ge 更呼斗酒作长歌
'geng'jia'wan'li'feng 更驾万里风
'geng'kan'lin'shui'deng'shan'chu 更堪临水登山处
'geng'kan'wan'li'wang'wu'jing 更堪万里望吴京
'geng'ni'cao'zou'qi'dong'feng 更拟草奏祈东封
'geng'shi'bei'ping'qiu 更试北平秋
'geng'wang'qi'shi'he'qi'chi 更望七十何其痴
'geng'wei'ming'huang'can'su'mai 更畏螟蝗残宿麦
'geng'xi'ji'xin'wu'fu'zai 更喜机心无复在
'geng'xie'can'shu'du 更挟残书读
'geng'yi'bu'xu'quan 耕亦不须劝
'geng'you'ren'pin 更有人贫
'geng'yu'ju'qi'xiang'dong'qu 更欲鉏畦向东去
'geng'zhu'feng'he'yu 更著风和雨
'geng'zi'zheng'yue'shi'ba'ri'song'mei 庚子正月十八日送梅
'gong'bu'gua'qing'shi 功不挂清史
'gong'dao'su'chi'qu 弓刀肃驰驱
'gong'fu'gua'zao'hua 工夫刮造化
'gong'geng'ben'shi'ying'xiong'shi 躬耕本是英雄事
'gong'gui'dui'yan'ying 公归对延英
'gong'gui'shang'qian'mian'shu'ce 公归上前勉书策
'gong'ming'bu'qian'si'ren'le 功名不遣斯人了
'gong'ming'bu'xin'you'tian 功名不信由天
'gong'qiang'chun'cao'ji'fan'sheng 宫墙春草几番生
'gong'qing'que'zi'zhong 公卿阙自重
'gong'qing'you'dang'pai'zong'ze 公卿有党排宗泽
'gong'shi'qi'zhi'shang 公诗岂纸上
'gong'shi'sheng'chun'wu 宫室生春芜
'gong'shi'xin'hao'wei 公诗信豪伟
'gong'xing'hu'zhi'liu 公行胡滞留
'gou'shui'chuan'li'qu'zhe'tong 沟水穿篱曲折通
'gu'chen'bai'shou'kun'xi'nan 孤臣白首困西南
'gu'chen'geng'geng'du'si'you 孤臣耿耿独私忧
'gu'chen'lao'bao'you'shi'yi 孤臣老抱忧时意
'gu'chen'mei'si'yu'zi'jian 孤臣昧死欲自荐
'gu'chen'wan'li'ke'jiang'gan 孤臣万里客江干
'gu'deng'geng'shuang'xi 孤灯耿霜夕
'gu'di'bu'lao'chuan'xi'xia 故地不劳传檄下
'gu'du'jiu'miao'chen'gan'wang 故都九庙臣敢忘
'gu'er'gua'fu'chou'bu'bao 孤儿寡妇雠不报
'gu'fu'ji'rang'xiang'cong'xi 鼓腹击壤相从嬉
'gu'guo'ji'tun'she 故国鸡豚社
'gu'he'gui'fei 孤鹤归飞
'gu'he'ru'qiu'pian'jing'lu 孤鹤入秋偏警露
'gu'jian'chuang'tou'keng'you'sheng 孤剑床头铿有声
'gu'ke'le 估客乐
'gu'lai'gong'yi'si 古来共一死
'gu'lai'li'li'xing'wang'chu 古来历历兴亡处
'gu'lai'mo'mie'zhi'ji'ren 古来磨灭知几人
'gu'lao'neng'yan'dang'ri'shi 故老能言当日事
'gu'li'he'wei'han'ru'xi 股栗何为汗如洗
'gu'lu'bang'bei'ze 古路傍陂泽
'gu'ren'bu'jian'mu'yun'he 故人不见暮云合
'gu'ren'chang'wei'si'wei'gui 古人尝谓死为归
'gu'ren'qi'wo'yu'hua'lou 故人期我玉华楼
'gu'ren'suo'huai'he'lei'luo 古人所怀何磊落
'gu'ren'xue'wen'wu'yi'li 古人学问无遗力
'gu'ren'yi'si'xin'ze'zai 古人已死心则在
'gu'se'shao'bu'yi 姑色少不怡
'gu'shan'you'zi'bu'kan'ting 故山犹自不堪听
'gu'sheng'zhuo'liao'shi 孤生拙料事
'gu'ying'wu'ke'kou'wu'men 固应无客叩吾门
'gu'yue'gua'shuai'liu 孤月挂衰柳
'gu'yun'liang'jiao'bu'ke'xing 孤云两角不可行
'gu'zhe'yang'min'ru'yang'er 古者养民如养儿
'gu'zhen'you'shi'ying'huan'meng 孤枕有时莺唤梦
'gu'zhong'qi'zi'jie 孤忠祇自嗟
'gua'guan'yi'shi'er 挂冠易事尔
'guan'chang'an'cheng'tu 观长安城图
'guan'da'san'guan'tu'you'gan 观大散关图有感
'guan'fu'he'shi'yi'zhan'shou 关辅何时一战收
'guan'fu'you'kong'xu 关辅尤空虚
'guan'ge'shi'yi'jiu 管葛逝已久
'guan'he'ke'shi'cheng'nan'bei 关河可使成南北
'guan'he'meng'duan'he'chu 关河梦断何处
'guan'he'ru'zhi'gu 关河入指顾
'guan'liu'an'zhi'chun 关柳暗知春
'guan'shan'yue 关山月
'guan'shen'fu'jian'shu 官身缚简书
'guan'xian'chang'zhou'mian 官闲常昼眠
'guan'xian'wo'yu'pin'lai'ci 官闲我欲频来此
'guan'yuan 灌园
'guang'ling'san'jue'hai'kan'xi 广陵散绝还堪惜
'gui'ci'han'zhong'jing'shang 归次汉中境上
'gui'lai'san'jian'gu'shan'qiu 归来三见故山秋
'gui'lao'ning'wu'wu'mu'yuan 归老宁无五亩园
'gui'meng'ji'wu'qiang 归梦寄吴樯
'gui'shi'xin'yue'jin'heng'tang 归时新月浸横塘
'guo'jia'duo'shi'min'li'kun 国家多事民力困
'guo'jia'si'ji'shi'zhong'yuan 国家四纪失中原
'guo'jia'wei'fa'du'liao'shi 国家未发度辽师
'guo'jia'zi'cong'shi'he'bei 国家自从失河北
'guo'jin'mei'hua'ba'jiu'xi 过尽梅花把酒稀
'guo'ling'shi'san'feng'er'shou'xuan'yi'shou 过灵石三峰二首选一首
'guo'ma'ge'xin'kong'xu'guo 裹马革心空许国
'guo'shi'zi'hui'piao'ling'qu 过时自会飘零去
'guo'xi'fan'xi'huai'qiao'wei 过溪翻喜坏桥危
'guo'ye'ren'jia'you'gan 过野人家有感
'hai'chao'ci'duan'yi'xian'ji 还朝此段宜先及
'hai'dong'xiao'hu'gu'fu'mao 海东小胡辜覆冒
'hai'jiao'tian'ya'xing'lue'jin 海角天涯行略尽
'hai'tang 海棠
'hai'tang'yi'guo'bu'cheng'chun 海棠已过不成春
'hai'xu'shi'jia'geng'dao'bu 还许诗家更道不
'han'gong'chun'chu'zi'nan'zheng'lai'cheng'du'zuo 汉宫春初自南郑来成都作
'han'gu'feng'wan'ni 函谷封丸泥
'han'hua'you'chuan'die 寒花有穿蝶
'han'jia'shan'shui'bang 汉嘉山水邦
'han'qin'duan'he'ke'chou'sheng 寒侵短褐客愁生
'han'shui'tao'tao'ri'dong'qu 汉水滔滔日东去
'han'yan'jun'zhong'ye'lian'ri 酣宴军中夜连日
'han'yan'wu'cheng'shi'er'lou 酣宴五城十二楼
'hang'hai'ti'shan'you'dao'shi 航海梯山有到时
'hao'ge'jing'shi'su 浩歌惊世俗
'hao'ge'jun'he'wo 浩歌君和我
'hao'ge'xu'chu'kuang 浩歌续楚狂
'hao'hua'ru'gu'ren 好花如故人
'hao'jie'shui'kan'gong'si'sheng 豪杰谁堪共死生
'hao'nu'han'wei'die 号怒撼危堞
'hao'yi'chang'xian'tian'xia'you 好义常先天下忧
'he'bei'sui'wei'xia 河北虽未下
'he'chang'qiong'zhi'fa'xing'xin 鹤氅筇枝发兴新
'he'chu'bi'bi'yi 何处避毕弋
'he'chu'guan'shen 何处关身
'he'dang'gu'chui'du'he'jin 何当鼓吹渡河津
'he'dang'hu'qing'luan 何当呼青鸾
'he'dang'le'ming'ji'bei'fa 何当勒铭纪北伐
'he'dang'sao'xian'yan 何当扫纤艳
'he'dang'shou'zhao'chu 何当受诏出
'he'dang'yong'huang'qi 何当拥黄旗
'he'fa'wu'yu'zhen 鹤发无余鬒
'he'fang'ke'hua'shen'qian'yi 何方可化身千亿
'he'ge'chang'ji'zhuang'you'shi 荷戈常记壮游时
'he'kuang'tuo'jin'lin 何况托近邻
'he'lei'xia'jing'yang 和泪下荆扬
'he'nan'nan'yang'yi'ke'wen 河南南阳亦可问
'he'neng'bi'feng'shuang 何能避风霜
'he'qin'zi'gu'fei'chang'ce 和亲自古非长策
'he'rong'zhao'xia'shi'wu'nian 和戎诏下十五年
'he'rong'zhuang'shi'fei 和戎壮士废
'he'shi'bu'jian'nan 何适不艰难
'he'shi'fu'guan'zhong 何时复关中
'he'shi'piao'yao'shi 何时嫖姚师
'he'shi'ye'chu'wu'yuan'sai 何时夜出五原塞
'he'shi'you'zuo'nan'lai 何事又作南来
'he'xu'geng 何须更
'he'you'xue'fan'yuan 何由雪烦冤
'he'zhi'er'ji'ji 何至尔寂寂
'he'zhi'xin'ji'tun 何至歆鸡豚
'hei'diao'shi'nian'bi 黑貂十年弊
'hen'bu'mei'xiong'fan 恨不美熊蹯
'hen'bu'yi'ci'lao 恨不以此劳
'hen'bu'zao'qi'wei 恨不造其微
'hen'gong'wu'shou'ru'jin'shi 恨公无寿如金石
'hen'nan'wang 恨难忘
'hen'wu'zhuang'shi'wan'dou'bing 恨无壮士挽斗柄
'heng'chen'jin'zhang'lan'gan'wai 横陈锦障阑干外
'heng'ge'shang'ma'jie'xin'zai 横戈上马嗟心在
'heng'liu'shi'jing'kang 横流始靖康
'heng'shuo'fu'shi'fei'fu'xi 横槊赋诗非复昔
'hong'gan'qiu'yue'gou 虹竿秋月钩
'hong'su'shou 红酥手
'hong'xing'han'wei'chai 红杏寒未拆
'hou'lie'cang'ya'xue'ru'zhu 吼裂苍崖血如注
'hou'shi'dan'zuo'shi'ren'kan 后世但作诗人看
'hu'bi'lao'chen'shen'wan'li 扈跸老臣身万里
'hu'chen'an'he'luo 胡尘暗河洛
'hu'chuang'kan'she'ji'chun'qing 胡床看射及春晴
'hu'cun'yue'xi'si'shou'xuan'yi'shou 湖村月夕四首选一首
'hu'er'xia'diao'tong 呼儿下钓筒
'hu'ji'heng'ge'pan'ma'chu 忽记横戈盘马处
'hu'lai'ji'song'si 胡来即送死
'hu'lang'sui'meng'na'sheng'de 虎狼虽猛那胜德
'hu'mao'diao'qiu'bu'pa'han 狐帽貂裘不怕寒
'hu'ran'hui'sao'bu'zi'zhi 忽然挥扫不自知
'hu'si'da'san'guan'tou'lu 忽思大散关头路
'hu'tu'he'zu'lie 狐兔何足猎
'hu'wei'mie 胡未灭
'hu'wei'ming'bu'ping 胡为鸣不平
'hu'wu'ren 胡无人
'hu'xing'ru'gui'nan'zhi'hai 胡行如鬼南至海
'hu'ying'xiao'lie'xin'shuang'hou 呼鹰小猎新霜後
'hu'ying'xue'an'tian'hui'lu 呼鹰雪闇天回路
'hua'cu'cheng'li'zha 花簇赬鲤鮓
'hua'deng'zong'bo'sheng'man'lou 华灯纵博声满楼
'hua'fa'cang'yan'xiu'zi'zhao 华发苍颜羞自照
'hua'jiao'bei'zhuang'chuan'shuang'feng 画角悲壮传霜风
'hua'ling'yan 画凌烟
'hua'luo'hu'jing'chun'shi'wan 花落忽惊春事晚
'hua'qi'fu'fang'run 花气浮芳润
'hua'shan'fu'shui'ben'xian'ren 华山敷水本闲人
'hua'shi'bian'you'zhu'jia'yuan'shi'shou'xuan'er'shou 花时遍游诸家园十首选二首
'hua'shi'wan'ren'le'chu 花时万人乐处
'hua'tang'le'yin'zi'you'shi 华堂乐饮自有时
'hua'xu'shi'zhi'guo 华胥氏之国
'hua'yin'sao'di'zhi'qing'zun 花阴扫地置清尊
'hua'zhong'qi'jie'zui'gao'jian 花中气节最高坚
'hua'zhu'ru'chuan'wei'fa'hui 画烛如椽为发辉
'huan'hua'nv 浣花女
'huan'jia'sao'bei'chuang 还家扫北窗
'huan'jin'jiu'ren 换尽旧人
'huan'qing'bo 欢情薄
'huan'xiang'wen'xun'ling'ren'bei 还乡问讯令人悲
'huan'yan'zhuo'qin'you 欢言酌亲友
'huan'you'suo'de'zhen'ji'he 宦游所得真几何
'huang'du'chi'chi'xing'ping'chou 黄犊叱叱行平畴
'huang'fei'gan'quan'duo'gu'ren 黄扉甘泉多故人
'huang'he'chu'kun'lun 黄河出昆仑
'huang'he'yu'han'gu 黄河与函谷
'huang'huang'dong'guan'shu 煌煌东观书
'huang'huang'yi'zu'zhong'tian'ye 煌煌艺祖中天业
'huang'huang'zu'zong'ye 煌煌祖宗业
'huang'jin'cuo'dao'bai'yu'zhuang 黄金错刀白玉装
'huang'liang'hei'shu'shen'zi'chong 黄粱黑黍身自舂
'huang'lin'xiao'du'xiao 荒林枭独啸
'huang'qi'kong'xiang'du'he'jin 黄旗空想渡河津
'huang'shi'chong'he'tang 黄氏冲和堂
'huang'teng'jiu 黄縢酒
'huang'tian'zhen'nu'zei'de'chang 皇天震怒贼得长
'huang'ye'yi'cheng'dui 黄叶已成堆
'huang'zhou 黄州
'hui'dang'che'zai'jin'qian'qu 会当车载金钱去
'hui'dang'fan'tai'shi 会当烦太史
'hui'kan'ai'jiu'zhou 回看隘九州
'hui'kan'jin'gu'cong'tian'xia 会看金鼓从天下
'hui'shou'chang'an'cheng 回首长安城
'hui'shou'gong'ming'yi'meng'zhong 回首功名一梦中
'hui'shou'qiu'feng'mei'duan'chang 回首秋风每断肠
'hui'shou'san'zui'fa 挥手散醉发
'hui'shou'xie'guo'ren 挥手谢国人
'hui'tou'yi'shi'rang'xi'shi 回头已失瀼西市
'hun'hun'sha'qi'qiu'deng'long 昏昏杀气秋登陇
'hun'ru'shang'xue'shi 浑如上学时
'huo'qian'shu'gui'xin 获谴输鬼薪
'huo'qu'er'san'ce 或取二三策
'huo'xie'duan'jian'yin'hong'chen 或携短剑隐红尘
'ji'bing'shi'shi'xu'yao'wu 疾病时时须药物
'ji'chu'jin'xiao'chui'lei'hen 几处今宵垂泪痕
'ji'fen'ping'shui'huo 积愤凭谁豁
'ji'feng'san'ri'heng'chui'yu 疾风三日横吹雨
'ji'feng'xin'gao'ling 寄奉新高令
'ji'gong'ke'ci'shi 计公客此时
'ji'hui'wu'shi'wu 机会无时无
'ji'jin'heng'shuo'shang'neng'shi 即今横槊尚能诗
'ji'jin'quan'shi'xue'gong'dian 即今犬豕穴宫殿
'ji'jin'shuai'bing'wo'zai'chuang 即今衰病卧在床
'ji'ke'chui'chui'lao 羁客垂垂老
'ji'men'ba'shang'wu'er'xi 棘门灞上勿儿戏
'ji'min'bei'sheng'guang 籍民备胜广
'ji'ming'he'yu'ren 鸡鸣何预人
'ji'mo'heng'men'shu'man'wu 寂寞衡门书满屋
'ji'mo'kai'wu'zhu 寂寞开无主
'ji'nian'li'suo 几年离索
'ji'qu'jiang'hu'bo'chuan'chu 记取江湖泊船处
'ji'shan'nong 稽山农
'ji'shang'you'yu'bu 机上有馀布
'ji'sui'zhong'yuan'xiao'xi'duan 几岁中原消息断
'ji'ti'zhu'yuan'hui'wu'yi'jing'she'wu'shou'xuan'yi'shou 寄题朱元晦武夷精舍五首选一首
'ji'xue'da'chuang'wen'su'su 急雪打窗闻簌簌
'ji'xue'da'chuang'xin'gong'sui 急雪打窗心共碎
'ji'ye'gao'guan'mo'wu'dong 岌嶪高冠摩屋栋
'ji'yu'reng'chou'mai'bu'zhi 积雨仍愁麦不支
'ji'zhi'xi'fei'he 寄之西飞翮
'ji'zhu'yuan'hui'ti'ju 寄朱元晦提举
'ji'zhuang'he'you'chuan'ku'zhe 急装何由穿裤褶
'jia'gu'ru'fen'bai'cao'qing 嘉谷如焚稗草青
'jia'pin'cheng'zhu'guo'xiong'nian 家贫撑拄过凶年
'jia'pin'qi'wei'nei 家贫气未馁
'jia'qian'liu'jun'cuo'jin'xiu 驾前六军错锦锈
'jia'shan'wan'li'meng'yi'xi 家山万里梦依稀
'jia'zhu'cang'yan'luo'zhao'jian 家住苍烟落照间
'jia'zhu'dong'wu'jin'di'xiang 家住东吴近帝乡
'jia'zhu'shan'mao'wu'shu'chuan 架竹苫茅屋数椽
'jian'bi'long'she'zou 健笔龙蛇走
'jian'bian'qian'zai'pan'you'you 简编千载判悠悠
'jian'cai'miao'chu'fei'dao'chi 翦裁妙处非刀尺
'jian'fei'yan'qi'lian'yun'hei 箭飞雁起连云黑
'jian'guan'he'zou'dang'cuan'ji 谏官劾奏当窜殛
'jian'ji'zhi'yu'fu'ku'jiu'yu'gan'tan'you'zuo 洊饥之余复苦久雨感叹有作
'jian'ma'jiao'ku'qi 健马嚼枯萁
'jian'men'dao'zhong'yu'wei'yu 剑门道中遇微雨
'jian'men'guan 剑门关
'jian'men'tian'she'xian 剑门天设险
'jian'wo'jiao'ta'bi 坚卧脚踏壁
'jian'yi'jian'fei'zhi 建议贱非职
'jiang'bei'yan'chen'hun 江北烟尘昏
'jiang'bian'gu'miao'suo'zhu'fei 江边古庙锁朱扉
'jiang'cun 江村
'jiang'cun'lian'ye'you'fei'shuang 江村连夜有飞霜
'jiang'hai'qing'zhou'jin'yi'ju 江海轻舟今已具
'jiang'hu'chong'fu'feng'bo'e 江湖重复风波恶
'jiang'hu'cong'gu'zhu'ji'chen 江湖从古著羁臣
'jiang'hu'dao'liang'shao 江湖稻粱少
'jiang'hu'lang'ji'yi'sha'ou 江湖浪迹一沙鸥
'jiang'hu'shang 江湖上
'jiang'jun'bu'zhan'kong'lin'bian 将军不战空临边
'jiang'jun'li'shang'han'xue'ma 将军枥上汗血马
'jiang'jun'tan'shang'leng'yun'di 将军坛上冷云低
'jiang'jun'zhu'po'yong'huang'qi 将军驻坡拥黄旗
'jiang'liu'chu'di'bai'yan'dong 江流触地白盐动
'jiang'liu'cu'shan'shan'wei'dong 江流蹴山山为动
'jiang'lou'chui'di'yin'jiu'da'zui'zhong'zuo 江楼吹笛饮酒大醉中作
'jiang'pu'de'shuang'ao 江浦得霜螯
'jiang'shan'ru'xiong'zhong 江山入胸中
'jiang'shang'dui'jiu'zuo 江上对酒作
'jiang'shang'huang'cheng'yuan'niao'bei 江上荒城猿鸟悲
'jiang'sheng'bu'jin'ying'xiong'hen 江声不尽英雄恨
'jiang'sheng'han'wan'jia 江声撼万家
'jiang'tan'po'tuo'guo'qian'zai 将坛坡陀过千载
'jiang'tou'nv'er'shuang'ji'ya 江头女儿双髻丫
'jiang'tou'zuo'xue'xue'wei'cheng 江头作雪雪未成
'jiang'wo'gu'cun'bu'zi'ai 僵卧孤村不自哀
'jiao'chou'xin'ku'jin'tu'yi 校雠心苦谨涂乙
'jiao'jin'lao'zi'ye'qiong'zhi 角巾老子曳筇枝
'jiao'qin'ling'luo'ru'yun 交亲零落如云
'jiao'xing'de'you'kuang 郊行得幽旷
'jie'ci'da'yi'zhi'shui'dang 嗟此大议知谁当
'jie'de'qi'shu'qie'qin'du 借得奇书且勤读
'jie'gu'shou'yun'feng'yu'ji 羯鼓手匀风雨疾
'jie'hu'ping'chuan 截虎平川
'jie'qian'bai'ren'ming'ru'shuang 阶前白刃明如霜
'jie'tuo'shi'wen'sheng'su'su 解箨时闻声簌簌
'jie'wu'da'xiang'wu'shi'zhi 杰屋大像无时止
'jie'you'jin'hao'ying 结友尽豪英
'jie'yu'de'yi'duo 嗟予得已多
'jie'yu'xi'cong'rong 嗟余昔从戎
'jie'zuo'zhui'huang'chu 杰作追黄初
'jin'cheng'ceng'zui'liu'chong'yang 锦城曾醉六重阳
'jin'cuo'dao'xing 金错刀行
'jin'huang'shen'wu'shi'zhou'xuan 今皇神武是周宣
'jin'ji'yu'gong'bu'zhi'shu 锦机玉功不知数
'jin'jiang'chui'di'yu'yi'nian 锦江吹笛余一念
'jin'ke'rong'wu'chou 仅可容吾愁
'jin'li'xing'ke'mian 筋力幸可勉
'jin'nian'cheng'xing'que'dong'you 今年乘兴却东游
'jin'nian'cui'tui'zui'kan'xiao 今年摧颓最堪笑
'jin'nian'sui'mu'wu'feng'xue 今年岁暮无风雪
'jin'qi'zhong'yi'shi 劲气钟义士
'jin'ri'wo'fu'bei 今日我复悲
'jin'shu'nan'tuo 锦书难托
'jin'wen'suo'lu'zi'xiang'can 近闻索虏自相残
'jin'xi'hong'yun'jiu'zhan'zhong 尽吸红云酒醆中
'jin'ye'hu'bian'you'qi'shi 今夜湖边有奇事
'jin'yin'yin'zhu'an'liang'zhou 锦茵银烛按凉州
'jin'zhao'ling'luo'yi'ke'xi 今朝零落已可惜
'jin'zhao'mao'wu'di 今朝茅屋底
'jin'zhao'yi'sui'da'jia'tian 今朝一岁大家添
'jin'zhao'you'qi'shi 今朝有奇事
'jin'zhao'zui'yan'lan'yan'dian 今朝醉眼烂岩电
'jin'zun'cui'biao'you'neng'zui 金尊翠杓犹能醉
'jin'zuo'liang'jie'fei 今昨两皆非
'jing'can'gu'meng 惊残孤梦
'jing'chen'wei'xu'hua'zheng'yi 京尘未许化征衣
'jing'fei'ji'huo'ming'yu'yu 荆扉绩火明煜煜
'jing'hua'fu'lao'wang'he'luan 京华父老望和銮
'jing'hua'jie'jiao'jin'qi'shi 京华结交尽奇士
'jing'hui'meng'die'zui'chu'xing 惊回梦蝶醉初醒
'jing'li'zhu'yan 镜里朱颜
'jing'ling'tai'miao'wei'shen'zai 景灵太庙威神在
'jing'lun'zheng'fu'can'yi'chuan 经纶正复惭伊传
'jing'luo'xue'xiao'chun'you'dong 京洛雪消春又动
'jing'she'bai'ma'jin 径涉白马津
'jing'shu'qian'yi'lv 敬输千一虑
'jing'sui'ming 镜虽明
'jing'wu'yao'luo'gu'yuan'qiu 井梧摇落故园秋
'jing'xun'zhi'jiu'wo'kong'zhai 经旬止酒卧空斋
'jing'zhong'shuai'bin'yi'xian'ban 镜中衰鬓已先斑
'jing'zhong'wei'yong'tan'wu'shuai 镜中未用叹吾衰
'jing'zhou'ge 荆州歌
'jing'zhou'shi'yue'zao'mei'chun 荆州十月早梅春
'jiu'chong'lv'xia'ding'ning'zhao 九重屡下丁宁诏
'jiu'han'bo'sai'wei'huan'yu 酒酣博簺为欢娱
'jiu'huan'bao'dai'guang'zhao'di 九环宝带光照地
'jiu'lan'qi'chu'men 酒阑起出门
'jiu'ma'fei'si'gong'duan'xian 厩马肥死弓断弦
'jiu'mo'bei'feng'chui'ma'dao 九陌北风吹马倒
'jiu'qu'bai'wan'jia 九衢百万家
'jiu'shi'fu'chuang'tong'xi'er 旧时扶床同戏儿
'jiu'shi'mei'han'ge 酒市每酣歌
'jiu'shi'yi'wu'ren'gong'shuo 旧事已无人共说
'jiu'shu'nan'zheng'xu 久戍南郑墟
'jiu'sui'mei 酒虽美
'jiu'tu'wang'wang'cheng'shuai'weng 酒徒往往成衰翁
'jiu'wei'qi'gu'bi'dao'shuo 酒为旗鼓笔刀槊
'jiu'xing'ke'san'du'qi'ran 酒醒客散独凄然
'jiu'yi'nan'xun'miao'lian'luo 九疑难寻眇联络
'jiu'yi'pang'xing'fang'zhu'lu 九译旁行方著录
'jiu'yin'hong'chen 酒隐红尘
