'ai'cai'ci 爱菜词
'qi'qiao'lou'qian'qi'qiao'shi 乞巧楼前乞巧时
'qi'shu'yi'hen'zhi'zhen 绮疏遗恨之针
'qian'cheng'liang'xiu'huang'jin'lei 前程两袖黄金泪
'qian'chu'you'nian'hou'chu'lao 前除幼年后除老
'qian'dian'ti'hen 千点啼痕
'qian'gu'mang'mang'tu'yi'qiu 千古茫茫土一丘
'qian'hua'lang'ji'you'ci'chun 铅华狼籍又辞春
'qian'nang'gan'wei'jiu'bei'kong 钱囊甘为酒杯空
'qian'qian'shui 浅浅水
'qian'shan'zi'cui'cuan 千山紫翠攒
'qiang'qiu'bu'chu'fan'cheng'xiu 强求不出反成羞
'qin'er'yu'lang'mo'xia'yan 勤尔渔郎莫下罨
'qing'ba'shi'qing'xiang'xi'kan 请把世情详细看
'qing'cao'chi'tang'luan'huo'dong 青草池塘乱活东
'qing'feng'ji'shu'shao 清风集树梢
'qing'feng'man'bin'si 清风满鬓丝
'qing'jun'xi'dian'yan'qian'ren 请君细点眼前人
'qing'kou'shan'cha'lv'e'mei 磬口山茶绿萼梅
'qing'lang'jin'ye'ban'hua'mian 请郎今夜伴花眠
'qing'lei'lin'men'luo'bu'pao 清泪临门落布袍
'qing'ming'shi'jie'xie'yang'li 清明时节斜阳里
'qing'shan'bai'fa'lao'chi'wan 青山白发老痴顽
'qing'shan'hu'xiao'yan 青山护晓烟
'qing'yuan'zhi'tou'zuo'hua'xian 情愿枝头做花仙
'qing'yun'tai'dian'quan'sheng'ge 青云台殿泉声隔
'qiu'gao'mu'ying'shu 秋高木影疏
'qiu'lai'wan'shan'he'shou'cang 秋来纨扇合收藏
'qiu'shui'jie'tian'san'wan'qing 秋水接天三万顷
'qiu'yue'pan'xian'gui 秋月攀仙桂
'qiu'yue'rong'rong'zhao'fo'si 秋月溶溶照佛寺
'qu'ji'ru'ge'shi 阒寂如隔世
'qu'nian'hua'bing'yue'hun'shi 去年花病月昏时
'qu'nian'ren'bi'jin'nian'lao 去年人比今年老
'qu'qu'zhe'zhe'xiang'dong'liu 曲曲折折向东流
'qu'wu'xiu 去无休
'quan'fei'liao'liao'jing'ye'meng 犬吠嘹嘹惊夜梦
'quan'ren'bing'zhu'ye'you'lai 劝人秉烛夜游来
'quan'sheng'ming'ye'lu'gao'di 泉声鸣咽路高低
'quan'tou'zi'fu'zuo 泉头自趺坐
'que'luo'de'yan'zheng'zheng 却落得眼睁睁
'rao'shu'bai'hui'xin'yu'kou 绕树百回心语口
'rao'shu'kong'fan'xiu'ban'gou 绕树空烦绣半钩
'ren'ai'rou 人爱肉
'ren'ba'can'hong'sao'zuo'dui 忍把残红扫作堆
'ren'ming'cu 人命促
'ren'sheng'bu'xiang'hua'qian'zui 人生不向花前醉
'ren'sheng'ji'du'hua'he'yue 人生几度花和月
'ren'sheng'qi'shi'gu'lai'shao 人生七十古来少
'ren'shi'nan'liang'duo'ju'yu 人事难量多龃龉
'ren'wu'ci'wei'jiang'he'xing 人无此味将何行
'ren'yan'si'hou'hai'san'tiao 人言死后还三跳
'ri'ri'tao'hua'xiao'chun'feng 日日桃花笑春风
'ri'you'qun'ou'ban'ku'yin 日有群鸥伴苦吟
'ri'zhang'he'suo'shi 日长何所事
'rong'rong'wen'nuan'xiang'ji'ti 融融温暖香肌体
'rou'duo'bu'ru'xian'ren'fu 肉多不入贤人腹
'ru'ci'hao'hua'ru'ci'yue 如此好花如此月
'ru'he'xiao'de'ci'liang'chen 如何消得此良辰
'ru'jin'yan'se'hai'yi'jiu 如今颜色还依旧
'ruo'jiang'fu'gui'bi'pin'zhe 若将富贵比贫者
'ruo'jiang'pin'jian'bi'che'ma 若将贫贱比车马
'ruo'shi'hua'shi'miao'zuo'hua 若使画师描作画
'san'bei'hun'bai'jiu 三杯浑白酒
'san'ri'wu'yan'bu'jue'ji 三日无烟不觉饥
'san'xia'qiao'bian'lu'yu'mi 三峡桥边路欲迷
'shan'dian'tuo'chai'chu'huan'jiu 山佃驮柴出换酒
'shan'hui'shui'bao'du'wang 山回水抱独往
'shan'shan'ling'ling'nan'zu'liu 山山岭岭难阻留
'shan'shui'tu 山水图
'shan'ting'liao'luo'jie'ren'xi 山亭寥落接人稀
'shan'weng'ji'xing'yi'ran'zui 山翁既醒已然醉
'shang'chun'du'fu'bu'jin'chou 伤春杜甫不禁愁
'shang'wo'xiao'ting'zhong 上我小庭中
'shang'xin'le'shi'gong'shui'lun 赏心乐事共谁论
'shang'zhi'ci'wei'huo'li'zeng 商知此味货利增
'shao'deng'zuo'jin'qian'jin'ye 烧灯坐尽千金夜
'shao'nian'qu 少年去
'shao'nian'yi'lao'bu'chong'lai 少年易老不重来
'shen'cai'miao'tiao'lian'er'jun 身材苗条脸儿俊
'shen'hong'qian'bai'yi'shi'kai 深红浅白一时开
'shen'hou'bei'ming'tu'zi'hao 身后碑铭徒自好
'shen'lv'bin'mao'sui'shi'bai 深虑鬓毛随世白
'shen'yuan'qing'chun'kong'bai'suo 深院青春空白锁
'shen'yuan'ren'gui'yue'ban'hua 深院人归月伴花
'sheng'shi'shi'sheng'he'ri'le 生事事生何日了
'sheng'wei'ren'jie 生为人杰
'sheng'ya'hua'bi'jian'shi'bi 生涯画笔兼诗笔
'sheng'zai'yang'jian'you'san'chang 生在阳间有散场
'shi'chao'feng'yu'ruo'hun'mi 十朝风雨若昏迷
'shi'fei'man'ri'fen'fen'shi 是非满日纷纷事
'shi'fei'ru'er'jun'xu'ren 是非入耳君须忍
'shi'fu'zi'can'cheng'zuo'zhe 诗赋自惭称作者
'shi'jian'le'tu'shi'wu'zhong 世间乐土是吴中
'shi'ming'tu 事茗图
'shi'nian'you'shang'jing'xing'bian 十年游赏经行遍
'shi'ren'qian'duo'zhuan'bu'jin 世人钱多赚不尽
'shi'shang'ren'sheng'neng'ji'he 世上人生能几何
'shi'shang'xian'ren'di'shang'xian 世上闲人地上仙
'shi'shi'ru'zhou'gua'duan'peng 世事如舟挂短篷
'shi'zeng'ning'wang 诗赠宁王
'shi'zhi'ci'wei'shi'ye'cheng 士知此位事业成
'shi'zhong'sun'jia'jian'ru'ni 市中笋价贱如泥
'shou'e'zhu'shan'xiao'yuan'shen 兽额朱扇小院深
'shou'nong'hua'zhi'dui'yue'yin 手弄花枝对月吟
'shu'ben'zi'can'cheng'xue'zhe 书本自惭称学者
'shu'di'shen'hong'huan'qian'hong 树底深红换浅红
'shu'duo'qing'ying'jiao'yu'yu 数朵轻盈娇欲语
'shu'hua'shi'wen'zong'bu'gong 书画诗文总不工
'shu'zhen'nan'feng'you'bei'feng 数阵南风又北风
'shuai'yan'you'gai'jing'zhong'zhu 衰颜又改镜中朱
'shuang'lian'yan'zhi'kai'bei'di 双脸胭脂开北地
'shui'lai'mai'wo'hua'zhong'shan 谁来买我画中山
'shui'xin'yao'jian'mei'jiu'qian 谁信腰间没酒钱
'shuo'yu'qing'tian'ming'yue'zhi 说与青天明月知
'si'gui'di'fu'ye'he'fang 死归地府也何妨
'si'hai'wu'hu'jie'yi'wang 四海五湖皆一望
'si'qiu'xiang 思秋香
'si'yi'gui'xiong 死亦鬼雄
'si'yuan'fang'yan'zong'bu'tong 四远方言总不同
'song'luo'shen'jing'ji'mei'tai 松萝深径积莓苔
'song'yin'man'di'ning'kong'cui 松阴满地凝空翠
'su'xiao'di'tou'shi'qiao'shou 苏小堤头试翘首
'sui'jiu'ren'wu'qian'ri'hao 岁久人无千日好
'sui'mu'tian'han'wu'yi'shi 岁暮天寒无一事
'ta'dei'qu'chi'wo'de'xian 他得驱驰我得闲
'tai'xian'zuo'mao'yin'yu'chang 苔藓作毛因雨长
'tan'shi 叹世
'tan'shi'zhi'er 叹世之二
'tan'shi'zhi'yi 叹世之一
'tang'bo'hu'yu'zhu'zhi'shan'lian'ju'yong'qi'shi 唐伯虎与祝枝山联句咏奇石
'tang'shang'lai'yi'xian'shou'zhi 堂上莱衣献寿卮
'tang'shi'dong'jun'wen'yu'yan 倘是东君问鱼雁
'tao'hua'an'ge 桃花庵歌
'tao'hua'an'li'tao'hua'xian 桃花庵里桃花仙
'tao'hua'an'yu'xian'ji 桃花庵遇仙记
'tao'hua'gu'li'tao'hua'xian 桃花谷里桃花仙
'tao'hua'lang'nuan'jin'ceng'ceng 桃花浪暖锦层层
'tao'hua'mei'ren'shu'xia'mian 桃花美人树下眠
'tao'hua'ren'mian'fen'wai'hong 桃花人面分外红
'tao'hua'shu'xia'chu'xiang'feng 桃花树下初相逢
'tao'hua'wu'li'tao'hua'an 桃花坞里桃花庵
'tao'hua'xian'ren'zhong'tao'shu 桃花仙人种桃树
'tao'li'chun'feng'hao'fang'huai 桃李春风好放怀
'teng'luo'chuan'bi'ren'feng'qian 藤萝穿鼻任风牵
'ti'hua'nian'si'shou 题画廿四首
'ti'jin'ji'bao'xiao'tu'qi'san 题金鸡报晓图其三
'ti'ju'hua'tu 题菊花图
'ti'jue'cui'ren'zai'xi'bei 鹈鴃催人在洗杯
'ti'nian'hua'wei'xiao'tu 题拈花微笑图
'ti'qiu'feng'wan'shan'tu 题秋风纨扇图
'ti'wu'zi'xu'miao'bi 题伍子胥庙壁
'tian'jiang'hua'yue'fu'xian'shen 天将花月付闲身
'tian'kai'yue'jing'zhao'hua'yao 天开月镜照花妖
'tian'qi'wen'he'feng'yu'duo 天气温和风雨多
'tian'ran'xing'qu'nan'mo'xie 天然兴趣难摹写
'tian'shi'bu'ce'duo'feng'yu 天时不测多风雨
'tian'shi'ren'shi'liang'bu'qi 天时人事两不齐
'tian'ya'lai'lv'yan 天涯来旅雁
'tie'jian'dan'dao'yi 铁肩担道义
'ting'quan'ren'xi'jing 听泉人习静
'tou'de'pan'tao'gong'mu'qin 偷得蟠桃供母亲
'tou'fu'can'zui'fang'zhong'jiu 头扶残醉方中酒
'tou'shang'hong'guan'bu'yong'cai 头上红冠不用裁
'tui'jin'dong'feng'man'mian'zhuang 褪尽东风满面妆
'wa'pen'er'nv'gong'cun'lao 瓦盆儿女共村醪
'wan'chang'kuai'le'qian'chang'zui 万场快乐千场醉
'wan'dian'ti'hen 万点啼痕
'wan'ku'fen'cao'chang'jian'ci 纨裤分曹唱健词
'wan'li'jiang'shan'bi'xia'sheng 万里江山笔下生
'wan'pian'feng'piao'nan'ge'she 万片风飘难割舍
'wan'shan'lian'shu'yi'qian'zhong 晚山连树一千重
'wan'shi'you'tian'mo'qiang'qiu 万事由天莫强求
'wan'shu'tao'hua'yue'man'tian 万树桃花月满天
'wan'yun'ming'lou'ri 晚云明漏日
'wan'zi'qian'hong'mo'man'kua 万紫千红莫谩夸
'wang'le'qing'chun 忘了青春
'wei'shang'lin'xi'hao'xing'hua 为赏临溪好杏花
'wei'shi'xian'weng'shi'tie'bao 为是仙翁诗帖报
'wei'shuo'tong'qian'qi 未说铜钱起
'wei'ting'dian'cui'wei 危亭点翠微
'wei'wen'xian'ren'kan'hua'hong 未闻仙人看花红
'wei'you'li'bai'shi'neng'shuo 惟有李白诗能说
'wen'lang'hua'hao'nu'yan'hao 问郎花好奴颜好
'wen'wo'ru'he'zong'bu'zhi 问我如何总不知
'wen'yi'ben'teng'he'shi'xie 问伊奔腾何时歇
'wo'ai'cai 我爱菜
'wo'ai'qiu'xiang 我爱秋香
'wo'dao'qian'jin'mai'bu'hui 我道千金买不回
'wo'hua'lan'jiang'shui'you'you 我画蓝江水悠悠
'wo'jin'bai'bei'fu'qian'shou 我今百杯复千首
'wo'kan'xie'yang'jiang'shang'feng 卧看斜阳江上峰
'wo'kui'sui'wu'li'bai'cai 我愧虽无李白才
'wo'sui'hua'yue'fan'jin'zhi 我随花月泛金卮
'wo'xiao'ta'ren'kan'bu'chuan 我笑他人看不穿
'wo'xue'li'bai'dui'ming'yue 我学李白对明月
'wo'yao'sheng'qian'zuo'yi'chang 我要生前做一场
'wo'ye'bu'deng'tian'zi'chuan 我也不登天子船
'wo'ye'bu'shang'chang'an'mian 我也不上长安眠
'wu'geng'feng'yu'zang'xi'shi 五更风雨葬西施
'wu'geng'ren'qi'ke'neng'liu 五更人起可能留
'wu'geng'shi'mai'he'ceng'jue 五更市卖何曾绝
'wu'geng'shuang'li'pei'huang'jin 五更霜里佩黄金
'wu'hen'shang'xin'duo'shao'lei 无恨伤心多少泪
'wu'hua'wu'jiu'chu'zuo'tian 无花无酒锄作田
'wu'le'qing'chun 误了青春
'wu'ling'che'ma'dou'jia'ji 五陵车马斗家姬
'wu'ren'lai'mai'shan'tou'shi 无人来买扇头诗
'wu'shi'yan'huai'shi 五十言怀诗
'wu'ti'ling'jie'huang'du'di'yi'ming 无题领解皇都第一名
'wu'ti'tie'jian'dan'dao'yi 无题铁肩担道义
'xi'feng'shuang'bin'yi'deng'tai 西风双宾一登台
'xi'hua'chun'qi'zao 惜花春起早
'xi'li'feng'guang'yao'cao'shu 淅沥风光摇草树
'xi'nian'tong'guan'hua'cheng'tu 戏拈彤管画成图
'xi'shui'dong'liu'ri'zhuan'xi 溪水东流日转西
'xi'yue'lian'hua'wo'zhuan'chi 惜月怜花卧转迟
'xi'zhou'hua'jiu'tu 西洲话旧图
'xia'yu'gui'mu'tu 夏雨归牧图
'xian'lai'xie'jiu'qing'shan'mai 闲来写就青山卖
'xian'pu'lu'xi'chuang 先铺芦席床
'xian'que'ren'jian'hua'yue'yi 羡却人间花月意
'xiang'guan'yin'shao'you'you'si 乡关阴少悠悠思
'xiang'lai'xing'le'cheng'dong'lu 向来行乐城东路
'xiang'sha'ni 想煞你
'xiang'si'liang'di'wang'tiao'tiao 相思两地望迢迢
'xiang'yan'niao'niao'rao'jing'lou 香烟袅袅绕经楼
'xiao'de'qing'si'ji'liang'xie 消得青丝几两鞋
'xiao'kan'tian'se'mu'kan'yun 晓看天色暮看云
'xiao'lai'shan'zhong'xia'yi'han 萧籁山中夏亦寒
'xiao'qiao'liu'shui'xian'cun'luo 小桥流水闲村落
'xiao'wu'kuang'ge'wu'shi'nian 笑舞狂歌五十年
'xie'ji'jiao'e'ye'wo'chi 卸髻娇娥夜卧迟
'xie'ji'jiao'e'ye'wo'chi 斜髻娇娥夜卧迟
'xie'jiu'hua'qian'dai'yue'chang 携酒花前带月尝
'xie'qiong'chu'ji'shang 携筇出矶上
'xie'xu'zuo'de'gong'fu'chu 些须做得工夫处
'xin'cao'man'sheng'tian'ji'lv 新草漫生天际绿
'xin'kou'yin'cheng'si'yun'shi 信口吟成四韵诗
'xin'qing'shuo'zai'yu'sheng'zhong 心情说在雨声中
'xin'shi'lao'tian'zhen'xi'wo 信是老天真戏我
'xing'hua'ling'luo'cao'qi'mi 杏花零落草萋迷
'xing'lin'chun'yan 杏林春燕
'xing'shi'hai'yi'zui'shi'kuang 醒时还忆醉时狂
'xing'ye'si'jun 行也思君
'xing'zi'dan'shan'chu'tuo'nuan 杏子单衫初脱暖
'xu'ge'jing'tan'tan 虚阁静潭潭
'xuan'cao'tu 萱草图
'xue'ran'guan'tou'jin'zuo'ling 血染冠头锦做翎
'xue'shen'shan'lu'hua'yu'tai 雪深山路滑于苔
'xue'ya'jiang'cun'zhen'zuo'han 雪压江村阵作寒
'yan'chi'shuang'jiao'liao'tian'qu 妍媸双脚撩天去
'yan'qian'duo'shao'bu'ping'shi 眼前多少不平事
'yan'qian'jing'hao'shi'nan'sheng 眼前景好诗难胜
'yan'qian'kui'lei'ren'ta'mang 眼前傀儡任他忙
'yan'zheng'zheng'wang'zhe'deng'qian'bi'shang 眼睁睁望着灯前壁上
'yan'zhi 言志
'yan'zi'gui'lai'xing'zi'hua 燕子归来杏子花
'yang'di'nan'liu'zhang'li'hua 炀帝难留张丽华
'yang'ge'er'zi'hui'zuo'zei 养个儿子会做贼
'yang'jian'di'fu'ju'xiang'si 阳间地府俱相似
'yang'kan'wu'mei'tian'ning'bi 仰看乌没天凝碧
'yang'liu'xiao'yan'qing'xu'luan 杨柳晓烟情绪乱
'yang'liu'yin'nong'xia'ri'chi 杨柳阴浓夏日迟
'yang'luo'ning'zhi'sheng'you'wu 恙落宁知剩有无
'yang'zhou'dao'shang'si'nian'shen'jiu'niang 扬州道上思念沈九娘
'ye'du 夜读
'ye'ji'xian'sheng'yi'ri'qiong 也济先生一日穷
'ye'lai'qi'zhen'xi'si'liang 夜来欹枕细思量
'ye'lang'bu'mian'chang'liu'qu 夜郎不免长流去
'ye'niao'ru'ge'fu'si'ti 野鸟如歌复似啼
'ye'shen'hua'shui'yue'ming'zhong 夜深花睡月明中
'ye'shi'xu'sheng'zai'ren'shi 也是虚生在人世
'ye'wu'shen'hua'shu 夜雾沈花树
'yi'ban'mei'hua'dian'e'huang 一瓣梅花点额黄
'yi'bian'wen'zi'yi'lu'xiang 一编文字一炉香
'yi'cong'lou'ge'kong'jiang'shang 一丛楼阁空江上
'yi'cun'guang'yin'wan'liang'jin 一寸光阴万两金
'yi'jian'mei'hong'man'tai'jie'lv'man'zhi 一剪梅红满苔阶绿满枝
'yi'jian'mei'yu'da'li'hua'shen'bi'men 一剪梅雨打梨花深闭门
'yi'jiao'qian'men'wan'hu'kai 一叫千门万户开
'yi'lv'cha'yan'yang'bin'si 一缕茶烟扬鬓丝
'yi'nian'ge 一年歌
'yi'nian'san'bai'liu'shi'ri 一年三百六十日
'yi'nian'xi'suan'liang'chen'shao 一年细算良辰少
'yi'nian'yi'ban'wu'ren'sao 一年一半无人扫
'yi'nian'yi'du'mai'huang'cao 一年一度埋荒草
'yi'pian'chun'xin'fu'hai'tang 一片春心付海棠
'yi'shang'shang'dao'gao'shan'shang 一上上到高山上
'yi'shang'yi'shang'you'yi'shang 一上一上又一上
'yi'sheng'yan'se'fu'xi'feng 一生颜色付西风
'yi'shi'ge 一世歌
'yi'shou'qing'ci 一首情词
'yi'shou'qing'shi 一首情诗
'yi'ting'hua'yue'zheng'chun'xiao 一庭花月正春宵
'yi'wu'xin'qu'wen'chan'ji 已无心去问襌机
'yi'ye'xuan'shuang'zhui'bi'kong 一夜玄霜坠碧空
'yi'you'shu'mei'huan'ke'kan 亦有疏梅唤客看
'yi'zai'ping'di'yi'zai'tian 一在平地一在天
'yi'zhao'xin'de'yi 一朝欣得意
'yin'bei'chou'yue'jiao'hua'jiu 饮杯酬月浇花酒
'yin'wei'chun'chou'bu'fang'xin 因为春愁不放心
'ying'men'wei'yu'tou'xiang'chuan 映门未遇偷香椽
'you'deng'wu'yue'bu'yu'ren 有灯无月不娱人
'you'hua'wu'yue'hen'mang'mang 有花无月恨茫茫
'you'ke'ge'lin'jie'wen 有客隔林借问
'you'ke'kuan'jing'fei 有客款荆扉
'you'lai'wu'de'shuo'qian'chao 由来吴地说前朝
'you'ren'du'dui'ba'jiao'zuo 有人独对芭蕉坐
'you'ren'wu'shi'shi 幽人无世事
'you'shen'jiao'chu'xu'shen'jiao 有伸脚处须伸脚
'you'shi'yi'fan'chun'ji'le 又是一番春计了
'you'you'shang'xin'bing'le'shi 又有赏心并乐事
'you'you'yan'shuang'yu'fan'nao 又有炎霜与烦恼
'you'yue'wu'deng'bu'suan'chun 有月无灯不算春
'you'yue'wu'hua'hen'zhuan'chang 有月无花恨转长
'you'zhai'tao'hua'huan'jiu'qian 又摘桃花换酒钱
'yu'da'li'hua'shen'bi'men 雨打梨花深闭门
'yuan'jia'yi'jie'bu'yi'jie 冤家宜解不宜结
'yuan'lin'ju'shi'yu'hua'cuan 园林俱是玉花攒
'yuan'xiao 元宵
'yuan'yu'jiang'jun'jie'bao'dao 愿与将军借宝刀
'yuan'zhu'yi'hua'tian'yi'sui 愿祝一花添一岁
'yue'jing'guang'hua'hua'jing'zi 月竞光华花竞姿
'yue'lin'hua'jing'ying'jiao'jia 月临花径影交加
'yue'long'hua'wai'ying'jiao'zhi 月笼花外影交枝
'yue'luo'man'ping'hua'song'jiu 月落漫凭花送酒
'yue'ming'qian'li'gu'ren'lai 月明千里故人来
'yue'ming'qian'li'gu'ren'yao 月明千里故人遥
'yue'ming'ru'shui'zhao'hua'xiang 月明如水照花香
'yue'se'hua'xiang'chu'chu'tong 月色花香处处同
'yue'tai'xiang'xie'liang'xiao'tiao 月台香榭两萧条
'yue'xia'hua'ceng'liu'wo'zhuo 月下花曾留我酌
'yue'xia'hua'kai'chun'ji'ji 月下花开春寂寂
'yue'xia'xiao'hun 月下销魂
'yue'yu'li'bai'an'neng'zhi 月与李白安能知
'yue'zai'qing'tian'ji'yuan'que 月在青天几圆缺
'yue'zhong'man'ji'cui'hua'gu 月中漫击催花鼓
'yue'zhong'mo'fu'shang'hua'xin 月中莫负赏花心
'yue'zhuan'dong'qiang'hua'ying'zhong 月转东墙花影重
'yun'long'chu'guan'xu'jin'wu 云笼楚馆虚金屋
'yun'po'yue'kui'hua'hao'chu 云破月窥花好处
'zai'tiao'deng'huo'kan'wen'zhang 再挑灯火看文章
'zhao'jun'pian'yu'mao'yan'shou 昭君偏遇毛延寿
'zhao'zhao'qi'dai'xian'ren'gu 朝朝期待仙人顾
'zhe'ge'nv'ren'bu'shi'ren 这个女人不是人
'zhe'lai'dui'jing'bi'hong'zhuang 折来对镜比红妆
'zhe'yan'hai'chao'wei'ding'shi 蛰燕还巢未定时
'zhe'zhong'chang'shi'er'lue'lue'su 这衷肠事儿略略诉
'zhi'chou'hua'yue'xiao'ren'chi 只愁花月笑人痴
'zhi'dang'piao'liu'zai'yi'xiang 只当漂流在异乡
'zhi'dao'lai'nian'ke'lan'kai 知到来年可烂开
'zhi'jian'xian'ren'zhong'tao'shu 只见仙人种桃树
'zhi'jin'dou'xue'shou'yang'zhuang 至今都学寿阳妆
'zhi'kong'yue'chen'hua'luo'hou 只恐月沉花落后
'zhi'shang'hua'kai'neng'ji'ri 枝上花开能几日
'zhi'xie'bu'yi'ba'chun'you 芝鞋布蚁罢春游
'zhi'yuan'nan'fang'xi'hua'xin 只缘难放惜花心
'zhong'jian'guang'yin'bu'duo'shi 中间光阴不多时
'zhong'jian'you'shen'kan'tu'hua 中间有甚堪图画
'zhong'ren'yi'dao'shi'shen'xian 众人疑道是神仙
'zhong'song'huang'hun'ji'bao'xiao 钟送黄昏鸡报晓
'zhong'you'chang'men'geng'shan'xiong 中有阊门更擅雄
'zhong'yue'yi'lan'gan 终曰倚栏杆
'zhu'ding'ming'zhong'feng'jue'yi 铸鼎铭钟封爵邑
'zhu'li'mian'ping'qiao 伫立面平桥
'zhu'lian'shi'er'ying'e'mei 朱帘十二映娥眉
'zhu'tang'si'li'kan'mei'hua 竹堂寺里看梅花
'zhui'bu'ji 追不及
'zhui'hun'fan'cheng'zhu'chou'fu 坠溷番成逐臭夫
'zhui'si'fu'sheng'zhen'cheng'meng 追思浮生真成梦
'zi'gu'nan'geng'long'shang'tian 自古难耕陇上田
'zi'jia'ji'jiao'shuo'he'shei 自家计较说和谁
'zi'jin'yi'si'he'shui'shuo 自今意思和谁说
'zi'kua'qing'lv'de'de'lai 自跨青驴得得来
'zi'mo'xiang'xiao'yi'zhang'chen 紫陌香消一丈尘
'zi'shi'yu'jiang'hua'bi'mao 自是欲将花比貌
'zong'ji'hua'bian'yu'liu'bian 踪迹花边与柳边
'zui'shi 醉诗
'zui'shi'shi'ren'an'wen'chu 最是诗人安稳处
'zui'wo'hua'xia'zhen'an'ran 醉卧花下枕安然
'zui'wu'kuang'ge'wu'shi'nian 醉舞狂歌五十年
'zuo'chao'hua'sheng'jin'zhao'hao 昨朝花胜今朝好
'zuo'dui'huang'hua'ju'yi'shang 坐对黄花举一殇
'zuo'qian'nian'tiao'xiao'ren'chi 作千年调笑人痴
'zuo'shou'ping'hua'yong'yue'shi 做首评花咏月诗
'zuo'ye'hai'tang'chu'zhe'yu 昨夜海棠初着雨
'zuo'ye'si'jun 坐也思君
