'a'fu'lue'gu'shi 阿夫略顾视
'gong'ji'wang'ma'wang'zhi'min 供给王马王之民
'gong'men'gui'ren'shu 公门贵仁恕
'gong'ming'hui'you'shi 功名会有时
'gong'qi'jie'jiang'li 公其戒将吏
'gong'qing'kui'qi'shi 共请窥其使
'gong'zhong'duo'shao'ru'hua'nv 宫中多少如花女
'gong'zi'chui'qian'gu 公自垂千古
'gong'zui'qian'qiu'wen'gui'shen 功罪千秋问鬼神
'gong'zuo'shu'song'yin 共坐疏松阴
'gou'jian'qi'shan'zhong 勾践栖山中
'gou'neng'mian'zheng'qiu 苟能免征求
'gou'qu'shang'yun'xiao 勾曲上云霄
'gou'zhou'ku'yuan'ke'gui'chi 钩辀苦怨客归迟
'gu'bu'chu'qian'zuo'shui'heng 估不出钱佐水衡
'gu'cheng'bei'zhe'zou'huang'he 孤城北折走黄河
'gu'cheng'tie'weng'si'shan'wei 孤城铁瓮四山围
'gu'cheng'you'fei'gong 孤城有废宫
'gu'chu'ci'shu'shi'chen'hu 故出此书示臣鹄
'gu'ci'mo'mo'bei'cheng'kai 古祠漠漠背城开
'gu'duan'zhe'yao'lv 骨断折腰膂
'gu'fan'mao'yu'gui 孤帆冒雨归
'gu'fen'he'guan'er'nv'shi 孤愤何关儿女事
'gu'fu'gu'yuan'mei'shu'hao 辜负故园梅树好
'gu'geng'cheng'zhou'he'shang'xing 估更乘舟河上行
'gu'guo'jiang'fan'hai'shang'lai 故国降幡海上来
'gu'guo'piao'ling'bai'gan'sheng 故国飘零百感生
'gu'guo'yin'shu'lv'yan'she 故国音书旅雁赊
'gu'hang'wu'zhu'zi'jun'chen 孤航无主自君臣
'gu'huai'gan'fei'xing 孤怀感废兴
'gu'jiao'deng'qian'lao'lei'duo 鼓角灯前老泪多
'gu'jiao'qiu'feng'han'si'sai 鼓角秋风寒似塞
'gu'jin'chen'bi'zhi'wu'xian 古今沉璧知无限
'gu'jiu'lei'lang'lang 姑舅泪浪浪
'gu'ke'bu'lai'jian'ruo'ni 估客不来贱若泥
'gu'lai'de'shi'he'shi'wu 古来得失何事无
'gu'ling'za'zuo'ku 姑令杂作苦
'gu'luo'tong'huai'ri'ye'liu 谷洛通淮日夜流
'gu'mu'huang'ci'ye'liao'qing 古木荒祠野潦清
'gu'niu'mai'zhong'su 牯牛麦中宿
'gu'pi'sheng'sa'sa 鼓鼙声飒飒
'gu'pi'xuan'jue'jiao 鼓鼙喧绝徼
'gu'qing'si'tian'kong 孤磬四天空
'gu'ren'bu'si'wu'you'zai 古人不死吾犹在
'gu'ren'he'ri'feng 故人何日逢
'gu'ren'qie'shi'feng'ren'zhi 古人且失风人旨
'gu'rou'cheng'he'yi 骨肉诚何益
'gu'shan'yue'yi'gua'chuan'tou 故山月已挂船头
'gu'shi'shan'se'shang'yin'yin 古时山色尚阴阴
'gu'shou'qing'xiang'zai'bai'kan 古瘦清香再拜看
'gu'shu'deng'ren'chang 谷黍等人长
'gu'shu'san'qiu'yan 古戍三秋雁
'gu'si'lao'mei'zuo'ren'yu 古寺老梅作人语
'gu'ta'dui'chuan'ru'sun'chang 孤塔对船如笋长
'gu'ting'jie'can'chun 孤艇接残春
'gu'ting'luo'zhao'jian 孤亭落照间
'gu'ting'yi'shi'yi'zhuan'ping 估听一事意转平
'gu'xian'xiao'tiao'dui'an'kai 古县萧条对岸开
'gu'xiang'bu'ke'su 故乡不可宿
'gu'xiang'yi'shi'jing'hun'di 故乡亦是惊魂地
'gu'yan'wu'bang'ren'qu'er'shou 顾炎武榜人曲二首
'gu'yan'wu'chou'zhu'jian'ji'si'fu 顾炎武酬朱监纪四辅
'gu'yan'wu'fu'de'qiu'liu 顾炎武赋得秋柳
'gu'yan'wu'hai'shang'si'shou 顾炎武海上四首
'gu'yan'wu'jing'kou'ji'shi'er'shou'xuan'yi'shou 顾炎武京口即事二首选一首
'gu'yan'wu'jing'wei 顾炎武精卫
'gu'yan'wu'jing'zhong'xin'shi'ge'you'xu 顾炎武井中心史歌有序
'gu'yan'wu'liu'zhuan 顾炎武流转
'gu'yan'wu'ou'lai 顾炎武偶来
'gu'yan'wu'qiu'shan'er'shou 顾炎武秋山二首
'gu'yan'wu'sai'xia'qu'er'shou'xuan'yi'shou 顾炎武塞下曲二首选一首
'gu'yan'wu'yi'yan 顾炎武一雁
'gu'yan'wu'yong'ping 顾炎武永平
'gu'yi'tong'qiao'shui'yi'wan 古驿通桥水一湾
'gu'ying'xiu'kui'bai'yu'tang 顾影羞窥白玉塘
'gu'yu'guo'guan'que'shui'fan 估欲过关榷税烦
'gu'yu'hou 谷雨后
'gu'yu'jiu'guo'san'yue'jie 谷雨久过三月节
'gu'yu'yao'xiang'ren 孤屿遥相认
'gu'yuan'wang'duan'jiang'cun'li 故园望断江村里
'gu'yue'si'liu'ke 孤月似留客
'gu'yue'you'bu'jiao 姑曰幼不教
'gu'yun'shi'zu'zhou 姑云是诅咒
'gu'zhi'bing'jie'nong 古之兵皆农
'gu'zhi'shi'jie'nong 古之士皆农
'gu'zhong'yu'xiang'xiang'lei'diao 孤忠欲向湘累吊
'gu'zhou'xiang'wan'ting 孤舟向晚停
'gu'zong'zhong'yu'shi'qing'shu 孤踪终与世情疏
'gu'zu'yu'jia'chen'jiu'ri'gan'huai 顾祖禹甲辰九日感怀
'gua'bu'xiao'zhong'han'yu'xie 瓜步晓钟寒雨歇
'gua'rang'dou'jia'ying'chuan'mai 瓜瓤豆荚迎船卖
'gua'zhou'cheng'wai'ri'dong'sheng 瓜洲城外日东生
'guai'shi'cheng'xing'qian'bai'zhong 怪石成形千百种
'guai'ta'qu'hou'hua'ru'xu 怪他去后花如许
'guan'bu'gong'jiang'li'qu'qian 官捕工匠吏取钱
'guan'bu'zhi 官不知
'guan'chi'zuo'da'ai'shu'lai 惯迟作答爱书来
'guan'chuan'cui'fu'qian'jin'lan 官船催夫牵锦缆
'guan'duo'li'duo'mang'wu'xu 官多吏多茫无绪
'guan'fu'ming'wo'du'ru'cao 官府命我督汝曹
'guan'fu'yan'hu'zhui 官府严呼追
'guan'gai'feng'ying'xian'zhuang'you 冠盖逢迎羡壮游
'guan'gai'yong'rong'ban'jiu'qing 冠盖雍容半旧卿
'guan'han'ma'se'shang'long'dui 关寒马色上龙堆
'guan'he'xing'lu'nan 关河行路难
'guan'ji'fang'chuan'li'bu'xu 官即放船吏不许
'guan'jia'fei'jin'qian 官家费金钱
'guan'jia'he'lei'hua'dong'du 官家和泪话东都
'guan'jia'xing'fa'jin'bu'de 官家刑法禁不得
'guan'jiu'jian'jue'min'ming'qing 官久渐觉民命轻
'guan'jun'ye'yu'gu'cheng'kou 官军夜逾谷城口
'guan'li'zhuo'chuan'wei'zai'bing 官吏捉船为载兵
'guan'ling'an'neng'qiang'zhu'shu 关令安能强著书
'guan'men'reng'jiu'qian'qiang'sai 关门仍旧千樯塞
'guan'qian'wu'shu'liu 关前无数柳
'guan'shan'piao'bo'yao'zhi'xi 关山飘泊腰肢细
'guan'shan'za'chai'hu 关山杂豺虎
'guan'she'ye'shen'ceng'guo'hu 官舍夜深曾过虎
'guan'she'yi'deng'hong 官舍一灯红
'guan'si'cha'dian'hou'ru'nian 官司查点候如年
'guan'si'ji'jin'sheng'lu'wu 官私计尽生路无
'guan'tu'jian'bao'cang 观图见包藏
'guan'xing'bu'di'si'xing'e 官刑不敌私刑恶
'guan'you'liang'xin'wu'fa'jiu 官有良心无法救
'guan'yu'zhen'shang'guo 官于枕上过
'guang'lian'tian'di'han 光连天地寒
'guang'mang'kui'xi'ren 光芒愧昔人
'gui'feng'san'shi'er'ke'ling 龟峰三十二可凌
'gui'ku'sui'ran'li'yi'ge 鬼哭虽然吏亦歌
'gui'lai'he'suo'you 归来何所有
'gui'lai'ji'hai'qi 归来鸡还栖
'gui'lai'shu'guan'reng'bu'zu 归来输官仍不足
'gui'lai'yue'qian'shuang 归来阅千霜
'gui'lin'tian'xiao'qing'shan'da 桂林天小青山大
'gui'lu'wei'feng'hu 归路畏逢虎
'gui'mu'xi'qing'lian 鬼母戏青莲
'gui'qi'ming'hao'jing'yan'zhi 贵戚名豪竞延致
'gui'shu'bi'you'nong 桂树碧犹浓
'gui'yuan'xian'dai'fu 归元贤大夫
'gui'zhuang'guan'tian'jia'shou'huo'san'shou'xuan'yi'shou 归庄观田家收获三首选一首
'gui'zhuang'ji'chou'yuan'ri'si'shou'xuan'yi'shou 归庄己丑元日四首选一首
'gui'zhuang'luo'hua'shi'shi'er'shou'xuan'yi'shou 归庄落花诗十二首选一首
'gun'gun'zhao'zhu'duan 滚滚照烛断
'guo'bian'wan'hu'jie'lin'shui 郭边万户皆临水
'guo'chi'bu'yan'jiao'zhan'shi 国耻不言教战士
'guo'er'wen'xiang'yu 聒耳闻乡语
'guo'fan'han'tun'ju'jiang'shui 裹饭寒吞掬江水
'guo'hou'she'pin'za 过后舌频咋
'guo'jia'qi'feng'jiang 国家启封疆
'guo'jia'you'fei'xing 国家有废兴
'guo'ke'yi'guan'ci'ri'shuang 过客衣冠此日霜
'guo'qiao'xie'gu'miao 过桥歇古庙
'guo'ren'neng'zhi'si 国人能致死
'guo'wai'yue'rong'rong 郭外月溶溶
'guo'wang'jia'po'yu'he'zhi 国亡家破欲何之
'guo'zhong'wei'zhi'ma 国中惟指马
'hai'bin'he'yao'yao 海滨何遥遥
'hai'bo'hu'cu'yu'sheng'qu 海波忽促余生去
'hai'feng'chui'ke'dao'chang'gan 海风吹客到长干
'hai'jiao'shou'can'yu 海角收残雨
'hai'jiao'ya'shan'yi'xian'xie 海角崖山一线斜
'hai'men'shui'jian'ri'chu'hong 海门谁见日初红
'hai'nei'cai'jin'wei'liang'duo 海内财尽为两多
'hai'nei'shi'jia'hong'yu'fu 海内诗家洪玉父
'hai'qi'xiang'shou'fen'e'si 还期相守分饿死
'hai'se'yu'zhong'kai 海色雨中开
'hai'shi'fu'wu'yan 还视釜无烟
'hai'shi'ruo'zao'yang'man'kong 骇势若遭飏满空
'hai'shui'you'men'fen'shang'xia 海水有门分上下
'hai'xi'chang'he'yuan 海吸长河远
'hai'yin'lin'li'wen'seng'zhen 还因邻里问僧珍
'hai'yue'shu'sheng'bie'jiu'an 海岳书生别旧庵
'hai'yue'yi'gu'ting 海岳一孤亭
'han'chao'dang'luo'ri 寒潮荡落日
'han'chao'kan'you'luo 寒潮看又落
'han'chuang'yong'ji'bei'ti'ye 寒窗拥髻悲啼夜
'han'dan'dao'shang'qi'qiu'sheng 邯郸道上起秋声
'han'dan'fu'tian'qing'qi'ye 菡萏浮天青七叶
'han'feng'shang'bi'qiu 寒风上敝裘
'han'gua'ti'huang'jing 寒鸹啼荒井
'han'jia'chang'ce'zai'he'fan 汉家长策在和番
'han'jing'jiao'tu'you'qian'cun 旱经焦土有千村
'han'qi'pian'gui'wo'yi'jia 寒气偏归我一家
'han'qing'you'zai'lei'yi'shang 汗青犹在泪衣裳
'han'qing'zhong'wen'yong'feng'fang 含情重问永丰坊
'han'que'tang'ling'jin'he'shu 汉阙唐陵尽禾黍
'han'ri'sheng'fu'sang 寒日升扶桑
'han'shi'qing'ming'yu'jin'yan 寒食清明欲禁烟
'han'shui'dong'nan'ri'ye'liu 汉水东南日夜流
'han'su'cao'zhong'ji'shi'tu 寒宿草中饥食土
'han'tang'yu'san'lu'chu'hui 寒塘渔散鹭初回
'han'tao'dong'qi'ri'xi'xie 寒涛东起日西斜
'han'tu'xi'kan'bai'ri'hun 汉土西看白日昏
'han'xin'yuan'lai'shi'zhu'chen 韩信原来是逐臣
'han'yan'yi'shi'duan'hou'jia 寒烟已失段侯家
'han'yu'qin'you'ye'bo'chuan 寒雨秦邮夜泊船
'han'yu'rong'can'xue 寒屿融残雪
'han'yuan'zhong'que'chu 韩原中缺处
'han'zhu'ceng'wen'sha'hua'shi 汉主曾闻杀画师
'hang'guo'qi'yuan'tian'wei'xiao 行过淇园天未晓
'hang'shi'jun'chu'guo'men'zuo'si'shou'xuan'yi'shou 杭世骏出国门作四首选一首
'hang'shi'jun'wan'qiu'you'lian'ju'bao'guo'liang'zhao'ti 杭世骏晚秋游莲居报国两招提
'hang'shi'jun'yong'mu'mian'hua 杭世骏咏木棉花
'hao'bao'zhang'guan'juan'fu'lian 好报长官蠲赋敛
'hao'dang'hai'liu'liu'dai'sheng 浩荡还流六代声
'hao'hao'tian'feng'chui'mian'liang 浩浩天风吹面凉
'hao'hao'zuo'jia'qu 好好作家去
'hao'jiang'hong'bao'zhu'zhu'yan 好将鸿宝驻朱颜
'hao'jin'wei'qiu'hu 薅尽为秋壶
'hao'ke'zhui'niu'zhou'sha'ren 豪客椎牛昼杀人
'hao'liu'yan'yue'ban'gui'rao 好留烟月伴归桡
'hao'qi'zheng'cheng'shen'que'xin 浩气蒸成蜃阙新
'hao'ran'si'zhong'yuan 浩然思中原
'hao'shi'ri'xie'feng'ding'hou 好是日斜风定后
'hao'you'duo'cong'zhong'jie'chuan 好友多从忠节传
'hao'yu'xi'wu'mo'ye'fei 好语西乌莫夜飞
'he'bian'ji'xue'duo 河边积雪多
'he'bu'tou'jiang'hu 何不投江湖
'he'chu'hao'jia'qiang'zai'gui 何处豪家强载归
'he'chu'hua'xian'fang 何处花先放
'he'chu'mai'qing'chun 何处买青春
'he'chu'qing'shan'ren'wan'gong 何处青山认皖公
'he'chu'quan'wei'nong 何处劝为农
'he'chu'wang'sun'diao 何处王孙钓
'he'dang'kuai'ma'si'feng'qu 何当快马嘶风去
'he'di'wei'wu'tu 何地为吾土
'he'duan'yun'lian'zhi'chi'xun 壑断云连咫尺寻
'he'fang'tian'bu'chun 何妨天不春
'he'fen'xiang'bei'liu 河分向北流
'he'fu'jiu'er'guan'cang'wei 何复就尔官仓为
'he'gan'shan'xia'que'hu'chun 纥干山下雀呼春
'he'guai'su'yan'qing'tian'ci 何怪俗眼轻填词
'he'han'zai'xi'tang 河汉在西堂
'he'hu'ding'nan'zuo'bu'chen 阖户丁男坐不臣
'he'kuang'yi'lan'ren 何况倚栏人
'he'lan'wei'mie'jiang'jun'si 贺兰未灭将军死
'he'lin'ru'ke'huo 涸鳞如可活
'he'lun'qi'yu'sao 何论妻与嫂
'he'luo'feng'chen'wan'li'hun 河洛风尘万里昏
'he'ran'yan'ai'zhong 赫然烟霭中
'he'ren'ba'wan'zui'xu'xi 何人把玩最嘘欷
'he'ren'chui'tie'di 何人吹铁笛
'he'ren'ke'shan'chang 何人可擅场
'he'ren'wei'diao'liu'tun'tian 何人为吊柳屯田
'he'ru'tian'tai'ling'yi'zai'ren'jing 何如天台灵异在人境
'he'shan'biao'li'geng'fen'ming 河山表里更分明
'he'shang'san'jun'he 河上三军合
'he'shi'fan'gu'xiang 何时返故乡
'he'shi'gu'feng'jiu'tuo'gen 合是孤峰旧托根
'he'shi'ping'xin'shang 何事凭新赏
'he'shi'xuan'hong'lai'xiang'cun 何事喧轰来向村
'he'shu'lian'bing'yi 禾黍连冰刈
'he'tai'ji 何太急
'he'wei'yan'qiu'zao'tui'yi 荷为延秋早褪衣
'he'yi'geng'geng'qun'fei'yu'ci'tian 何以耿耿群飞欲刺天
'he'yi'tian'ya'shu'ju'bei 何意天涯数举杯
'he'yi'you'ren'zeng'sui'bi 和议有人增岁币
'he'zhi'yi'lan'chan'kang'bi 何知浥烂掺糠秕
'he'zhi'ze'yi'li 合之则一理
'hei'ma'wang'luo'yi'zi'ying 黑马王络以紫缨
'hei'tou'jiang'ling'jian'xu'jing 黑头江令见须惊
'hei'tou'ren'zai'kui'jiang'dong 黑头人在愧江东
'hen'sha'jun'shu'di'si'cui 恨杀军书抵死催
'hen'shi'gao'di'shi'sui'shui 狠石高低势随水
'heng'dao'bing'zhuo'ji 横刀兵捉鸡
'heng'liu'bi'da'bo 横流蔽大舶
'heng'tang'shuang'jiang'qu'ru'fei 横塘双桨去如飞
'heng'tang'you'nv'dang'chuan'hui 横塘游女荡船回
'heng'xing'jiao'ma'hu'pan'sun 横行叫骂呼盘飧
'hong'fen'zhi'fei'jiu'ri'lou 红粉知非旧日楼
'hong'gong'ji'qi'cheng'die'sui 黉宫既葺城堞随
'hong'gui'zi'sai'zhou'fei'shuang 红闺紫塞昼飞霜
'hong'jin'shuang'yan'lue'bo'qing 红襟双燕掠波轻
'hong'ma'zhui'jin'ling 红马缀金铃
'hong'sheng'diao'tai 洪昇钓台
'hong'sheng'jing'dong'za'gan'shi'shou'xuan'liang'shou 洪昇京东杂感十首选两首
'hong'sheng'qu'zhou'za'gan'shi'shou'xuan'liang'shou 洪昇衢州杂感十首选两首
'hong'sheng'tian'jia'yu'wang 洪昇田家雨望
'hong'sheng'xi'yu 洪昇喜雨
'hong'shu'hu'yi'wan 红树忽移湾
'hong'shu'yi'fan'can'ye'jin 红树一番残叶尽
'hong'xia'hong'yu'zong'mi'tu 红霞红雨总迷途
'hong'yan'liu'luo'fei'wu'lian 红颜流落非吾恋
'hong'yan'sheng'zhong'du'yi'lou 鸿雁声中独倚楼
'hong'ying'dao'xi'liu'bu'qu 红影倒溪流不去
'hou'che'kong'dao'qian'che'wei 后车恐蹈前车危
'hou'chu'tang'liu'wang'you'ming 后出棠榴枉有名
'hou'fang'yu'dong'ri'hu'shang'er'shou 侯方域冬日湖上二首
'hou'fang'yu'gu'ke'le 侯方域估客乐
'hou'fu'nian'zheng'shao 后夫年正少
'hou'fu'xie'er'gui 后夫携儿归
'hou'men'ge'wu'chu'ru'hua 侯门歌舞出如花
'hou'ren'zhan'song'lei'chang'liu 后人展诵泪长流
'hou'sheng'tu'de'wu'ren'se 吼声突地无人色
'hu'bao'zhen'ci'wu 虎豹真慈物
'hu'chuang'chui'zhi'xi'feng'xie 糊窗吹纸西风斜
'hu'di'shi'zhe'reng'jia'guan 护堤使者仍加官
'hu'di'shuang'lai'jian'you'hen 忽地霜来渐有痕
'hu'fu'jiu'sheng'shui'yi'ya 呼妇鸠声水一涯
'hu'guang'jing'xi'yan'se'xian 湖光净洗颜色鲜
'hu'hu'sha'fan'xue 狐搰沙翻雪
'hu'ji'cang'mang'ba'ye'chen 虎迹苍茫霸业沉
'hu'jian'qi'shu'chu'ci'jian 忽见奇书出此间
'hu'li'ju'wo'chuang 狐狸踞我床
'hu'liu'qian'ban'gao 湖流浅半篙
'hu'lu'cong'lai'wu'bai'nian 胡虏从来无百年
'hu'man'wu'sheng'si'zhi'zhi 忽漫无声四肢直
'hu'mian'kuan'qian'qing 湖面宽千顷
'hu'pan'ge'can'yi'mo'chou 湖畔歌残倚莫愁
'hu'qin'chou'bian'yi'liang'qu 胡琴搊遍伊凉曲
'hu'ran'gang'feng'yi'chui'hua'wei'shi 忽然刚风一吹化为石
'hu'ran'wen'quan'fei 忽然闻犬吠
'hu'shi'bei'yao'kuang'yue'dong 湖势北摇匡岳动
'hu'shui'jing'shuang'bi 湖水经霜碧
'hu'tian'ban'zhong'zi'mang'dao 湖田半种紫芒稻
'hu'tian'you'ceng'cheng 胡天游层城
'hu'tian'you'xiao'xing 胡天游晓行
'hu'ya'chuan'chuang'song'wu'yu 忽讶船窗送吴语
'hu'yi'qi'bu'qu 虎亦弃不取
'hu'yi'wu'qu'ge'chui'di 忽忆吴趋歌吹地
'hu'yi'yan'ci'shi 胡以延此时
'hu'ying'su'gu'kuang 呼鹰俗故狂
'hu'zhuang'san'bai'ge 胡装三百舸
'hua'chu'chun'feng'man'jing'chou 画出春风满镜愁
'hua'deng'bu'yao'xi 华灯布瑶席
'hua'ding'zui'gao'tou'tian'ding 华顶最高透天顶
'hua'duan'zhong'tiao'tai'hua'shan 划断中条太华山
'hua'fang'cheng'chun'po'xiao'yan 画舫乘春破晓烟
'hua'ge'ji'mi'feng 画革既弥缝
'hua'ge'tou'kui'lao'bing'nu 画阁偷窥老兵怒
'hua'gu'dui'cui'tao'ye'ji 画鼓队催桃叶伎
'hua'jia'nong'dan'yi 画家浓淡意
'hua'lin'can'dan'ru'sha'mo 华林惨淡如沙漠
'hua'luo'wan'shan'zong'ru'yun 画罗纨扇总如云
'hua'miao'tiao'yue'bian'sui'lang 花苗跳月便随郎
'hua'qi'feng'ji'liu'tai'qiu 画旗风急六台秋
'hua'qi'yu'pai'chun 花气欲排春
'hua'rong'xiu'ru'nan'shu'zhan 花容羞辱难舒展
'hua'shi'he'zu'ding'yan'chi 画师何足定妍蚩
'hua'wai'xi'yang'ren'yi'lou 花外夕阳人倚楼
'hua'wei'hu'tuo'shui'zhong'ni 化为滹沱水中泥
'hua'xia'feng'chui'niu'ma'chen 花下风吹牛马尘
'hua'xue'san'nian'si'hou'gong 化血三年死后功
'hua'yan'xiao'jing 华嵒晓景
'hua'yi'gong'pao'xu'gu'yue 画鹢宫袍虚古月
'hua'yi'qu'nian'shi 花忆去年时
'hua'yu'ji'dian'hong 花余几点红
'hua'yue'yan'zheng'pian'wu'ling 花月炎蒸偏五岭
'hua'zang'shi'jie'wan'ru'ci 华藏世界宛如此
'huai'gu'ping'xuan'juan'yan'kai 怀古凭轩倦眼开
'huai'gu'reng'deng'hai'yue'lou 怀古仍登海岳楼
'huai'nan'mi'jian'hao'gui'lai 淮南米贱好归来
'huai'nan'shu'zhou'di 淮南数州地
'huai'shan'e'e'huai'shui'shen 淮山峨峨淮水深
'huan'jia'meng'rao'jiang'hu'kuo 还家梦绕江湖阔
'huan'le'ju'ta'xiang 欢乐居他乡
'huan'le'zhao'zhao'jian'mu'mu 欢乐朝朝兼暮暮
'huan'pei'ji'ceng'gui'ye'yue 环珮几曾归夜月
'huan'sha'nv'ban'yi'tong'hang 浣纱女伴忆同行
'huan'yan'ye'bu'mian 欢言夜不眠
'huan'yu'yi'gong'wan'li'chou 换羽移宫万里愁
'huang'chao'yu'lu'shou'en'shen 皇朝雨露受恩深
'huang'cheng'tian'ji'fu 荒城天际浮
'huang'cun'ye'lao'mu'xiang'feng 荒村野老暮相逢
'huang'he'chun'nuan'you'liu'si 黄河春暖又流澌
'huang'he'dao'ri'liu 黄河倒日流
'huang'he'jing'bei'xi 黄河经北徙
'huang'he'yi'ke'lan'shang'er 黄河亦可滥觞耳
'huang'he'yi'qing'ren'bu'dai 黄河已清人不待
'huang'he'zhang'shang'liu 黄河掌上流
'huang'hu'huang'hu'qie'mo'dan'wo'gu 蝗乎蝗乎且莫殚我谷
'huang'hu'qiu'peng'lai 荒忽求蓬莱
'huang'hua'ting'xia'shi'chen'zhou 皇华亭下使臣舟
'huang'jin'nai'ren'gao 黄金乃人膏
'huang'kou'xiao'er'ti'bu'bao 黄口小儿啼不饱
'huang'long'guan'shan'ge 荒垅关山隔
'huang'luo'ru'shan'bu'wei'ren 蝗落如山不畏人
'huang'qi'xia'shi'tou 黄旗下石头
'huang'qu'huan'fu'lai 蝗去还复来
'huang'ren'peng'cheng'dao'zhong 黄任彭城道中
'huang'ren'xi'hu'za'shi'shi'si'shou'xuan'wu'shou 黄任西湖杂诗十四首选五首
'huang'sha'hao'wu'yu 黄沙浩无宇
'huang'sha'ji'yu'zhen'yun'ping 黄沙积与阵云平
'huang'sheng'zhu'di'yao 黄生筑堤谣
'huang'tian'dang'jian'lian 皇天当见怜
'huang'tou'xian'ji'lv'suo'yi 黄头闲缉绿蓑衣
'huang'wu'guang'hui'wa 黄屋光辉瓦
'huang'yang'ling'bo'guang 晃漾凌波光
'huang'ye'lian'jiang'xia 黄叶连江下
'huang'ye'meng'han'ru'sai'bei 黄叶梦寒如塞北
'huang'ye'zi'jiang'cun 黄叶自江村
'huang'yuan'yi'zhong'piao'er'cai 荒园一种瓢儿菜
'huang'zhao'you'she'hui 荒沼游蛇虺
'huang'zhi'shou'zhi'fu 黄纸收制府
'huang'zi'yun'da'yang 黄子云大洋
'huang'zong'xi'zhang'si'ma'cang'shui 黄宗羲张司马苍水
'huang'zong'xi'zhou'gong'jin'yan'si'shou'xuan'er'shou 黄宗羲周公谨砚四首选二首
'hui'chang'hao'man'chi'wu'lu 灰场蒿满池无卤
'hui'feng'die'zhang'jie'cui'cang 回峰叠嶂皆摧藏
'hui'feng'jue'an'xuan 回风绝岸喧
'hui'fu'xian'jiao'di'su'you 卉服先教递速邮
'hui'hao'yi'qi'ling'qian'qiu 挥毫意气凌千秋
'hui'huan'pi'ni'qian 回环睥睨前
'hui'jin'ye'jiu'chang'lou'su 挥金夜就倡楼宿
'hui'kan'xing'qi'hu'yi'zhou 回看星气忽已周
'hui'lian'du'xiu'feng 回怜独秀峰
'hui'san'jun 麾三军
'hui'sheng'zhi'yu'fa'ren'wu 豗声只欲发人屋
'hui'shi'jiang'hai'ji 绘事江海迹
'hui'shou'huang'tai'mi'lu'di 回首荒台麋鹿地
'hui'shou'nan'tang'feng'jing'jin 回首南唐风景尽
'hui'shou'san'chun'pan'zhe'ku 回首三春攀折苦
'hui'shou'wang'jia'shan 回首望家山
'hui'shou'weng'cheng'shan'se'yuan 回首瓮城山色远
'hui'shou'zhan'zheng'ceng'ci'di 回首战争曾此地
'hui'xuan'qu'ru'she 回旋去如射
'hun'dun'he'chu'fen'kun'qian 浑沌何处分坤乾
'hun'duo'yin'shao'jing'an'gui 溷多茵少竟安归
'hun'gui'he'ren'jian'tian'guang 魂归何忍见田光
'hun'ru'gu'he'ru'lu'hua 浑如孤鹤入芦花
'hun'ru'wei'shi'shi 浑如未识时
'hun'tong'jiang'shui'bai'shan'lai 混同江水白山来
'hun'xiao'yi'chong'xin 昏晓役舂薪
'huo'ban'he'ren'gan'ku'sheng 火伴何人敢哭声
'huo'gong'xuan'chang'ji 火攻炫长技
'huo'gu'huo'kao'sheng'qin'qin 或鼓或考声钦钦
'huo'ren'bu'ji'si'ren'xiang 活人不及死人香
'huo'she'zhen'gao'xing 伙涉真高兴
'huo'yun'he'lie'lie 火云何烈烈
'huo'yun'sui'yang'huang 或云隋炀皇
'huo'yun'xue'bai'yi 或云薛白衣
'ji'chang'guan'zu'yu'si'zhai 急偿官租与私债
'ji'chuan'wen'yu'wu'zhang'huang 急传温语无张皇
'ji'de'kai'shi'shi'yi'fei 记得开时事已非
'ji'de'lai'shi'lu'ye'wu 记得来时路也无
'ji'de'nan'zhi'fang'xin'wu 寄得南枝芳信无
'ji'de'wei'shi'you'gu'ren 记得微时有故人
'ji'di'liu'yi'hai'you'ban 几地流移还有伴
'ji'dian'zhu'shi'shuang 跻颠瞩始爽
'ji'dong'xuan'fu'feng'li'qiu 计东宣府逢立秋
'ji'dong'ye'cheng'diao'xie'mao'qin'shan'ren 计东邺城吊榭茂秦山人
'ji'du'jing'guo'gan'sui'hua 几度经过感岁华
'ji'fou'qing'men'zhu'luo'gu 记否青门珠络鼓
'ji'guan'ai'zheng'yu'xi'lun 急管哀筝与细论
'ji'hui'shi'shi'wai'yi'sheng 忌讳时时外意生
'ji'ji'kong'wen'duo'kang'kai 击楫空闻多慷慨
'ji'ji'zheng'zhong'liu 击楫正中流
'ji'jiao'dao'xi'wu'liu'xian 饥蛟倒吸无留涎
'ji'jin'san'yue'ying'hua'man 即今三月莺花满
'ji'jin'tu'kang'bu'ke'geng 即今土亢不可耕
'ji'liu'pen'mo'dou'lei'ting 急流喷沫斗雷霆
'ji'mai'dong'nan'zhuang 羁卖东南庄
'ji'min'chun'man'lu 饥民春满路
'ji'ming'feng'qi'qi 鸡鸣风凄凄
'ji'ming'ye'luan'du'qin'guan 鸡鸣夜乱度秦关
'ji'mo'ku'ping'xiang'xue'liao 寂寞枯枰响泬寥
'ji'mo'ren'jian'wu'bai'nian 寂寞人间五百年
'ji'mu'an'ran'yan'huo'jue 极目黯然烟火绝
'ji'mu'fei'wu'an 极目非无岸
'ji'nian'shuai'cao'mu'yun'zhong 几年衰草暮云中
'ji'qian'wan'ren'gui'jiu'yuan 几千万人归九原
