'a'na'qu 阿那曲
'qiu'ye'yu 秋夜雨
'qiu'yue'ye 秋月夜
'qu'qian'qiu 曲千秋
'qu'ru'men 曲入门
'qu'ru'ming 曲入冥
'qu'you'chun 曲游春
'qu'yu'guan 曲玉管
'quan'jin'chuan 劝金船
'que'qiao'xian 鹊桥仙
'que'qiao'xian'ling 鹊桥仙令
'que'ta'zhi 鹊踏枝
'que'yue'gua'shu'tong 缺月挂疏桐
'ran'ran'yun 冉冉云
'rao'di'you 绕地游
'rao'di'you'man 绕地游慢
'rao'fo'yue 绕佛乐
'ren'lei'yin 忍泪吟
'ren'nan'du 人南渡
'ren'yue'yuan 人月圆
'ren'zai'lou'shang 人在楼上
'ru'ci'jiang'shan 如此江山
'ru'meng'ling 如梦令
'ru'sai 入塞
'ru'yan'fei 乳燕飞
'ru'yi'ling 如意令
'ru'yu'shui 如鱼水
'ruan'lang'gui 阮郎归
'rui'fei'hao 瑞飞好
'rui'he'xian 瑞鹤仙
'rui'he'xian'ying 瑞鹤仙影
'rui'long'yin 瑞龙吟
'rui'si'xin 睿思新
'rui'yun'nong 瑞云浓
'rui'zhe'gu 瑞鹧鸪
'rui'zhu'jian 蕊珠间
'sai'gu 塞姑
'sai'hong'niang 赛红娘
'sai'li'chun 塞里春
'sai'tian'xiang 赛天香
'sai'weng'yin 塞翁吟
'sai'yuan'chun 塞垣春
'san'bu'le 三部乐
'san'deng'le 三登乐
'san'dian'zi 三奠子
'san'fan'du'jiang'yun 三犯渡江云
'san'fan'jin'yuan'chun 三犯锦园春
'san'tai 三台
'san'tai'chun'qu 三台春曲
'san'tai'ling 三台令
'san'tian'hua 散天花
'san'tiao'xiao'ling 三调笑令
'san'xue'shi 三学士
'san'yu'xia 散余霞
'san'zhu'mei 三株媚
'san'zi'ling 三字令
'sao'di'hua 扫地花
'sao'di'wu 扫地舞
'sao'di'you 扫地游
'sao'hua'you 扫花游
'sao'shi'wu 扫市舞
'sen'chun'man 森春慢
'sha'chuang'hen 纱窗恨
'sha'chuang'yuan 纱窗怨
'sha'qi'zi 沙碛子
'sha'sai'zi 沙塞子
'sha'tou'yu 沙头雨
'shan'gui'yao 山鬼谣
'shan'hua'zi 山花子
'shan'jian'qing 山渐青
'shan'po'yang 山坡羊
'shan'tao'hong 山桃红
'shan'ting'liu 山亭柳
'shan'ting'yan 山亭燕
'shan'wai'yun 山外云
'shan'zhen'xi'fan 山镇西犯
'shang'chun'qu 伤春曲
'shang'chun'yuan 伤春怨
'shang'hua'shi 赏花时
'shang'jiang'hong 上江虹
'shang'lin'chun 上林春
'shang'lin'chun'ling 上林春令
'shang'lin'chun'man 上林春慢
'shang'ma'jiao 上马娇
'shang'nan'ping 上南平
'shang'ping'nan 上平南
'shang'ping'xi 上平西
'shang'qing'yuan 伤情怨
'shang'sheng'hua 上升花
'shang'shu'ma 上束马
'shang'xi'lou 上西楼
'shang'xi'ping 上西平
'shang'xian'chun 赏先春
'shang'xiao'lou 上小楼
'shang'xing'bei 上行杯
'shang'yang'chun 上阳春
'shao'bian 哨遍
'shao'nian'xin 少年心
'shao'nian'you 少年游
'shao'nian'you'man 少年游慢
'shen'yuan'jing 深院静
'shen'yuan'yue 深院月
'sheng'cha'zi 生查子
'sheng'chang 胜常
'sheng'kuai'ling 声块令
'sheng'le'wang 圣乐王
'sheng'ping'le 升平乐
'sheng'sheng'man 胜胜慢
'sheng'sheng'man 声声慢
'sheng'wu'you 圣无忧
'shi'ai'ci 十爱词
'shi'ba'xiang 十八香
'shi'cai'niang 拾菜娘
'shi'cui'yu 拾翠羽
'shi'er'hong 十二红
'shi'er'lang 十二郎
'shi'er'shi 十二时
'shi'hu'xian 石湖仙
'shi'liu'hua 石榴花
'shi'liu'zi'ling 十六字令
'shi'luo'xiang 试罗香
'shi'niu'zi 使牛子
'shi'pai'zi 十拍子
'shi'qiao'liu 市桥柳
'shi'shi'ling 师师令
'shi'xiang'jin'tong 侍香金童
'shi'yang'hua 十样花
'shi'zhou'di'yi 氏州第一
'shi'zhou'lang 试周郎
'shi'zhou'man 石州慢
'shi'zhou'xing 石州行
'shi'zhou'yin 石州引
'shou'lou'chun 寿楼春
'shou'nan'shan 寿南山
'shou'shan'qu 寿山曲
'shou'tao'chun 寿桃春
'shou'xing'ming 寿星明
'shu'lian'dan'yue 疏帘淡月
'shu'xi'chun 蜀溪春
'shu'ying 疏影
'shua'hai'er 耍孩儿
'shua'zi'xu'fan 刷子序犯
'shuang'dai'zi 双带子
'shuang'fei'yan 双飞燕
'shuang'he'ye 双荷叶
'shuang'hong'chun 双鸿鹑
'shuang'hong'dou 双红豆
'shuang'hua'shou 霜花膄
'shuang'ju'hua 霜菊花
'shuang'qu'yuan 双蕖怨
'shuang'quan'jiu 双劝酒
'shuang'rui'lian 双瑞莲
'shuang'sheng'zi 双声子
'shuang'shuang'yan 双双燕
'shuang'tian'xiao 霜天晓
'shuang'tian'xiao'jiao 霜天晓角
'shuang'tou'lian 双头莲
'shuang'tou'lian'ling 双头莲令
'shuang'yan'er 双燕儿
'shuang'ye'fei 霜叶飞
'shuang'yun'zi 双韵子
'shui'diao'ge'tou 水调歌头
'shui'jing'lian 水晶帘
'shui'long'yin 水龙吟
'shui'man'sheng 水漫声
'shui'tiao'ge 水调歌
'shui'xian'zi 水仙子
'shui'yun'you 水云游
'si'bian'jing 四边静
'si'dai'hao 四代好
'si'di'xiang 思帝乡
'si'fan'jian'mei'hua 四犯剪梅花
'si'fan'ling 四犯令
'si'he'chun 四和春
'si'he'xiang 四和香
'si'huan'tou 四换头
'si'ji'hua 四季花
'si'jia'ke 思佳客
'si'jiao'ke'ling 思焦客令
'si'kuai'yu 四块玉
'si'luo'ao 丝罗袄
'si'niang'er 似娘儿
'si'shi'hao 四时好
'si'xiao'jiang'mei'yin 四笑江梅引
'si'yuan'ren 思远人
'si'yuan'zhu 四园竹
'si'yue'ren 思越人
'si'zi'ling 四字令
'song'da'shou'ci 送大守词
'song'jiang'gui 送将归
'song'ru'wo'men'lai 送入我门来
'song'shao'yue 松梢月
'song'sheng'chao'ying 颂圣朝影
'song'zheng'yi 送征衣
'su'mu'zhe 苏幕遮
'su'tai'xin 苏台新
'su'wu'man 苏武慢
'su'zhong'qing 诉衷情
'su'zhong'qing'jin 诉衷情近
'suo'chuang'han 锁窗寒
'suo'chuang'han 琐窗寒
'suo'han'chuang 锁寒窗
'suo'han'chuang 琐寒窗
'suo'jiu 索酒
'suo'yang'tai 锁阳台
'ta'chun'you 踏春游
'ta'ge'ci 踏歌词
'ta'ma'zhen 踏马阵
'ta'qing'you 踏青游
'ta'sha'mei'ren 踏莎美人
'ta'suo'xing 踏莎行
'ta'yang'chun 踏阳春
'ta'yue 踏月
'ta'yun'xing 踏云行
'ta'zhi'jian 踏枝间
'tai'chang'yin 太常引
'tai'cheng'lu 台城路
'tai'cheng'you 台城游
'tai'ping'ling 太平令
'tai'ping'shi 太平时
'tan'chun 探春
'tan'chun'ling 探春令
'tan'chun'man 探春慢
'tan'dao'zi 探道子
'tan'fang'xin 探芳信
'tan'fang'xin 探芳新
'tan'fang'xun 探芳讯
'tan'hua'man 探花慢
'tan'po'cai'sang'zi 摊破采桑子
'tan'po'chou'nu'er 摊破丑奴儿
'tan'po'huan'xi'sha 摊破浣溪沙
'tan'po'jiang'cheng'zi 摊破江城子
'tang'duo'ling 唐多令
'tang'xiu'cai 倘秀才
'tao'hua'luo 桃花落
'tao'hua'shui 桃花水
'tao'yuan'yi'gu'ren 桃园忆故人
'tao'yuan'yi'gu'ren 桃源忆故人
'te'di'xin 特地新
'ti'ren'chou 替人愁
'ti'yin'deng 剔银灯
'tian'jing'sha 天净沙
'tian'men'yao 天门谣
'tian'shui'ling 甜水令
'tian'tian'chun 添添春
'tian'xia'le 天下乐
'tian'xia'le'ling 天下乐令
'tian'xian'zi 天仙子
'tian'xiang 天香
'tian'xiang'yin 天香引
'tian'zi'cai'sang'zi 添字采桑子
'tian'zi'huan'xi'sha 添字浣溪沙
'tiao'xiao 调笑
'tiao'xiao'ling 调笑令
'ting'qian'liu 亭前柳
'ting'qian'liu 厅前柳
'ting'yuan'shen'shen 庭院深深
'tou'bi'xiao 透碧宵
'tou'sheng'mu'lan'hua 偷声木兰花
'tu'si'er 秃厮儿
'tuo'bu'jin 脱布巾
'tuo'bu'shan 脱布衫
'wan'li'chun 万里春
'wan'nian'chun 万年春
'wan'nian'huan'man 万年欢慢
'wan'nian'qiu 万年秋
'wan'nian'si 万年斯
'wan'nian'zhi 万年枝
'wan'si'nian'qu 万斯年曲
'wan'xiang'shi'hou 晚香时候
'wan'yun'gao 晚云高
'wan'yun'hong'yue 晚云烘月
'wang'chun'hui 望春回
'wang'fu'ge 望夫歌
'wang'hai'chao 望海潮
'wang'hu'ren 望湖人
'wang'hua'hua'ling 望花花令
'wang'jiang'dong 望江东
'wang'jiang'mei 望江梅
'wang'jiang'nan 望江南
'wang'jiang'yuan 望江怨
'wang'mei 望梅
'wang'mei'chao 望梅潮
'wang'mei'hua 望梅花
'wang'peng'lai 望蓬莱
'wang'qin'chuan 望秦川
'wang'shu'gui 望书归
'wang'sun'xin 王孙信
'wang'xian'lou 望仙楼
'wang'xian'men 望仙门
'wang'xian'ren 望仙人
'wang'xiang'ren 望湘人
'wang'yuan'xing 望远行
'wang'yue'lou'luo'men'yin 望月楼罗门引
'wang'yun'tan'yin 望云滩引
'wei'cheng'qu 渭城曲
'wei'fan 尾犯
'wei'yang'hao 维扬好
'wen'feng'sheng 文风盛
'wu'chou'ke'jie 无愁可解
'wu'chun'feng 舞春风
'wu'fu'jiang'zhong'tian 五福降中天
'wu'geng'zhuan 五更转
'wu'gong'yang 五供养
'wu'huang'liang 悟黄梁
'wu'jia'qi 误佳期
'wu'lin'chun 武林春
'wu'ling'chun 武陵春
'wu'lou'zi 无漏子
'wu'lv'jie'tong'xin 五绿结同心
'wu'ma'ci 舞马词
'wu'men 无闷
'wu'meng'ling 无梦令
'wu'pai 五拍
'wu'shan'yi'duan'yun 巫山一段云
'wu'shan'yi'pian'yun 巫山一片云
'wu'su'nian 无俗念
'wu'tao'yuan 误桃源
'wu'tong'er 梧桐儿
'wu'tong'shu 梧桐树
'wu'tong'ying 梧桐影
'wu'xi'jing 无锡景
'wu'yang'hua 舞杨花
'wu'ye'er 梧叶儿
'wu'ye'ti 乌夜啼
'wu'ying'chun 舞迎春
'wu'yuan 无怨
'xi'chang'xin 喜常新
'xi'chao'tian 喜朝天
'xi'chun'lai 喜春来
'xi'chun'lang 惜春郎
'xi'chun'ling 惜春令
'xi'chun'rong 惜春容
'xi'chun'xian 惜春纤
'xi'chun'zi 惜春姿
'xi'di'jin 西地锦
'xi'fang'fei 惜芳菲
'xi'fen'chai 惜分钗
'xi'fen'fei 惜分飞
'xi'han'mei 惜寒梅
'xi'he 西河
'xi'he'man 西河慢
'xi'hong'yi 惜红衣
'xi'hu 西湖
'xi'hu'bian 西湖边
'xi'hu'chun 西湖春
'xi'hu'lu 西湖路
'xi'hu'ming'yue'yin 西湖明月引
'xi'hu'yue 西湖月
'xi'hua'chun 惜花春
'xi'hua'chun'qi'zao'man 惜花春起早慢
'xi'huang'hua 惜黄花
'xi'huang'hua'man 惜黄花慢
'xi'jiang'jing 淅江静
'xi'jiang'yue 西江月
'xi'jiang'yue'man 西江月慢
'xi'lian'sheng 喜连声
'xi'lou'zi 西楼子
'xi'meng'ling 西梦令
'xi'nu'jiao 惜奴娇
'xi'ping'le 西平乐
'xi'ping'le'man 西平乐慢
'xi'ping'qu 西平曲
'xi'qian'ying 喜迁莺
'xi'qian'ying'ling 喜迁莺令
'xi'qiong'hua 惜琼花
'xi'shi 西施
'xi'shi'chou'chun 西施愁春
'xi'shi'jin 西施锦
'xi'shuang'shuang 惜双双
'xi'shuang'shuang'ling 惜双双令
'xi'xi'zi 西溪子
'xi'xiao'yin 西笑吟
'xi'yi'ling 西意令
'xi'yi'qu 西意曲
'xi'yu'chun 惜余春
'xi'yu'chun'man 惜余春慢
'xi'yu'huan 惜余欢
'xi'yu'ming'chun'zhao 细雨鸣春沼
'xi'yu'xiang 惜余香
'xi'zhou'man 熙州慢
'xi'zi 西子
'xi'zi'zhuang 西子妆
'xi'zi'zhuang'man 西子妆慢
'xia'chu'lin 夏初临
'xia'fang'yuan 遐方怨
'xia'gu'lin 夏孤临
'xia'shou'chi 下手迟
'xia'shui'chuan 下水船
'xia'yun'feng 夏云峰
'xia'zhou 夏州
'xian'qu'xian'xian'yin 弦曲献仙音
'xian'xian'ling 闲闲令
'xian'xian'yin 献仙音
'xian'zhong'hao 闲中好
'xian'zhong'xin 献衷心
'xiang'chun'ye'yue 湘春夜月
'xiang'fei'yuan 湘妃怨
'xiang'hu'bian 向湖边
'xiang'jian'huan 相见欢
'xiang'shan'hui 香山会
'xiang'si'ling 相思令
'xiang'si'ling'er 相思令儿
'xiang'si'zi 相思子
'xiang'tian'zhan 向天盏
'xiang'yue 湘月
'xiang'yue 相月
'xiao'bai'ge 孝白歌
'xiao'chong'shan 小冲山
'xiao'lan'gan 小阑干
'xiao'liang'zhou 小梁州
'xiao'lou'lian'hua 小楼莲花
'xiao'mei'hua 小梅花
'xiao'sheng'le 小圣乐
'xiao'tao'hong 小桃红
'xiao'tao'hua 小桃花
'xiao'ting'hua 小庭花
'xiao'xi 消息
'xiao'xiang'feng'gu'ren'man 潇湘逢故人慢
'xiao'xiang'qu 潇湘曲
'xiao'xiang'shen 潇湘神
'xiao'xiang'ye'yu 潇湘夜雨
'xiao'xiao'yu 萧萧雨
'xiao'xiao'yu 潇潇雨
'xiao'yao'le 逍遥乐
'xiao'zhen'xi 小镇西
'xiao'zhen'xi'fan 小镇西犯
'xiao'zhong'shan 小重山
'xiao'zhong'shan'ling 小重山令
'xie'chi'chun 谢池春
'xie'chun'chi'man 谢春池慢
'xie'er'qu 鞋儿曲
'xie'fang'ci 撷芳词
'xie'qiu'niang 谢秋娘
'xie'qiu'yu 谢秋娱
'xie'xin'en 谢新恩
'xie'yu'hua 解语花
'xin'an'lu 新安路
'xin'nian'bie 新念别
'xin'shui'ling 新水令
'xin'shui'ming 新水命
'xin'yan'guo'zhuang'lou 新雁过妆楼
'xing'bu'de 行不得
'xing'hua'feng 杏花风
'xing'hua'tian 杏花天
'xing'liang'yan 杏梁燕
'xing'lu'nan 行路难
'xing'xiang'zi 行香子
'xing'yao'zi 行杳子
'xiu'bi'xiao 秀碧宵
'xiu'dai'er 绣带儿
'xiu'dai'zi 绣带子
'xiu'ting'zhen 绣停针
'xiu'xiang'er 秀厢儿
'xuan'guan'zi 选冠子
'xuan'guan'zi 选官子
'xuan'qing 宣情
'xue'fang'cao 雪芳草
'xue'hua'fei 雪花飞
'xue'lv'suo 雪绿蓑
'xue'shi'er 雪狮儿
'xue'shi'yin 学士吟
'xue'yue'jiao'guang 雪月交光
'xue'yue'xian'jiao 雪月先交
'xun'mei 寻梅
'xun'yao'cao 寻瑶草
'ya'tou'lv 鸭头绿
'yan'chun'tai 燕春台
'yan'chun'tai'man 宴春台慢
'yan'er'mei 眼儿媚
'yan'gui'lai 燕归来
'yan'gui'liang 燕归梁
'yan'hou'gui 雁后归
'yan'jue'er 盐角儿
'yan'jue'er'ling 盐角儿令
'yan'qian'que 檐前缺
'yan'qing'dou 宴清都
'yan'qiong'lin 宴琼林
'yan'shan'ting 宴山亭
'yan'shan'ting 燕山亭
'yan'tai'chun 燕台春
'yan'tao'yuan 宴桃源
'yan'tong'yan 燕同宴
'yan'xi'yuan 宴西园
'yan'yao'chi 宴瑶池
'yan'ying'yu 燕莺语
'yang'chun 阳春
'yang'chun'qu 阳春曲
'yang'guan'qu 阳关曲
'yang'guan'yin 阳关引
'yang'liu'zhi 杨柳枝
'yang'tai'lu 阳台路
'yang'tai'meng 阳台梦
'yang'tai'qu 阳台曲
'yang'zhou'man 扬州慢
'yao'chi'yan 瑶池宴
'yao'chi'yan 瑶池燕
'yao'hua 瑶花
'yao'hua'man 瑶花慢
'yao'jie'cao 瑶阶草
'yao'tai'di'yi'ceng 瑶台第一层
'yao'tai'ju'ba'xian 瑶台聚八仙
'yao'tian'feng 遥天奉
'ye'ban'le 夜半乐
'ye'dao'yi 夜捣衣
'ye'fei'le 夜飞乐
'ye'fei'que 夜飞鹊
'ye'he'hua 夜合花
'ye'jin'men 谒金门
'ye'lai'hua 夜来花
'ye'niao'fei'man 夜鸟飞慢
'ye'ru'nian 夜如年
'ye'xing'chuan 夜行船
'ye'you'chao 夜游朝
'ye'you'gong 夜游宫
'yi'ban'zi 一半子
'yi'bu'jin 意不尽
'yi'chuan'ling 伊川令
'yi'chui'xiao 忆吹箫
'yi'cong'hua 一丛花
'yi'cun'jin 一寸金
'yi'di'jing 忆帝京
'yi'dian'chun 一点春
'yi'duo'jiao 忆多娇
'yi'e'hong 一萼红
'yi'gu'ren 忆故人
'yi'guo'jin 一过金
'yi'han'yue 忆汉月
'yi'hen'sha 一痕沙
'yi'hu'qiu 一斛球
'yi'hu'zhu 一斛珠
'yi'jian'mei 一剪梅
'yi'jian'mei 一翦梅
'yi'jiang'chun'shui 一江春水
'yi'jiang'feng 一江风
'yi'jiang'nan 忆江南
'yi'jiang'yue 忆江月
'yi'jiu'you 忆旧游
'yi'jun'wang 忆君王
'yi'liu'qu 忆柳曲
'yi'luo'chun 一落春
'yi'luo'suo 一落索
'yi'luo'suo 一络索
'yi'luo'yue 忆萝月
'yi'men'ling 忆闷令
'yi'meng'jin 一梦金
'yi'nan'wang 意难忘
'yi'nian'chun 一年春
'yi'nian'hong 一捻红
'yi'qi'ling 一七令
'yi'qin'e 忆秦娥
'yi'ren'ren 忆人人
'yi'shao'nian 忆少年
'yi'si'feng 一丝风
'yi'sui'yue 忆岁月
'yi'wang'sun 忆王孙
'yi'xian'zi 忆仙姿
'yi'yang'hua 一样花
'yi'yao'ji 忆瑶姬
'yi'ye'le 一叶乐
'yi'ye'luo 一叶落
'yi'ye'ye 一叶叶
'yi'yu'hang 忆余杭
'yi'zhang'tai 忆章台
'yi'zhen'fei 忆真妃
'yi'zhi'chun 一枝春
'yi'zhi'hua 一枝花
'yi'zhi'hua'fan 一枝花犯
'yi'zhou'ling 伊州令
'yin'he'fu'cha 银河浮槎
'yin'jia'xing 引驾行
'yin'ma'ge 饮马歌
'yin'zhou'san'tai 尹州三台
'ying'chang'tian 应长天
'ying'chun'lai 迎春来
'ying'chun'le'ling 迎春乐令
'ying'jing'le 应景乐
'ying'shan'hong 映山红
'ying'sheng'rao'hong'lou 莺声绕红楼
'ying'shi'ming'jin 应时明近
'ying'tian'chang 应天长
'ying'tian'chang'ling 应天长令
'ying'tian'chang'man 应天长慢
'ying'tian'liang 应天良
'ying'wu'qu 鹦鹉曲
'ying'xin'chun 迎新春
'yong'dao'lian 咏捣练
'yong'yu'le 永遇乐
'yong'yuan'le 永原乐
'you'dai'chang'zhong'kong 铀带长中空
'you'hu'lu 油葫芦
'you'you'ling 有有令
'yu'bao'du 玉抱肚
'yu'chi'bei 尉迟杯
'yu'dai'hua 御带花
'yu'dian'liang 玉簟凉
'yu'dian'qiu 玉簟秋
'yu'er'zhuan 鱼儿赚
'yu'er'zhui'jin'huan 玉珥坠金环
'yu'fei'le 于飞乐
'yu'fu 渔父
'yu'fu'jia'feng 渔父家风
'yu'fu'le 渔父乐
'yu'ge'zi 渔歌子
'yu'hu'bing 玉壶冰
'yu'hu'die 玉蝴蝶
'yu'jia'ao 渔家傲
'yu'jia'le 渔家乐
'yu'jiao'zhi 玉交枝
'yu'jie'xing 御街行
'yu'jing'qiu 玉京秋
'yu'jing'xiao 玉京箫
'yu'jing'yao 玉京谣
'yu'la'mei'zhi 玉腊梅枝
'yu'lan'gan 玉阑干
'yu'lian'hua 玉莲花
'yu'lian'huan 玉连环
'yu'lian'huan'ying 玉连环影
'yu'lin'ling 雨霖铃
'yu'lin'ling 雨淋铃
'yu'long'yao 玉龙瑶
'yu'lou'chi 玉漏迟
'yu'lou'chun 玉楼春
'yu'lou'chun'ling 玉楼春令
'yu'mei'ling 玉梅令
'yu'mei'ren 虞美人
'yu'mei'ren'ling 虞美人令
'yu'mei'ren'ying 虞美人影
'yu'mei'rong 玉美蓉
'yu'nv'feng'chun'man 玉女逢春慢
'yu'nv'yao'xian'pei 玉女摇仙珮
'yu'nv'ying'chun'man 玉女迎春慢
'yu'ren'ge 玉人歌
'yu'ren'peng'lu'pan 玉人捧露盘
'yu'shan'tui 玉山颓
'yu'shan'zhen 玉山枕
'yu'shu'hou'ting'hua 玉树后庭花
'yu'shui'chun'lai 鱼水春来
'yu'shui'ming'sha 玉水明沙
'yu'shui'tong'huan 鱼水同欢
'yu'tang'chun 玉堂春
'yu'tuan'er 玉团儿
'yu'xian'ge 羽仙歌
'yu'you'chun'shui 鱼游春水
'yu'zhong'hao 于中好
'yu'zhong'hao 於中好
'yu'zhong'hua 雨中花
'yu'zhong'hua'ling 雨中花令
'yu'zhong'hua'man 雨中花慢
'yu'zhu'xin 玉烛新
'yu'zhu'zhan 玉竹斩
'yuan'chao'gui 远朝归
'yuan'cheng'shuang 愿成双
'yuan'chun'feng 怨春风
'yuan'chun'gui 怨春闺
'yuan'chun'gui 怨春归
'yuan'chun'lang 怨春郎
'yuan'he'ling 元和令
'yuan'hui'he 怨回纥
'yuan'hui'qu 元会曲
'yuan'san'san 怨三三
'yuan'ti'juan 怨啼鹃
'yuan'wang'sun 怨王孙
'yuan'yang'meng 鸳鸯梦
'yue'bian'jiao 月边娇
'yue'cheng'chun 月城春
'yue'dang'chuang 月当窗
'yue'dang'ting 月当听
'yue'di'xiu'xiao'pu 月底修箫谱
'yue'er'gao 月儿高
'yue'gong'chun 月宫春
'yue'hua'qing 月华清
'yue'jiang'yin 越江吟
'yue'jin'jing 阅金经
'yue'man 月慢
'yue'nv'jing'xin 越女镜心
'yue'shang'gua'zhou 月上瓜州
'yue'shang'hai'tang 月上海棠
'yue'xi'han 越溪寒
'yue'xia'di 月下笛
'yue'zhao'li'hua 月照梨花
'yue'zheng 乐正
'yue'zhong'gui 月中桂
'yue'zhong'hang 月中行
'yun'bin'luan 云鬓乱
'yun'bin'song'ling 云鬓松令
'yun'dan'qiu'kong 云淡秋空
'yun'ling 韵令
'yun'song'ling 云松令
'yun'wu'lian 云雾敛
'zan'cheng'gong 赞成功
'zan'pu'zi 赞浦子
'zao'chun'yuan 早春怨
'zao'lan'xiang 澡兰香
'zao'luo'te'ji 皂罗特髻
'zao'mei'fang 早梅芳
'zao'mei'xiang 早梅香
'zhai'de'xin 摘得新
'zhai'hong'ying 摘红英
'zhan'chun'fang 占春芳
'zhan'chun'kui 占春魁
'zhan'mei'fang 占梅芳
'zhang'tai'liu 章台柳
'zhao'bi'tao 照碧桃
'zhao'chao 招潮
'zhao'hong'mei 照红梅
'zhao'jun'yuan 昭君怨
'zhe'dan'gui 折丹桂
'zhe'gu'ci 鹧鸪词
'zhe'gu'tian 鹧鸪天
'zhe'gui'ling 折桂令
'zhe'heng'shan 这横山
'zhe'hong'mei 折红梅
'zhe'hong'ying 折红英
'zhe'hua'ling 折花令
'zhe'liu'zhi 折柳枝
'zhe'xian'yuan 谪仙怨
'zhe'yang'liu 折杨柳
'zhe'zhi'yin 柘枝引
'zhen'po'le 阵破乐
'zhen'xi 镇西
'zhen'zhu'lian 真珠帘
'zhen'zhu'ling 珍珠令
'zheng'bu'le 征部乐
'zheng'zhao 征招
'zheng'zhao'tiao'zhong'qiang 征招调中腔
'zhi'ban'huan 掷半浣
'zhi'jin'qian 掷金钱
'zhi'ren'jiao 滞人娇
'zhong'li'chun 钟离春
'zhong'yang'le 中央乐
'zhou'jin'tang 昼锦堂
'zhou'yu'da'xin'he 骤雨打新荷
'zhu'lian'juan 珠帘卷
'zhu'ma'che 竹马车
'zhu'ma'er 竹马儿
'zhu'ma'ting 驻马听
'zhu'nu'er'fan 朱奴儿犯
'zhu'pai'er 竹牌儿
'zhu'xiang'zi 竹香子
'zhu'ying'tai 祝英台
'zhu'ying'tai'jin 祝英台近
'zhu'ying'yao'hong 烛影摇红
'zhu'yun'fei 驻云飞
'zhu'zhi 竹枝
'zhu'zhi'ci 竹枝词
'zhu'zhi'zi 竹枝子
'zhuan'diao'er'lang'shen 转调二郎神
'zhuan'diao'ta'suo'xing 转调踏莎行
'zhuan'sha 赚煞
'zhuan'ying'ci 转应词
'zhuan'ying'qu 转应曲
'zhuang'chun'sui 庄椿岁
'zhuo'lu'lian 拙鲁连
'zhuo'mu'er 啄木儿
'zhuo'pai'chou'nu'er 捉拍丑奴儿
'zhuo'pai'zi 卓牌子
'zhuo'pai'zi'man 卓牌子慢
'zhuo'xiang'ling 濯香令
'zhuo'zhuo'hua 灼灼花
'zi'hua'er'xu 紫花儿序
'zi'liu'ma 紫骝马
'zi'ye 子夜
'zi'ye'ge 子夜歌
'zi'yu'xiang'man 紫萸香慢
'zi'yu'xiao 紫玉箫
'zi'zi'jin 字字锦
'zi'zi'shuang 字字双
'zui'chui'bian 醉垂鞭
'zui'chun'feng 醉春风
'zui'chun'tai 醉春台
'zui'dong'feng 醉东风
'zui'fu'gui 醉扶归
'zui'gao'chun 最高春
'zui'gao'lou 最高楼
'zui'gong'zi 醉公子
'zui'hong'zhuang 醉红妆
'zui'hua'chun 醉花春
'zui'hua'fan 醉花番
'zui'hua'jian 醉花间
'zui'hua'yin 醉花荫
'zui'jiang'yue 醉江月
'zui'luo'po 醉落魄
'zui'luo'tuo 醉落拓
'zui'mei'hua 醉梅花
'zui'mu'xi 醉木犀
'zui'peng'lai 醉蓬莱
'zui'si'fan 醉思凡
'zui'si'xian 醉思仙
'zui'tai'ping 醉太平
'zui'tao'yuan 醉桃园
'zui'tao'yuan 醉桃源
'zui'weng'cao 醉翁操
'zui'xiang'chun 醉乡春
'zui'yao'se 醉瑶瑟
'zui'yin'shang 醉吟商
'zui'yin'xian'xiao'pin 醉吟仙小品
'zui'zhong'tian 醉中天
'zui'zhuang'ci 醉妆词
