'ai'ai'san'zi'yu 哀哀三字狱
'xiao'chuang'kai'bu'de 小窗开不得
'xiao'kan'bei'di'fei'chao'ban 笑看北地废朝班
'xiao'niang'shou'ju'ao'fen'fang 萧娘瘦菊傲芬芳
'xiao'wo'nu'chi'wang 笑倭奴痴妄
'xiao'xue'shi'jie'liang'fei'xue 小雪时节两飞雪
'xiao'ying'liu'shi'jun 笑迎刘使君
'xiao'yuan'jing'jing'bi'hu'bian 小园静静碧湖边
'xie'lu'ge'sheng'gu'zhan'chang 薤露歌声古战场
'xin'di'qing'liang'fu'xin'song 心地清凉符心颂
'xin'leng'ru'he'ku'dao'nong 心冷如何苦到侬
'xin'shi'shao'zhuang'shen'you'jian 新师少壮身犹健
'xin'si'chun'ri'chong'fang'gu'ba 辛巳春日重访古巴
'xin'si'jun 新四军
'xin'wen'wai'di'tong'shi'jing 欣闻外地同时靖
'xin'you'han'shuang'kan'ji'ao 信有寒霜堪寄傲
'xin'you'jia'bing'lai'bei'di 信有佳兵来北地
'xin'zhong'yi'chu'ren'ren'guan 新种移出认人观
'xing'dan'jia'ju'nong'rou'hao 性耽佳句弄柔毫
'xing'fu'gui'lai'bi'shi'chao 幸赋归来避市朝
'xing'ren'gui'wei'gui 行人归未归
'xing'you'zhang'yang'shuang'shi'er 幸有张扬双十二
'xiong'fei'zhi'zai'wu'zhou'wai 雄飞志在五洲外
'xiong'xiong'tian'xia'jin'wei'feng 汹汹天下尽为烽
'xiu'dao'yuan'cheng'xiu'yang'yuan 修道院成休养院
'xu'guo'yi'wang'shen 许国已忘身
'xu'lai'ri 须来日
'xu'lao'lao'ying'xiong 徐老老英雄
'xu'niang'wu'chi'luan'deng'tai 徐娘无耻乱登台
'xu'ri'fang'sheng'dan'qi'yang 旭日方升旦气扬
'xu'shui'san'yi'er 蓄水三亿二
'xuan'shi'shi'pian'ji'hou'kun 选释诗篇激后昆
'xue'ji'ling'yuan'zai 血迹陵园在
'xue'man'can'yang 雪漫残阳
'xue'ni'hong'zhao'jiang'cheng'di 雪泥鸿爪江城地
'xue'ye'ben'xi'wu'hu'jiao 雪夜奔袭芜湖郊
'xue'ying'zheng'yi'shu'shui'hong 血映征衣蜀水红
'xue'zhan'jia'zhou'jiu'hai'hong 血沾甲胄久还红
'xun'ming'ri'yue'xin 勋名日月新
'ya'lu'jiang'bian'yin'zhan'ma 鸭绿江边饮战马
'yan'di'dang'ping'bian'suo'lu 燕地荡平鞭索虏
'yan'jian'fei'song'yi 偃蹇非松意
'yan'kan'dao'feng'tian 眼看到奉天
'yan'mi'bu'neng'fen'ju'xi 眼密不能分巨细
'yan'nian'yi'shou'fa 延年益寿法
'yan'shi'tu'niu'piao'bo'qiu 燕市屠牛漂泊秋
'yan'you'zai'er'cheng'xu'shi 言犹在耳成虚誓
'yan'yu'mi'meng'fang'jiu'zong 烟雨迷蒙访旧踪
'yan'zhi'yuan'feng'ding 烟直缘风定
'yang'cheng'nong'li'sui'yue'diao 羊城农历岁月凋
'yang'cheng'xi'yu'ye'jian'ying 羊城喜遇叶剑英
'yang'tian'chu'chu'chu'yang'zhen 秧田处处出秧针
'yang'yu'qian'wan'wei 养鱼千万尾
'yang'zhi'yong'lian'ji'li'chu 养殖鳙鲢鲫鲤储
'yao'guan'yi'you'yuan 遥观亦有缘
'yao'wang'tian'du'yi'ke'song 遥望天都倚客松
'yao'xu'nu'li'jiu'chuang'shang 要须努力救疮伤
'ye'gao'cheng'gai'zong'ting'ting 叶高撑盖总亭亭
'ye'meng'yi'yi'wo'bu'ran 夜梦依依我不然
'ye'xin'da 野心大
'ye'ye'kong'jiang'tou 夜夜空江头
'ye'zhao'jun'mu 谒昭君墓
'yi'bi'yuan'lin'kuan'yue'zhong 已敝园林宽悦众
'yi'biao'kan'cheng'hou'shi'shi 仪表堪称后世师
'yi'bin'you'huan'xun'chang'shi 已摈忧患寻常事
'yi'chang'da'zhan 一场大战
'yi'chuan'xiang'biao'chu'fu'sang 已传降表出扶桑
'yi'dao're'he 已到热河
'yi'fou'chun'yu'li'hua'bai 忆否春雨梨花白
'yi'fu'zhong'qie'guo 一夫终窃国
'yi'jiu'li'shan'wu'lao'cang 依旧骊山兀老苍
'yi'ju'hui'huang'xu'ren'shu 义举辉煌诩仁术
'yi'liu'qiu'shui'zhu'bo'yao 一流秋水逐波遥
'yi'min'qi'fa'fen 亿民齐发愤
'yi'ni'feng'guang'sheng'li'tang 旖旎风光胜李唐
'yi'nian'yi'du'guo'hua'luo 一年一度果花落
'yi'nian'yi'du'guo'shu'hong 一年一度果树红
'yi'qi'ba'yi'ju'nan'chang 义旗八一举南昌
'yi'qian'wu'bai'ba 一千五百八
'yi'qu'bei'jia'chui'bu'jin 一曲悲笳吹不尽
'yi'ran'de'di'zi'han'fang 依然得地自含芳
'yi'ran'yue'ming'ru'xi 依然月明如昔
'yi'sheng'qi'yun'nan 义声起云南
'yi'sheng'wei'ge'ming 一生为革命
'yi'shi'jian'zhe'zhang'zhen'wu 一时健者张振武
'yi'shi'wu'cheng'jie'ban'lao 一事无成嗟半老
'yi'shi'zhi'shi'wan 一师制十万
'yi'shu'you'shen'yi 遗书有深意
'yi'shui'chan'chan'qu'zhe'liu 一水潺潺曲折流
'yi'tian'wen'jun'zhong 忆天问军中
'yi'xiang'zhi'chong'tian 一翔直冲天
'yi'you'shi'da'jun 已有十大军
'yi'you'ye'ting 忆友叶挺
'yi'ze'yi'gui'zhen 易箦亦归真
'yi'zhen'meng'huang'liang 一枕梦黄粱
'yi'zhi'ji'cheng'guo'duan 遗志继承果断
'yin'jiu'ge 饮酒歌
'yin'mou'du 阴谋毒
'yin'ren'wei'wan'chuan 因人委婉传
'yin'shi'qian'huai'bao 吟诗遣怀抱
'yin'shi'shou'shi'yuan'yu'shi 吟诗寿世原余事
'ying'suo'zhi'jin'qin 莺梭织锦勤
'ying'xin'jiang'you'yi'ru'chao 迎新将有艺如潮
'ying'xiong'qian'zai'ji'huang'qiu 英雄千载几荒丘
'yong'dong 咏冬
'yong'gan'sha'di 勇敢杀敌
'yong'hu'dang'zhong'yang 拥护党中央
'yong'hu'hua'zhu'xi 拥护华主席
'yong'luo'tiao 用箩挑
'you'bao'ceng'ming'fu'xiao 有报曾名拂晓
'you'chu'qing'you'bu'yong'qiu 游处清幽不用求
'you'gu'lang'yu'ri'guang'yan 游鼓浪屿日光岩
'you'hua'qing'chi'he'guo'lao'yun 游华清池和郭老韵
'you'jing'bo'hu'si'shou 游镜泊湖四首
'you'lan'tu'xiu'qiao'mu'xia 幽兰吐秀乔木下
'you'lan'yi'yi'dai'dong'kai 幽兰奕奕待冬开
'you'li'fen'wo'chang 油梨分我尝
'you'luo'gang'ci 游罗岗祠
'you'ren'ke'fan'zhou 游人可泛舟
'you'ren'xin'chang'yuan'gou'liu 游人欣尝愿勾留
'you'shi'shen'zhou'cao'mu'chun 又是神州草木春
'you'shi'ying'chun'jie 又是迎春节
'you'xiang'shan 游香山
'you'yin'jia'ju'zhu'an'kang 又吟佳句祝安康
'you'you'yi'shui'chu'long'men 悠悠伊水出龙门
'you'yu'jin'gui'gou 有雨尽归沟
'you'yu'mei'bai'gui 有余魅拜鬼
'yu'bu'feng'shou'ke'zheng'de 预卜丰收可争得
'yu'ge'ting'chang'yuan 渔歌听唱远
'yu'hou'chun'guang'yi'se'xin 雨后春光一色新
'yu'hou'zhao'zhao'shang'xiao'feng 雨后朝朝上晓峰
'yu'kan'liang'fei'pu 雨看两飞瀑
'yu'men'hun'fan'guan'shan'hei 玉门魂返关山黑
'yu'miao'bing'zhou'kuai'jian'dao 语妙并州快翦刀
'yu'quan'liu'guan'yi'he'yuan'qiang'gen 玉泉流贯颐和园墙根
'yu'que'qiong'lou'wei'bi'ai 玉阙琼楼委碧埃
'yu'sheng'neng'le'ji'fen'xiao 余生能乐几分宵
'yu'shu'qiong'hua'man'mu'chun 玉树琼花满目春
'yu'yu'ding'zeng'yan 禹域定增妍
'yu'zhong'shi 狱中诗
'yu'zi'cheng'xiong'jie'fen'xiao 余子称雄嗟分小
'yuan'ming'liang'du'kun'ming'jie 圆明两度昆明劫
'yuan'wang'e'mei'yun'li'zhao 远望峨眉云里罩
'yuan'wei'min'zhu'zuo'chang'cheng 愿为民主作长城
'yue'jin'cang'sang'shu'bai'nian 阅尽沧桑数百年
'yue'shang'jing'gang'qi'zhi'xin 跃上井冈旗帜新
'yun'fei'ren'zi'hai 云飞人自还
'yun'teng'zhi'yu'qi 云腾致雨气
'yun'wu'cha 云雾茶
'yun'zai'qing'shan'wai 云在青山外
'zai'du'hui'mou 再度回眸
'zai'he'guo'mo'ruo 再和郭沫若
'zai'qu'you'tan'liang'shi'que 灾区犹叹粮食缺
'zai'tai'ping'yang'zhou'zhong'zuo 在太平洋舟中作
'zan'jiu'ren'min'zi'di'bing 咱就人民子弟兵
'zan'wo'jun'ji'dao'wu'geng 赞我军机到五更
'zao'fu'yi'fang 造福一方
'zao'lie'hong'jun'zhu'ling'ming 早列红军著令名
'zeng'gu'lao 赠顾老
'zeng'niu'yue'hua'qiao'chen'jin'jian'xian'sheng 赠纽约华侨陈金坚先生
'zeng'yu'shi'shang'ren 赠与世上人
'zeng'yu'tong'chuang'hao'you 赠与同窗好友
'zeng'zhu'you 赠诸友
'zhai'cheng'xiao'ya'rao'you'qu 斋称晓雅饶游趣
'zhan'ji'zhuang'shan'se 战迹壮山色
'zhan'juan'mo'ru'he 展卷莫如何
'zhan'mang'dang 战芒砀
'zhang'fu'shi'zhi 丈夫矢志
'zhang'qian'kang'kai'zheng'ge'wu 帐前慷慨徵歌舞
'zhao'jun'zi'you'qian'qiu'zai 昭君自有千秋在
'zhen'bi'gao'hu'wo'bi'sheng 振臂高呼我必胜
'zhen'ri'feng'he'yu 镇日风和雨
'zhen'shi'zui'gai'wan'si 真是罪该万死
'zhen'xian'you'cun'ban'ji'liao 针线犹存伴寂寥
'zheng'qi'ren'cui'tian'bu'mie 正气人摧天不灭
'zheng'qi'yang'de'xing 正气养德行
'zheng'qu'ren'min'da'xian'zhang 争取人民大宪章
'zheng'yi'yu'ji'tian'ya'yuan 征衣欲寄天涯远
'zheng'zhao'man'yuan'chun 正照满园春
'zheng'zhi'cheng'tian'yong'bu'yi 正直撑天永不移
'zheng'zhi'liu'mang'wen'pi 政治流氓文痞
'zhi'chui'shi'lu'duo 枝垂是露多
'zhi'jin'you'ting'gong'qiang'shui 只今犹听宫墙水
'zhi'ke'zhe 肢可折
'zhi'qiang'nan'er'bao'guo'jia 志强男儿保国家
'zhi'shi'bu'ci'wu'ma'ge 志士不辞污马革
'zhi'shi'bu'ke'ru 志士不可辱
'zhi'shi'hen'wu'qiong 志士恨无穷
'zhi'shi'ji'duan'chang 志士急断肠
'zhi'wei'duo'nian'kang'di'ren 只为多年抗敌人
'zhi'yao'zhu'yi'zhen 只要主义真
'zhi'yuan'jun'shu'dang'zhong'yang 只缘军属党中央
'zhi'yuan'qian'xian'xin'wu'cha 支援前线信无差
'zhi'zai'chun'qiu'bu'ke'yi 志在春秋不可移
'zhong'chao'liang'guo'you'qing'shen 中朝两国友情深
'zhong'cheng'ge'ming'guan'ping'sheng 忠诚革命贯平生
'zhong'dao'you'qin'shi 重道又亲师
'zhong'guo'hong'jun 中国红军
'zhong'hua'ling'qi'zai'lun'shan 中华灵气在仑山
'zhong'jiao'zun'shi'xin'di'tian 重教尊师新地天
'zhong'shan'huan'bao'cui'hu'qing 众山环抱翠湖清
'zhong'xiao'chu'jiang'hu 中宵出江户
'zhong'xin'wei'guo'sheng'ming'zai 忠心为国声名在
'zhong'xing'ming'lun'san'pian'ce 中兴名论三篇策
'zhong'yang'lao'xiu'shui'neng'zhu 中央老朽谁能主
'zhong'yuan'an'an'gui'shen'chou 中原黯黯鬼神愁
'zhong'yuan'tang'you'ying'ling'hu 中原倘有英灵护
'zhong'yuan'wei'ding'man'yan'gong 中原未定漫言功
'zhong'yuan'zhu'lu'shi'xiong'cai 中原逐鹿是雄材
'zhou'xun'hong'jing'ye'guan'tian 昼巡红镜夜观天
'zhu'jiang'liang'an'qiong'lou'xian 珠江两岸琼楼现
'zhu'jun'ai'guo'ying'kai'yan 诸君爱国应开颜
'zhu'jun'jie'bao'chuan 祝君捷报传
'zhu'jun'qin'dong'shou 诸君亲动手
'zhu'xi'hui'ju'shou 主席挥巨手
'zhu'zi'qing'dan'chen'jiu'shi'zhou'nian 朱自清诞辰九十周年
'zhu'zi'qing'dan'chen'yi'bai'zhou'nian 朱自清诞辰一百周年
'zhuang'bie'tian'ya'wei'xu'chou 壮别天涯未许愁
'zhuang'shi'tou'lu'wei'dang'luo 壮士头颅为党落
'zhui'si'fei'yue'qing'wu'kan 追思飞越情无槛
'zhuo'zhuo'xin'miao'zhuang 茁茁新苗壮
'zi'bi'ze'tian'wu'hou 自比则天武后
'zi'gu'ying'xiong 自古英雄
'zi'sun'xu'ji'xue'ning'cheng 子孙须记血凝成
'zi'ye'ge 子夜歌
'zi'zi'shao'yan'se 自兹少颜色
'zong'dai'can'yan'xi'yu'kuang 纵带惭颜喜欲狂
'zong'ran'xi'bie'zong'you'shi 纵然惜别总有时
'zong'shi'wu'ren'jian'xin'shang 纵使无人见欣赏
'zou'zi'pai 走资派
'zu'guo'an'wei'ren'you'ze 祖国安危人有责
'zu'guo'shou'fu'yi 祖国收复矣
'zui'hun'cai'suan'xian 醉昏才算仙
'zuo'ai'wan'shan'zhi 坐爱晚山枝
'zuo'guan'pu'lou'zhong'dui'yu 坐观瀑楼中对雨
'zuo'jun'zhen'zhuo'luo 左君真卓荦
'zuo'you'hui'ge'sha'chang 左右挥戈沙场
'zuo'zhong'yao'yuan'ke 座中邀远客
