'a'mu'bu'jia'nv 阿母不嫁女
'dan'qing'guang'zhao'di 丹青光照地
'dan'sao'chun'shan'ba'zi'mei 淡扫春山八字眉
'dan'shi'xuan'ge'xiao'sha'qi 但使玄戈销杀气
'dan'yuan'huang'tian'yu'ji'xiu 但愿皇天雨即休
'dan'zhi'bao'shi'zhong'ye'mian 但知饱食终夜眠
'dang'nian'jie'ke'tong'xin'zhe 当年结客同心者
'dang'nian'ying'hui'qing'xiang'qi 当年应悔轻相弃
'dang'shi'bu'shi'yan'ping'yuan 当时不识颜平原
'dang'shi'fa'zu'kai'yin'zhai 当时发卒开阴宅
'dang'shi'shu'zuo'fang'wei'wei 当时输作方亹亹
'dang'shi'shui'jin'liu'min'tu 当时谁进流民图
'dang'shi'xiang'song'xiang'jing'hua 当时相送向京华
'dang'shi'xing'bu'peng'ruo'weng 当时幸不烹若翁
'dang'shi'zhi'kong'jin'guan'fu 当时直恐金棺腐
'dang'yan'an'ba'xie'tian'en 当筵按罢谢天恩
'dang'zi'wu'shi'jia 荡子无室家
'dao'chu'lun'jiao'shan'zui'xian 到处论交山最贤
'dao'chu'pu'yi'shang 到处扑衣裳
'dao'chu'xi'bian'lian'xie'ke 到处溪边怜谢客
'dao'jin'jing'zuo'tian'heng'ke 到今竟作田横客
'dao'lu'jian'guan'meng'qie'yao 道路间关梦且遥
'dao'pang'sa'lei'cheng'zhang'qu 道旁洒泪成长渠
'dao'ren'sheng'yi'shan'zhong'zu 道人生意山中足
'dao'yan'huang'hao'yuan'yu'qi 到眼黄蒿元玉砌
'de'shi'ye'fu'zheng'qu'yuan 得食野凫争去远
'de'zheng'bu'yi'shu 德政不一书
'deng'chao'bian'yu'huo'xiang'zhan 登朝便与祸相粘
'deng'guang'bu'dao'ming 灯光不到明
'deng'huo'qi'ting'xuan'ye'shi 灯火旗亭喧夜市
'deng'huo'zha'xi'chu'ru'geng 灯火乍熄初入更
'deng'qian'mei'zhu'er'xiu'ku 灯前每嘱儿休哭
'di'chui'yun'mu'zhang 低垂云母帐
'di'hui'nan'fu'ci'liang'xiao 低回难负此良宵
'di'ming'he'yu'yu'yi'qu 帝命和予羽衣曲
'di'ming'jing'zhi'tu 镝鸣惊雉兔
'di'sheng'yu'lang'qing'bu'liao 低声语郎情不了
'di'tou'bei'ren'zheng'qun'dai 低头背人整裙带
'di'tou'cai'yu'zan 低头采玉簪
'di'tui'chi'xin'yan'wang'zhong 帝推赤心阉罔忠
'di'yi'xian'ban'yu'lu'nong 第一仙班雨露浓
'di'zi'you'lian'yi'ren'zai 弟子犹怜一人在
'dian'gao'qie'shen'shui'de'jian 殿高且深谁得见
'dian'hua'lao'zhi'shi 点画劳指视
'dian'mai'qing'er'ji 典卖罄珥笄
'dian'ting'liu'xue'cheng'hai'shui 殿廷流血成海水
'diao'long'tai'xia'shui'ke'ji 钓龙台下水可楫
'diao'pan'zhan'hou'tian 雕盘战后天
'diao'wei'chang'sui'zhu'jiao'xing 掉尾长随竹轿行
'die'lian'cai'hua'qiu 蝶恋菜花秋
'die'shu'zou'bao'zhou'yu'xian 牒书走报州与县
'ding'hu'xiao'san'qian'feng'yu 鼎湖晓散千峰雨
'ding'ling'hai'shang'jie'mao'xi 丁零海上节毛稀
'ding'ning'xiao'lang'shen'wu'ti 丁宁小郎慎勿啼
'ding'shang'bei'geng'qi'weng'lao 鼎上杯羹弃翁姥
'ding'tao'mei'ren'qi'chu'wu 定陶美人泣楚舞
'ding'zi'bie'lai'hu'fu'chun 鼎子别来忽复春
'dong'cheng'jie'nan'mo 东城接南陌
'dong'cun'xi'she'xuan'hu'bian 东村西舍喧呼遍
'dong'e'long'zhong'qiang'qu'bi 冻饿龙钟强驱逼
'dong'fang'ri'chu'xiao'ya'ji 东方日出晓衙集
'dong'fang'tong'tong'ri'chu'chu 东方曈曈日初出
'dong'feng'chui'yu'ru'chui'chen 东风吹雨如吹尘
'dong'feng'man'lu'zi'teng'hua 东风满路紫藤花
'dong'feng'si'yue'chu'sheng'cao 东风四月初生草
'dong'jia'mei'ren'fa'wei'di 东家美人发委地
'dong'lai'hai'se'mi'xuan'tu 东来海色迷玄菟
'dong'lin'fei'guo'xi'lin'ming 东林飞过西林鸣
'dong'liu'ye'xia'guo 东流邺下过
'dong'nan'sui'wan'reng'pi'gu 东南岁晚仍鼙鼓
'dong'qing'hua'luo'ling'shang'ni 冬青花落陵上泥
'dong'ting'chang'she'yi'ye'ku 洞庭长蛇一夜枯
'dong'ting'yan'yu'he'miao'ming 洞庭滟滪何渺冥
'dong'ting'ye'wei'xia 洞庭叶未下
'dong'xiong'zhi'guan'chang'she'shu 洞胸直贯长蛇殳
'dong'xue'man'kong'jie 冻雪满空阶
'dong'xue'xia'lai'bu'dao'di 冬雪下来不到地
'dong'ying'fang'huo'ye'zhuo'men 东营放火夜斫门
'dong'yun'han'shu'xiao'mo'hu 冻云寒树晓模糊
'dou'men'wu'fu'jiu'san'san 都门无复旧毵毵
'dou'wang'shi'yi'lian 都忘失意怜
'dou'zai'jian'shu'hou 都在缄书后
'du'ci'yuan'zhong'wei'ru'men 独此垣中未入门
'du'cong'you'yue'gan'xing'shuai 独从忧乐感兴衰
'du'dui'qing'shan'yi'zan'gong 独对青山忆赞公
'du'he'chang'chan'yi'duan'hou 独荷长镵衣短后
'du'hen'xing'yin'ze'pan'shen 独恨行吟泽畔身
'du'hu'yu'shu'fei'han'hai 都护羽书飞瀚海
'du'jiang'ren'yi'jiao'qi'liang 独将仁义教齐梁
'du'ke'shang'wei'song'pin'jian 独客尚未送贫贱
'du'lai'yang'gu'dian 独来阳谷店
'du'li'kong'liu'shui 独立空流水
'du'li'kong'shan'can'dan'zhong 独立空山惨淡中
'du'liu'yi'pian'xi'shan'yue 独留一片西山月
'du'lou'bi'yue'jue'can'shu 髑髅避月攫残黍
'du'ru'yu'ti'xie 独汝与提携
'du'shang'xi'ling'du 独上西陵渡
'du'wo'wu'chang'cheng 独卧武昌城
'du'you'liu'huang'ji'shang'lei 独有流黄机上泪
'du'you'sheng'ming'xi'qu'si 独有声名系去思
'du'you'tian'feng'song'duan'jia 独有天风送短笳
'du'yu'sheng'zhong'lei'ru'xian 杜宇声中泪如霰
'du'zi'song'xia'zuo 独自松下坐
'du'zuo'yan'tou'yi'yi'chuan 独坐岩头意已传
'duan'bei'bu'ti'shen'xing'ming 短碑不题神姓名
'duan'chang'ke'lu'san'qian'li 断肠客路三千里
'duan'di'bu'jin'san'si'sheng 短笛不禁三四声
'duan'qiang'bu'jie'zhe'chun'yi 短墙不解遮春意
'duan'shi'lu'bang'er 端是路傍儿
'duan'zhang'wei'yin'guo'qiao'qu 短杖微吟过桥去
'duan'zu'leng'leng'xue'you'shi 短镞棱棱血犹湿
'dui'ci'hu'xiang'si 对此忽相思
'dui'huo'xian'bei'ru'shang'chun 对火衔杯如赏春
'dui'ke'fa'su'shu 对客发素书
'dui'yin'sha'ou'yi'chuang'shen 对吟沙鸥一怆神
'dun'rui'guo'jia'dao'mu 顿锐过贾岛墓
'dun'rui'luo'hua 顿锐落花
'dun'rui'shu'dao'nan 顿锐蜀道难
'duo'bing'gu'ren'shu'wei'da 多病故人书未达
'duo'fang'bi'luo'zhi 多方必罗致
'duo'hong'wu'yi'yu 堕红无一语
'duo'lu'zhan'tu'si 多露沾兔丝
'e'bei'zhao'yao'song'he'shi 峨碑照耀颂何事
'e'jing'wu'yue'yu'chen'yin 俄惊五月雨沉淫
'e'shao'ying'ren'zheng'du'xuan 恶少迎人争渡喧
'e'si'wu'guo'cheng 饿死五国城
'e'wu'ju'ran'nian'ming'chang 恶物居然年命长
'e'yun'miao'xiang'fa'zhu'chun 遏云妙响发朱唇
'er'cao'xu'lao'da 儿曹须老大
'er'he'wei'zhe'jun'dang'chai 尔何为者军当差
'er'lang'sou'shan'juan 二郎搜山卷
'er'lei'hao'sha'zhong'wang'qu 尔类好杀终亡躯
'er'mou'jing'zhou'ju 而谋荆州橘
'er'niu'jiao'wan'huan 尔牛角弯环
'er'nv'dang'xi'sun 儿女当夕飧
'er'reng'qian'li'xing 儿仍千里行
'er'sheng'wo'sheng'tu'wo'tu 尔生我生屠我屠
'er'shi'nian'lai'jin'shi'qi 二十年来金石期
'er'shi'wan'gui'sheng'jiu'jiu 二十万鬼声啾啾
'er'yue'chui'ge'lv 二月吹葛绿
'er'zi'gong'si'bu'gong'yi 二子工似不工意
'fa'dian'sui'yan'nai'hu'zhong 法典虽严奈怙终
'fa'luo'shou'qie'li 发落瘦且黧
'fan'cheng'ling'luan'ben'zhen'qiu 翻成凌乱奔榛丘
'fan'di'sa'ran'ren'fa'shu 幡底飒然人发竖
'fan'fu'zai'zhou'dao'xiang'zhu 翻覆载舟道相属
'fan'hua'xiu'shuo'luan'lai'fei 繁华休说乱来非
'fan'lao'bian'jiang'cong'jin'an 翻劳边将从金鞍
'fan'she'wu'sheng'liang'yi'jiu 反舌无声良已久
'fang'cao'shang'jie'sheng 芳草上阶生
'fang'cao'xiang'lian'wan'gu'chou 芳草相连万古愁
'fang'fu'han'yan'wai 仿佛寒烟外
'fang'fu'liao'cheng'shi'geng'fei 仿佛聊城矢更飞
'fang'jiu'wei'cun'si'wu'ren 访旧惟存四五人
'fang'shu'bu'zi'xi 芳树不自惜
'fang'xiao'ru'ti'hua 方孝孺题画
'fang'xiao'ru'zhu 方孝孺竹
'fang'xin'shi'bu'sui'bo'qu 芳心誓不随波去
'fang'yuan'xi'cao'fei'qing'chen 芳原细草飞轻尘
'fang'zhi'wu'neng'you'qian'de 纺织无能有潜德
'fei'cui'chai'liang'yun'zuo'ye 翡翠钗梁云作叶
'fei'fan'luo'jing'zhong 飞帆落镜中
'fei'guan'bei'di'bie'cang'chun 非关被底别藏春
'fei'hua'mian'qian'duo 飞花面前堕
'fei'lai'wu'se'niao 飞来五色鸟
'fei'liang'wei'yi'san'cai'hong 飞梁逶迤三彩虹
'fei'ru'zhao'yang'dian 飞入昭阳殿
'fei'shuang'you'zi'man'yan'shan 飞霜犹自满燕山
'fei'suo'bu'zhe'you'yu'chi 飞梭不折幼舆齿
'fei'zi'yi'bo'chou'cheng'jiao 妃子衣薄愁成娇
'fen'bing'du'you'ren'gong'zi 愤兵独有任公子
'fen'fen'bao'ma'yu'xiang'che 纷纷宝马与香车
'fen'fen'dao'shang'ren 纷纷道上人
'fen'fen'huang'jin'su 纷纷黄金粟
'fen'fen'shui'guai'wu'liu'zong 纷纷水怪无留纵
'fen'shui'qiu'feng'you'fei'yan 汾水秋风有飞雁
'fen'wu'ben'jian'lie 纷吾本蹇劣
'feng'bo'ru'jiu'ke'chou'xin 风波如旧客愁新
'feng'chen'shuang'lei'ti'pao'jin 风尘双泪绨袍尽
'feng'chen'yi'dan'jin'cheng'huang 风尘一旦禁城荒
'feng'chen'zhong'zuo'ke 风尘重作客
'feng'chui'bai'yan'xuan 风吹白雁旋
'feng'chui'bu'dao'di 风吹不到地
'feng'chui'hai'shui'qiu'wu'bian 风吹海水秋无边
'feng'chui'he'huan'dai 风吹合欢带
'feng'chui'huang'hao 风吹黄蒿
'feng'di'jin'tian'che 风笛金天彻
'feng'dong'lang'gan'xiao'yu'ming 风动琅玕笑语明
'feng'guang'zhu'chu'you'shi'qing 风光著处有诗情
'feng'heng'yu'da'fen'bi'tu 丰亨豫大纷彼徒
'feng'huo'hu'zhi'jiang'ru'he 烽火忽至将如何
'feng'ji'yu'ming'ming 风急雨冥冥
'feng'jiang'zhou'li'pan'nong'wu 冯将咒力攀浓雾
'feng'lai'gan'ba'jiao 风来感芭蕉
'feng'lai'shi'yi'ming 风来时一鸣
'feng'qing'yue'ru'lian 风清月如练
'feng'rao'bai'long'dui 风绕白龙堆
'feng'ri'gao'yuan'mu 风日高原暮
'feng'ru'xi'liu'yue'zai'qiao 风入溪流月在桥
'feng'sao'yan'sha'ping 风扫雁沙平
'feng'shun'zao'gui'lai 风顺早归来
'feng'xi'song'gao'ge'geng'kong 风细松高阁更空
'feng'xue'sa'chuang'zhu 风雪洒窗竹
'feng'yan'yi'xing'qing 风烟异性情
'feng'yu'cang'mang'ye'se'hun 风雨苍茫野色昏
'feng'yu'ju'bi'san 逢愚聚必散
'feng'yu'kong'shan'hun'ye'ti 风雨空山魂夜啼
'feng'yu'suo'huang'hun 风雨锁黄昏
'feng'yu'xi'chuang'qi'wu'shi 风雨西窗起舞时
'feng'yun'qi'zhi'xue'shuang'zong 风云气质雪霜踪
'feng'yun'you'zi'jia'jing'mao 风云犹自夹旌旄
'feng'zhao'ceng'ye'gao'huang'gong 奉诏曾谒高皇宫
'fu'ai'man'zhu'se 浮埃满朱瑟
'fu'bo'pen'mo'lai'cui'wei 浮波喷沫来崔巍
'fu'chao'zi'fen'wu'wan'luan 覆巢自分无完卵
'fu'gu'ti'han'bao'shuang'gu 妇姑啼寒抱双股
'fu'guai'qi'qi'yu'bu'qing 夫怪其妻语不情
'fu'jing'yi'ran'gan'kai'sheng 抚景依然感慨生
'fu'ku'zheng'fu'mu'ku'er 妇哭征夫母哭儿
'fu'lao'xiang'qian'yu'man'nu 父老向前语蛮奴
'fu'lao'xiao'er'yan 父老笑而言
'fu'lao'xie'you'deng'cheng'wang 父老携幼登城望
'fu'mu'chang'gui'xiong'sao'ku 父母长跪兄嫂哭
'fu'nv'tui'yuan'shi'zhuan'wa 妇女颓垣拾砖瓦
'fu'nv'zou'guan'se'ju'sang 妇女走观色沮丧
'fu'qi'jie'fa'qi'bai'nian 夫妻结发期百年
'fu'qi'zhong'hua'hua'rao'xi 夫妻种花花绕蹊
'fu'ren'shi'fu'xin 妇人失夫心
'fu'rong'ji'mo'zhao'han'bo 芙蓉寂寞照寒波
'fu'rong'yi'ke'lian 芙蓉亦可怜
'fu'shi'lin'feng'san'tan'xi 抚事临风三叹息
'fu'shou'ruo'you'de 俯首若有得
'fu'tie'lian'cui'zhu'he'zu 府帖连催筑河卒
'fu'ting'gu'yan'lei'ru'yu 妇听姑言泪如雨
'fu'wang'zi'qu'cun'xin'zhe 夫亡子去寸心折
'fu'wei'tui 夫为推
'fu'wei'wan 妇为挽
'fu'xi'ru'shi'bian'jue'wu 夫喜入市便攫物
'fu'yang'qian'zhi'ci 俯仰前致辞
'fu'ying'yi'sheng'jiang'yun'kai 抚膺一声江云开
'fu'yu'can'zhi'li'gong'jia'de'zhi 复于参知李公家得之
'fu'yu'gu'er'mai'jian'er 付与孤儿买餰饵
'fu'yun'bu'dong'gu'feng'qi 浮云不动孤峰起
'fu'yun'qi'mie'yan'zu'yi 浮云起灭焉足异
'fu'zhi'shi'bian'shi 复值事变时
'fu'zhu'po'bi'nu'bu'xiu 斧柱破壁怒不休
'gai'xia'mei'ren'qi'chu'ge 垓下美人泣楚歌
'gan'chang'cun'cun'ai 肝肠寸寸哀
'gan'ge'ci'ri'lian'qiu'se 干戈此日连秋色
'gan'lang'qian'jin'gu 感郎千金顾
'gan'shi'huai'jiu'jin'cheng'bei 感时怀旧尽成悲
'gan'xue'cheng'dou'sang 敢学成都桑
'gan'yu'yang'hua'yan'zi'zheng 敢与杨花燕子争
'gan'zhi'xu'jiang'xi 甘旨需酱醯
'gao'bing'qiao'yu'chun'chao 高棅峤屿春潮
'gao'bing'xia'gu'yun'quan 高棅夏谷云泉
'gao'cheng'ban'luo'cui'ming'jiao 高城半落催鸣角
'gao'chu'mu'yang'di'zhong'mai 高处牧羊低种麦
'gao'di'bai'shi'shang'tan'chi 高低白石上滩迟
'gao'fan'ying'wo'xi'ling'du 高旛影卧西陵渡
'gao'lou'ban'zui'ke 高楼半醉客
'gao'lou'ying'shen'gui 高楼映深闺
'gao'men'da'xie'qi'sang'zi 高门大写畦桑字
'gao'ming'bai'dai'liu 高名百代留
'gao'mu'fu'xia'ze 膏沐弗暇泽
'gao'qi'deng'jin'ling'yu'hua'tai 高启登金陵雨花台
'gao'qi'gong'nv'tu 高启宫女图
'gao'qi'jian'hua'yi'wang'nv'shu 高启见花忆亡女书
'gao'qi'mai'hua'ci 高启卖花词
'gao'qi'meng'zi 高启梦姊
'gao'qi'ming'huang'bing'zhu'ye'you'tu 高启明皇秉烛夜游图
'gao'qi'mu'niu'ci 高启牧牛词
'gao'qi'qiu'liu 高启秋柳
'gao'qi'su'li'qi'bie'tu 高启苏李泣别图
'gao'qi'tian'she'ye'chong 高启田舍夜舂
'gao'qi'ting'jiao'fang'jiu'ji 高启听教坊旧妓
'gao'qi'wan'xun'lv'shan'ren 高启晚寻吕山人
'gao'qi'ye'tian'xing 高启野田行
'gao'qi'yi'yuan'qu 高启忆远曲
'gao'qi'yue'wang'mu 高启岳王墓
'gao'qi'zhang'zhong'cheng'miao 高启张中丞庙
'gao'qiu'chi'bi'chuan 高秋赤壁船
'gao'ren'sui'bu'xing 高人遂不醒
'gao'ruo'yin'pan'bai'zhi'huo 高爇银盘百枝火
'gao'shan'da'ling'po'bai'pan 高山大岭坡百盘
'gao'shu'si'quan'dian'wan'xing 高叔嗣权店晚行
'gao'shu'si'yi'shu'dao'shang 高叔嗣移树道上
'gao'shu'si'zhong'qiu'wu'yue 高叔嗣中秋无月
'gao'tian'bai'yan'nan'fei'jin 高天白雁南飞尽
'gao'zhai'jin'ye'yu 高斋今夜雨
'gao'zhang'gong'shi'di'wang'luo 高张弓矢低网罗
'ge'dao'yin'sen'pan'shu'miao 阁道阴森盘树杪
'ge'duo'mian'shi'chuang'jie'ye 割夺面势创嶻嶪
'ge'fu'wei'jun'can 割腹为君餐
'ge'hua'pian'chen'wu'qun'hong 隔花偏衬舞裙红
'ge'jiang'shan'yu'dong 隔江山欲动
'ge'qiang'que'wen'guan'he'lai 隔墙却问官何来
'ge'shu'you'shu'sheng 隔树有书声
'ge'wu'xiu'cui'fang'ye'ban 歌舞休催方夜半
'ge'ye'huang'li'zuo'jiu'ming 隔叶黄鹂坐久鸣
'ge'ye'ri'yi'shuai 葛叶日以衰
'ge'you'feng'bei'ji 各有丰碑记
'ge'zhan'ting'chui'sheng 阁盏停吹笙
'ge'zi'qi'niu'chang'ge'qu 各自骑牛唱歌去
'geng'jie'qian'yi'ti'xiang'ren 更解牵衣啼向人
'geng'nong'wang'wang'kua'yi'ji 耕农往往夸遗迹
'gong'bu'si'gui'le'guan'zhong 公不思归乐关中
'gong'de'ji'hui'pan 供得几回盼
'gong'deng'gun'gun'jie'da'yong 公等衮衮皆大用
'gong'hu 公乎
'gong'jiang'xian'si'dai'shuang'sheng 共将闲思待霜生
'gong'jun'nu'li'mo'xia'che 共君努力莫下车
'gong'ming'shui'fu'lun 功名谁复论
'gong'nian'duan'di'yu'chang'bian 共拈短笛与长鞭
'gong'pao'zi'sun'zha'chuan'li 供庖紫笋乍穿篱
'gong'qiang'liao'rao'ge'yun'ceng 宫墙缭绕隔云层
'gong'qing'xiang'shuai'zuo'jiang'lu 公卿相率作降虏
'gong'ting'jiao'hou'yi'ying'zhuan 共听娇喉一莺啭
'gong'ting'shui'se'jin'yin'yun 宫亭水色尽氤氲
'gong'xiang'zheng'yuan'qu'zi'dian 共想正元趋紫殿
'gong'xu'ji'shu'xing 龚诩饥鼠行
'gong'xu'lu 龚诩鹭
'gong'xu'yong'tang'po'chang'ju 龚诩咏汤婆长句
'gong'yan'zui'yin'zhong'ci'xiao 共言醉饮终此宵
'gong'yi'gong'si'jie'xu'ming 工意工似皆虚名
'gou'fei'e'bing'xue 苟非厄冰雪
'gou'jie'ni'jue'tian'xia'qiao 构结拟绝天下巧
'gu'ai'dong'feng'chui 故爱东风吹
'gu'bei'ci'mu'zi'yin'yin 古碑祠木自阴阴
'gu'chen'wu'ji'chu'qin'guan 孤臣无计出秦关
'gu'chen'yi'gu'jin'an'zai 孤臣遗骨今安在
'gu'chen'yi'you'yi'gong'lei 孤臣亦有遗弓泪
'gu'cheng'chui'jiao'ba'huang'hun 孤城吹角罢黄昏
'gu'cheng'luo'ri'bai'zhan'hou 孤城落日百战后
'gu'da'zhang'dao'jing'gu'ren'li'men 顾大章道经故人里门
'gu'deng'bu'zhao'fan'hun'ren 孤灯不照返魂人
'gu'deng'yan'yan'zhang'hai'xu 孤灯滟滟帐还虚
'gu'du'lin'ci'miao 古渡临祠庙
'gu'fan'piao'bo'jiong'shang'shen 孤帆漂泊迥伤神
'gu'fei'bu'bang'hua 孤飞不傍花
'gu'fen'mu'niao'fei 孤坟暮鸟飞
'gu'ge'ling'long'ru'zi'mo 骨格玲珑如姊默
'gu'gong'yi'jiu'bai'hua'ming 故宫依旧百花明
'gu'guo'piao'ling'shi'yi'fei 故国飘零事已非
'gu'he'wu'shui'gua'long'gu 古河无水挂龙骨
'gu'jin'long'zhan'shi'zhong'zhou 古今龙战是中州
'gu'jiu'ping'jun'xiu'geng'shuo 故旧凭君休更说
'gu'li'jiang'jun'wu'jian'tai 故李将军舞剑台
'gu'li'se'yi'ran 故里色依然
'gu'lin'cai'qiao'ge 顾璘采樵歌
'gu'lin'geng'chen'yuan'ri 顾璘庚辰元日
'gu'lin'kuai'zai'xing 顾璘快哉行
'gu'mu'ming'han'niao 古木鸣寒鸟
'gu'qi'yu'shui'gong 孤栖与谁共
'gu'ren'yi'zun'qing'wei'yi 故人一樽情未已
'gu'ren'ying'yi'gou 故人应已觏
'gu'su'tai'shang'chang'ye'ge 姑苏台上长夜歌
'gu'su'tai'xia'chui'yang'liu 姑苏台下垂杨柳
'gu'tai'cong'mu'qiu'feng'huang 古苔丛木秋风荒
'gu'tu'bing'chan'chu 顾兔并蟾蜍
'gu'tu'chu'yao'xiao'bu'mian 顾兔杵药宵不眠
'gu'ying'pai'huai'guang'han'dian 顾影徘徊光汉殿
'gu'yuan'cai'ge'er'bai'li 故园才隔二百里
'gu'yuan'jin'ye'yue 故园今夜月
'gu'yuan'ming'ri'you'chong'yang 故园明日又重阳
'gu'yuan'qian'wan'li 故园千万里
'gu'yuan'xian'long'chi'er'nv 故园先陇痴儿女
'gu'yun'chu'xiu'ben'wu'xin 孤云出岫本无心
'gu'yun'chui'can'dan 孤云垂惨淡
'gu'yun'cui'yuan'sou 古云萃渊薮
'gu'yun'liang'jiao'qu'tian'zhi 孤云两角去天咫
'gu'zhao'su'han'liu 孤棹溯寒流
'gu'zhen'bu'sheng'xiang'guo'meng 孤枕不胜乡国梦
'gu'zhen'chang'zi'chi 孤贞常自持
'gu'zhi'yi'wei'bu'ke'ji 固知一苇不可济
'gua'chu'man'tang'jie'dong'se 挂出满堂皆动色
'gua'zhou'you'yan'sheng 瓜州有雁声
'guai'de'ye'qin'han 怪得夜衾寒
'guan'chuan'zai'si'huo 官船载私货
'guan'fu'zi'ying'zhi 官府自营置
'guan'gai'bei'shang'bing'yi'shi 冠盖悲伤并一时
'guan'he'kai'xiao'qing 关河开晓晴
'guan'he'zhong'bian'liu 官河种边柳
'guan'jia'si'jia'ge'you'wu 官家私家各有务
'guan'keng'xuan'shi'xi'shan'kong 官阬选石西山空
'guan'men'xuan'dao'xi'xing'li 关门悬纛稀行李
'guan'qing'shui'shi'ping 官清税始平
'guan'shan'bi'ze'ren'zong'shao 关山逼仄人踪少
'guan'shan'zheng'miao'mang 关山正渺茫
'guan'shang'bei'que'tong'you'ri 冠裳北阙同游日
'guan'yuan'shui'neng'shi'fa'zhang 灌园谁能识法章
'guan'zhang'xia'che'jin'wu'nian 官长下车今五年
'guan'zhe'ru'qiang'fang'xiao'hu 观者如墙方笑呼
'guan'zhe'xian'jie'zi 观者咸嗟咨
'guan'zhe'xing'wu'shan 观者幸勿删
'guang'bi'shu'wu'jing 光逼曙乌惊
'guang'fu'ya'bei'qu'you'you 光浮鸦背去悠悠
'guang'he'dai'luo'shui 洸河带泺水
'guang'jing'shan'shuo'shu'hu'yi 光景闪烁倏忽异
'guang'lang'shu'xia'yi'tao'qian 桄榔树下忆陶潜
'guang'ling'zhou'li'lian'qin'zhen 广陵舟里连衾枕
'guang'qi'ri'yue'si'you'sheng 光齐日月死犹生
'guang'qing'pian'dao'di 光轻偏到蒂
'gui'huo'lin'lin'ri'wei'xi 鬼火磷磷日未西
'gui'lai'gu'jiu'duo'diao'sang 归来故旧多雕丧
'gui'lai'xi'zu'wei'xia'po 归来息足未下坡
'gui'ma'xiao'xiao'xiang'yi'men 归马萧萧向驿门
'gui'shi'yi'leng'shuang 归时已冷霜
'gui'shu'wei'quan'chang 桂树未全长
'gui'shu'wu'gen'zhu 桂树无根株
'gui'xiu'yi'zuo'ba'jiang'sou 归休已作巴江叟
'gui'yan'fu'zhu'you'he'neng 诡言夫主有何能
'gui'ye'shu'gan'an'gao'chong 鬼也孰敢安高崇
'gui'zhou'dou'lai'shou'zhang'di 贵州都来手掌地
'gui'zhu'chang'men'zi'luo'hua 桂贮长门自落花
'gui'zhu'lu'cong'feng'ding'ru 贵竹路从峰顶入
'guo'chi'you'wei'xue 国耻犹未雪
'guo'deng'chun'ri'you'shan'ou'cheng 郭登春日游山偶成
'guo'deng'ti'jiang'ting'hui'xiao'jing 郭登题蒋廷晖小景
'guo'deng'xi'tun'nv 郭登西屯女
'guo'deng'zi'gong'an'zhi'yun'nan 郭登自公安至云南
'guo'kai'mai'zhao'zhao'gao'chu 郭开卖赵赵高出
'guo'ke'ru'niao'ji 过客如鸟急
'guo'shi'xian'yuan'dong'di'yan 国士衔冤动帝颜
'guo'wai'gang'chuan'ci'ri'qing 郭外刚传此日晴
'hai'ba'can'yu'pao'ye'cao 还把残余抛野草
'hai'fen'qiu'se'yu'xin'shi 还分秋色与新诗
'hai'jing'jiu'shi'hun 还惊九逝魂
'hai'nei'bing'ge'bian 海内兵戈遍
'hai'nei'he'chou'geng'bu'ping 海内何愁更不平
'hai'ri'di'bo'niao 海日低波鸟
'hai'shang'shuang'zhu'ru'hu'di 海上双珠入户低
'hai'tang'yu'shui'bu'de'cheng 海棠欲睡不得成
'hai'wu'jiang'yun'yin'mu'chou 海雾江云引暮愁
'hai'yi'qu'nian'ci'bai'xia 还忆去年辞白下
'hai'yu'gu'yuan'tong 还与故园同
'han'dong'yu'xue'lai 寒冬雨雪来
'han'feng'chui'yi'jin 寒风吹衣襟
'han'feng'mo'she'dao'shang'chu 寒风莫射刀伤处
'han'gu'wu'guan'xiao'long'si 函谷无关小龙死
'han'huang'zhen'you'suo'di'gong 汉皇真有缩地功
'han'jia'he'xi'qing'cheng'se 汉家何惜倾城色
'han'jia'si'hai'yi'tai'gong 汉家四海一太公
'han'lin'cai'zi'shan'dong'li 翰林才子山东李
'han'lin'hua'shi'zhang'ze'duan 翰林画史张择端
'han'mo'liu'chuan'ji'wu'zu 翰墨流传藉吾祖
'han'qing'yu'gao'shui 含情欲告谁
'han'qing'yu'wei'qiu'niang'fu 含情欲为秋娘赋
'han'rui'fu'xiang'jian'ying'chu 寒蕊浮香见影初
'han'sai'huang'he'jin'dai'lian 汉塞黄河锦带连
'han'shan'luo'mu'shi 寒山落木时
'han'shi'nian'nian'gua'zhi'lai 寒食年年挂纸来
'han'shu'yi'cheng'weng 寒暑易成翁
'han'suan'wang'qin'zhi 含酸望亲知
'han'wang'zhen'long'xiang'wang'hu 汉王真龙项王虎
'han'xiang'san'ting'hu 寒香散庭户
'han'xuan'yi'bi'qiu 寒暄一敝裘
'han'xue'hu'qiao'cui 汗血忽憔悴
'han'ya'ri'yue'qi'jin'zhao 寒崖日月岂尽照
'hang'guo'hui'zhai'xun'yi'zhi 行过毁宅寻遗址
'hang'jian'bin'fa'zhi 行间鬓发知
'hang'jian'zhu'guo'qiu'xiang'zi 行间著过秋香字
'hao'dang'wu'duan'ni 浩荡无端倪
'hao'ju'hu'cheng'huang'ye'si 好句忽成黄叶寺
'hao'ren'qiang'tou'yang'liu'shu 好认墙头杨柳树
'hao'tai'gu'fang'ya'su'zi 皓态孤芳压俗姿
