'ai'qi'tun'suan 嗳气吞酸
'gan'qi'yu'jie'zheng 肝气郁结证
'gan'qi'yu'zhi'zheng 肝气郁滞证
'gan're'sheng'feng'ji'jian'chang 肝热生风急煎尝
'gan'shen'yin'xu 肝肾阴虚
'gan'te'ling'jiao'nang 感特灵胶囊
'gan'wei'xu'han 肝胃虚寒
'gan'yang'pian'kang 肝阳偏亢
'gang'men'zhuo're 肛门灼热
'gang'tai'shuan 肛泰栓
'gao'zhi'niu'xi'mai'dong'xiang 膏知牛膝麦冬襄
'ge'gen'huang'qin'huang'lian'tang 葛根黄芩黄连汤
'ge'gen'qin'lian'gan'cao'wu 葛根芩连甘草伍
'ge'pu'ban'xia'jiao'shan'zhi 葛蒲半夏焦山栀
'ge'tan'bu'shuang 咯痰不爽
'ge'tu'bu'chu 咯吐不出
'geng'jia'zhi'bai'cheng'ba'wei 更加知柏成八味
'geng'yong'huang'qin'jia'jiang'zao 更用黄芩加姜枣
'geng'you'dan'zhi'xiao'yao'san 更有丹栀逍遥散
'gong'lao'qu'huo'pian 功劳去火片
'gong'ning'ke'li 宫宁颗粒
'gou'pi'gao 狗皮膏
'gu'ben'yi'chang'pian 固本益肠片
'gu'bi'xu'bo'ji'yi'yuan 故必须博极医源
'gu'biao'zhi'han 固表止汗
'gu'chang'zhi'xie 固肠止泻
'gu'chang'zhi'xie'wan 固肠止泻丸
'gu'fei'er'mu'zhi'suo'cha 固非耳目之所察
'gu'jin'lu'yan'fang 古今录验方
'gu'shu'kang'ke'li 骨疏康颗粒
'gu'tong'tie'gao 骨通贴膏
'gu'wu'zang'liu'fu'zhi'ying'xu 故五脏六腑之盈虚
'gu'yi'fang'bu'shi 故医方卜筮
'gu'yi'qu'sui'lun'zhi 故亦曲碎论之
'gu'zhe'cuo'shang'jiao'nang 骨折挫伤胶囊
'gu'zheng'chao're 骨蒸潮热
'guan'mai'ning'pian 冠脉宁片
'gui'cao'fu'shen'yuan'zhi'sui 归草茯神远志随
'gui'cao'hei'zhi'dan'zhu'ye 归草黑栀惔竹叶
'gui'fu'di'huang'wan 桂附地黄丸
'gui'lin'xi'gua'shuang 桂林西瓜霜
'gui'pi'tang 归脾汤
'gui'pi'tang'yong'shu'can'qi 归脾汤用术参芪
'gui'pi'wan 归脾丸
'gui'shen'bao'zhi 鬼神报之
'gui'shen'hai'zhi 鬼神害之
'gui'wei'tong'jing'zuo'di'long 归尾通经佐地龙
'gui'xiong'di'shao'gui'ling'jun 归芎地芍桂苓均
'gui'zhi'tang 桂枝汤
'gui'zhi'tang'zhi'tai'yang'feng 桂枝汤治太阳风
'hai'zhu'chuan'xi'ding 海珠喘息定
'han'chu'e'feng 汗出恶风
'han'chu'e're 汗出恶热
'han'duo'shen'pi 汗多神疲
'han'er'leng'zhi 寒而冷之
'han'jue'zheng 寒厥证
'han're'cuo'za 寒热错杂
'han're'fa'zuo'you'shi 寒热发作有时
'han're'ping'diao 寒热平调
'han'shi'yi'tong 韩氏医通
'hao'qi'shang'yin'zheng 耗气伤阴证
'hao'qin'qing'dan'tang 蒿芩清胆汤
'hao'qin'qing'dan'zhi'zhu'ru 蒿芩清胆枳竹茹
'he'dan'pian 荷丹片
'he'jie'shao'yang 和解少阳
'he'wei'sheng'jin 和胃生津
'he'yi'de'qi'you'wei 何以得其幽微
'heng'gu'gu'shang'yu'he'ji 恒古骨伤愈合剂
'hong'hua'gan'cao'ke'chi'shao 红花甘草壳赤芍
'hou'ni 厚腻
'hou'zao'niu'huang'san 猴枣牛黄散
'hu'duo'xi'shao 呼多吸少
'hu'gan'ning'pian 护肝宁片
'hu'xi'shao'qi 呼吸少气
'hu'xi'shen'ming 护惜身命
'hua'she'jie'yang'jiao'nang 花蛇解痒胶囊
'hua'shu 滑数
'hua'tan'ping'chuan 化痰平喘
'hua'tan'xi'feng 化痰熄风
'hua'yi'yu'zhi 华夷愚智
'hua'zhuo'pai'nong'bing'zi'ning 化浊排脓病自宁
'huang'chou 黄臭
'huang'dan 黄疸
'huang'dou'gan'yuan'pian 黄豆苷元片
'huang'kui'jiao'nang 黄葵胶囊
'huang'lian 黄连
'huang'lian'e'jiao'ji'zi'huang 黄连阿胶鸡子黄
'huang'lian'e'jiao'tang 黄连阿胶汤
'huang'lian'huang'bo'yu'qin'pi 黄连黄柏与秦皮
'huang'lian'jie'du'bai'zhi'qin 黄连解毒柏栀芩
'huang'lian'jie'du'tang 黄连解毒汤
'huang'qin'hua'shi'tang 黄芩滑石汤
'huang'qin'hua'shi'zhu'fu'ling 黄芩滑石猪茯苓
'huang'qin'shao'yao'he'zi'liang 黄芩芍药合自良
'huang'shi'xiang'sheng'wan 黄氏响声丸
'huang'teng'su'pian 黄藤素片
'huang'yang'ning'pian 黄杨宁片
'hui'yang'jiu'ni 回阳救逆
'huo'jia'chen'xiang'qu'rou'gui 或加沉香去肉桂
'huo'jia'fu'ling'gong'jian'chang 或加茯苓共煎尝
'huo'jia'shi'gao'xie'wei'huo 或加石膏泻胃火
'huo'jia'xiang'sha'qi'zhi'shi 或加香砂气滞使
'huo'luan'lun 霍乱论
'huo'pu'xia'ling'tang 藿朴夏苓汤
'huo'pu'xia'ling'you'san'ren 藿朴夏苓有三仁
'huo'sha'kou'fu'ye 藿砂口服液
'huo'xiang'zheng'qi'di'wan 藿香正气滴丸
'huo'xiang'zheng'qi'fu'pi'su 藿香正气腹皮苏
