'a'fei'de'xiao'hu'die 阿飞的小蝴蝶
'wei'rao'zhe'wo'de'bei'wei 围绕着我的卑微
'wo'ba'mei'gui'quan'dou'ran'hei 我把玫瑰全都染黑
'wo'bu'cun'zai'cai'yi'wai 我不存在才意外
'wo'ceng'jing'ai'guo'de'ren'a 我曾经爱过的人啊
'wo'de'cun'zai'bu'yi'wai 我的存在不意外
'wo'de'cun'zai'xiang'yi'wai 我的存在像意外
'wo'de'shang'kou'jiu'nan'yi'yu'he 我的伤口就难以愈合
'wo'de'shou'bei'wen'nuan'guo'xing'fu'le 我的手被温暖过幸福了
'wo'de'xin'yi'chao'zai 我的心已超载
'wo'de'xin'zou'zai'ai'qing'de'gong'lu 我的心走在爱情的公路
'wo'du'de'yi'sheng'qie'de'bi'ni'shuo'fen'shou'che'di 我嘟的一声切的比你说分手彻底
'wo'hai'bu'ken'xiang'xin 我还不肯相信
'wo'hai'sheng'xia'shen'me 我还剩下什么
'wo'hai'xiang'he'ni 我还想和你
'wo'hai'zhan'zai'ni'li'kai 我还站在你离开
'wo'he'cong'qian'de'wo 我和从前的我
'wo'hen'xi'huan'ni'an'jing'de'shi'hou 我很喜欢你安静的时候
'wo'hen'xi'huan'ni'kai'xin'de'shi'hou 我很喜欢你开心的时候
'wo'heng'zhe'ge 我哼着歌
'wo'hui'bian'cheng'ju'ren 我会变成巨人
'wo'hui'xiang'zhe'guo'qu'mei'miao 我回想着过去每秒
'wo'jin'you'de'yi'qie 我仅有的一切
'wo'jue'bu'hui'shi'yan 我绝不会食言
'wo'kan'po 我看破
'wo'kan'po'bei'feng'chui'guo'de'xia'tian 我看破被风吹过的夏天
'wo'ke'yi'wei'ni'gai'bian 我可以为你改变
'wo'men'bei'dui'bei'yong'bao 我们背对背拥抱
'wo'men'chuan'shang'xi'zhuang'jia'zhuang'cheng'zhang 我们穿上西装假装成长
'wo'men'de'mo'qi'na'me'chang 我们的默契那么长
'wo'men'de'yuan'fen'gang'hao'bu'xu'bie'ren'da'rao 我们的缘分刚好不许别人打扰
'wo'men'dou'hen'kuai'le 我们都很快乐
'wo'men'dou'shi'hai'zi 我们都是孩子
'wo'men'ji'jiang'fen'bie 我们即将分别
'wo'men'liang'zhi'tang'chi'yi'ge'wan 我们两支汤匙一个碗
'wo'men'tian'zuo'zhi'he 我们天作之合
'wo'men'xiang'yu'xiang'yong 我们相遇相拥
'wo'men'you'hen'duo'mei'hao'de'hui'yi 我们有很多美好的回忆
'wo'men'zhong'yu'lai'dao'le'zhe'yi'tian 我们终于来到了这一天
'wo'men'zui'chu'jian'mian'de'shi'hou 我们最初见面的时候
'wo'qi'shi'hen'ming'bai 我其实很明白
'wo'shi'mi'kai'lang'ji'luo 我是米开朗基罗
'wo'shi'ni'de'xiao'a'fei 我是你的小阿飞
'wo'shuo'wo'de'xiao'hu'die 我说我的小蝴蝶
'wo'xiang'mo'mo'de'kan'zhe'ni'deng'ni'hui'tou 我想默默地看着你等你回头
'wo'xiang'nu'li'gei'ni'wen'nuan 我想努力给你温暖
'wo'xiang'shuo'qi'shi'ni'hen'hao 我想说其实你很好
'wo'xiang'xin'wo'men'dou'you'gai'qu'de'wei'lai 我相信我们都有该去的未来
'wo'xin'yue'dang 我心越荡
'wo'yao'ba'ni'ci'zai'wo'de'xin'xian 我要把你刺在我的心弦
'wo'yao'chu'qu'zou'yi'zou 我要出去走一走
'wo'yao'de'ai 我要的爱
'wo'yao'de'ai'chu'mo'zai'qi'hei'yi'pian'de'wu'tai 我要的爱出没在漆黑一片的舞台
'wo'yao'dui'xian'wo'de'cheng'nuo 我要兑现我的承诺
'wo'yao'shen'mai'xin'tou'shang'bing'chi 我要深埋心头上秉持
'wo'yao'wo'jin'shou'zhong'jian'ding 我要握紧手中坚定
'wo'ye'bu'zhi'wei'he'shang'kou'hai'mei'yu'he 我也不知为何伤口还没愈合
'wo'ye'gai'fang'shou 我也该放手
'wo'ye'xi'wang'bian'geng'hao 我也希望变更好
'wo'yi'ai'shang'ni 我已爱上你
'wo'yi'ding'rang'zi'ji'rang'zi'ji'jue'ding 我一定让自己让自己决定
'wo'you'guo'meng'xiang 我有过梦想
'wo'you'xiang'qi'ni'le 我又想起你了
'wo'zai'bu'yong'ba'bie'ren'xun'zhao 我再不用把别人寻找
'wo'zai'ku'zhe 我在哭着
'wo'zhi'dao'nuan'nuan'jiu'zai'xiong'tang 我知道暖暖就在胸膛
'wo'zhi'neng'chen'mo'yi'dui 我只能沉默以对
'wo'zhi'neng'huan'ni 我只能还你
'wu'ke'qu'dai'de'ni 无可取代的你
'wu'ren'chong 无人宠
'wu'shu'hui'yi'lian'jie 无数回忆连结
'wu'suo'wei 无所谓
'xi'guan'ren'qun'zhong'zhao'ni'de'ying'zi 习惯人群中找你的影子
'xi'ni'de'xi'huan 细腻的喜欢
'xian'mu'nan'fei'de'yan 羡慕南飞的雁
'xian'shi'que'na'me'can'ren 现实却那么残忍
'xian'zai'de'wo'que'shi'gu'dan'zhe 现在的我却是孤单着
'xian'zai'ni'de'ling'yi'ban'ne 现在你的另一半呢
'xiang'chen'ai'yi'yang'de'wu'wei 像尘埃一样的无畏
'xiang'dong'tian'de'ke'ke 像冬天的可可
'xiang'duo'bu'guo'de'bao'feng'yu 像躲不过的暴风雨
'xiang'hu'cai'ce'huai'yi 相互猜测怀疑
'xiang'ju'ren'yi'yang'de'wu'wei 像巨人一样的无畏
'xiang'liu'bu'neng'liu'cai'zui'ji'mo 想留不能留才最寂寞
'xiang'qi'ni'na'ke'ai'mu'yang 想起你那可爱模样
'xiang'xia'tian'de'ke'le 像夏天的可乐
'xiang'yong'yuan'zai'ni'shen'bian 想永远在你身边
'xiang'yu'ni'fen'xiang'yong'bao 想与你分享拥抱
'xiang'zai'qing'tian'yu'ni'jin'kao 想在晴天与你紧靠
'xiao'huo'che'bai'dong'de'xuan'lv 小火车摆动的旋律
'xiao'wo'bu'zhi'dao 笑我不知道
'xiao'xiong'he'qing'ren'jie'de'xian'hua 小熊和情人节的鲜花
'xin'bi'shi'jie'hai'kuan'rong 心比世界还宽容
'xin'hai'lian'zhe'xiang'wang'chang'yi'yang 心还连着像往常一样
'xin'jin'jin'yi'kao 心紧紧依靠
'xin'li'man'man'de'ku'se 心里满满的苦涩
'xin'sui'qian'yi'miao 心碎前一秒
'xin'xiang'feng'yi'yang'zi'you 心像风一样自由
'xin'xu'hai'zai'mo'luo 心绪还在没落
'xin'zhong'de're'que'bu'tui 心中的热却不退
'xing'fu'yue'lai'yue'yao'yuan 幸福越来越遥远
'xing'qi'liu'de'ying'yuan'men'kou'you'ni'cai're'nao 星期六的影院门口有你才热闹
'xing'qi'tian'ye'wan'dai'ni'qu'kan'ye'jing 星期天夜晚带你去看夜景
'xuan'lan'de'ye 绚烂的夜
'yan'hai'di'dai 沿海地带
'yan'lei'bu'ting'hua'le 眼泪不听话了
'yan'lei'si'yi'hua'luo 眼泪肆意滑落
'yan'shen'jian'ding'zhe'wo'men'de'xuan'ze 眼神坚定着我们的选择
'yao'geng'zi'you'zi'zai 要更自由自在
'ye'jian'zheng'le'wo'he'ni 也见证了我和你
'ye'mei'you'ren'yuan'yi'shou'liu 也没有人愿意收留
'ye'xu'hui'you'cuo'zhe 也许会有挫折
'ye'xu'neng'xiao'tui 也许能消退
'ye'xu'yong'yuan'dou'bu'hui'gen'ta'shuo'chu'na'ju'hua 也许永远都不会跟她说出那句话
'ye'zi 野子
'yi'ban'ren 一般人
'yi'bei'zi'yuan'ou 一辈子怨偶
'yi'bian'wei'xiao'yi'bian'liu'lei 一边微笑一边流泪
'yi'feng'xin'yi'nian'shi'jian'dou'lue'guo 一封信一年时间都略过
'yi'ge'ren 一个人
'yi'ge'ren'shao'he'dian'jiu 一个人少喝点酒
'yi'ge'ren'shou'zai'feng'zhong'deng'cheng'nuo 一个人守在风中等承诺
'yi'hou'de'yi'hou 以后的以后
'yi'hou'de'yi'hou'ni'shi'shui'de'mou'mou'mou 以后的以后你是谁的某某某
'yi'hou'de'yi'hou'wo'qian'zhe'bie'ren'yi'xiu 以后的以后我牵着别人衣袖
'yi'jing'fen'kai'hen'yuan'hen'yuan 已经分开很远很远
'yi'jing'yue'ding'guo'yi'qi'guo'xia'ge'zhou'mo 已经约定过一起过下个周末
'yi'kai'shi'wo'zhi'xiang'xin 一开始我只相信
'yi'ke'xin'xiao'shou'liang'ren'de'ji'mo 一颗心消受两人的寂寞
'yi'lu'jiu'xiang'xia'zhui 一路就向下坠
'yi'qu'bu'hui'lai'bu'ji'dao'bie 一去不回来不及道别
'yi'wei'zai'wo'er'bian 依偎在我耳边
'yi'zhi'ai'ni'bu'guan'feng'yu 一直爱你不管风雨
'yi'zhi'ai'ni'wo'hui'yi'zhi'ai'ni 一直爱你我会一直爱你
'yi'zhi'ai'ni'zhi'dao'yong'jiu 一直爱你直到永久
'yi'zhi'pei'zhe'wo 一直陪着我
'yi'zhi'wang'da'feng'chui'de'fang'xiang'zou'guo'qu 一直往大风吹的方向走过去
'yi'zi'yi'ju'xiang'quan'tao 一字一句像圈套
'yin'wei'wo'wan'quan'xin'ren'ni 因为我完全信任你
'yin'wei'wo'yi'jing'zhao'dao 因为我已经找到
'ying'gai'yao'wang'na'li'zou 应该要往那里走
'yong'bao'cuo'guo'de'yong'qi 拥抱错过的勇气
'yong'li'de'xiang'yong'zhe'chen'mo 用力的相拥着沉默
'yong'qing'kuai'de'bu'fa 用轻快的步伐
'yong'shi'jian 用时间
'yong'si'nian'ba'jiu'ai'xie'cheng'ge 用思念把旧爱写成歌
'yong'xin'ke'hua'zui'xing'fu'de'feng'ge 用心刻画最幸福的风格
'yong'xin'tiao'song'ni'xin'suan'li'ge 用心跳送你辛酸离歌
'yong'xin'tiao'xin'suan'li'ge 用心跳辛酸离歌
'yong'you'yin'xing'chi'bang 拥有隐形翅牓
'yong'zui'lang'man'de'fu'ge 用最浪漫的副歌
'you'duo'shao'wu'ren'neng'dong'de'bu'kuai'le 有多少无人能懂的不快乐
'you'hen'duo'ji'hui 有很多机会
'you'hui'dao'zui'chu'de'qi'dian 又回到最初的起点
'you'neng'bian'zou'zhao'bian'heng'zhe'ge 又能边走着边哼着歌
'you'ni'jiu'shi'zui'hao 有你就是最好
'you'ni'nao'you'ni'xiao'de'sheng'huo 有你闹有你笑的生活
'you'ren'diu'diao'cheng'wei 有人丢掉称谓
'you'ren'yong'yi'di'lei'hui'hong'yan'huo'shui 有人用一滴泪会红颜祸水
'you'ren'zai'shuo'na'xie'qi'guai'de'yu'yan 有人在说那些奇怪的语言
'you'ru'fei'e'pu'huo'na'me'chong'dong 犹如飞蛾扑火那么冲动
'you'ru'yi'si'xiao'sha 又如一丝消沙
'you'shui'hui'ji'de'zhe'shi'jie'ta'lai'guo 有谁会记得这世界他来过
'you'xie'meng'zuo'zhe'zuo'zhe'jiu'xing'le 有些梦做着做着就醒了
'you'xie'ren'xiang'zhe'xiang'zhe'jiu'wang'le 有些人想着想着就忘了
'you'xie'ren'zou'zhe'zou'zhe'jiu'san'le 有些人走着走着就散了
'you'xie'shi'kan'zhe'kan'zhe'jiu'dan'le 有些事看着看着就淡了
'you'zai'hui'dao'cong'qian 又再回到从前
'you'zen'hui'dong'de'yao'duo'nu'li 又怎会懂得要多努力
'you'zen'hui'xiao'de'zhi'zhuo'de'ren 又怎会晓得执着的人
'you'zen'me'bu'dui 又怎么不对
'yu'jian'ni'wo'cai'zhi'dao 遇见你我才知道
'yu'qing'feng'ba'jiu'xiang'song 与清风把酒相送
'yuan'lai'ai'shi'zhong'ren'xing 原来爱是种任性
'yuan'lai'zhi'sheng'shang'hen'bu'ting'de'man'yan 原来只剩伤痕不停地蔓延
'yuan'lai'zhi'you'san'nian 原来只有三年
'yue'se'zheng'meng'long 月色正朦胧
'yun'zen'me'wan'liu 云怎么挽留
'zai'ai'qing'li'mian'jin'tui 在爱情里面进退
'zai'chang'zhe'zhe'shou'ge'hui'shi'zai'na'yi'ge'jiao'luo 再唱着这首歌会是在哪一个角落
'zai'mou'shi'mou'di'jiao'shang'san'liang'ge'peng'you 在某时某地交上三两个朋友
'zai'shi'shen'me'mu'yang 在是什么模样
'zai'ta'jin'zhe'xiao'yuan'hui'shi'na'pian'luo'ye 再踏进这校园会是哪片落叶
'zai'yan'hai'di'dai'fang'zhu'wo'de'ai 在沿海地带放逐我的爱
'zai'yan'hai'di'dai'wo'yuan'yuan'li'kai 在沿海地带我远远离开
'zai'yi'ci'xiang'yu'wo'hui'jin'jin'bao'zhu'ni 再一次相遇我会紧紧抱著你
'zai'yi'dian'shi'jian 再一点时间
'zai'zhe'ai'mei'de'shi'dai 在这暧昧的时代
'zai'zui'mei'li'de'shi'ke'diao'xie 在最美丽的时刻凋谢
'zang'song'zai'feng'huo'de'wan'xiao 葬送在烽火的玩笑
'zao'yi'jiang'si'nian'chang'de'sha'ya 早已将思念唱得沙哑
'zen'me'da'feng'yue'hen 怎么大风越狠
'zen'me'neng'zai'ban'lu'jiu'fan'hang 怎么能在半路就返航
'zen'me'pin'cou'zhong'hao 怎么拼凑重好
'zen'me'zhi'you'zhe'shou'ge 怎么只有这首歌
'zhai'yi'ke'ping'guo'deng'ni'cong'men'qian'jing'guo 摘一颗苹果等你从门前经过
'zhao'bu'dao'chu'kou 找不到出口
'zhao'bu'hui'zhen'de'wo 找不回真的我
'zhao'dao'yi'ge'di'fang'shu'yu'wo 找到一个地方属于我
'zhe'ai'de'cheng'shi'sui'ran'yong'ji 这爱的城市虽然拥挤
'zhe'ci'suan'wo'kan'zou'yan 这次算我看走眼
'zhe'hao'le'shang'xin'ming'tian'qi'zhi'he'kuai'le'chu'qu 折好了伤心明天起只和快乐出去
'zhe'shi'jie'di'di'dian'dian'quan'bu'dou'shi'ni 这世界滴滴点点全部都是你
'zhe'shi'wo'men'de'shi'dai 这是我们的时代
'zhe'xin'yuan'bu'hui'bian 这心愿不会变
'zhei'li'de'gu'shi'ni'shi'fou'hai'ji'de 这里的故事你是否还记得
'zhen'de'hen'mei'hao 真的很美好
'zhen'hua'dou'zhe'quan'zi'luan'luan'rao 真话兜着圈子乱乱绕
'zhen'shi'ke'hen'a 真是可恨啊
'zhen'xin'de'dui'wo'hao 真心的对我好
'zhi'hao'ba'yan'lei'dang'zuo'ji'nian 只好把眼泪当做纪念
'zhi'nen'de'wo'bu'hao'yi'si'de'xiang'ni'dian'dian'tou 稚嫩的我不好意思的向你点点头
'zhi'neng'du'zi'yi'ren'cheng'shou'ji'mo 只能独自一人承受寂寞
'zhi'sheng'feng'pei'zhe'niao 只剩风陪着鸟
'zhi'sheng'ji'mo'ken'chen'dian 只剩寂寞肯沉淀
'zhi'sheng'xia'ma'mu'de'wo 只剩下麻木的我
'zhi'shi'hai'zheng'zha'zhe'bu'rang'ta'li'kai 只是还挣扎着不让他离开
'zhi'shi'xiang'rang'ni'zhi'dao 只是想让你知道
'zhi'shi'xiang'rang'wo'zhi'dao 只是想让我知道
'zhi'shuo'ju'xi'xi'yi'xie 只说句嘻嘻一些
'zhi'yao'ni'yuan'yi'gei 只要你愿意给
'zhi'yao'ni'zu'gou'xu'wei 只要你足够虚伪
'zhi'you'yuan'bu'yuan'yi 只有愿不愿意
'zhu'ding'wo'yao'lang'ji'tian'ya 注定我要浪迹天涯
'zhuan'shu'wei'dao 专属味道
'zhuan'yan'guo'qu'duo'nian'shi'jian 转眼过去多年世间
'zhuo'dian'xia'de'lao'zhao'pian 桌垫下的老照片
'zi'xin'xin'bu'gao 自信心不高
'zong'gan'jue'wo'men'hai'hui'zai'xiang'jian 总感觉我们还会再相见
'zong'shi'bu'rang'xing'fu'fa'ya 纵使不让幸福发芽
'zong'shi'xin'tou'chu'diao'hua 纵使心头除掉花
'zong'you'ren'chan'mei 总有人谄媚
'zou'zhe'zou'zhe'jiu'san'le 走着走着就散了
'zui'chu'de'meng'xiang 最初的梦想
'zui'duo'bei'xiao'fei 最多被消费
'zui'hou'de'zui'hou 最后的最后
'zui'hou'wo'wu'li'de'kan'qing 最后我无力的看清
'zui'qing'feng 醉清风
'zui'sheng'meng'si'ye'kong 醉生梦死也空
'zui'tian'mei'de'xiao 最甜美的笑
'zui'xiang'yao'qu'de'di'fang 最想要去的地方
'zuo'xin'fang'nuan'nuan'de'hao'bao'man 左心房暖暖的好饱满
