'a'jiao'yu'yun 阿娇馀韵
'fang'cao'qing'men'lu 芳草青门路
'fang'cao'qun'yao'yi'chi'wei 芳草裙腰一尺围
'fang'cao'xie'xun 芳草斜曛
'fang'cao'xie'yang 芳草斜阳
'fang'chen'qu 芳尘去
'fang'fei'xiao'xi'dao 芳菲消息到
'fang'hao'jian 方豪健
'fang'jing'yu'shui'xun'dou'cao 芳径与谁寻斗草
'fang'jiu'yi'zun'shui'yu'gong 芳酒一尊谁与共
'fang'jiu'you 访旧游
'fang'lao'he'si'ci'qing'nong 芳醪何似此情浓
'fang'le'wu'yun'xiang 放乐五云乡
'fang'nian'shao 方年少
'fang'shi'shen'xiang 方士神香
'fang'shi'wan'jia'lian'dao'yu 坊市万家连岛屿
'fang'wu'da 芳物大
'fang'wu'yi 访乌衣
'fang'xin'ku 芳心苦
'fang'yi'zeng'wo'yin'qin 芳意赠我殷勤
'fang'zhou'bo 芳洲泊
'fei'chen'dao 飞尘到
'fei'cui'lou'gao'lian'mu'bo 翡翠楼高帘幕薄
'fei'gai'ying 飞盖影
'fei'hua'fei'wu 非花非雾
'fei'ji'liang'you'you 飞集两悠悠
'fei'ji'luo'xiang'su 榧机罗缃素
'fei'lou'shi'er'zhu'lian 飞楼十二珠帘
'fei'ru'xun'chang'bai'xing'jia 飞入寻常百姓家
'fei'wei'lu'yu'liu'bu'zhu 非谓鲈鱼留不住
'fei'xia'ting'zi'diao'tan'ji 飞霞艇子雕檀楫
'fei'xie'cang'tai 废榭苍苔
'fei'yun'ran'ran'heng'gao'mu 飞云冉冉蘅皋暮
'fen'ben'hua'zhen 粉本花真
'fen'bi'luo'jian 粉碧罗笺
'fen'bu'duan 分不断
'fen'dai'zheng'yan 粉黛争妍
'fen'e'cai'ye'gong'xin'can 粉娥采叶供新蚕
'fen'e'kui'ying'liang'shen'xian 粉娥窥影两神仙
'fen'e'qi'lian'qian'jin'xiao 粉娥齐敛千金笑
'fen'fen'hua'yu'hong'cheng'zhen 纷纷花雨红成阵
'fen'fu'dong'liu 分付东流
'fen'fu'yi'chun'xin'shi'liang'mei'jian 分付一春心事两眉尖
'fen'ji'he'han'zi'sheng'xiang 粉肌和汗自生香
'fen'lang'xiang'run 粉郎香润
'fen'mian'bu'zhi'he'chu'zai 粉面不知何处在
'fen'qu'yan'bo'yi'duan'chou 分取烟波一段愁
'fen'shou'jing'hong'bu'zhu 分首惊鸿不驻
'fen'wu'an'ying'chun'bian 粉舞按迎春遍
'fen'xiang'dong'pan'fu'qiang'hua 分香东畔拂墙花
'fen'xiang'ying'ye'hua'xiu'ri 粉香映叶花羞日
'fen'xie'chu 分携处
'fen'xie'jiu 分携久
'fen'zhan'mei'cong'yan'wei 分占眉丛眼尾
'feng'cheng'mu'chun 凤城暮春
'feng'cheng'yuan 凤城远
'feng'chuo'pei'shan'shan 风绰佩珊珊
'feng'huang'cheng'que'zhi'he'chu 凤凰城阙知何处
'feng'ji'yu'jian 封寄鱼笺
'feng'jin'yun'qing'yu'bian'qiu 风紧云轻欲变秋
'feng'jing'mu 风惊幕
'feng'lang'lang'jian'fou 逢郎郎健否
'feng'lei'ji'yu 封泪寄与
'feng'li'she'xun'zhi'jin'yuan 风里麝熏知近远
'feng'liu'zhu 风留住
'feng'man'kan 风满槛
'feng'qing'yue'zheng'yuan 风清月正圆
'feng'qiu'huang 凤求凰
'feng'ruan'xiang'chi 风软香迟
'feng'tou'meng'yu'chui'cheng'xue 风头梦雨吹成雪
'feng'wu'wan'ran'zhang'zai'yan 风物宛然长在眼
'feng'xiang'yue'ying 风香月影
'feng'ying'chu 逢迎处
'feng'ying'wan'si'ping'sheng'jiu 逢迎宛似平生旧
'feng'ying'yi'xiao'jin'nan'mai 逢迎一笑金难买
'feng'yu'juan'qiu'jiang 风雨卷秋江
'feng'yuan'xiao'xian 凤怨箫闲
'feng'yue'ji'xin 风月羁心
'feng'yue'ye 风月夜
'feng'zhi'niao'que 风枝袅鹊
'fu'can'wan'xia'jin'niu'zhu 浮骖晚下金牛渚
'fu'can'wei'shao'liu 浮骖为少留
'fu'chun'hen'cai'jian'shuang'fu 赋春恨彩笺双幅
'fu'dong'hua'chai'ying'bin'yan 浮动花钗影鬓烟
'fu'hong'zhang'lv'yu'wen'qi 浮红涨绿鱼文起
'fu'hu'shou 缚虎手
'fu'jian'dai'yue'xie'lang 扶肩待月斜廊
'fu'jian'ni'yu 扶肩昵语
'fu'jian'zui'bei'mao'ming'dang 扶肩醉被冒明珰
'fu'jin'chai 付金钗
'fu'jing'ti'xin'xiao 拂镜啼新晓
'fu'jiu'dong'lin 复旧东邻
'fu'mei'fa'feng'ji'su'shou 富美发丰肌素手
'fu'qing'shang 付清觞
'fu'rong'zhang'yan 芙蓉帐掩
'fu'shen'qing'hua'nian'shao'miao 赋深情华年韶妙
'fu'shui'chang'tiao 拂水倡条
'fu'tou'yang'liu'chuan'chi'dao 拂头杨柳穿驰道
'fu'xi'chi'bian 祓禊池边
'fu'xi'gui'yang'liu'mo 祓禊归杨柳陌
'fu'xi'ren'gui 祓禊人归
'fu'xin'qi 负心期
'fu'yu'lou'qian'liu'shui 付与楼前流水
'fu'yu'xi'fei'qu 付与西飞去
'fu'yu'zheng'yi'chen'tie'yi 附与征衣衬铁衣
'fu'yun'shi'wu'gen'wu 浮云是无根物
'gan'dan'dong 肝胆洞
'gan'shen'jing'fu 感深荆赋
'gan'yun'shi'er'ceng'lou 干云十二层楼
'gao'biao'yun 高标韵
'gao'cheng'yuan 高城远
'gao'cheng'zhe'duan'meng 高城遮短梦
'gao'liu'duan'de'jiu'zhong'qu 高流端得酒中趣
'gao'lou'lian'juan'qiu'feng'li 高楼帘卷秋风里
'gao'lou'lian'mu'juan 高楼帘暮卷
'gao'qiu'ji'se'qing'yu'shui 高秋霁色清于水
'ge'ban'qing'wei'yi'san'nian 个般情味已三年
'ge'chen'xiao'san'meng'yun'shou 歌尘萧散梦云收
'ge'chu'pin'hui'shou 个处频回首
'ge'chui'yang'zhou 歌吹扬州
'ge'duan'jiu'lan'shan 歌断酒阑珊
'ge'feng'niao'chu'mei'xian'wu 歌逢袅处眉先妩
'ge'lan'heng'liu'mei'mian 歌阑横流美眄
'ge'lian'wu'chu'shuo'chun'xin 隔帘无处说春心
'ge'neng'chi 个能痴
'ge'nian'huan'shi'shui'xi'dong 隔年欢事水西东
'ge'nian'qing'shi'ci'men'zhong 隔年情事此门中
'ge'nian'you'you'zhe'ren'xiang 隔年犹有着人香
'ge'nong'wu'lai'dong'ren'duo 个侬无赖动人多
'ge'qing'qing 个卿卿
'ge'shan'xiao 歌扇小
'ge'shen'si'shi'liao'dong'he 个身似是辽东鹤
'ge'sheng'jian'lei'yu'zhan'jin 歌声煎泪欲沾襟
'ge'shui'cai'zhou'ran'jiang'la 隔水彩舟然绛蜡
'ge'shui'deng'lin 隔水登临
'ge'shui'diao 歌水调
'ge'shui'shen'fang 隔水深坊
'ge'shui'tao'hua 隔水桃花
'ge'xiao'jian'yu'yan 歌笑见余妍
'ge'xiao'jian'yu'yan 歌笑见馀妍
'ge'ying'dan 歌应弹
'ge'yuan'mei'pin 歌怨眉颦
'ge'yun'you'xu'xiao'liu'lian 歌云犹许小流连
'ge'zui'ji'xiang'feng 歌醉几相逢
'geng'bei'qiu'yue'jiao'hui'lang 更悲秋月皎回廊
'geng'chui'lian'mu'hu'chuang'sha 更垂帘幕护窗纱
'geng'dai'chu'san 更待初三
'geng'de'de'pin'hui'mian'lai 更的的频回眄睐
'geng'feng'he'wu'ke'wang'you 更逢何物可忘忧
'geng'jie'dong'shan'xie'shi'you 更结东山谢氏游
'geng'kan'bai'zhu'yi'shan'bo 更堪白纻衣衫薄
'geng'neng'chang 更能唱
'geng'shang'mi'lou'yi'jie'shan 更上迷楼一借山
'geng'sheng'xiang 更生香
'geng'wei'nong'san'nong'xie'yang 更为侬三弄斜阳
'geng'wei'shou 更为寿
'geng'wen'chan 更闻蝉
'geng'wu'fang'bian'zhi'zun'qian 更无方便只尊前
'geng'xiang'xiang 更想像
'geng'xie'yang 更斜阳
'geng'xu'wu'mei'zuo'yao'zhi 更须妩媚做腰肢
'geng'yi'bu'dai'jiu'chu'xun 更衣不待酒初醺
'geng'yue'huang'li'xiang'dai 更约黄鹂相待
'geng'zai'gu'zhou'zhen'shang 更在孤舟枕上
'geng'zhi'xian'xian'shou 更执纤纤手
'gong'cheng'qing'fang'du'qin'huai 共乘青舫度秦淮
'gong'cheng'zhang'wang 功成长往
'gong'chou'she'yue'mei'xin'tie 供愁麝月眉心帖
'gong'cu'yong 供粗用
'gong'jin'pao'xun'shui'she'xiang 宫锦袍熏水麝香
'gong'ku'qing'qiu'feng'lu 共苦清秋风露
'gong'liu'san'san 宫柳毵毵
'gong'xing'le 供行乐
'gong'you'ji'xu'qing'chou 共有几许清愁
'gong'zhu'fen'yan 宫烛分烟
'gu'cui'ge'song 鼓催歌送
'gu'dong'cheng'tou'ti'mu'ya 鼓动城头啼暮鸦
'gu'fang'bu'pa'xue'shuang'han 孤芳不怕雪霜寒
'gu'qin'leng'die'fu'rong'lang 孤衾冷叠芙蓉浪
'gu'ren'qian'li'nian'jia'qi 故人千里念佳期
'gu'ren'xi 故人稀
'gu'tong'chan'yan'di 古铜蟾砚滴
'gu'yan'qi 孤烟起
'gu'zhao'yi 孤棹舣
'gu'zhou'li 孤舟里
'gu'zhou'yue'man'peng 孤舟月满篷
'guan'gai'ru'lin 冠盖如林
'guan'qing'zhi'wei 关情纸尾
'guan'ran'xi'xiao 莞然西笑
'guan'rong'cong 官冗从
'guang'ling'chun 广陵春
'guang'mo'yi'xiang'du 广陌衣香度
'gui'e'huan'hui'qing'zhou 桂娥唤回清昼
'gui'feng'bian 归风便
'gui'hong'hou'fang'yin'shui'ji 归鸿后芳音谁寄
'gui'ji'lan'zhou 桂楫兰舟
'gui'lai'cui'bei'he'yi'yong 归来翠被和衣拥
'gui'lai'ding'jie'su'shuang'qiu 归来定解鹔鹴裘
'gui'lai'you'dai'xun'xun'zui 归来犹带醺醺醉
'gui'lu'yao'tong'bu'zhang 归路要同步障
'gui'lu'zhi 归路指
'gui'lun'huang'yu 桂轮滉玉
'gui'qi'xu'zao 归期须早
'gui'si'tiao'tiao 归思迢迢
'gui'wo'wen'yuan'you'dai'jiu 归卧文园犹带酒
'gui'ye'mei'cong'hen'zi'cheng 桂叶眉丛恨自成
'gui'yu'fei 鳜鱼肥
'gui'yun'he'xu'wu'xin'qi 归云何许误心期
'guo'gua'shi'jian'yan'nan'gui 过瓜时见雁南归
'guo'men'dong 国门东
'guo'nian'wei'wang'de'shu'gui 过年惟望得书归
'guo'yun'shi'song'yu'xie'xie 过云时送雨些些
'guo'zhu'hu 过朱户
'hai'fu'jing'chen'dong'qu 还拂京尘东去
'hai'ji'chu'guan'lai 还记出关来
'hai'jian'zun'qian'qian'ye'yue 还见尊前前夜月
'hai'jiang'meng'qu 还将梦去
'hai'wei'he'ren 还为何人
'han'biao'yang'liu'ying'fen'bo 寒飙飏六英纷泊
'han'chao'qing'qian 寒潮清浅
'han'ge'yi'qu'tai'ping'ren 酣歌一曲太平人
'han'liu'san'mian 汉柳三眠
'han'qin'bai'zhu'shan 寒侵白纻衫
'han'song'ban'qi'jian'di 寒松半欹涧底
'han'song'tan 寒松叹
'han'yi'wu'luo'xiang 汗浥舞罗香
'hao'ban'yun'lai 好伴云来
'hao'fu'xiao'jian'feng'lei'tie 好付小笺封泪帖
'hao'ping'shuang'yan 好凭双燕
'hao'qu'xiu'hui'shou 好去休回首
'hao'ye'wu'ren'gong 好夜无人共
'hao'yue'wei'ren'zhong'po'ming 好月为人重破暝
'hao'zai'hou'ting'tao'li 好在后庭桃李
'hao'zhu'ban'liu'lang 好住伴刘郎
'hao'zhu'dong'feng'shui'zhu'ling 好住东风谁主领
'hao'zong 豪纵
'he'bian'ru'yun'zhong 鹖弁如云众
'he'biao'xiang'wang 鹤表相望
'he'chang'xin 何尝信
'he'chi'fen'yin'ru'sui 何啻分阴如岁
'he'chou'zai 和愁载
'he'chu 何处
'he'chu'fei'lai'bai'lu'li'yi'shi 何处飞来白鹭立移时
'he'chu'tan'chun'xun'jiu'yue 何处探春寻旧约
'he'chu'tou'an'feng'yu'xi 何处投鞍风雨夕
'he'chu'tou'xie'xin'shang 何处偷谐心赏
'he'chu'yan'liu 何处淹留
'he'chu'yu'cun 何处渔村
'he'chu'yu'zun'kong'dui 何处玉尊空对
'he'chu'zui'nan'wang 何处最难忘
'he'chu'zun'qian 何处尊前
'he'fan'jing'zhao'hua'xin'mei 何烦京兆画新眉
'he'fan'nao 和烦恼
'he'ren'shou 何人手
'he'shi'dan 何时旦
'he'wu'xi'jun'xin 何物系君心
'he'xian'yu'qin'xin'yi 何限玉琴心意
'he'xu'geng'dai'qiu'feng'hou 何须更待秋风后
'he'xu'xiu'bei 何须绣被
'he'xu'zui'bei'qiu 何许最悲秋
'he'yang'guan'ba'wen'yuan'bing 河阳官罢文园病
'he'yang'xin'bin'jin'jin'qiu 河阳新鬓尽禁秋
'hei'zi'si'xin'jiang 黑自死心降
'hen'bu'ru'fang'cao 恨不如芳草
'hen'bu'ru'jin'ye 恨不如今夜
'hen'bu'zhu'dang'nian'cai'chan 恨不贮当年彩蟾
'hen'deng'shan'lin'shui 恨登山临水
'hen'feng'liu'bu'guan'yu'xiang 恨风流不管馀香
'hen'fu'ming'wu'wo 恨浮名误我
'hen'nan'xu'gao'tang'hou'fu 恨难续高唐后赋
'hen'nan'zhao'yue'ren'tong'zai 恨难招越人同载
'hen'nv'luo'xian'wei'bing'shuang 恨女萝先委冰霜
'hen'sui'hong'la'duan 恨随红蜡短
'hen'ti'wu 恨啼乌
'hen'tian'ming 恨天明
'hen'wu'qiang'yi'zhang'qing'fan 恨乌樯已张轻帆
'hen'xun'fang 恨寻芳
'hen'yi'shi 恨易失
'heng'qiang'lu'fen'yan 横墙露粉颜
'heng'tang'lu 横塘路
'hong'chen'bai'zhu'shan 红尘白纻衫
'hong'chen'shi'li'yang'zhou'guo 红尘十里扬州过
'hong'fen'ge'chi'jiu'quan 红粉歌持酒劝
'hong'fen'lian'wa'he'chu'zai 红粉莲娃何处在
'hong'fen'qiang'dong 红粉墙东
'hong'fen'qing'quan'xiang'zhao 红粉清泉相照
'hong'lei'qing'ge 红泪清歌
'hong'lei'qing'ge'cui'luo'jing 红泪清歌催落景
'hong'liu'zhi 虹流祉
'hong'xiu'yi'lou'ning'di 红袖倚楼凝睇
'hong'yi'tuo'jin'fang'xin'ku 红衣脱尽芳心苦
'hong'yin'jiu'lu 轰饮酒垆
'hong'zui'wang'sun'dai'mao'yan 轰醉王孙玳瑁筵
'hou'guan'juan'juan'xin'yue 堠馆娟娟新月
'hou'ting'chun'zai 后庭春在
'hou'ting'fang'cao'lv'yuan'jie 后庭芳草绿缘阶
'hu'kai'yi'shi'jun 忽开疑是君
'hu'qi'gong 忽奇功
'hu'shang'lan'zhou'mu'fa 湖上兰舟暮发
'hu'shang'qiu'shen'ou'ye'huang 湖上秋深藕叶黄
'hua'chi'liao'rao'fei'lang 华池缭绕飞廊
'hua'chu'bai'lian'qian'ye'hua 化出白莲千叶花
'hua'chu'wu'bian'bao'jie 化出无边宝界
'hua'chuan'ting'yu'nai'wu'mian 画船听雨奈无眠
'hua'chuan'xiao'gu'zhuan 画船箫鼓转
'hua'di'shen'zhu'hu 花底深朱户
'hua'dian'chang 画簟长
'hua'fang'yi'gao'yan'shui'kuo 画舫一篙烟水阔
'hua'fu'qiang'di 花拂墙低
'hua'gong'zhuo'yi'cheng'xin'qiao 化工着意呈新巧
'hua'la'huan 花蜡换
'hua'lou'fang'jiu 画楼芳酒
'hua'lou'kong 画楼空
'hua'lou'lian'yuan'qi 花楼连苑起
'hua'lou'qie'chun'xiao 花漏怯春宵
'hua'lou'zhu'bo'lin'jin 画楼珠箔临津
'hua'man'di 花满地
'hua'mei'lang 画眉郎
'hua'mei'nan'cheng'qie'ren'cui 画眉难称怯人催
'hua'mu'an 花幕暗
'hua'qi'dong'lian 花气动帘
'hua'qiao'hui'shou 画桥回首
'hua'qiao'lin'shui'feng'cheng'dong 画桥临水凤城东
'hua'qiao'liu'shui 画桥流水
'hua'qiao'liu'shui'ban'gao'shen 画桥流水半篙深
'hua'qiao'qing'liu'xiao'zhu'lou 画桥青柳小朱楼
'hua'qiao'yun'duan'yue'qin'he 画桥云断月侵河
'hua'rao'ya'ya'dong'liu 画桡鸦轧东流
'hua'shen'lou'duan 花深漏短
'hua'shi'shan'tou'fu 化石山头妇
'hua'si'chun'feng'wu'ji 花似春风无迹
'hua'tang'kong 画堂空
'hua'tang'zhang'yan 华堂张燕
'hua'tang'zhong'yan 华堂重燕
'hua'wai'chen'can'lou 花外沉残漏
'hua'xia'jie'xie'zhong'fu'er 花下解携重附耳
'hua'xiang'rong 花想容
'hua'yuan'ping'tai 花苑平台
'hua'yuan'shen'yi'wu'lu'tong 花院深疑无路通
'hua'yue'wan'zhi'deng 华月万枝灯
'hua'zuo'zun'qian'ru'meng'yun 化作尊前入梦云
'huai'bi'mei 怀彼美
'huai'kong'zong 怀倥傯
'huai'ni'yu 怀昵语
'huai'shang'chao'ping'shuang'xia 淮上潮平霜下
'huai'xian'nian'lai 怀县年来
'huai'xiang 怀想
'huan'ba'juan'lian'shi 欢罢卷帘时
'huan'chun'chou 唤春愁
'huan'ge'qing'tiao'xiao 缓歌轻调笑
'huan'gui'xie 欢归斜
'huan'mo'zai 欢莫再
'huan'nian'huai'shan'lou'shang'yi'lan'ren 还念淮山楼上倚阑人
'huan'qing'zhou 还清昼
'huan'ren'qi 唤人起
'huan'shi'ying'bei'hua'liu'jia 换时应倍骅骝价
'huan'tiao'qing'guan 缓调清管
'huan'zhui'feng 换追风
'huang'ai'chi'ri'chang'an'dao 黄埃赤日长安道
'huang'hun'cui'he'yu 黄昏翠荷雨
'huang'hun'yue'shang'chao'ping'qu 黄昏月上潮平去
'huang'ji'bai'jiu'yu'qiao 黄鸡白酒渔樵
'huang'lian'jiang'mu'yan'xiang'feng 黄帘绛幕掩香风
'huang'ran'jian'qing'lou'jiu'chu 恍然间青楼旧处
'huang'ye'xi'feng 黄叶西风
'hui'chang'duan'jin 回肠断尽
'hui'fen'chai'yan 悔分钗燕
'hui'guo'men'dong 会国门东
'hui'jin'mo'shang'lang 挥金陌上郎
'hui'jin'xiu 辉锦绣
'hui'lang'ji'bu'tong'shen'yuan 回廊几步通深院
'hui'lang'ying 回廊影
'hui'ping'zi'yan'xi'fei 会凭紫燕西飞
'hui'shen'jiu'lang'bao 回身就郎抱
'hui'shen'ni'yu'bu'sheng'jiao 回身昵语不胜娇
'hui'shou 回首
'hui'shou'bi'yun'qian'li 回首碧云千里
'hui'shou'bu'jian'gao'cheng 回首不见高城
'hui'shou'fei'yuan'wa 回首飞鸳瓦
'hui'shou'jiang'hu'jiu'meng 回首江湖旧梦
'hui'shou'jiu'you 回首旧游
'hui'shou'li'chou'man'fang'cao 回首离愁满芳草
'hui'shou'lian'peng'you 回首恋朋游
'hui'shou'ming'nian 回首明年
'hui'shou'qing'men'dao 回首青门道
'hui'shou'wu'hu'cheng'xing'di 回首五湖乘兴地
'hui'shou'yang'zhou 回首扬州
'hui'tou 回头
'hui'xiang'dang'nian'li'xu 回想当年离绪
'hui'xiang'jia'cheng'zhong 回想夹城中
'hui'xiang'qian'yi 回想牵衣
'hui'xiang'ren'jia 回想人家
'hui'xu'jia'shu'niang 会须加数酿
'hui'xun'jia'yue 会寻佳约
'hui'you'gui'feng'bian 会有归风便
'hui'zui'bi 挥醉笔
'hun'duan'gao'cheng'shou'man'zhao 魂断高城手漫招
'huo'jin'chu'kai 火禁初开
'ji'cai'lan 记采兰
'ji'chai'fei 际柴扉
'ji'chong'shan 几重山
'ji'chong'shui 几重水
'ji'dao'yu'guan'ying'wan'li 寄到玉关应万里
'ji'de'lv'luo'qun 记得绿罗裙
'ji'de'nian'shi'han'shi'xia 记得年时寒食下
'ji'de'xi'lou'ning'zui'yan 记得西楼凝醉眼
'ji'deng'lin'shi 记登临事
'ji'dian'chen'ai 几点尘埃
'ji'du'liu'lang 几度刘郎
'ji'du'qing'men'dao 几度青门道
'ji'duo'fang'cun'guan'qing'hua 几多方寸关情话
'ji'fan'qiu 几番秋
'ji'ge'ming'wan'zhuan 记歌名宛转
'ji'hua'tang'xie'yue'meng'long 记画堂斜月朦胧
'ji'huan'fu'qing'kuang 羁宦负清狂
'ji'huan'xin'chan 几换新蟾
'ji'hui'ping'shuang'yan 几回凭双燕
'ji'hui'qiao'cui'hou'ting'lan 几回憔悴后庭兰
'ji'hui'shi'lei'shen'nan'dao 几回拭泪深难到
'ji'ji'ge'liang 寂寂歌梁
'ji'jia'cun'luo'ji'sheng'zhen 几家村落几声砧
'ji'jia'jie'yue'shi'zhong'san 记佳节约是重三
'ji'liang'hang'qing'lei 寄两行清泪
'ji'liu'chao 记六朝
'ji'liu'chun 计留春
'ji'mo'qiang'dong 寂寞墙东
'ji'mo'wen'yuan'yan'wo'jiu 寂寞文园淹卧久
'ji'pian'zhou 寄扁舟
'ji'qing'lou 几青楼
'ji'qing'ren 寄情人
'ji'qiu'qian'jia'di 记秋千架底
'ji'qu'ming'nian 记取明年
'ji'qu'xin'liu 迹去心留
'ji'ren'xie'shou'fen'jin'chu 几人携手分襟处
'ji'ri'du'jiang'lai 几日渡江来
'ji'sheng'ge'guan 几声歌管
'ji'shi'jie 记时节
'ji'shi'shuang'ji'ying'lai 几时双楫迎来
'ji'shi'yi'ye'lan'zhou 几时一叶兰舟
'ji'song'ren'gui'wo'zhi'liu 几送人归我滞留
'ji'xiao'hun 几销魂
'ji'xiao'jiang'feng'yue'jia'shi 记小江风月佳时
'ji'xin'sheng 记新声
'ji'xing'shu'wei'qing'he'xian 几行书尾情何限
'ji'xu'chan'mian'yi 几许缠绵意
'ji'xu'shang'chun'chun'fu'mu 几许伤春春复暮
'ji'xu'shang'chun'chun'wan 几许伤春春晚
'ji'xu'xiao'hun 几许销魂
'ji'yi'xiao'he'yu'xing'wang 寄一笑何与兴亡
'ji'ying'jiu'fu'lu'yu'xing 季鹰久负鲈鱼兴
'ji'yu'shou'chun 急雨收春
'ji'yue'bo 寄月波
'ji'zeng'xing'ren'shou 几赠行人手
'ji'zong'zhu'fan'dao 几纵朱轓到
'ji'zui'hong'qun 几醉红裙
'jia'an'tao'hua'lan 夹岸桃花烂
'jia'gu'dong 笳鼓动
'jia'li'di 佳丽地
'jia'lu'bao'fu'rong 夹路宝芙蓉
'jia'qi'shen'ji 佳期深记
'jia'qi'xue'qu'nong'chao'er 佳期学取弄潮儿
'jia'qi'ying'dai'que'cheng'qiao 佳期应待鹊成桥
'jia'qi'ying'wei'wu'xing'yun 佳期应未误行云
'jia'qi'zhong'yue'lin'fen 佳期重约临分
'jian'ceng'lan 见层岚
'jian'cu'xi'qing'huan'qin'cha'pai 渐促膝倾鬟琴差拍
'jian'di'bi'yi'ru'yan'jing 见底碧漪如眼净
'jian'hou'xi'feng 剑吼西风
'jian'ke'zhao'xia'ding'lu'pan 翦刻朝霞饤露盘
'jian'kuo'shi'duo'shu'wen'shao 间阔时多书问少
'jian'mian'wu'duo 见面无多
'jian'qun'qi'shang 湔裙淇上
'jian'xian'chou 见闲愁
'jian'yue'hai'xiang'wang 见月还相望
'jian'zheng'pao 翦征袍
'jiang'bei'jiang'nan'xin'nian'bie 江北江南新念别
'jiang'bin'hai'dao 江滨海岛
'jiang'cheng'shui'lu'man'you'you 江城水路漫悠悠
'jiang'fa 将发
'jiang'ji'wu'bian 江际吴边
'jiang'mian'bo'wen'zhou'hu 江面波纹皱縠
'jiang'nan'an'cao'he'yan'lv 江南岸草和烟绿
'jiang'nan'du'yi'lou 江南独倚楼
'jiang'nan'fang'xin 江南芳信
'jiang'nan'hu'bei'dao 江南湖北道
'jiang'nan'nuan 江南暖
'jiang'nan'qu 江南曲
'jiang'nan'tiao 江南调
'jiang'nan'wei'bei'san'qian'li 江南渭北三千里
'jiang'nan'you'tan'liu'yu 江南又叹流寓
'jiang'nan'you'yan'wu'shu'dao 江南有雁无书到
'jiang'nan'zhong'xi'jian 江南重喜见
'jiang'qun'jin'lv'zhe 绛裙金缕摺
'jiang'ru'lian 江如练
'jiang'sha'deng'ying'bei 绛纱灯影背
'jiang'shang'chao'hui'feng'xi 江上潮回风细
'jiang'shang'mu'chao 江上暮潮
'jiang'shang'shu'feng'qing 江上数峰青
'jiang'tun'chui'lang 江豚吹浪
'jiang'xie'yuan'yang'mi 绛襭鸳鸯密
'jiao'jie'wu'dou'xiong 交结五都雄
'jiao'jing'ping'hu'san'shi'li 皎镜平湖三十里
'jiao'long'cheng 矫聋丞
'jiao'qing'feng'xu 搅晴风絮
'jiao'xiu'zhi'ba'mei'pin'zhu 娇羞只把眉颦著
'jiao'xue'e'kong 狡穴俄空
'jiao'zhu'yu'sheng'lai 娇逐语声来
'jie'dai'fan'cheng'jie 解带翻成结
'jie'lian'fei'wa'bao'sheng'jiao 揭帘飞瓦雹声焦
'jie'ting'gao 接亭皋
'jie'wu'qin'xun'po'mu'chi 节物侵寻迫暮迟
'jie'wu'ye'chang'ju 接武曳长裾
'jie'xie'shi'li'chang'ting 解携十里长亭
'jie'xiu'se 借秀色
'jie'zu'tou'zan 解组投簪
'jin'chan'tou 锦缠头
'jin'chi'fang'cao 禁池芳草
'jin'chi'kai'yao 禁池开钥
'jin'chou'yi'meng'yun'fei'guan 尽愁倚梦云飞观
'jin'diao'qin'jian 金雕琴荐
'jin'dou'cheng'nan'zai'jiu'pin 金斗城南载酒频
'jin'du'che'qing'yu'cong'xiao 金犊车轻玉骢小
'jin'fang'xi'qu 锦坊西去
'jin'hai'nan'qiang 筋骸难强
'jin'hao'zong 矜豪纵
'jin'hui'shang 金徽上
'jin'jian'zhu'xian'se'se'hui 锦鞯朱弦瑟瑟徽
'jin'jing'lu'han'feng'xia'ye 金井露寒风下叶
'jin'ke'gui 晋客归
'jin'lou'yu'rui'jie'shu'yan 金楼玉蕊皆殊艳
'jin'lv'yi'shuang'hong'dou 金缕一双红豆
'jin'mu'lin'gao'fei'guan 尽目临皋飞观
'jin'pei'ru'xiang'kuan 襟佩如相款
'jin'pian'xuan'yi'lian'hua'xu 尽便旋一帘花絮
'jin'ping'ren'qi'zao 锦屏人起早
'jin'qiu'si'qu'qiu 今秋似去秋
'jin'ren'li'tian'gu'ren'mu 今人犁田古人墓
'jin'ren'pian'zhou'lu 尽任扁舟路
'jin'ri'li'ting'hai'dui'jiu 今日离亭还对酒
'jin'ri'niao'ti'ren'jing 尽日鸟啼人静
'jin'se'hua'nian'shei'yu'du 锦瑟华年谁与度
'jin'se'xian'tiao 锦瑟弦调
'jin'shi'ya'cheng'zhuang 金石压掁撞
'jin'ting'bo'wan'zhang'li'yan 津亭薄晚张离燕
'jin'ting'hui'shou'qing'lou'yuan 津亭回首青楼远
'jin'tou'long'ci'lv 津头龙祠屡
'jin'xi'meng 今夕梦
'jin'xiao'feng'yue'liang'xiang'wang 今宵风月两相忘
'jin'ye'hai'ru'zuo'ye'chang 今夜还如昨夜长
'jin'ye'pian'zhou'lei'bu'gong 今夜扁舟泪不供
'jin'ye'wei'shui'chang 今夜为谁长
'jin'ye'xiao'lou'chui'feng'zhu 今夜小楼吹凤竹
'jin'ye'ye'han'chou'bu'shui 今夜夜寒愁不睡
'jin'ye'yue 今夜月
'jin'ye'yue'ming'wen'shui'diao 今夜月明闻水调
'jin'you'zuo 今犹昨
'jin'zhong'lian'bo 尽重帘箔
'jing'bo'zhang'lian 鲸波张练
'jing'dong'tian'ya'juan'huan 惊动天涯倦宦
