'a'cao'po 阿曹婆
'geng'yu'mang'yi'yu'xuan'xie 更遇盲医与宣泻
'gong'bie'ren 共别人
'gong'de'zhi'xu'zi'jia'ban 功德只须自家办
'gong'dian'li 宫殿里
'gong'guo'jiao'jun'bu'xu'qi 功果教君不虚弃
'gong'li'chuan'wen'xi'da'wu 宫里传闻悉达无
'gong'li'da 功力大
'gong'li'le'hong'hong 宫里乐轰轰
'gong'luo'gui'she'cang'de'wei 供罗归舍藏德违
'gong'ma'xue'lai'zhen'shang'cheng 弓马学来阵上骋
'gong'shi'wen'shu'zheng'chu'duan 公事文书争处断
'gong'shu'xue'jian'neng'ji'he 攻书学剑能几何
'gong'shu'ye'pao'qie'qiu'ming'huan 攻书业抛妾求名宦
'gong'yang'zhu'tian 供养诸天
'gong'zhong'wen'huan'tai'zi'sheng 宫中闻唤太子声
'gong'zi'wang'sun'nv 公子王孙女
'gong'zi'zui'ru'ni 公子醉如泥
'gong'zou'tian'xian'yue 共奏天仙乐
'gou'dang'ru'tong'qiang'jian'ri 勾当如同强健日
'gu'ba'chang'jie'ren'bu'chu 鼓罢长街人不出
'gu'bai'han'song'yin'huang'cao 古柏寒松荫荒草
'gu'fu'man'tian'chou 鼓腹满田畴
'gu'lai'mei'mao'shi'pan'an 古来美貌是潘安
'gu'lai'yuan'zi'ying 故来远自迎
'gu'leng'yi'dan'duo'yuan'dui 骨冷衣单多怨怼
'gu'mian'luan'zhang'li 孤眠鸾帐里
'gu'shi'heng'bo'ren'yu'lang 故使横波认玉郎
'gu'zhe'yan'zhi'qing'qing'ran 故着胭脂轻轻染
'gua'gua'jie'xu 卦卦皆虚
'gua'ling'juan 挂绫绢
'guan'kong'he'chu'you'rong'hua 观空何处有荣华
'guan'yan'zhi'yu'ruan'yan'qing 观艳质语软言轻
'guan'yuan'li'qing'qing 观园里青青
'guan'zai'zi'wei'jian 惯在紫微间
'guang'da'jie'lai'chang'bu'wu 广大劫来常不悟
'guang'kai'ci'yu'shi'yin'yuan 广开慈谕示因缘
'guang'ming 光明
'guang'zhi'qi'fang'duo'xi'ban 广置妻房多系绊
'gui'qian'cheng'qi'fa'yuan 跪虔诚齐发愿
'gui'qu'ci 归去辞
'gui'qu'ye 归去也
'gui'si 闺思
'gui'yuan 闺怨
'guo'bei'dou 过北斗
'guo'qu'she'shen'qiu'bu'de 过去舍身求不得
'guo'qu'zhi'fo 过去之佛
'guo'tai'shi'qing'yan 国泰时清晏
'hai'bu'shao 害不少
'hai'ou 海鸥
'hai'pan'long'shen'dou 海畔龙神斗
'hai'shi 还是
'hai'tang'hua'yi'zhi 海棠花一枝
'hai'wang'guan'xiao'xi 还往观消息
'hai'wang'lai 还往来
'hai'yan'xuan'hu'bie'lu'bo 海燕喧呼别渌波
'hai'yu'dao'ren'yao'shuo'fa 还遇道人邀说法
'han'dan'wu'ren'zhe 菡萏无人折
'han'lao'ren'ku'zi'geng'yun 捍劳忍苦自耕耘
'han'liu'si'xue 汗流似血
'han'qing'huan'xiao'ying 含情唤小莺
'han'qiong'xiang'ye'ye'kan'shang 寒蛩响夜夜堪伤
'han'san'que'jin'an 汗散却金鞍
'han'sheng'kai'di'lie 喊声开地裂
'han'shu'jiao'qin'cheng'wo'ji 寒暑交侵成卧疾
'han'xing'chu'mie'ben'you'ta 汉兴楚灭本由他
'han'yan'nan'fei'shu'ji'hang 寒雁南飞数几行
'hao'han'hong'bo'chang'shui'mian 浩涆洪波长水面
'hao'miao'tian'ya'wu'ji 浩渺天涯无际
'hao'shi'jin'qiao'ying 好是金桥影
'hao'shi'shen'zhan'sheng'zhu'en 好是身霑圣主恩
'hao'shuo'wo'bu'shi 好说我不是
'hao'su'qiu'ta'shui'cai'guo 号诉求他谁睬聒
'hao'wu'bu'zhong'jiao'qu'jian 好物不中教觑见
'he'chou'feng'qu'shu 和愁封去书
'he'chu'geng'ceng'xiu'fu'shan 何处更曾修福善
'he'chu'tan'huan'zui'bu'gui 何处贪欢醉不归
'he'chu'you'ying'xiong 何处有英雄
'he'fu'jun'wang'yi 合赴君王意
'he'he'hong'lun'dang'wan'hu 赫赫红轮当万户
'he'huang'bi'kong'xian'rong'yi 河湟必恐陷戎夷
'he'jun'ren'xin'xian'xi'he 合郡人心衔喜贺
'he'li'jie 和李杰
'he'long'yan 贺龙颜
'he'man'zi 何满子
'he'ming'jun 贺明君
'he'ri'le 何日了
'he'ri'que'hui'gui 何日却回归
'he'ru'hua'yan'xiu 合如花焰秀
'he'ru'shao'jian'zi'zhi'fen 何如少健自支分
'he'shi'an'ran'bu'you'ju 何事安然不忧惧
'he'shi'du'de'xue'shan'chuan 何时度得雪山川
'he'shi'lian'xie'hua 何时怜颉花
'he'shi'xian'de'an'bang'ji 何时献得安邦计
'he'xi 贺喜
'he'xu'geng'zuo'qian'nian'tiao 何须更作千年调
'he'yan'chen'lun'san'e'dao 合眼沉沦三恶道
'he'yong'geng'hui'tou 何用更回头
'hen'bie'chou'ming'ti'bu'mei 恨别愁明啼不寐
'hen'bie'tian'qiao'cui 恨别添憔悴
'hen'bu'wan'tiao'ren'nao'sui 恨不剜挑人脑髓
'hen'chang'xiao 恨长霄
'hen'kuang'fu 恨狂夫
'hen'xiao'lang'you'dang'jing'nian 恨小郎游荡经年
'hen'zheng'ren'jiu'zhen'bian'yi 恨征人久镇边夷
'heng'bo'ru'tong'qiu'shui 横波如同秋水
'heng'jiang'chou'lue'ding'yao'fen 恒将筹略定妖氛
'heng'jiang'jing'tu'gong'jin'yan 恒将净土共金颜
'heng'ri'zai'zhen'qian 恒日在阵前
'heng'yun'chu'lai'bu'gan'zhe 横云出来不敢遮
'hong'er'bo'han 红耳薄寒
'hong'lian'ke'zhi'zhu'lei'pin 红脸可知珠泪频
'hong'lu'nuan'ge'jia'ren'shui 红炉暖阁佳人睡
'hong'luo'zhang'shang'jian'jin'ni 红罗帐上间金泥
'hong'men'hui'shang'you'ming'wang 鸿门会上佑明王
'hong'niao'zhi'si'yu'yi'qi 鸿鸟只思羽翼齐
'hong'yan'jian'jue'jiao'ku 红颜渐觉焦枯
'hong'yan'qian'qu'mei'ren'zhi 红颜潜去没人知
'hong'yan'yi'xiang'chou'zhong'gai 红颜已向愁中改
'hou'jian'jun'wang'mian 后见君王面
'hou'sheng'shi 后生时
'hu'jian 忽见
'hu'jian'cheng'tou'bai'ma'zong 忽见城头白马踪
'hu'ran'fu'jin'yu'guai'zhang 忽然福尽欲乖张
'hu'wan'sui 呼万岁
'hu'yan'han'yu'zhen'nan'hui 胡言汉语真难会
'hu'yi'kuang'fu'zhen'sha'mo 忽忆狂夫镇沙漠
'hu'yi'liao'yang'chou'zhuan'tian 忽忆辽阳愁转添
'hu'yi'zhen'jun 忽忆贞君
'hu'yi'zhen'jun'wu'shi'jie 忽忆贞君无时节
'hu'yi'zheng'ren'chou'geng'qie 忽忆征人愁更切
'hu'yu'wei'yuan'hai'que'tui 忽遇违缘还却退
'hua'ge'diao'liang'yan'yu'xin 画阁雕梁燕语新
'hua'lin'zhai'fu'lang 花林摘浮郎
'hua'man'dong 花满洞
'hua'mu'fen'fang 花木芬芳
'hua'rui'jin'feng'chu 花蕊金风触
'hua'xia'yao'zhi'zhu'shen'zhi 花下遥指祝神祗
'hua'zhi'yi'jian'hen'wu'lu 花枝一见恨无路
'hua'zhu'guang'hui 华烛光辉
'huan'bu'xing'duo'shao 缓步行多少
'huan'hai'nei 寰海内
'huan'shi'fu'sheng'ru'meng'mei 幻世浮生如梦寐
'huan'xi'sha 浣溪沙
'huan'xi'yuan'jia'xiang'nao'luan 欢喜冤家相恼乱
'huang'di'chi'dao'qiang 皇帝持刀强
'huang'en'pu 皇恩溥
'huang'hun'xu 黄昏戌
'huang'niao'chuang'bian'ti'xin'yue 黄鸟窗边啼新月
'huang'yang'che'ni'quan'dong'xi 黄羊车匿圈东西
'hui'bu'xiao'jing'du'yi'xing 悔不孝经读一行
'hui'gu'yu'tu'ying'mei 回顾玉兔影媚
'hui'jiang'luan'jia 会将銮驾
'hui'lai'hai'ban'he'gui'zhuang 回来还伴鹤归装
'hui'lai'wei'ban'zao'jing'nian 回来未半早经年
'hui'lai'zhi'ni'ku'guo'mo 回来直拟苦过磨
'hui'luan 回銮
'hui'ming'yuan'ge'qian'shen'yun 晦明缘隔浅深云
'hui'xing'luo'fa'gan'qing'hao 毁形落发绀青毫
'hun'jia'da'xiao'zhuan'kan'shi 浑家大小专看侍
'hun'meng'tian'ya'wu'zan'xie 魂梦天涯无暂歇
'hun'po'you'you'he'chu'qu 魂魄悠悠何处去
'hun'shen'gua'qi'luo'zhuang'shu 浑身挂绮罗装束
'hun'shen'gua'yi'zhong'luo'shang 浑身挂异种罗裳
'hun'shen'si'yu 浑身似玉
'hun'tuo'xiang'qian'lai 浑脱向前来
'huo'bei'yan'xun'xing'hei'shou 火焙烟熏形黑瘦
'huo'cang'cao'she'bi'jing'you 或藏草舍避惊忧
'huo'cheng'dou 或秤斗
'huo'cheng'huang 或城隍
'huo'cun'sou 或村薮
'huo'dao'chi 或刀尺
'huo'di'zhi 或弟侄
'huo'er'fu 或儿妇
'huo'fu'hao 或富豪
'huo'fu'yun 豁浮云
'huo'gong'si 或公私
'huo'hun'pao 或浑炮
'huo'jia'qi 或佳期
'huo'leng'bi 或冷痺
'huo'mai'mai 或买卖
'huo'pin'kui 或贫匮
'huo'ping'an 或平安
'huo'qian'huo'hou'ji'cha'shu 或前或后即差殊
'huo'shi'fu'zi'xiang'kui'tu 或是父子相窥图
'huo'shi'yi 或失意
'huo'shi'zhong'zuo'yu'feng'shuang 或时种作遇风霜
'huo'ting'shen'zhong 或听神钟
'huo'wo'hong'lou'zheng'chen'zui 或卧红楼整沉醉
'huo'xi'qie 或细切
'huo'yao'teng 或腰疼
'huo'ying'tao 或营讨
'huo'yu'bie 或鱼鳖
'huo'zhai'mang 火宅忙
'huo'zhai'men'wai'she'san'che 火宅门外设三车
'huo'zhai'qu'mang'wu'ji'xian 火宅驱忙无际限
'huo'zhu'yang 或猪羊
'huo'zhui'jian 或追荐
'huo'zi'sun 或子孙
'ji'chong'tan 几重滩
'ji'du'long'men'dian'e'tui 几度龙门点额退
'ji'du'yao'xiang'xu 几度遥相许
'ji'dui'qian'ting'qiao'qiao 寂对前庭悄悄
'ji'e'ren'min'di'xiang'sha 饥饿人民递相杀
'ji'hu'you'chou'ji'jia'xi 几户忧愁几家喜
'ji'huo'mi'tuo'zhen'bao'qi 即获弥陀珍宝器
'ji'huo'qin 饥火侵
'ji'ji'geng'shen'zuo 寂寂更深坐
'ji'jian'chan'mian'nan'qi'zhi 积渐缠绵难起止
'ji'ming'chou 鸡鸣丑
'ji'mo'chang'chui'zhu'lei 寂寞长垂珠泪
'ji'mo'zi'jia'zhi 寂寞自家知
'ji'ri'que'hui'gui 计日却回归
'ji'shi'chang'qiang'xiong'shang'chi 即是长枪胸上剟
'ji'shi'yi'zhuo 及时衣着
'ji'shi'ying'de'zan'you'you 几时应得暂优游
'ji'wan'xiang'yun'dan'dan'zhuang 髻绾湘云淡淡妆
'ji'wei'fu'mu'su'yin'yuan 既为父母宿因缘
'ji'wen'chang'jiang'lai'wang'ke 即问长江来往客
'ji'wen'yu'weng'he'suo'you 即问渔翁何所有
'ji'xiang'men'tu'zong'da'gui 计想门徒总大归
'ji'xiang'ming 吉祥鸣
'ji'zhi'ci'jie'zheng'kan'xiu 即知此戒正堪修
'ji'zhi'fu'mu'ku'you'lian 记之父母苦忧怜
'ji'zi'chi'gao 屐子齿高
'jia'li'chong'ming'cheng 佳丽重名城
'jia'shang'tao'hua'sui'ri'xie 颊上桃花随日谢
'jia'shi'shang'han'mai'shen'chi 夹食伤寒脉沈迟
'jia'tuo'zhong'yuan'cheng'yin'ju 假托众缘成荫聚
'jian'ben'xing 见本性
'jian'bian'bu'neng'yi'bu 见便不能移步
'jian'fei'hui'ming'guang'ba'biao 渐胐徽明光八表
'jian'gong'fu 减功夫
'jian'jian'tuan'yuan'zai'dong'bian 渐渐团圆在东边
'jian'jue'xin'shen'zhuan'meng'mei 渐觉心神转蒙昧
'jian'nai'juan'chu'qian'hu'nan 兼乃蠲除千户难
'jian'pu'liu 渐蒲柳
'jian'qi'cheng'duo'shao 剑器呈多少
'jian'qi'ci 剑器词
'jian'qie'si'jun'chang'yu'duan 贱妾思君肠欲断
'jian'qie'you'zi'heng'e'yue 贱妾犹自姮娥月
'jian'shan'ren 见善人
'jian'sheng'song 涧生松
'jian'shi'seng 见师僧
'jian'si'qi'chang'sheng 建寺祈长生
'jian'wen'zi'xiao'yi'qie'zui 见闻自消一切罪
'jian'xuan'shi'seng'lun'guo'zui 拣选师僧论过罪
'jian'zhi'yi'xin'si'jiu'zhu 坚志一心思旧主
'jian'zhong'hua'hao 见中华好
'jiang'chang'hai 疆场还
'jiang'de'mo'wang'ji'wai'dao 降得魔王及外道
'jiang'dong'hai'bei'tou 江东海北头
'jiang'qian'bu'shi'nan'nv'chen 将钱布施男女嗔
'jiang'shen'bu'zuo'zhuan'lun'wang 将身不作转轮王
'jiang'tou'ji'mo'wu'yin'xin 江头寂寞无音信
'jiang'wei'chang'nian'bao'an'ji 将为长年保安吉
'jiang'wei'rong'hua'bu'shuai'xiu 将谓荣华不衰朽
'jiang'wu'bai'ma'que'gui'huan 将吾白马却归还
'jiang'xiang'dian'qian'bao'xiao'xi 将向殿前报消息
'jiao'guan'duo'shi'qi'cheng'qian 交关多使七成钱
'jiao'hu'wan'sui'yuan'qian'qiu 叫呼万岁愿千秋
'jiao'jiao'qi'luo'guang 皎皎绮罗光
'jiao'qie'dai 教且待
'jiao'qie'shi'zai'fan'nao 教妾实在烦恼
'jiao'qie'xun'chang'du'zi'mian 教妾寻常独自眠
'jiao'ren'ji'du'gua'luo'shang 教人几度挂罗裳
'jiao'ta'ren'ku'shou'dao'zhen 教他忍苦受刀砧
'jie'cao'cheng'lou'bu'wang'en 结草城楼不忘恩
'jie'huo'zhi 戒祸至
'jie'jiao'cheng'ji'xu'peng'you 结交承己须朋友
'jie'jie'jin'zhong'fu'she'ji 竭节尽忠扶社稷
'jie'le'ye 皆乐业
'jie'ling'jian'xing'mian'chen'lun 皆令见性免沉沦
'jie'peng'shui'yin 解烹水银
'jie'shen'xin 戒身心
'jie'yan'jin'sui'yong'wu'you 皆言今岁永无忧
'jie'yin'qiu'guang 解引秋光
'jin'bang'you'jia'ming 金榜有嘉名
'jin'bei'leng'ru'bing 锦被冷如冰
'jin'bo'kan'ru'jiao'xia'ni 锦帛看如脚下泥
'jin'chai'chai'shang'zhui'fang'fei 金钗钗上缀芳菲
'jin'cheng'wu'ming'zi'can'chuo 尽逞无明恣餐啜
'jin'dian'xuan'zhong'liang 金殿选忠良
'jin'dian'yue'long'yan 金殿悦龙颜
'jin'he'yi'qu'lu'qian'qian 金河一去路千千
'jin'hui'ge 尽回戈
'jin'lai'peng'you'ban'xiao'mo 近来朋友半消磨
'jin'liang'xian'lu'yi'wu'ping 津梁险路一无凭
'jin'ni'you'bo'wu'mi'chu 尽溺游波无觅处
'jin'nian'chun'ri'qian'shan'wai 今年春日千山外
'jin'ri'ge'xu'zhi 今日各须知
'jin'ri'qu'chi'ye'fang'zai 尽日驱驰夜方在
'jin'ri'shuo'xiang'jun 今日说向君
'jin'ri'tan'huan'zhu'le 尽日贪欢逐乐
'jin'ri'yan 今日言
'jin'sha'pan 金沙泮
'jin'shan'bu'ren'wen 禁扇不忍闻
'jin'shang'fen'fen'xue'man'shan 今尚纷纷雪满山
'jin'sheng'zuo'yi'duan'qian'tan 今生作意断悭贪
'jin'su'luo'yi 金粟罗衣
'jin'tui'song'bai'you'jian'zhen 尽推松柏有坚贞
'jin'wei'sheng'ya'zou'pi'juan 尽为生涯走疲倦
'jin'xi'hui'luan'yu 今喜回銮驭
'jin'xiang'ci'shi'zao'zhuan'ge 尽向此时遭剸割
'jin'xiang'yu'yin'zi'xie'jiang 金箱玉印自携将
'jin'xiao'jiang'yue'fen'ming 今霄江月分明
'jin'yi'gong'zi'jian 锦衣公子见
'jin'yin'jue'sai'zan'jing'guo 今因绝塞暂经过
'jin'zai'yu'jie'qian 尽在玉阶前
'jin'zhang'ping'wei'duo'leng'luo 锦帐幈帏多冷落
'jin'zhi'jie'qing'xiao 劲枝接青霄
'jin'zhi'yu'ye'jin'xiang'lian 金枝玉叶尽相连
'jin'zhong'xiao 尽忠孝
'jin'zun'duo'xie'pu'tao'jiu 金樽多泻蒲桃酒
'jin'zuo'meng'chen'ke 今作蒙尘客
'jing'hua'piao'yao 京华飘飖
'jing'jing'gu'gao 净境孤高
'jing'lun'yi'yan'fen'bo'jin 经纶一言分擘尽
'jing'nan'lun'bing'fu'she'ji 靖难论兵扶社稷
'jing'se'zai'bian'jiang 景色在边疆
'jing'wan'gu 经万古
'jing'xiang'mian'qian'duo'sui'gu 经像面前多碎骨
'jing'yi'jiang 敬疑讲
'jing'zhong'shuang'fa'zhu'shi'tian 镜中霜发逐时添
'jiong'xiang'chang'lin'qi 迥向长林起
'jiu'ba'zhong'sheng'ji'wu'qu 救拔众生及五趣
'jiu'hou'ce'guan'ying'jue'ding 久后策官应决定
'jiu'hou'nan'xiao'yi'qu'ge 酒后难消一曲歌
'jiu'jing'yi 究经义
'jiu'ju'gong'yu 久居宫宇
'jiu'long'qi'tu'wen'he'shui 九龙齐吐温和水
'jiu'mo'hua'zheng'fang 九陌花正芳
'jiu'mo'liu'jie'ren'hao'hao 九陌六街人浩浩
'jiu'pin'hua'zhong'chang'kuai'huo 九品花中常快活
'jiu'qing'jin'zhan'man 酒倾金盏满
'jiu'quan'zi 酒泉子
'jiu'shi'can'nian'shi'ke'bei 九十残年实可悲
'jiu'shi'zhi'shen'xiu'bu'jian 九十之身朽不坚
'jiu'wang'cui 久尪悴
'jiu'xian'you'zi'liao'lai'kan 就现有资料来看
'jiu'xing'hou'duo'feng'cu 酒醒后多风醋
'jiu'yue'ji'qiu'qiu'yu'mo 九月季秋秋欲末
'jiu'zhong'gu'lu'yao'an'cun 就中孤露要安存
'ju'hua'nong 菊花浓
'ju'ji'qin'qing'zuo'guang'xian 聚集亲情作光显
'ju'jin'ying'guang'zao'jin'bi 聚尽萤光凿尽壁
'ju'san'bei'ge'shi'nan'ji 聚散悲歌事难纪
'ju'shi'tan'yang 居士谈扬
'ju'tou'deng'xia'yin'bei'shang 聚头灯下饮杯觞
'ju'tu'ru'shan'zong'shi'kong 聚土如山总是空
'ju'yi'yong'xin'jie'guo'jiu 举意用心皆过咎
'juan'lian'hen'qu'ren 卷帘恨去人
'juan'lian'nen'sun'chu'cheng'zhu 卷帘嫩笋初成竹
'juan'que'shi'shu'shang'diao'chuan 卷却诗书上钓船
'jue'ding'de'ru'yu'fo'xing 决定得入于佛行
'jue'lun'hui 绝轮回
'jue'sheng'dou'lv'da'luo 绝升兜率大罗
'jue'zou'dou'hua'xian 觉走斗花先
'jun'bu'jian'zhu'wei'de'gui 君不见朱未得贵
'jun'chen'dao'tai 君臣道泰
'jun'he'bu'yi'qie'xin'jie 君何不忆妾心竭
'jun'zai'sai'bei'yi'ying'zhi 君在塞北亦应知
'jun'zai'sai'wai'yuan'zheng'hui 君在塞外远征回
'jun'zi'qu'lai'jing'ji'chun 君自去来经几春
'jun'zi'sui'pin'li'shang'zai 君子虽贫礼尚在
'kai'che'qian'hua'gong'bu'xiao 开坼千花功不小
'kan'hen'qing'ru'shui 堪恨情如水
'kan'kan'bei'song'huang'jiao'wai 看看被送荒郊外
'kan'kan'si'bie'li 看看似别离
'kan'kan'si'da'bi'lai'shi 看看四大逼来时
'kan'ping'yu'gong'zi'wang'sun 堪娉与公子王孙
'kan'shan'qia'si'zou'lai'ying 看山洽似走来迎
'kan'xian'xi'shi'jun'wu 堪羡昔时军伍
'kan'ze'zhu'xin'bian'zuo'yi 看则住心便作意
'kan'zhe'feng'qian'shuang'jing'yong 看着风前双旌拥
'ke'lian'fu'mu'zi'jia'ji 可怜父母自家饥
'ke'neng'wei'de'zong'jian'zhong'chu'zuo 可能为德宗建中初作
'ke'neng'zuo'yu'zhao'zong'guang'hua'yuan'nian 可能作于昭宗光化元年
'ke'ri'que'hui'gui 克日却回归
'ken'xin'fo'men'kan'yi'lai 肯信佛门堪倚赖
'kong'fan'qian'jin'mai'xiao 恐犯千金买笑
'kong'qiao'qiao 空悄悄
'kong'ti'tou 空剃头
'kong'you'xin 空有心
'kou'han'hong'dou'xiang'si'yu 口含红豆相思语
'kou'si'zhu'dan 口似朱丹
'ku'cang'jin'yin'jin'bu'shi 库藏金银尽布施
'ku'chu'ceng'zheng'zhan 苦处曾征战
'ku'chu'yan'ci'xiang'you'xuan 苦出言词相诱炫
'ku'ku'bo'bo'ge'ying'gou 矻矻波波各营构
'ku'zai'mu'chang'si'dao'fen 苦哉母肠似刀分
'kuang'ci'shen 况此身
'kuang'dang'qiu'jing 况当秋景
'kuang'fu 狂夫
'kuang'xin'zhi'le'qiu'qing'jing 匡心直乐求清净
'kuang'xing'ren 况行人
'kui'xiao'li 窥小利
'kun'wai'you'zhong'chang 阃外有忠常
'lai'mu'dang'jin 来慕当今
'lai'wang'chong'chong'ru'zhen'shu 来往憧憧如镇戍
'lai'wang'xun'you 来往巡游
'lai'wang'zhong'ting 来往中庭
'lan'fang'fei 懒芳菲
'lan'ji'hui'wen'xian'wang 懒寄回文先往
'lan'jing'qi'qi'fang'cao'lv 拦径萋萋芳草绿
'lan'she'chong'kai'yan 兰麝重开宴
'lan'shi'ping'wei'chun'xiu'hua 兰室屏帏纯绣画
'lang'da'qing'chuan'yu'da'peng 浪打轻船雨打篷
'lang'ru'yin 浪如银
'lang'yan'chu'chu'xun'tian'hei 狼烟处处熏天黑
'lao'mu'tang'qian'chou'nie'zhi 老母堂前愁啮指
'lao'peng'zu 老彭祖
'lao'shang'zhu'jing'cai 老尚逐经才
'lao'yu'li 牢狱里
'lao'zhui'hui 老追悔
'le'fo'yi 了佛意
'le'wu'yun 了五蕴
'le'xiang'chuan 乐相传
'lei'dai'zan'ying 累代簪缨
'lei'di'lu'yan'cui 泪滴炉烟翠
'lei'di'ru'zhu 泪滴如珠
'lei'huan'xing'shuang 累换星霜
'lei'liu'dian'di 泪流点滴
'lei'ru'yu 泪如雨
'lei'xin'ke 垒新窠
'lei'zhu'chang'di 泪珠常滴
'lei'zhu'chuan'di 泪珠串滴
'lei'zhu'ruo'de'si'zhen'zhu 泪珠若得似真珠
'li'bai'qian'cheng'chong'fa'yuan 礼拜虔诚重发愿
'li'cun'wang 利存亡
'li'gong'xun 立功勋
'li'jie 李杰
'li'san'cai 立三才
'li'sui'duo 利虽多
'li'yi'tong 礼仪同
'li'yi'yan 利益言
'li'yi'zhi'men'xu'ai'yue 利益之门须爱乐
'li'yue'yan'zhong'he 礼乐讌中和
'li'zhi'hong'yan'yue'zhong'xi 丽质红颜越众希
'lian'jiao'tai'nv 恋娇态女
'lian'lian'liu'mei'xiu'yun 莲脸柳眉羞晕
'lian'lian'neng'yun'si'zao'xia 莲脸能匀似早霞
'lian'pin'xu'lao'ji'ci'bei 怜贫恤老及慈悲
'lian'ru'guan'zhong'xu'huai'lan 殓入棺中虚坏烂
'lian'ru'hua'zi'ran'duo'jiao'mei 脸如花自然多娇媚
'lian'shang'lei'hen'duo 脸上泪痕多
'lian'tian'jiang'lang'jin'qiu'xing 连天江浪浸秋星
'lian'wai'ying'ti'sheng'sheng'hao 帘外莺啼声声好
'lian'yu'shao'jin 炼玉烧金
'liang'bian'xian'ren'chang'zhan'yang 两边仙人常瞻仰
'liang'chen'an'guo'bu 良臣安国步
'liang'dao'yuan'guang'ming'si'jing 两道圆光明似镜
'liang'feng'cu 两风醋
'liang'liang'xi'bian'wu 两两溪边舞
'liang'liang'xiang'nian'xiao 两两相捻笑
'liang'pan'xuan 两盘旋
'liang'ri'bu'an'shou'ru'gua 两日不安瘦如刮
'liang'yan'ru'dao 两眼如刀
'liao'liang'gong'shang'zu 嘹亮宫商足
'lie'zhu'hou 列诸侯
'lin'chi'liu 临池柳
'lin'hui'kan'ji'shi 临回看即是
'lin'jian'su'niao'luan'fen'fei 林间宿鸟乱分飞
'lin'jiang'shan 临江山
'lin'ling'bie 林岭别
'lin'tai'zao'you'ming 麟台早有名
'lin'zhong'you'dei'ru'mian'shui 临终又得如眠睡
'ling'shu'ke'xiu'shi'liu'lang 令戍客休施流浪
'ling'xing 灵性
'ling'xiu'cuo'e'chao'wu'si 岭岫嵯峨朝雾巳
'liu'dao'san'tu'wu'xi'ban 六道三塗无系绊
'liu'lei'shu'qian'xing 流泪数千行
'liu'qing'niang 柳青娘
'liu'qu'zai'si'sheng 六趣在死生
'liu'rong'jin'lai'zuo'bai'xing 六戎尽来作百姓
'liu'se'zheng'yi'yi 柳色正依依
'liu'shi'qu'qu'wei'ken'xiu 六十驱驱未肯休
'liu'shi'ren'jian'zhi'fa'chuan 六十人间置法船
'liu'xin'hui'he'dai'ming'shi 留心会合待明时
'liu'ying'si'wen'ren 流莺似问人
'liu'yue'ji'xia'xia'gong'tong 六月季夏夏共同
'liu'zai'shou'qin'lao 六载受勤劳
'liu'zhen'wen'shu'yong'gong'fu 六振文殊用功夫
'liu'zhu'chang'gua'ti 六铢常挂体
'liu'zhu'jiu'hua'yun'yi'pian 留住九华云一片
'long'lou'feng'que'xi'yun'lian 龙楼凤阙喜云连
'long'men'zhong'yi'guo 龙门终一过
'long'quan'san'chi'zhan'xin'mo 龙泉三尺斩新磨
'long'sha'sai 龙沙塞
'lu'feng'han'shi'jie 路逢寒食节
'lu'qi'shi 露妻室
'lu'shang'gong'jun'xian'xia'bai 路上共君先下拜
'lu'shang'gui'ren'zheng'bu'zou 路上归人争步走
'lu'shui'gui'tan'zai 渌水归潭再
'lu'yuan'ge'yan'bo 路远隔烟波
'lu'yuan'guan'shan'ge 路远关山隔
'lu'yuan'he'tong'he 路远合通和
'luan'jia'zai'san'feng 銮驾在三峰
'luan'wu'he'tan'qin 鸾舞鹤弹琴
'lun'hui'liu'qu'xin'bu'an 轮回六趣心不安
'lun'hui'san'e'dao 轮回三恶道
'lun'wang 轮王
'luo'dai'jiu'tong'xin 罗带旧同心
'luo'dai'shang'luan'feng 罗带上鸾凤
'luo'han'yan'tou'guan'nai'pu 罗汉岩头观渿瀑
'luo'hua'liu'shui'dong'xi'lu 落花流水东西路
'luo'huang'chen'sheng 罗幌尘生
'luo'shan'xiang'xiu'bo 罗衫香袖薄
'luo'tuo'ya 骆驼崖
'luo'yi'yan'mei 罗衣掩袂
'luo'zhao'can'xia'bu'chang'jiu 落照残霞不长久
'lv'chuang'du'zuo 绿窗独坐
'lv'lv'bu'li'shou 率率不离手
'lv'ren'chuan'bo'gu'zhou 旅人船泊孤洲
'lv'zhu'tao'hua'bi'xi'shui 绿竹桃花碧溪水
'ma'shang'bu'zhi'shi'li'bian 马上不知时历变
'ma'shang'pan'qiang 马上盘枪
'ma'ti'dao'chu'zhen'yun'xiao 马蹄到处阵云消
'mai'rou'jiao'qing'xing'qi'zou 买肉脚轻行起走
'mai'tu'ku 埋土窟
'man'chui'xiong 慢捶胸
'man'dong'tao'hua'lu'shui 满洞桃花渌水
'man'jiang'bi'bing'wu'yin 谩将比并无因
'man'jin'chuan 满金船
'man'kua'ru'shi'de'neng'duo 谩夸儒士德能多
'man'lian'ta 慢怜他
'man'lou'ming'yue'ye'san'geng 满楼明月夜三更
'man'sheng'xin 谩生心
'man'tian'chun'ye'chou 谩添春夜愁
'man'tou'zhu'cui'ying'zheng'guang 满头珠翠影争光
'man'yan'feng'bo'duo'shan'que 满眼风波多陕汋
'man'yi'jin 满衣襟
'man'zhuo'qiong'jiang'ren'zui 满酌琼浆任醉
